reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,tgl_update,sentiment,business_category,sub_issue,merge_group,confidence_level
ed49611b-8f96-4edb-a4d2-e6801fa8f3c6,Harry Laskar33,https://play-lh.googleusercontent.com/a-/ALV-UjWkVpgbis2GTuCeNLzQpjvcSsi44xV8S_WJnFJgCczN77e_9hdA,Sangat Mantap dan Banyak Promo nya saya sangat Puas belanja di alfamart,5,0,4.19.0,2023-07-05 16:00:19,"Terima kasih kak telah menggunakan aplikasi Alfagift, yaudahh Shalma mau kasih tau alfamart dan alfagift lagi banyak promo dan bagi bagi hadiahh. Info lebih lengkap mengenai promo menarik lainnya bisa dilihat di http://www.alfamart.co.id/instore atau Alfagift ya. Yuk segera dapatkan promo menarik dari shalma, jangan sampai kelewatan. 🙏🏻 ^-a3",2021-12-24 07:56:53,4.19.0,2026-06-15 14:42:13,positif,Pengalaman Pengguna,Aplikasi sangat membantu aktivitas belanja,USER_EXPERIENCE,Medium
7fab96ff-2702-41e9-80f8-3385796b3f6f,Dewi Pujul,https://play-lh.googleusercontent.com/a/ACg8ocJouvcickvgcqIGiYg3auJNBNgjXZPcmEUaMAo09-mYRN1Q9g=mo,"Aku kasih bintang 5 karna alfagit bisa untuk dengan banyak voucher potongan dan belanja ga ribet, praktis dan murahh karna banyak banget promo dan diskon ny, pas lg mager dan ga ada motor di rumah, lg ujan atau panas males ke toko tinggal buka alfagift dong anti ribet pastinya tinggal duduk manis dan #BebasBelanjaUntung semoga kedepanya makin dibanyakin voucher dan promo nya ya",5,0,,2023-07-05 15:45:02,,,,2026-06-15 14:42:13,positif,Pengalaman Pengguna,Kemudahan berbelanja online melalui aplikasi,USER_EXPERIENCE,Medium
b9b7460b-ad84-4384-b883-8cc934035156,Sandra Bisato,https://play-lh.googleusercontent.com/a-/ALV-UjXVddE2pAZzx2NsJt9PVVbMHaHQlr-YROrZuIYBzuM1Z4dl1rw,Pengirimannya cepat dan menyenangkan.,5,0,4.19.0,2023-07-05 15:39:26,,,4.19.0,2026-06-15 14:42:13,positif,Layanan Pengiriman dan Promo,Kecepatan pengiriman dan ketersediaan promo,DELIVERY_PROMO,High
68a18967-c293-4996-b606-2d7fe6b6c12b,Yuno Kece,https://play-lh.googleusercontent.com/a-/ALV-UjVjuJj6qJo8QzMXlYXuKfjMlI8Tfc3veFCdLLgNr-qwGZLgMrfT,Apk yang bagus,5,0,4.18.0,2023-07-05 15:38:32,,,4.18.0,2026-06-15 14:42:13,positif,Pengalaman Pengguna,Aplikasi sangat membantu aktivitas belanja,USER_EXPERIENCE,High
81e89f21-c9c7-4478-9b12-729e7a04b10c,Aan Priansyah,https://play-lh.googleusercontent.com/a-/ALV-UjUwrKM4c_YNBGqWnysemJvRPuLzcpT0ntYItAeV5Z5xPfFrGE0,"Aplikasi yang sangat bermanfaat,beneran gratis ongkir",5,0,4.19.0,2023-07-05 15:23:33,,,4.19.0,2026-06-15 14:42:13,positif,Layanan Pengiriman dan Promo,Kecepatan pengiriman dan ketersediaan promo,DELIVERY_PROMO,Medium
392a19a0-f749-4c21-a57e-cd48787f22ad,Putra Gnl30.,https://play-lh.googleusercontent.com/a-/ALV-UjUuSuo6Wga7Q-72N8c31fsBe0LUBn3GQbiygog9-7MILAKWL6DN,Keywords baru pertama,5,0,4.19.0,2023-07-05 15:17:43,,,4.19.0,2026-06-15 14:42:13,positif,Pengalaman Pengguna,Ulasan positif umum mengenai kualitas aplikasi,GENERAL_POSITIVE_FEEDBACK,Medium
e9f00715-48e1-4081-87f1-e69743465c61,Hestiana Hastuti,https://play-lh.googleusercontent.com/a-/ALV-UjUaWV6zJkbM7KwLLNxS-TREyNClT6NkJkqdyu7Ka8-kembbcCw,"Sangat terbantu dengan adanya alfagif ini, kami merasa dimudahkan dalam belanja dan pembayarannnya. Kebetulan kami tidak pernah belanja secara mendadak.",4,2,4.19.0,2023-07-05 14:59:42,,,4.19.0,2026-06-15 14:42:13,positif,Pengalaman Pengguna,Aplikasi sangat membantu aktivitas belanja,USER_EXPERIENCE,Medium
0c661607-85b3-484e-95eb-cb4fd4d5be80,sri Asih,https://play-lh.googleusercontent.com/a/ACg8ocJHot8FpYqVC-qUUUYx7ZFy-Nue1eMtmo25H4N9RfwvKMHUhg=mo,Bagus,5,0,4.19.0,2023-07-05 14:38:29,,,4.19.0,2026-06-15 14:42:13,positif,Kepuasan Pengguna,Ulasan positif umum terhadap aplikasi,GENERAL_FEEDBACK,High
45b65cfa-0821-4fb8-a9d5-d49fde92ecbc,ahmad muanam,https://play-lh.googleusercontent.com/a/ACg8ocKMTfkt1IgbyW4Ksm_-nMSB_mmqAprRqG7dhQufXMtYn-j5VA=mo,Belanja Lebih Mudah,5,0,,2023-07-05 14:33:20,,,,2026-06-15 14:42:13,positif,Pengalaman Pengguna,Kemudahan berbelanja online melalui aplikasi,USER_EXPERIENCE,High
60ae8ad3-4c48-4558-84c7-bba84ee6d3d4,Sri Winari,https://play-lh.googleusercontent.com/a-/ALV-UjVMSZgTwZNv6_8TUtorur-9y3h0lNaOWIJrdhD1taCsvj1GCRCt,sangat membantu,5,0,4.18.0,2023-07-05 14:13:11,,,4.18.0,2026-06-15 14:42:13,positif,Pengalaman Pengguna,Aplikasi sangat membantu aktivitas belanja,USER_EXPERIENCE,High
