topic_id,topic_name,sentiment,business_category,sub_issue,merge_group,review_count,percentage,average_score,total_thumbs_up,top_keywords,sample_reviews
0,Jam Di Saya,negatif,Layanan Pengiriman,Keterlambatan pengiriman dan status pesanan tidak akurat,DELIVERY_ISSUE,4936,35.65,1.15,11616,"jam, di, saya, tidak, sampai, yang, sudah, ada, tapi, pesan","Ga paham sih kenapa pengiriman alfagift di Cikarang sangat sangat lama sekali. Jd penasaran pihak alfa kasih fee untuk pegawai yg ngirim pesenan ga sih? Kok pegawai terkesan males ngirimnya di entar2. Pesen jam 9 pagi ditunggu sampe 12 belum nyampe juga. Padahal mau buru2 dipake. Yang bikin jengkel lagi di aplikasi sudah terkirim dan fotonya ga jelas, foto jalanan. Pas disamperin ke cabang pengirim ternyata barangnya bahkan belum dikirim sama sekali. | pengirimannya lelet banget, order pagi buat dikirim siang, tapi sering bgt pengirimannya telat bisa jam 10malem/set 12 malem waktu nya orang istirahat. kalo cuma sekali 2x ok bisa dimaklumi. ini berkali2. bodohnya saya malah beli lagi di alfagift. padahal klik Indomaret lebih cepet, dan lebih respon kalo ada kendala. chatbot Alfa ga guna, tidak mau menerima kritik & saran. Terlihat tidak ada keinginan memperbaiki pelayanan yang buruk. | Parah bgt.... Biasanya pesan dan bayar pake gopay selalu di antar Maksimal 2 jam dari pemesanan sudah datang. Eh tapi kemarin kebetulan pesen pake COD pesen jam 1 siang sampe malem di tungguin ga datang2 Pas di cek lagi jam 8 malam masa status jadi Batal,udah gitu voucher dan A-poin nya juga ga balik lagi. Chat di apk alfagift nya ga ada yg respon"
1,Bisa Akun Tiba,negatif,Manajemen Akun,Akun pengguna tidak aktif atau gagal login,ACCOUNT_ACCESS,2489,17.98,1.2,2672,"bisa, akun, tiba, aplikasi, tidak, kenapa, sudah, di, login, saya","Ini kenapa ya alfa gift akun saya di take down , padahal di whatsapp masih bisa di pake.. giliran login ke alfagift malah gak bisa, gak jelas.. lapor ke email jg gak bisa | No udah sama. sandi juga sama. pas verifikasi knapa sllu gagal. Ada apa dg akun saya. cuma gara"" main game di aplikasi langsung g bisa di buka. tolong di perbaiki | Kenapa akun sya tiba"" tidak aktif? Sya cobak komplain lngsung ke app jga gak bisa. Aneh udh di hapus chache tetep gamau. Gmna ini cara ngebalikinnya akun sya?"
2,Daftar Susah Banget,negatif,Aksesibilitas Aplikasi,Kesulitan dalam pendaftaran dan akses aplikasi,REGISTRATION_ISSUE,709,5.12,1.18,397,"daftar, susah, banget, mau, aplikasi, lambat, jaringan, lancar, saja, padahal","Susah bgt mau masuk app nya aja | apk lu tuh lemot banget tau gak? mau belanja gambar gak muncul padahal jaringan bagus. | Susah sekali di akses aplikasinya,, mau daftar susahnya minta ampun, jadi malas"
3,Jelas Buruk Tidak,negatif,Performa Aplikasi,Aplikasi berjalan lambat setelah pembaruan,PERFORMANCE_BUG,647,4.67,1.11,339,"jelas, buruk, tidak, lelet, ribet, aplikasi, bagus, enggak, banget, lambat",Aplikasinya lelet | Aplikasinya lelet | habis update langsung lemot
4,Voucher Pin Pakai,negatif,Promosi dan Loyalitas,Voucher tidak berfungsi dan poin tidak masuk,VOUCHER_POINT_ISSUE,644,4.65,1.17,1530,"voucher, pin, pakai, bisa, tidak, poin, sudah, gagal, bayar, pembayaran","Voucher nggak sengaja terpakai Tapi di hangusin :' itu gmn konsepnya? Sedangkan di klik Indomaret kalo ga berhasil dipakai vc balik Kok pelayanan Alfa gini sih?? Kecewa berat | aplikasi jelek ini kenapa tidak mau langsung masuk poinnya ke dalam akun saya? padahal udah belanja beberapa kali dan pakai member malah blm masuk2 poinnya kocak sekali nih kalah sama team sebelah abis pembayaran struk dan poin langsung masuk ke hp | Selalu gagal kalau mau transaksi pakek voucher, jadi vouchernya hangus deh 😅 apa akal2an aja ya biar vc.nya ga bisa digunakan 🤣🤣 kecewa terus.. skrang pindah ke klik aja anti lemott"
5,Struk Metode Pembayaran,negatif,Transaksi dan Pembayaran,Gagal menerima OTP dan kendala metode pembayaran,PAYMENT_ISSUE,422,3.05,1.22,559,"struk, metode, pembayaran, kode, otp, masuk, tidak, belanja, bisa, aplikasi","Aplikasi tolol..saya belanja 200rb poin gak masuk struk jg gak masuk di aplikasi..menu chat CS juga gak.bisa..tololl | Aplikasinya gx jelas, masa mint kode otp gx dikirim kirim.. Mau dftr aj udah di bkin ribet | payah, mau mesen malah ga bisa klik metode pembayaran"
6,Lama Banget Pengirimannya,negatif,Layanan Pengiriman,Proses pengiriman pesanan sangat lambat,DELIVERY_ISSUE,405,2.93,1.19,162,"lama, banget, pengirimannya, loading, pengiriman, nya, ngirimnya, di, sekali, tidak",Pengiriman nya lama bangettt | pengiriman nya lama bngt | Proses pengiriman nya lama banget
7,Respon Pesanan Tidak,negatif,Layanan Pelanggan,Respon layanan pelanggan lambat dan tidak responsif,CUSTOMER_SERVICE,393,2.84,1.11,304,"respon, pesanan, tidak, slow, pengiriman, sesuai, sangat, lama, chat, ada","operator nya ga tepat respon nya pesanan engga di kirim kirim | pengiriman nya lama,dan di chat ga ada respon | Bermanfaat tapi pelayanannya kurang baik.. terlalu sering pengiriman ditunda.. di chat juga tidak pernah direspon 😌😌"
8,Dibuka Buka Bisa,negatif,Performa Aplikasi,Aplikasi mengalami error dan tidak bisa dibuka,PERFORMANCE_BUG,369,2.67,1.17,117,"dibuka, buka, bisa, aplikasi, android, tidak, di, 15, aplikasinya, pixel",aplikasi nya gak bisa di buka | aplikasinya error engga bisa di buka | aplikasi nya gak bisa dibuka
9,Pengiriman Lama Terlalu,negatif,Layanan Pengiriman,Durasi pengiriman barang terlalu lama,DELIVERY_ISSUE,304,2.2,1.15,273,"pengiriman, lama, terlalu, sangat, lambat, tidak, dan, dari, respon, nya",pengiriman sangat lama | Pengiriman sangat lama | Pengiriman sangat lama
10,Mulu Eror Sering,negatif,Stabilitas Aplikasi,Aplikasi sering mengalami error dan keluar sendiri,PERFORMANCE_BUG,254,1.83,1.22,46,"mulu, eror, sering, gangguan, error, keluar, terus, sendiri, aplikasi, update","Aplikasi eror mulu | eror mulu, keluar dri app trus! | sekarang sering error apk nya"
11,Bisa Daftar Login,negatif,Akses Akun,Kendala saat melakukan proses login ke aplikasi,LOGIN_ERROR,248,1.79,1.15,90,"bisa, daftar, login, tidak, aplikasi, log, lokasi, alamat, buka, di",Gak bisa buat login | buruk.. ga bs login | diupdate malah gk bisa login apk
12,Cod Ongkir Minimal,negatif,Kebijakan Pembayaran,Keberatan terhadap minimal belanja untuk metode COD,PAYMENT_POLICY,242,1.75,1.19,74,"cod, ongkir, minimal, gratis, belanja, 50, harus, 50rb, ada, ongkirnya","udh enak enak gaada ongkir, ini malah dikasih ongkir dan ongkirnya mahal pula. kalau semisal mau order 1 barang dengan harga yg dibawah ongkir kan jd rugi di cust nya. | kenapa Cod harus ada batas minimum pembelian,kalau orang duitnya ga ada,ga bisa lah mesan di Alfagift | Dear alfagift, minta tolong dong kalau metode pembayaran cod jgn ada minimal belanja 50.000. kalau kyk gitu customer jdi mls buat belanja. masa harus beli barang yg nggak dibutuhin dulu sampe 50.000 biar bisa pakek cod, kan jdi boros. Nggak sesuai sama slogannya belanja puas harga hemat"
13,Guna Aplikasi Membantu,negatif,Kualitas Aplikasi,Pengguna merasa aplikasi tidak memberikan manfaat,USER_EXPERIENCE,209,1.51,1.07,43,"guna, aplikasi, membantu, sangat, tidak, lambat, penipu, sampah, error, ada",Aplikasi Tidak berguna | Aplikasi tidak berguna | Aplikasi tidak berguna
14,Poin Tukar Masuk,negatif,Program Loyalitas,Poin tidak masuk atau gagal ditukarkan,LOYALTY_POINT_ISSUE,201,1.45,1.14,60,"poin, tukar, masuk, tidak, bisa, point, sudah, di, aplikasi, belanja","poin gk bisa di tukar....alasannya sistem down...anehhhhhh se umur2 baru nuker poin 1x itu pun udh lama..... komplain ke CS gak respon | semakin buruk tdk bisa tukar poin, pin ga bisa diinput. kata penjualnya harus beli online.. | belanja hampir 500k poin nya ngga masuk , gamenya juga ngga bisa dimainin, yang bener dong"
15,Pelayanan Buruk Sangat,negatif,Layanan Pelanggan,Pelayanan kurir dan staf toko tidak memuaskan,SERVICE_QUALITY,199,1.44,1.09,42,"pelayanan, buruk, sangat, customer, tidak, kurang, nya, di, baik, service","pelayanan kurir nya kurang baik... tidak sopan. | Pelayanan buruk, cs tidak ramah, gak bakalan beli lagi. | Pelayanan nya buruk banget udah milih pesanan dikirim 1 jam setelah pemesanan tapi dianter tidak sesuai dengan waktunya. Pegawai Alfamart nya buruk customer complain malah direspon tidak sopan dan songong."
16,Alamat Tercover Lokasi,negatif,Pengiriman,Lokasi alamat tidak tercover pengiriman aplikasi,DELIVERY_COVERAGE,160,1.16,1.23,154,"alamat, tercover, lokasi, tidak, bisa, saya, padahal, terjangkau, rumah, terdekat","kenapa nechh,, biasa nya bisa belanja dikirim 1 jam, tp ini dibilang alamat tidak tercover 😅 ini gak mau ada pengantar lg yaa | sebelumnya bisa pakai delivery,sekarang malah ga bisa katanya alamat tidak tercover | Alamat tidak tercover pengiriman,, pdahal rumah saya gak nyampe 1 km dari Alfamart,, bisanya cuma ambil barang ditoko,terus gunanya apa aplikasi klo harus tetep ke toko😴😴😴"
17,Rokok Beli Kosong,negatif,Ketersediaan Produk,Produk rokok sulit ditemukan atau tidak tersedia,PRODUCT_AVAILABILITY,158,1.14,1.15,27,"rokok, beli, kosong, jual, bisa, ada, tidak, promo, semua, mau","Aplikasi heran, beli rokok ga tersedia bisa kalo kondom mah ada , di website juga susah beli rokok. 🤣 | Item rokok gak ada ya min..mau beli rokok gak ada | Katanya lengkap mao beli apa aja ada, tapi mau beli rokok lewat aplikasi aja kaga ketemu pisan 👎🏻"
18,Enggak Kagak Bisa,negatif,Akses Akun,Kesulitan teknis saat login dan pendaftaran akun,LOGIN_ERROR,149,1.08,1.17,33,"enggak, kagak, bisa, login, lokasi, aplikasi, susah, nya, di, alamat","aplikasinya kagak bisa di buka.3 device login kayak bisa padahal divicenya sama hadeh,lupa password enggak bisa di pencet | Aplikasi kaga jelas akun di close pas pengen daftar pake no baru kaga bisa ribet amat dah.ga jelassssss | Tolol mau login gabisa bgst"
19,Galon Tebus Murah,negatif,Ketersediaan Produk,Stok produk tebus murah dan galon sering kosong,PRODUCT_AVAILABILITY,120,0.87,1.18,93,"galon, tebus, murah, kosong, isi, aqua, air, stok, yang, stock","Katanya pengiriman 1 jam, tapi udah 2 jam belum tiba juga. Tidak ada konfirmasi keterlambatan juga. Jadi waktu terbuang sia². Pas minta dibatalin kata admin tokonya pengembalian dana 7 hari. Aje gile, pelayanan lu yg jelek, kita juga yg rugi. Mana semua produk tebus murah selalu habis. Apalagi tu yang Rp.1 belanja lebih dari 200K gak pernah dapet tebus murah. Kalo aja Indomaret Deket dari rumah, gw pilih Indomaret aja. | beli Aqua galon pas di klik bisa.tp di chat admin katanya habis.katanya nanti kalau barang dah ready mau di kirim.tp sampe sekarang barang ga di kirim.alfamart srikaton,jaken,pati,jateng | Kecewa banget sama karyawan Alfamart di Palembang, saya mau beli galon isi ulang yg delivery keterangannya habis. saat mau pesan yg ambil sendiri di toko ada galon isi ulangnya. Berarti ini permainan karyawan Alfamart saja, karna males anter galon isi ulangnya"
20,Harga Sesuai Beda,negatif,Manajemen Harga dan Promosi,Ketidaksesuaian harga aplikasi dengan harga di toko fisik,PRICE_DISCREPANCY,106,0.77,1.1,128,"harga, sesuai, beda, dengan, di, sama, yang, toko, kasir, barang","ga sesuai harga di toko. katanya aplikasi suka beda gitu harga nya. di aplikasi promo di toko engga promo. padahal di aplikasi ga ada tulisan promo khusus aplikasi. | Semakin di update semakin ga tau dimana cek struk belanja...kadang harga di etalase sama display beda banget..pas bayar ko beda harga nya, | Harga barang di aplikasi kadang tidak sama dengan toko. Seperti kena scam."
21,Fitur Tambahkan Salah,negatif,Fitur Aplikasi,Ketiadaan fitur pembatalan pesanan mandiri oleh pengguna,ORDER_MANAGEMENT,105,0.76,1.3,715,"fitur, tambahkan, salah, cancel, pesanan, tolong, batalkan, pembatalan, alamat, yang","tolong kasih fitur cancel dong .. sy bolak balik salah pesanan pas mau cancel atau edit pesanan gbisa, mana susah bgt dihubungi nya | Tolong tambahkan fitur cancel pesanan, karena saya telpon ke tokonya gk bisa di cancel, saya melaporkan ini karena saya beli bareng terus alamatnya salah dan gak bisa di cancel | Tolong tambahin tombol ""cancel orderan"" soalnya jadi bingung untuk cancel pesanan dikarenakan salah alamat"
22,Promo Cashback Niat,negatif,Program Promosi dan Cashback,Syarat dan ketentuan promo cashback yang menyulitkan pengguna,PROMO_ISSUE,84,0.61,1.07,404,"promo, cashback, niat, usah, buat, indomaret, tidak, kalau, beda, kasih","Ngapain kasih promo klo dpt VOC ..akun nya di blokir .g niat banget kasih promo | Kalau ada promo kenapa gak bisa di pake tuh cashback,mengecewakan sekali akhir akhir ini, gak niat bikin promo kah,katanya gak ribet??? | Jelekkk... Kalo mau kasih promo kasih aja.. Gausah suruh belanja lagi... Beda sama indomaret... Potongan dikit banyak syarat"
23,Gambar Muncul Produk,negatif,Antarmuka Pengguna,Gambar produk tidak muncul pada katalog aplikasi,UI_BUG,77,0.56,1.21,433,"gambar, muncul, produk, tidak, semua, gambarnya, aplikasi, hilang, ada, terlihat","tolong diperbarui aplikasinya, masak gambar produk nya tidak ada gambarnya semua, mau cekout jadi ragu, saya kira sinyal hp ku yg bermasalah sampe tak unistal ulang masih sama ga ada gambarnya, sampai sekarang masih sama. | Saya kasih bintang 1 karena udah capek2 downdload ternyata ganbar semua produk tdk muncul ,lah kita beli tanpa liat gambar bungkusnya emosi gk sih | Kenapa saat sya buka aplksinya gambar menu ya GK bisa muncul,,kosongan jdi mau belanja kurang enk Krn GK bisa lihat gmbar menunya"
24,Top Up Topup,negatif,Layanan Keuangan Digital,Kendala teknis dan pilihan nominal top up e-wallet,PAYMENT_SERVICE,67,0.48,1.19,22,"top, up, topup, ewallet, ewalet, dana, mau, muter, ribu, cuma","topup ewalet kenapa tidak ada yang 200 ribu min. | Alfagift lucu, topup 52ribu malah gagal, duit juga ga di balikin | mau topup Ewallet loading seabad lama banget, pilihan nominal nya juga dikit"
25,Pengembalian Dana Lama,negatif,Layanan Pelanggan,Proses pengembalian dana yang memakan waktu lama,REFUND_ISSUE,60,0.43,1.1,21,"pengembalian, dana, lama, proses, sangat, ribet, refund, uang, menyusahkan, toko",apa²an pengembalian dana ny lama sekali | proses pengembalian dana sangat lama | pengembalian dana lama banget di prosesnya
26,Parkir Kang Oknum,negatif,Operasional Toko,Keluhan terkait perilaku pegawai dan parkir liar,STORE_OPERATIONS,34,0.25,1.09,14,"parkir, kang, oknum, tukang, alfamart, liar, membatalkan, ada, dikirimkan, pegawai",banyak pegawai alfamart yang tidak ramah🙏🏻 | Banyak tukang parkir di alfamart | OKNUM PEGAWAINYA PADA GA JUJUR
