Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,17,-1_𝗇𝗒𝖺_𝚖𝚊𝚔𝚒𝚗_abal_aigi,"['𝗇𝗒𝖺', '𝚖𝚊𝚔𝚒𝚗', 'abal', 'aigi', 'anjjig', 'bosookkkk', 'burikkk', 'berhasik', 'bdsss', 'kemot']","['saya pengguna alfagift sudah sering pesan lewat alfagift tapi baru kali ini pesanan saya digantung selama sehari pesan alfagift dapat toko ds cihampelas bandung tidak ada respon sama sekali barang tidak dikirim refund masih enggak bisa status orderan sedang dalam pengiriman dari jam 3 sampai malam ini jam 10 masih belum ada respon dari pihak toko padahal saya sudah pesan dari hari sebelumnya pembayaran sudah saya bayar lunas tolong ditindak toko tersebut tidak profesional', 'kenapa pelayanan alfamart makin kesini tidak sesuai dengan aturan saya order dengan pilihan 1 jam setelah pembayaran malah harus menunggu hampir jam 10 malam baru dikirim padahal saya order di jam 6 tolong lah di perbaiki kasih fitur lacak kurir status dalam pengiriman tapi harus menunggu 2 jam setelah nya total 4 jam tidak sekali 2 kali kayak begini ternyata setelah saya cek penilaian playstore cukup buruk semua complain soal pengiriman perbaiki dulu atau tidak hapus tuh filter 1 jam setelah pembayaran', 'aplikasi nya buruk respon nya lama di aplikasi ada pilihan pengiriman 1 jam setelah pembayaran tapi ternyata sudah lebih dari 2 jam tidak ada proses padahal sudah bayar dan di tanya pun respon nya buruk banget lambat lelet dan ini kejadian bukan 1 kali dua kali tapi sudah sering banget saran saja mending tidak usah di kasih pilihan pengiriman 1 jam setelah pembayaran jika tiba tiba di tunda tiba tiba tidak ada respon saat di tanya percuma kalau di masih di kasih pilihan tapi tetap saja kayak begini']",𝗇𝗒𝖺 𝚖𝚊𝚔𝚒𝚗 Abal
0,816,0_jam_pengiriman_setelah_maksimal,"['jam', 'pengiriman', 'setelah', 'maksimal', 'lebih', 'pembayaran', 'sampai', 'lama', 'pilih', 'menunggu']","['pengirimannya lama banget padahal sudah pilih yang maksimal 1 jam', 'pengiriman nya lama pada sudah pilih pengiriman maksimal 1 jam dari pembayaran nyatanya lebih dari 1 jam belum sampai juga', 'pengirimannya lama banget padahal sudah pilih maksimal 1 jam setelah pemesanan']",Jam Pengiriman Setelah
1,441,1_password_login_nomor_sandi,"['password', 'login', 'nomor', 'sandi', 'masuk', 'ganti', 'hp', 'akun', 'salah', 'reset']","['mau log ini padahal sudah benar password nya malah password salah terus sudah mencoba di reset password nya tetap enggak bisa log ini aplikasi aneh', 'aplikasi ini awalnya sangat membantu tapi kenapa saat mau login enggak bisa masuk katanya password salah sudah aku ganti ke password baru dan berhasil tapi ketika masukkan lagi no hp dan kata sandi katanya kata sandinya salah tolong min diperbaiki lagi', 'admin nih tolong baca complain saya kenapa ketika saya mau login memasukan no atau email dan password sudah benar tapi kenapa saat di klik password selalu salah sudah 4 kali ganti password ketika mau login pasword selalu salah heran banget dah kemarin sudah reset password 3 kali mau login pakai password baru tapi password salah hari ini password salah lagi padahal sudah ganti password pakai password kemarin tetap salah sulit amat siiii']",Password Login Nomor
2,851,2_kalau_kurir_yang_pesan,"['kalau', 'kurir', 'yang', 'pesan', 'di', 'barang', 'toko', 'rumah', 'saya', 'orang']","['alfagift makin lama makin bobrok estimasi 1 jam sampai nya 2 3 jam estimasi jam 2 4 sampai jam segini belum sampai masa alasan pecah ban sudah 3x dipakai parahnya lagi terakhir nganter pesanan malam2 tbtb kurirnya cuma ngechat di aplikasi mengirim foto barang di depan pintu rumah tanpa ngetuk pintu sama sekali saat aku keluar bertanya dia cuma nunjuk tanpa mengomong apa apa untung langsung aku buka itu chat ya kalau aku nunggu2 tanpa lihat chat apa tidak tak tunggu sampai malam tuh barang parah banget', 'niat nya buat aplikasi ini apa sih alfa lambat iya pengiriman tidak cepat kalau memang rame di toko ya mending toko saja tidak deh buat seperti begini ini bukan buat orang cepat sampai belanjaannya tapi lama pertama download pengin mempermudah buat belanja sampai tak chat ke toko nya toko nya bilang apa mau di anter sekarang mbak iya sayang bilang tolong saya butuh penurun panas nya itu pun saya ambil jam yang 12 2 saya chat set 11 dia dan sampai jam 1 saya chat ternyata tidak bisa lagi disconeks', 'sebenarnya pelayanan sih yang berbeda ya di cinere tempat aku kerja setiap kali pesan alfagift selalu datang cepat paling lama itu 1 jam tapi itu jrg banget loh palingan set jam sudah sampai tempat aku krj makanya dikantor senang banget pakai alfagift tapi kenapa dirumah sendiri pasir putih malah lama banget loh pesan dari jam 10 pagi sampai rumah jam 5 sore bayangkan saja posisi nya lagi tidak bisa keluar rumah karena aku lagi sakit makanya aku pesan alfagift buat anak aku ternyata malah buat kecewa padahal sudah bayar lunas tggl menunggu brgnya saja yang lm']",Kalau Kurir Yang
3,466,3_dana_pengembalian_kembalikan_uang,"['dana', 'pengembalian', 'kembalikan', 'uang', 'saya', 'belum', 'hari', 'refund', 'dibatalkan', 'pesanan']","['pengembalian dana sangat lama tolong di cek dong masa sudah hampir 4 hari belum ada konfirmasi pengembalian dana', 'saya meminta pengembalian dana dan itu telah diproses tapi sudah 3 hari berlalu dan pengembalian dana masih saja dalam proses dan 1 lagi saya ada pesanan yang dari gudang tidak saya terima sampai sekarang', 'sangat mengecewakan saya mau mengajukan pengembalian dana karena pesanan dibatalkan langsung oleh sih pengirim pengembalian dana nya sudah di proses dan statusnya sudah selesai tapi saya sama sekali tidak menerima dana kembaliannya sudah coba hubungi cs nya lewat email tapi belum ada respon']",Dana Pengembalian Kembalikan
4,444,4_member_kasir_belanja_alfamart,"['member', 'kasir', 'belanja', 'alfamart', 'alfa', 'point', 'kembalian', 'yang', 'saya', 'poin']","['aplikasi ini tambah buruk maaf saya jujur saja aplikasi ini masih cacat tidak jelas member dan non member tidak ada untungnya belanja harga sama saja member atau non member terus saya setting di aplikasi alfa gift jika belanja struk saya masuk alfa gift tapi saat cek di alfagift enggak ada tuh bukti struk belanja hari itu chat sama cs juga bisa mending tidak usah ada member atau aplikasi alfagift kalau tidak ada fungsi dan tidak ada benefitnya daripada buat pelanggan kecewa', 'setiap belanja di tanya member dan di suruh buat apai aplikasi tapi nyatanya setiap belanja sudah mengasih nomor member juga tetap saja tidak dapat apa-apa perasaan malah tambah mahal selain itu setiap belanja pakai nomor member tidak pernah di kasih struk', '1 kasir alfamart tidak pernah memasukkan nomer hp member alfa gift 2 jika sudah meminta nomer member pun di aplikasi alfa gift tidak masuk hitungan 3 ketika ditanya ke kasir yang bersangkutan jawabannya katanya mungkin lagi eror sinyal jaringan haduuh jawaban tidak bermutu 4 saya setiap belanja di alfamart 5 saya member 14 maret 2024 tapi status masih newbie aneh saya seharusnya ada penambahan poin dan stamp alfa tapi ya sudahlah sepertinya ini aplikasi gimmick']",Member Kasir Belanja
5,308,5_lama_pengirimannya_banget_pengiriman,"['lama', 'pengirimannya', 'banget', 'pengiriman', 'ngirimnya', 'lamaaaa', 'nya', 'kurirnya', 'lamaaa', 'sumpah']","['pengiriman lama banget', 'pengiriman lama banget', 'pengiriman lama banget']",Lama Pengirimannya Banget
6,279,6_respon_slow_sesuai_sangat,"['respon', 'slow', 'sesuai', 'sangat', 'pengiriman', 'chat', 'sekali', 'lama', 'pelayanan', 'buruk']","['pengiriman sangat lama tidak sesuai yang tertera di aplikasi', 'pengiriman lambat tidak ada respon sama sekali', 'pengiriman lama slow respon pelayanan buruk']",Respon Slow Sesuai
7,432,7_jam_malam_00_sampai,"['jam', 'malam', '00', 'sampai', 'pesan', '10', '12', 'sore', 'belum', 'dari']","['pesan dari jam 7 pagi sampai jam 5 sore belum dikirim kirim', 'pengiriman nya lama saya mesen jam 7 malam sampai mau jam 10 malam belum sampai sampai', 'lama banget pesan jam 12 siang sampai jam 3 sore belum datang juga']",Jam Malam 00
8,317,8_diterima_barang_pesanan_dikirim,"['diterima', 'barang', 'pesanan', 'dikirim', 'belum', 'terima', 'status', 'sudah', 'hari', 'kirim']","['sudah 3x pesan barang belum dikirim tapi status pesanan diterima', 'pesanan tidak diantar padahal sudah bayar', 'pesanan tidak dikirim padahal sudah bayar lunas']",Diterima Barang Pesanan
