Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,17,-1_𝗇𝗒𝖺_𝚖𝚊𝚔𝚒𝚗_abal_aigi,"['𝗇𝗒𝖺', '𝚖𝚊𝚔𝚒𝚗', 'abal', 'aigi', 'anjjig', 'bosookkkk', 'burikkk', 'berhasik', 'bdsss', 'kemot']","['aplikasi bosookkkk masalah2 teros', '𝚙𝚊𝚛𝚊𝚑 𝚜𝚎𝚔𝚊𝚛𝚊𝚗𝚐 𝚖𝚊𝚔𝚒𝚗 𝚛𝚞𝚠𝚎𝚝 𝚖𝚊𝚜𝚊𝚔 𝚖𝚊𝚜𝚞𝚔𝚒𝚗 𝚎𝚖𝚊𝚒𝚕 𝚊𝚓𝚊 𝚜𝚞𝚍𝚊𝚑 𝚜𝚎𝚜𝚞𝚊𝚒 𝚔𝚎𝚝𝚎𝚛𝚊𝚗𝚐𝚊𝚗𝚗𝚢𝚊 𝚝𝚒𝚍𝚊𝚔 𝚟𝚊𝚕𝚒𝚍 𝚝𝚎𝚛𝚞𝚜 𝚊𝚙𝚕𝚒𝚔𝚊𝚜𝚒 𝚔𝚊𝚕𝚊𝚞 𝚍𝚒𝚙𝚎𝚛𝚋𝚊𝚒𝚔𝚒 𝚖𝚊𝚔𝚒𝚗 𝚋𝚊𝚐𝚞𝚜 𝚒𝚗𝚒 𝚔𝚎𝚖𝚞𝚗𝚍𝚞𝚛𝚊𝚗 𝚖𝚊𝚕𝚊𝚑𝚊𝚗', '𝖳𝗈𝗆𝖻𝗈𝗅 𝗉𝖾𝗇𝖼𝖺𝗋𝗂𝖺𝗇 𝗇𝗒𝖺 𝗌𝗎𝗌𝖺𝗁 𝗄𝖺𝗋𝗇𝖺 𝖺𝗉𝗅𝗂𝗄𝖺𝗌𝗂 𝗇𝗒𝖺 𝗀𝖼 𝗍𝖺𝗎 𝖺𝗉 𝗒𝗀 𝗆𝖺𝗎 𝗄𝗂𝗍𝖺 𝖼𝖺𝗋𝗂 𝗄𝗅𝗈 𝗉𝗇𝗎𝗅𝗂𝗌𝖺𝗇 𝗇𝗒𝖺 𝗌𝖺𝗅𝖺𝗁 1 𝗁𝗎𝗋𝗎𝗉 𝖺𝗓𝖺']",𝗇𝗒𝖺 𝚖𝚊𝚔𝚒𝚗 Abal
0,4936,0_jam_di_saya_tidak,"['jam', 'di', 'saya', 'tidak', 'sampai', 'yang', 'sudah', 'ada', 'tapi', 'pesan']","['untuk aplikasi sih oke sangat membantu yang kurang nya sih untuk pengiriman nya akhir ini pengiriman nya jadi lelet banget dengan alasan lonjakan transaksi itu tidak cuma sekali padahal pesan nya yang maksimal 1 jam setelah pengiriman tapi bisa sampai 2 jam lebih baru datang padahal kadang kalau lewat alfa motor pengiriman nya suka nganggur tapi tiap pesan suka lama dengan alasan yang selalu sama tidak tahu memang petugas nya yang ngaret atau memang benar lagi banyak pesanan oke cuma sesekali makin sini makin sering telat', 'ada pengiriman saya yang belum sampai tidak di kirim', 'ini makin hari makin lama ya mengirim nya masa saya pesan dari jam 7 sekarang sudah jam 10 30 belum juga sampai padahal saya pakai estimasi 1 jam setelah pembayaran bagaimana dong tolong ini di perbaiki']",Jam Di Saya
1,2489,1_bisa_akun_tiba_aplikasi,"['bisa', 'akun', 'tiba', 'aplikasi', 'tidak', 'kenapa', 'sudah', 'di', 'login', 'saya']","['kenapa saya tidak bisa login dengan alasan akun saya di tutup mohon buka kembali akun saya', 'ini kenapa aplikasi nya tidak bisa di buka', 'kenapa mau masuk aplikasi susah sekali padahal sudah daftar member di alfamart giliran memasuki akun di aplikasi alfagift tulisan nya nomor tidak terdaftar sudah pakai nomor member tetap tidak bisa']",Bisa Akun Tiba
2,709,2_daftar_susah_banget_mau,"['daftar', 'susah', 'banget', 'mau', 'aplikasi', 'lambat', 'jaringan', 'lancar', 'saja', 'padahal']","['mau daftar saja susah verifikasi gagal terus', 'susah sekali mau daftar masuk', 'susah banget mau masuk aplikasi nya saja']",Daftar Susah Banget
3,647,3_jelas_buruk_tidak_lelet,"['jelas', 'buruk', 'tidak', 'lelet', 'ribet', 'aplikasi', 'bagus', 'enggak', 'banget', 'lambat']","['jelas buruk', 'aplikasi tidak jelas', 'aplikasi tidak jelas']",Jelas Buruk Tidak
4,644,4_voucher_pin_pakai_bisa,"['voucher', 'pin', 'pakai', 'bisa', 'tidak', 'poin', 'sudah', 'gagal', 'bayar', 'pembayaran']","['semakin lama semakin di persulit buat potong poin membernya masak harus pakai pin bagaimana yang lupa pinnya mau reset pin nomor hp sama whatsapp nya dah tidak ada lagi jadi tidak bisa ganti pin jadi percuma pakai member tidak bisa di pakai poinnya', 'aplikasi yang sangat ribet ruwet mau claim potong poin saja harus buka aplikasi pakai pin dll malah enak yang dulu cuma pakai kartu no hp bisa langsung potong poin di kasir tanpa harus ini itu saya sudah beberapa kali mau potong poin kayak sulit begitu di toko alfamart barusan saya mau potong poin eeeh kasirnya bilang tidak bisa pak bisa nya dipakai besok kan saya bingung ini aplikasi bagaimana maksudnya ya sudah akhirnya saya pakai tunai saja punya poin tapi tidak bisa digunakan ribet', 'aplikasi apa ini orang belum lagi melakukan pembayaran yang kurang menggunakan voucher sudah hangus saja voucher nya ya rugi saya kalau sekali pakai tidak bisa kembali voucher nya lumayan loh ada 175rb voucher masa tidak bisa balik lagi voucher nya']",Voucher Pin Pakai
5,422,5_struk_metode_pembayaran_kode,"['struk', 'metode', 'pembayaran', 'kode', 'otp', 'masuk', 'tidak', 'belanja', 'bisa', 'aplikasi']","['struk belanja sering tidak masuk ke aplikasi', 'struk belanja sering tidak masuk di aplikasi', 'tidak bisa lihat struk pembayaran setelah beberapa hari struk baru masuk']",Struk Metode Pembayaran
6,405,6_lama_banget_pengirimannya_loading,"['lama', 'banget', 'pengirimannya', 'loading', 'pengiriman', 'nya', 'ngirimnya', 'di', 'sekali', 'tidak']","['pengiriman lama banget', 'pengiriman lama banget', 'lama banget']",Lama Banget Pengirimannya
7,393,7_respon_pesanan_tidak_slow,"['respon', 'pesanan', 'tidak', 'slow', 'pengiriman', 'sesuai', 'sangat', 'lama', 'chat', 'ada']","['pengiriman lambat tidak ada respon sama sekali', 'slow respon pesanan lama dikirim', 'pengiriman lama slow respon pelayanan buruk']",Respon Pesanan Tidak
8,369,8_dibuka_buka_bisa_aplikasi,"['dibuka', 'buka', 'bisa', 'aplikasi', 'android', 'tidak', 'di', '15', 'aplikasinya', 'pixel']","['aplikasi tidak bisa di buka', 'aplikasi tidak bisa di buka', 'aplikasi tidak bisa di buka']",Dibuka Buka Bisa
9,304,9_pengiriman_lama_terlalu_sangat,"['pengiriman', 'lama', 'terlalu', 'sangat', 'lambat', 'tidak', 'dan', 'dari', 'respon', 'nya']","['pengiriman lama', 'pengiriman lama', 'pengiriman lama']",Pengiriman Lama Terlalu
10,254,10_mulu_eror_sering_gangguan,"['mulu', 'eror', 'sering', 'gangguan', 'error', 'keluar', 'terus', 'sendiri', 'aplikasi', 'update']","['eror mulu', 'aplikasi eror mulu', 'eror mulu keluar dari aplikasi terus']",Mulu Eror Sering
11,248,11_bisa_daftar_login_tidak,"['bisa', 'daftar', 'login', 'tidak', 'aplikasi', 'log', 'lokasi', 'alamat', 'buka', 'di']","['tidak bisa daftar', 'tidak bisa daftar', 'tidak bisa daftar']",Bisa Daftar Login
12,242,12_cod_ongkir_minimal_gratis,"['cod', 'ongkir', 'minimal', 'gratis', 'belanja', '50', 'harus', '50rb', 'ada', 'ongkirnya']","['kata nya bebas ongkir tanpa syarat saat pilih pembayaran cod minimal belanja 50k di pintu masuk alfamart banyak banget sologan gratis ongkir tanpa syarat', 'saya pelanggan setia karena bebas ongkir tanpa minimum pembelian tapi sekarang sudah ada ongkir saya jadi mls belanja disini padahal yang di cari itu gratis ongkir tolong kembalikan gratis ongkir', 'kenapa sekarang kalau mau cod minimal belanja 50rb']",Cod Ongkir Minimal
13,209,13_guna_aplikasi_membantu_sangat,"['guna', 'aplikasi', 'membantu', 'sangat', 'tidak', 'lambat', 'penipu', 'sampah', 'error', 'ada']","['aplikasi tidak guna', 'aplikasi tidak guna', 'aplikasi tidak guna']",Guna Aplikasi Membantu
14,201,14_poin_tukar_masuk_tidak,"['poin', 'tukar', 'masuk', 'tidak', 'bisa', 'point', 'sudah', 'di', 'aplikasi', 'belanja']","['tidak bisa tukar poin percuma', 'kenapa poin tidak pernah bisa di tukar ya', 'poin tidak jelas poin tidak masuk masuk']",Poin Tukar Masuk
15,199,15_pelayanan_buruk_sangat_customer,"['pelayanan', 'buruk', 'sangat', 'customer', 'tidak', 'kurang', 'nya', 'di', 'baik', 'service']","['pelayanan buruk', 'pelayanan sangat buruk', 'pelayanan sangat buruk']",Pelayanan Buruk Sangat
16,160,16_alamat_tercover_lokasi_tidak,"['alamat', 'tercover', 'lokasi', 'tidak', 'bisa', 'saya', 'padahal', 'terjangkau', 'rumah', 'terdekat']","['sudah tidak bisa belanja lagi alamat selalu tidak tercover', 'alamat tidak tercover', 'tidak bisa buat alamat alamat tidak tercover']",Alamat Tercover Lokasi
17,158,17_rokok_beli_kosong_jual,"['rokok', 'beli', 'kosong', 'jual', 'bisa', 'ada', 'tidak', 'promo', 'semua', 'mau']","['pesan rokok tidak bisa', 'rokok enggak ada', 'enggak bisa beli rokok']",Rokok Beli Kosong
18,149,18_enggak_kagak_bisa_login,"['enggak', 'kagak', 'bisa', 'login', 'lokasi', 'aplikasi', 'susah', 'nya', 'di', 'alamat']","['enggak bisa login', 'enggak bisa login', 'enggak jelas enggak bisa login']",Enggak Kagak Bisa
19,120,19_galon_tebus_murah_kosong,"['galon', 'tebus', 'murah', 'kosong', 'isi', 'aqua', 'air', 'stok', 'yang', 'stock']","['kenapa produk tebus murah selalu stok kosong tidak niat kasih promo atau bagaimana', 'tebus murah kebanyakan stock kosong buat apa ada promo tebus murah kalau begitu', 'bisa tebus murah tapi stok kosong semua buat apa']",Galon Tebus Murah
20,106,20_harga_sesuai_beda_dengan,"['harga', 'sesuai', 'beda', 'dengan', 'di', 'sama', 'yang', 'toko', 'kasir', 'barang']","['sekarang harga di aplikasi sudah tidak sama dengan harga saat cowok saat langsung ke toko juga harga beda', 'harga tidak sesuai dengan aplikasi', 'harga aplikasi tidak sesuai harga toko']",Harga Sesuai Beda
21,105,21_fitur_tambahkan_salah_cancel,"['fitur', 'tambahkan', 'salah', 'cancel', 'pesanan', 'tolong', 'batalkan', 'pembatalan', 'alamat', 'yang']","['tidak ada fitur batalkan pesanan pesanan tidak juga tiba di rumah saya lama banget', 'tolong tambahkan fitur cancel pesanan karena saya telpon ke tokonya tidak bisa di cancel saya melaporkan ini karena saya beli bareng terus alamatnya salah dan tidak bisa di cancel', 'tambahkan fitur batalkan pesanan']",Fitur Tambahkan Salah
22,84,22_promo_cashback_niat_usah,"['promo', 'cashback', 'niat', 'usah', 'buat', 'indomaret', 'tidak', 'kalau', 'beda', 'kasih']","['cashback tidak masuk niat buat promo kagak', 'kalau tidak niat kasih promo tidak usah promo saja', 'tidak niat buat promo coba enggak usah buat promo']",Promo Cashback Niat
23,77,23_gambar_muncul_produk_tidak,"['gambar', 'muncul', 'produk', 'tidak', 'semua', 'gambarnya', 'aplikasi', 'hilang', 'ada', 'terlihat']","['gambar tidak muncul', 'gambar tidak muncul', 'tidak muncul gambar di aplikasi']",Gambar Muncul Produk
24,67,24_top_up_topup_ewallet,"['top', 'up', 'topup', 'ewallet', 'ewalet', 'dana', 'mau', 'muter', 'ribu', 'cuma']","['mau top up susah', 'top up dana sudah tidak bisa lagi', 'buat top up ewallet tidak bisa']",Top Up Topup
25,60,25_pengembalian_dana_lama_proses,"['pengembalian', 'dana', 'lama', 'proses', 'sangat', 'ribet', 'refund', 'uang', 'menyusahkan', 'toko']","['pengembalian dana sangat lama', 'pengembalian dana lama', 'proses pengembalian dana sangat lama']",Pengembalian Dana Lama
26,34,26_parkir_kang_oknum_tukang,"['parkir', 'kang', 'oknum', 'tukang', 'alfamart', 'liar', 'membatalkan', 'ada', 'dikirimkan', 'pegawai']","['halo alfamart saya sebagai konsumen merasa tidak nyaman dengan adanya parkir padahal ada tulisan gratis parkir tolong di pantau parkir liar di mana mana', 'banyak tukang parkir di alfamart', 'menulis parkir gratis itu yang benar tulis yang gede parkir gratis untuk mobil motor pelanggan alfamart usir kang parkir kalau mau rame barangmu itu sudah mahal masih ditumpangin kang parkir']",Parkir Kang Oknum
27,23,27_alfagift_pelayanan_gift_lambat,"['alfagift', 'pelayanan', 'gift', 'lambat', 'alfa', 'ibformatif', 'dilama2in', 'atitunya', 'tersendat', 'perintis']","['pelayanan alfa gift bad tidak respon perintis kemerdekaan', 'pelayanan alfagift online buruk', 'pelayanan alfagift di outlet jalan jensud sukoharjo kurang ramah ke pelanggan tolong ditindak segera']",Alfagift Pelayanan Gift
28,13,28_aya_ra_ecreg_iki,"['aya', 'ra', 'ecreg', 'iki', 'udud', 'dewe', 'cik', 'wes', 'opo', 'can']","['ya 0k lah kalau begitu tapi sygnya di blanjani ra ngajeni mosok blonjo okeh wadahe modal dewe gowo dewe', 'nyien aplikasi sing ecreg ker mah urang neangan barang eta tulisan kudu benar cik atuh diupgrade teh jadi lewih baleg lain kalah beki t ecreg', 'ngene lur kulo iki pengin udud cobo tumbas teng aplikasi iki produk udud boten wenten pengin sebat jadi sambat luuurrr']",Aya Ra Ecreg
