topic_id,topic_name,sentiment,business_category,sub_issue,merge_group,review_count,percentage,average_score,total_thumbs_up,top_keywords,sample_reviews
0,Jam Yang Pengiriman,netral,Layanan Pengiriman,Keterlambatan pengiriman dan kurangnya notifikasi kurir,DELIVERY_ISSUE,443,21.18,3.0,1207,"jam, yang, pengiriman, sampai, ada, tapi, tidak, di, sudah, saya","Tolong update aplikasi, dan sediakan fitur chat tokonya, pilih pengiriman 1 jam tp diaplikasi stuck dalam proses dan ga tau/update klo udh dikirim, kurir juga tidak konfirm sudah dititip. Jd saya harus ambil paket besoknya lagi. Dan terlanjur ajukan kembalikan dana | happy bgt belanja di alfagift pas waktu gada motor bisa dianter kerumah, tp sgt disayangkan waktu pengiriman mungkin bisa di evaluasi lagi yaa, aku pesen maksimal 1jam setelah pembayaran dr jam 8 pagi sampe jam 1 siang ga dikirim-kirim, pernah juga udah pesen nunggu lama ternyata barangnya di geletakin aja tanpa ada chat wa/tlp/manggil padahal ada dirumah, saya sbg customer paham ko anter yg deket dulu, tp semoga bs di perbaiki lg kedepannya ya | Maaf kenapa ya sekarang klo pembayaran nontunai selalu di taruh depan pintu gitu aja padahal udah minta tolong buat ketuk pintu?Kadang ada produk beku atau yng gampang cair/basi jadi ngga kemakan dengan alasan pengiriman buru².Dan juga pengiriman kadang lama, pesen pagi dikirim sore/malem dengan pilihan maks 1 jam setelah pembayaran. Udah pakai alfagift bertahun² skrng pengiriman mulai bobrok. Tolong diperbaiki lagi min sistemnya, udah banyak yang complain perihal sistem pengiriman. Terimakasih."
1,Belanja Di Tidak,netral,Manajemen Akun dan Transaksi,Struk belanja dan poin tidak masuk ke aplikasi,TRANSACTION_SYNC_ERROR,354,16.92,3.0,1837,"belanja, di, tidak, yang, alfagift, masuk, nya, voucher, ada, saya","Sebel deh sehari 4x belanja tp poin udah 1x24 jam gak masuk, struk di alfagift gak masuk.pas di scan si ada tertera nama nya katanya, tp gak masuk struk ke aplikasi dan poin juga gak bertambah emmmm | 1. Saya setiap belanja di Alfamart struk belanjaan kok tidak pernah masuk di Alfagift ya , padahal saya sudah member. Saya jadi tidak bisa cek di aplikasi Alfagift nya ini. 2. Saya tiap mau beli produk di Alfagift stoknya selalu kosong terus (nabati kaleng) , tapi pas Dateng ke Alfamart barangnya ready banyak, jadi maksudnya gimana sih. Solusinya gimana ya, kedepannya tolong diperhatikan lebih baik lagi supaya pelanggan tidak kecewa. | Kenapa gak bisa cek riwayat transaksi?? Padahal dh sering belanja di alfa.gk dpt struk katanya msuk Alfagift.tp GK bs cek. Utk stamp juga udh sesuai syarat tp beberapa kali GK masuk."
2,Kenapa Bisa Buka,netral,Stabilitas Aplikasi,Aplikasi tidak dapat dibuka atau diakses,APP_CRASH,288,13.77,3.0,69,"kenapa, bisa, buka, tidak, aplikasi, ya, saya, hp, di, dibuka","Kenapa aplikasi ku gk bisa d buka merah doang gk bisa blnja udah 5hari mohon bantuan nya dong | Bintang 3 dulu kok gk bsa d buka aplikasinya ya kenapa info donk | Kakak kenapa app nya gak bisa di buka terus ,,gak bisa masuk ,,,"
3,Sudah Bisa Aplikasi,netral,Manajemen Akun dan Transaksi,Kendala login dan error saat proses checkout,LOGIN_ERROR,264,12.62,3.0,1330,"sudah, bisa, aplikasi, login, lagi, tidak, padahal, ini, terus, di","Pas awal bagus pake aplikasi ini, tapi tiba tiba log out sendiri terus pas mau masuk lagi ga bisa salah password terus udh di reset paswordnya juga beberapa kali tetep ga bisa masuk password salah terus, kenapa ya ??? Padahal Apoint nya udh lumayan...tolong di bantu ya .. | Aplikasi eror kali iyh biasa beli di alfagif ini udh nggk bisa digunakan kalo mau cek out di pembayannya lama bngt nggk muncul2 | Setelah di instal ulang kok mau pesen jadi gak bisa yah? Aplikasi dalam masalah periksa koneksi lagi, gitu terus tulisannya . Padahal jaringan lancar"
4,Kosong Gambar Produk,netral,Antarmuka Pengguna,Gambar produk tidak muncul di katalog,UI_BUG,97,4.64,3.0,73,"kosong, gambar, produk, stok, muncul, galon, tidak, stock, kenapa, gambarnya","kenapa gambar produknya gak muncul ya? mau belanja jadi gak bisa milih2. | maaf kenapa ya udah 3 hari gak muncul gambar produk yg kita cari... mau belanja jadi gak jadi, soalnya gak keliatan gambarnya | Tolong dong setelah update kok Nge bug! setiap mau belanja pas pencarian gambar produk nya g ada ."
5,Ok Bagus Good,netral,Kepuasan Pelanggan,Ulasan positif mengenai performa aplikasi,POSITIVE_FEEDBACK,76,3.63,3.0,68,"ok, bagus, good, mantap, lumayan, baik, mantul, pelayanan, cuma, membaca",bagus | bagus | bagus
6,Top Up Struk,netral,Manajemen Akun dan Transaksi,Riwayat pesanan dan e-struk tidak terlihat,TRANSACTION_SYNC_ERROR,56,2.68,3.0,342,"top, up, struk, riwayat, wallet, stamp, lihat, tidak, di, masuk","Semenjak di perbaharui jadi bingung cari riwayat pesenan yang sudah selesai . setiap belanja langsung ke toko dan pake member struk selalu masuk alfagift , sedangkan dicari riwayat nya gak tertera di apk 😪 mohon bantuannya | Setelah upgrade kenapa ga bisa liat riwayat pesanan ya...ga bisa liat e-struk | Kenapa setelah di perbarui struk belanjanya gak muncul yaaa kak?"
7,Bintang Kasih Update,netral,Stabilitas Aplikasi,Performa aplikasi lambat dan kendala fitur chat,PERFORMANCE_BUG,53,2.53,3.0,25,"bintang, kasih, update, malah, bagus, suka, kalau, dulu, tambah, bug","App nya bagus cuman kalau chat suka ga ke kriim alias gagal mulu | aplikasinya bagus banyak diskon juga cuman kenapa kadang suka ngleag? terus juga susah buat buka aplikasinya | Setelah d update ke versi baru, jadi susah lihat struk pembelian, loading y juga lama pas buka aplikasi"
8,Banget Download Lambat,netral,Stabilitas Aplikasi,Aplikasi berjalan lambat dan sering meminta update,PERFORMANCE_BUG,48,2.29,3.0,6,"banget, download, lambat, parah, nya, masuk, update, point, aplikasi, kadang",App nya lemott bgt | Lemot bgt aplikasi nya | aplikasi mnt update muluk. lemot bgt tiap di buka ampun deh
9,Pengiriman Lama Banget,netral,Layanan Pengiriman,Keluhan durasi pengiriman yang sangat lama,DELIVERY_ISSUE,45,2.15,3.0,4,"pengiriman, lama, banget, penundaan, sering, promosi, sebelah, kalah, harga, lengkap",pengiriman lama banget | PENGIRIMAN NYA LAMAAAAAA | lama banget pengirimannya:(
