Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,2,-1_23r_222_egefe⁴er_lumayaannn,"['23r', '222', 'egefe⁴er', 'lumayaannn', 'ee⁴3r', '3éy', '', '', '', '']","['lumayaannn', '2 egefe⁴er 23r ee⁴3r 3éy 222 5']",23R 222 Egefe⁴Er
0,443,0_jam_yang_pengiriman_sampai,"['jam', 'yang', 'pengiriman', 'sampai', 'ada', 'tapi', 'tidak', 'di', 'sudah', 'saya']","['kecewa sama alfa gift ini saya kirim pemesanan 1jam sesudah pembayaran tapi waktu pertama kali dia lama sekali saya sampai tunggu 2 5jam kata nya ada kendala dalam pengiriman yang meludak terus hp nya lupa ke cas terus ini tadi barusan saya pesan dari jam 1 2 3 sore kurang baru sampai 1 2 8 dengan alasan lampu mati dari pagi jam 8 sampai jaringan nya juga kena tapi di chat nya online saya mau batal kan pengiriman nya tapi kata nya tidak bisa terus tiba-tiba kata nya kurir nya sudah di jalan kan aneh', 'kok pelayanan alfagift sekarang menurun banget ya dulu awal-awal ada alfagift pesanan segera diantarkan sampai ke rumah sekarang yang padahal ada pilihan waktu pengiriman lamaaa sekali pesanan saya baru sampai saya pilih waktu pengiriman 1 jam setelah pembayaran tapi datangnya sering lebih dari 1 jam dan pihak toko tidak ada permintaan maaf atas keterlambatan kecewa banget sih dengan penurunan pelayanan ini', 'kenapa di sidoarjo pengiriman nya selalu lama ya bahkan bisa lebih dari 1 jam beda banget sama di surabaya meskipun tulisannya pengiriman 1 jam setelah pembayaran tidak sampai 1 jam sudah di anter sama kurirnya di perbaiki lagi dong kalau bisa jangan lama lah masak lebih dari 1 jam']",Jam Yang Pengiriman
1,354,1_belanja_di_tidak_yang,"['belanja', 'di', 'tidak', 'yang', 'alfagift', 'masuk', 'nya', 'voucher', 'ada', 'saya']","['sejauh ini pakai aplikasi ini sangan membantu apalagi gratis ongkir tapi saya kasih bintang 3 dulu karena masih ada beberapa hal yang perlu diperbaiki 1 setelah barang sampai tolong untuk konfirmasi pesanannya langsung muncul supaya kurirnya tidak 2x datang kan kasihan 2 kalau produk kosong atau expired cepat di update di aplikasinya jangan sampai sudah pesan tapi ternyata kosong 3 setiap belanja saya tidak pernah bisa pakai voucher potongan harga tulisannya selalu tidak dapat digunakan', '1 saya setiap belanja di alfamart struk belanjaan kok tidak pernah masuk di alfagift ya padahal saya sudah member saya jadi tidak bisa cek di aplikasi alfagift nya ini 2 saya tiap mau beli produk di alfagift stoknya selalu kosong terus nabati kaleng tapi saat datang ke alfamart barangnya ready banyak jadi maksudnya bagaimana sih solusinya bagaimana ya kedepannya tolong diperhatikan lebih baik lagi supaya pelanggan tidak kecewa', 'aplikasi nya bagus sih cuma kalau belanja di toko langsung dan input no member struk belanja nya tidak langsung masuk ya perlu beberapa hari baru masuk itu struk belanja kalau ada kesalahan harga jadi biar tidak bisa complain ya']",Belanja Di Tidak
2,288,2_kenapa_bisa_buka_tidak,"['kenapa', 'bisa', 'buka', 'tidak', 'aplikasi', 'ya', 'saya', 'hp', 'di', 'dibuka']","['kenapa ya setiap saya baru buka aplikasi ini selalu keluar otomatis apakah dari hp saya nya atau aplikasi nya ya', 'kenapa tidak bisa di buka ya padahal sudah di update', 'kenapa aplikasi saya tidak bisa di buka']",Kenapa Bisa Buka
3,264,3_sudah_bisa_aplikasi_login,"['sudah', 'bisa', 'aplikasi', 'login', 'lagi', 'tidak', 'padahal', 'ini', 'terus', 'di']","['kenapasih padahal aku suka belanja lewat alfagift tapi ini tiba tiba tidak bisa masuk ada tulisan sesi login selesai saat masuk lagi malah ada keterangan akun ini sudah login di perangkat lain padahal cuma login pakai hp ini tolong dong dibantu', 'saat awal bagus pakai aplikasi ini tapi tiba tiba log out sendiri terus saat mau masuk lagi tidak bisa salah password terus sudah di reset paswordnya juga beberapa kali tetap tidak bisa masuk password salah terus kenapa ya padahal apoint nya sudah lumayan tolong di bantu ya', 'kenapa ya aplikasi alfagif saya sih sering banget keluar sendiri dari aplikasi nya terus saat mau masuk lagi ke aplikasi malah sruh msukin email nya lagi saat saya coba tetap saja tidak bisa masuk malah login gagal terus padahal sering saya apgret dan pernah saya pakai blanja juga aplikasi nya tapi kok bisa sering keluar sendiri ya aneh banget sih']",Sudah Bisa Aplikasi
4,97,4_kosong_gambar_produk_stok,"['kosong', 'gambar', 'produk', 'stok', 'muncul', 'galon', 'tidak', 'stock', 'kenapa', 'gambarnya']","['kenapa tidak ada gambar produk ya', 'kenapa tidak muncul gambar produk nya', 'kenapa gambar produk tidak muncul ya']",Kosong Gambar Produk
5,76,5_ok_bagus_good_mantap,"['ok', 'bagus', 'good', 'mantap', 'lumayan', 'baik', 'mantul', 'pelayanan', 'cuma', 'membaca']","['ok', 'ok', 'ok']",Ok Bagus Good
6,56,6_top_up_struk_riwayat,"['top', 'up', 'struk', 'riwayat', 'wallet', 'stamp', 'lihat', 'tidak', 'di', 'masuk']","['menu top up e wallet sudah tidak ada ya', 'perbaiki lagi untuk top up e wallet tidak dapat top up dengan lancar ketika membuka halaman top up wallet tidak terbuka hanya gambar loading saja padahal sinyal saya bagus sudah pakai wifi juga tetap sama', 'kenapa ya dengan aplikasinya awal download saya mau top up e wallet mudah tapi sekarang malah enggak bisa top up']",Top Up Struk
7,53,7_bintang_kasih_update_malah,"['bintang', 'kasih', 'update', 'malah', 'bagus', 'suka', 'kalau', 'dulu', 'tambah', 'bug']","['aplikasi nya bagus dan membantu tapi sekarang tak selengkap dulu jadi nya ku kasih bintang 3 deh', 'aplikasi ini membantu kalau lagi malas keluar kenapa aku kasih bintang 3 karena suka salah alamat', 'mau kasih bintang berapa ini soalnya barang yang sih cari tidak ada di etalase semua kosong terutama makanan beku naget fiesta dsbnya jadi bingung mau kasih bintang berapa maaf saya kasih 3_ bintang dulu ya kalau nanti di etalase sudah bisa di lengkapi saya janji akan kasih tambah bintangnya saya kasih 3 bintang ini karena saya sudah 2x pesan disini dan itu respon bagus dan pelayanan juga bagu terutama pengantarnya juga ramah sudah bagus semuanya cuman kekuaranganya stok di etalase kson']",Bintang Kasih Update
8,48,8_banget_download_lambat_parah,"['banget', 'download', 'lambat', 'parah', 'nya', 'masuk', 'update', 'point', 'aplikasi', 'kadang']","['parah banget nih aplikasi setiap belanja banyak poin gaaprnh masuk giliran belanja sdikit poin baru masuk itu saja lama banget harus menunggu beberapa hari laporan saya gprnah di tnggapin lagi banyak masalah kalau sama nih toko tidak seperti toko sebelah wkwk', 'lambat banget aplikasi nya', 'dari 2019 jadi member alfa mau daftar aplikasi alfa susah banget dari dulu download hapus begitu terus sudah daftar soalnya pengin begitu belanja tinggal klik diantar baru ini download lagi susaahh banget daftar nya sudah 4hari download 4hari juga tidak bisa bisa daftar sehari max 3 hari req otp sudah mencoba 12 kali loh server troble terus notifnya padahal tinggal memasuki sandiiii tolooonggggg']",Banget Download Lambat
