topic_id,topic_name,sentiment,business_category,sub_issue,merge_group,review_count,percentage,average_score,total_thumbs_up,top_keywords,sample_reviews
0,Belanja Berbelanja Untuk,positif,Pengalaman Pengguna,Kemudahan berbelanja online melalui aplikasi,USER_EXPERIENCE,12432,16.0,4.99,2343,"belanja, berbelanja, untuk, memudahkan, sangat, aplikasi, rumah, membantu, mudah, online","Aplikasi sangat membantu untuk belanja via online | sangat memudahkan, untuk belanja online | sangat memudahkan untuk belanja online"
1,Terbaik Bagus Good,positif,Kepuasan Pengguna,Ulasan positif umum terhadap aplikasi,GENERAL_FEEDBACK,12369,15.92,4.98,695,"terbaik, bagus, good, baik, aplikasi, ok, keren, best, the, oke",bagus | Bagus | Bagus
2,Pengiriman Cepat Lengkap,positif,Layanan Pengiriman dan Promo,Kecepatan pengiriman dan ketersediaan promo,DELIVERY_PROMO,12261,15.78,4.99,3687,"pengiriman, cepat, lengkap, banyak, promo, dan, ongkir, gratis, ramah, barang","Pengiriman cepat,banyak diskon | banyak diskon pengiriman cepat | Pengiriman nya cepat dan promo lengkap"
3,Alfagift Di Belanja,positif,Kepuasan Pengguna,Kepuasan menyeluruh terhadap layanan dan promo,GENERAL_FEEDBACK,10474,13.48,4.99,6446,"alfagift, di, belanja, banyak, dan, banget, yang, gratis, aku, promo","Aplikasi mantap, pengiriman cepat, Happy banget belanja di Alfagift, banyak promonya | Aplikasi yang bermanfaat, pengiriman cepat, barang lengkap, banyak promonya jugaa, Free ongkirrrrr lagii🔥 Happy banget belanja di ALFAGIFT🫶🏻👍🏻 | Aplikasi sangat membantu👍 pengiriman cepat,Barang lengkap, banyak promo. Happy bgt belanja di alfagift"
4,Sangat Membantu Bermanfaat,positif,Pengalaman Pengguna,Aplikasi sangat membantu aktivitas belanja,USER_EXPERIENCE,6539,8.41,4.99,387,"sangat, membantu, bermanfaat, aplikasi, bagus, aplikasinya, sekali, memuaskan, yang, berguna",aplikasi sangat membantu | Apk sangat membantu ❣👍👍 | Aplikasi sangat membantu
5,Mantap Banget Biasa,positif,Kepuasan Pengguna,Ulasan positif singkat,GENERAL_FEEDBACK,5573,7.17,4.99,280,"mantap, banget, biasa, luar, sekali, keren, bagus, mantab, mantul, josss",Mantap. | Mantap | mantap
6,Promo Banyak Lengkap,positif,Layanan Pengiriman dan Promo,Ketersediaan dan variasi promo menarik,DELIVERY_PROMO,4038,5.2,4.99,210,"promo, banyak, lengkap, promonya, menarik, nya, murah, mantap, dan, harga",Banyak promo nya | Banyak promo nya | banyak promo nya
7,Tidak Tapi Sudah,positif,Masalah Teknis dan Layanan,"Kendala login, bug aplikasi, dan keluhan layanan",TECHNICAL_ISSUE,2355,3.03,4.59,7990,"tidak, tapi, sudah, tolong, di, saya, ada, bisa, kenapa, ya","Kenapa yaa akun alfagift saya sering ada notif syarat&ketentuan tapi terus loading aja gk kebuka di kembaliin biar di lewat dulu gk bisa jdi susah mau belanja lewat alfagift 🤦🏼‍♀️🤦🏼‍♀️ | Sebenarnya aplikasi nya bagus.. tapi kalau ganti hp kenapa alfagift nya gak bisa login? Tiap login gagal terus.. sudah tanyain ke Alfamart terdekat tapi tetap gagal..😭😭 | Sangat membantu,, tpi maaf saya ngga suka kalo yg anter pesanan nya suka ganti"" org karena risih suka telpon/wa trs"" an. Sangat menganggu. Dan tolong di apk alfagif adain rokok, awal"" mh bisa beli roko lewat alfagift ehh skrg"" gabisa 😏"
8,Mudah Digunakan Gunakan,positif,Pengalaman Pengguna,Kemudahan penggunaan antarmuka aplikasi,USER_EXPERIENCE,2114,2.72,4.99,719,"mudah, digunakan, gunakan, dan, pembayaran, praktis, akses, di, aplikasi, sangat","aplikasinya sangat rekomendasi dan mudah | Aplikasinya bagus, mudah digunakan | aplikasinya mantap,,mudah digunakan"
9,Ramah Pelayanan Personil,positif,Layanan Pelanggan,Kualitas pelayanan staf toko yang ramah,CUSTOMER_SERVICE,1467,1.89,4.99,253,"ramah, pelayanan, personil, toko, pelayanannya, baik, ganteng, nya, cepat, dan",Pelayanan toko ramah | Pelayanan nya ramah | pelayananya ramah
