Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,157,-1_ajib_bagsu_iso_okokok,"['ajib', 'bagsu', 'iso', 'okokok', 'peri', 'uno', 'numero', 'mantapnyooo', 'melu', 'mantulity']","['aplikasi yang sangat membantu ketika mager keluar rumah barang langsung diantar kerumah gratis ongkir banyak promo juga', 'pengiriman cepat barang lengkap banyak promo gratis ongkir tanpa minimal belanja', 'kurir ramah banyak promo belanja cepat tidak perlu keluar rumah']",Ajib Bagsu Iso
0,2168,0_mantap_kakak_kakaaa_culay,"['mantap', 'kakak', 'kakaaa', 'culay', 'ciamik', 'mantapnya', 'iskal', 'jempol', 'dua', 'apl']","['mantap', 'mantap', 'mantap']",Mantap Kakak Kakaaa
1,2125,1_kenapa_tolong_padahal_tapi,"['kenapa', 'tolong', 'padahal', 'tapi', 'masuk', 'kok', 'mohon', 'kadang', 'malah', 'bagaimana']","['bagus tapi kenapa sekarang tidak bisa di buka', 'kenapa saya tidak bisa buka aplikasinya ya', 'kenapa aplikasinya tidak bisa di buka']",Kenapa Tolong Padahal
2,1909,2_pengiriman_cepat_cepatpengiriman_baenagnya,"['pengiriman', 'cepat', 'cepatpengiriman', 'baenagnya', 'ushdudj', 'thkyu', 'horaaas', 'chen', 'maksimalll', 'mantafffppp']","['pengiriman cepat', 'pengiriman cepat', 'pengiriman cepat']",Pengiriman Cepat Cepatpengiriman
3,1027,3_support_paten_lanjut_amanahan,"['support', 'paten', 'lanjut', 'amanahan', 'pul', 'complite', 'dedi', 'meuaskan', 'haj', 'kf']","['pul', 'haj', 'paten']",Support Paten Lanjut
4,1189,4_kaum_malas_mager_mageran,"['kaum', 'malas', 'mager', 'mageran', 'rebahan', 'bagi', 'keluar', 'orang', 'disaat', 'ketika']","['sangat membantu buat kaum rebahan', 'sangat membantu buat kaum rebahan', 'sangat membantu bagi kaum mageran']",Kaum Malas Mager
5,702,5_gunakan_digunakan_diakses_akses,"['gunakan', 'digunakan', 'diakses', 'akses', 'menarik', 'aplikasinya', 'banyak', 'promonya', 'dalamnya', 'promo']","['bagus banyak banget promo nya mudah di gunakan', 'banyak promo dan aplikasi mudah di gunakan', 'aplikasi ini sangat bagus banyak promo yang menarik dan mudah digunakan']",Gunakan Digunakan Diakses
6,836,6_program_untung_tebus_spesial,"['program', 'untung', 'tebus', 'spesial', 'aku', 'bintang', 'cashback', 'semoga', 'harapan', 'kedepannya']","['aku kasih bintang 5 untuk aplikasi alfagift karena belanja untung dengan program harga spesial dan tebus murah di alfagift semua kebutuhan rumah tangga tersedia di alfagift lho apalagi ada program harga spesial di alfagift murah banget belum lagi ada tebus murah dan cashback makin sering pesan terus mulai dari kebutuhan anak makanan bahan dapur dll ada juga voucher potongan sangat untung aku berharap makin banyak lagi diskon gratis produk bebas belanja untung terus kedepannya', 'aku kasih bintang 5 untuk aplikasi alfagift karena belanja untung dengan program harga special gratis produk di alfagift aku belanja beberapa produk kebutuhan rumah tangga melalui alfagift dengan program harga special gratis produk promonya sangat menguntungkan sekali aku dapat gratis produk beli 3 gratis 1 dengan harga yang sangat terjangkau semoga kedepannya semakin bertambah ya program promo di alfagift yang sangat menguntungkan pembeli bebas belanja untung terus hanya di alfagift', 'aku kasih bintang 5 untuk aplikasi alfagift karena belanja untung dengan program harga spesial gratis produk di alfagift senang banget karena kemarin saya beli kecap di aplikasi alfagift dapat promo harga spesial murah banget dari dari harga biasanya saya juga beli deterjen cair di alfagift dapat promo gratis produk jadi beli 1 gratis 1 deh harapan saya untuk alfagift semoga alfagift semakin sukses juga semakin di tambah lagi promo promo nya supaya bebas belanja untung terus kedepannya']",Program Untung Tebus
7,493,7_keren_kop_derr_mantabsssss,"['keren', 'kop', 'derr', 'mantabsssss', 'pngirimannnya', 'mmmm', 'abiezz', 'nyoooo', 'patennn', 'sih']","['keren', 'keren', 'keren']",Keren Kop Derr
8,460,8_lebih_discount_hemat_jadi,"['lebih', 'discount', 'hemat', 'jadi', 'banyak', 'mudah', 'promonya', 'menarik', 'diskon', 'belanjanya']","['belanja lebih mudah dan banyak promo yang menarik', 'banyak promo belanja jadi lebih mudah', 'banyak promo belanja lebih mudah']",Lebih Discount Hemat
