Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,157,-1_ajib_bagsu_iso_okokok,"['ajib', 'bagsu', 'iso', 'okokok', 'peri', 'uno', 'numero', 'mantapnyooo', 'melu', 'mantulity']","['numero uno', 'numero uno italiano', 'gaskan menyalaabangku fyp alfamartprojakalub84 gasikt pejuangrupiah karyawansetengahultramen kasircantikalfamart']",Ajib Bagsu Iso
0,12432,0_belanja_berbelanja_untuk_memudahkan,"['belanja', 'berbelanja', 'untuk', 'memudahkan', 'sangat', 'aplikasi', 'rumah', 'membantu', 'mudah', 'online']","['aplikasi yang sangat membantu saya untuk memudahkan belanja di alfamart', 'aplikasi yang sangat membantu untuk berbelanja kebutuhan', 'aplikasi yang sangat membantu dan memudahkan dalam berbelanja']",Belanja Berbelanja Untuk
1,12369,1_terbaik_bagus_good_baik,"['terbaik', 'bagus', 'good', 'baik', 'aplikasi', 'ok', 'keren', 'best', 'the', 'oke']","['aplikasi terbaik', 'aplikasi terbaik', 'aplikasi terbaik']",Terbaik Bagus Good
2,12261,2_pengiriman_cepat_lengkap_banyak,"['pengiriman', 'cepat', 'lengkap', 'banyak', 'promo', 'dan', 'ongkir', 'gratis', 'ramah', 'barang']","['banyak promo dan pengiriman cepat', 'banyak promo dan pengiriman cepat', 'pengiriman cepat dan lengkap banyak promo']",Pengiriman Cepat Lengkap
3,10474,3_alfagift_di_belanja_banyak,"['alfagift', 'di', 'belanja', 'banyak', 'dan', 'banget', 'yang', 'gratis', 'aku', 'promo']","['saya kasih bintang 5 buat aplikasi alfagift karena banyak banget promo yang dikasih sama alfamart saya selalu belanja disini selain dapat tebus murah dengan min belanja 50rb juga dapat program cashback susu hebat dapat promo potongan harga lagi pokoknya untung banget belanja lewat alfagift sudah begitu pengiriman cepat banget dan free ongkir pula saya selalu belanja kebutuhan anak dan rumah tangga di alfagift karena produknya lengkap dan harga lebih murah semoga alfagift makin banyak lagi biar bisa kirim dari store terdekat', 'pengiriman cepat barang lengkap banyak promo happy banget belanja di alfagift banyak promonya belanja gratis ongkir pastinya di alfagift', 'belanja di alfagift lebih mudah dan cepat happy banget belanja di alfagift banyak promonya dan gratis ongkir pastinya']",Alfagift Di Belanja
4,6539,4_sangat_membantu_bermanfaat_aplikasi,"['sangat', 'membantu', 'bermanfaat', 'aplikasi', 'bagus', 'aplikasinya', 'sekali', 'memuaskan', 'yang', 'berguna']","['aplikasi sangat membantu', 'aplikasi sangat membantu', 'aplikasi sangat membantu']",Sangat Membantu Bermanfaat
5,5573,5_mantap_banget_biasa_luar,"['mantap', 'banget', 'biasa', 'luar', 'sekali', 'keren', 'bagus', 'mantab', 'mantul', 'josss']","['mantap', 'mantap', 'mantap']",Mantap Banget Biasa
6,4038,6_promo_banyak_lengkap_promonya,"['promo', 'banyak', 'lengkap', 'promonya', 'menarik', 'nya', 'murah', 'mantap', 'dan', 'harga']","['banyak promo', 'banyak promo', 'banyak promo']",Promo Banyak Lengkap
7,2355,7_tidak_tapi_sudah_tolong,"['tidak', 'tapi', 'sudah', 'tolong', 'di', 'saya', 'ada', 'bisa', 'kenapa', 'ya']","['kenapa ya kok aplikasi tidak bisa di buka padahal sudah di update sampai di hapus dulu aplikasi ya terus di install ulang tapi tetap saja kembali lagi ke layar ponsel', 'suka banget belanja di alfagift kalau lagi tidak sempat keluar rumah sudah belanjaan di antarkan suka ada potongan kalau belanja di aplikasi bisa tahu harga yang lagi promo dan stok barang ada apa tidak juga bisa kontrol apa saja barang yang kita mau beli kadang kalau ke toko nya sampai sana lupa apa saja yang mau di beli trimakasih alfagift dan alfamart sukses selalu', 'aplikasi saya kok tidak bisa di buka kenapa ya padahal sudah update']",Tidak Tapi Sudah
8,2114,8_mudah_digunakan_gunakan_dan,"['mudah', 'digunakan', 'gunakan', 'dan', 'pembayaran', 'praktis', 'akses', 'di', 'aplikasi', 'sangat']","['mudah', 'mudah', 'mudah']",Mudah Digunakan Gunakan
9,1467,9_ramah_pelayanan_personil_toko,"['ramah', 'pelayanan', 'personil', 'toko', 'pelayanannya', 'baik', 'ganteng', 'nya', 'cepat', 'dan']","['pelayanan ramah dan cepat', 'pelayanan ramah dan cepat', 'pelayanan toko ramah']",Ramah Pelayanan Personil
