business_category,total_negative_reviews,replied_reviews,reply_rate_%,median_reply_delay_hours,wa_redirection_rate_%,sample_admin_reply
Performa Aplikasi,6565,2923,44.52,0.32,96.17,"Hi Khalimatus. Mohon maaf atas kendala yang dialami. Untuk penanganan lebih lanjut, silakan hubungi layanan pelanggan kami di (021) 1500-280 atau e..."
Layanan Pengiriman,4252,1574,37.02,0.35,90.91,"Hi Lena Nur. Mohon maaf atas kendala yang dialami. Untuk penanganan lebih lanjut, silakan hubungi layanan pelanggan kami di (021) 1500-280 atau ema..."
Pengalaman Pengguna,1684,1080,64.13,0.27,97.59,"Hi Sobat Klik Indomaret, mohon maaf atas kendala yang terjadi. Kami akan terus berupaya untuk meningkatkan pelayanan yang terbaik untuk Sobat Klik ..."
Kualitas Aplikasi,787,277,35.2,0.32,97.11,"Hi Sobat Nusyirwan, terima kasih ya sudah berbelanja di Klik dan berikan review positif terhadap Klik Indomaret -DL"
Masalah Akses Akun,650,269,41.38,0.33,97.03,Hi Ai Solehah. Terima kasih sudah berbelanja dan memberikan penilaian. Jangan lewatkan penawaran promo menarik di Klik Indomaret dan dapatkan infor...
Akses Akun,536,187,34.89,0.36,97.86,"Halo, Rosi roo. Mohon maaf atas kendala yang dialami. Untuk penanganan lebih lanjut, silakan hubungi layanan pelanggan kami di (021) 1500-280 atau ..."
Promosi dan Harga,267,123,46.07,0.36,91.06,"Hi Rz. Mohon maaf atas kendala yang dialami. Untuk penanganan lebih lanjut, silakan hubungi layanan pelanggan kami di (021) 1500-280 atau email cus..."
Layanan Pelanggan,222,65,29.28,0.34,92.31,"Halo, Kanzun Din. Mohon maaf atas kendala yang dialami. Untuk penanganan lebih lanjut, silakan hubungi layanan pelanggan kami di (021) 1500-280 ata..."
Layanan Pembayaran,189,85,44.97,0.34,92.94,"Hi Sobat Klik Indomaret, mohon maaf atas kendala yang terjadi. Untuk penanganan lebih lanjut, mohon bantuannya untuk mengirimkan keluhan anda ke Em..."
Kepuasan Pelanggan,180,61,33.89,0.32,95.08,"Halo, Indah abby. Mohon maaf atas kendala yang dialami. Untuk penanganan lebih lanjut, silakan hubungi layanan pelanggan kami di (021) 1500-280 ata..."
Manajemen Stok Produk,123,54,43.9,0.5,88.89,"Hi Sobat, mohon maaf atas ketidaknyamanannya. Jika terjadi kendala, kamu juga bisa sampaikan kendala kamu ke layanan pelanggan kami di 1500-280 ata..."
Kepuasan Pengguna,79,23,29.11,0.19,86.96,"Halo, Mama Hima. Mohon maaf atas kendala yang dialami. Untuk penanganan lebih lanjut, silakan hubungi layanan pelanggan kami di (021) 1500-280 atau..."
Metode Pembayaran,64,46,71.88,0.21,95.65,"Halo, Ichwan Nef. Mohon maaf atas kendala yang dialami. Untuk penanganan lebih lanjut, silakan hubungi layanan pelanggan kami di (021) 1500-280 ata..."
Stabilitas Sistem,58,12,20.69,0.3,100.0,"Halo, Hilmatusya. Mohon maaf atas kendala yang dialami. Untuk penanganan lebih lanjut, silakan hubungi layanan pelanggan kami di (021) 1500-280 ata..."
Lain-lain / Noise,53,13,24.53,0.3,92.31,"Halo, Herman Hr. Mohon maaf atas kendala yang dialami. Untuk penanganan lebih lanjut, silakan hubungi layanan pelanggan kami di (021) 1500-280 atau..."
Layanan Operasional,21,6,28.57,0.34,100.0,"Halo, rizal thal. Mohon maaf atas kendala yang dialami. Untuk penanganan lebih lanjut, silakan hubungi layanan pelanggan kami di (021) 1500-280 ata..."
