topic_id,topic_name,sentiment,business_category,sub_issue,merge_group,review_count,percentage,average_score,total_thumbs_up,top_keywords,sample_reviews
0,Jam Di Tidak,negatif,Layanan Pengiriman,Keterlambatan pengiriman dan pembatalan pesanan sepihak,DELIVERY_ISSUE,3381,21.49,1.11,15835,"jam, di, tidak, sampai, ada, saya, sudah, barang, pesan, pesanan","Parah nih apk, pesen dari jam 9 sampe jam 4 sore belum dikirim barangnya. Dibatalkan gak bisa, komplain dijawabnya cuma di suruh nunggu. Beda sama alfa 15 menit sampe rumah. Nyesel pesen disini gak ada kejelasan. | udah makin ngaco Indomaret. barang gak sampai rumah tapi keterangan selesai order ke2 kok bisa salah barang pesenan orang yg dikirim. order ke 3 pesen sore .dikirim besok siang. kalau emng belum bisa sistem pesan antar mending di koreksi dulu . harusnya dibikin chat bisa ke toko langsung biar custumer bisa nanya langsung. kayak Alfamart bisa chat toko langsung . pengiriman katanya express 1 jam sampai tapi selalu kecewa terus sama pengiriman yang tidak tepat waktu. pengembalian dana juga lama | harga sih oke, tapi pengiriman gak nyampe nyampe, mending klo cuman telat sejam dua jam, lah ini dah ganti hari pesanan gk dikirim, dibatalkan sepihak saman kurirnya, alasannya orangnya gk di rumah, padahal saya nunggu seharian, disystem status msh dalam pengiriman, uang saya msh belum di refund, complain cs gak di tanggepin. ini indomaret lho, bukan apk abal-abal, tapi layanannya kyk gini. mengecewakan!!"
1,Bisa Aplikasi Tidak,negatif,Performa Aplikasi,Aplikasi lambat dan kendala saat proses pembayaran,PERFORMANCE_BUG,3044,19.35,1.15,12930,"bisa, aplikasi, tidak, klik, mau, di, yang, saja, nya, tolong","Sungguh sgt lelet app nya,pilih brg loadingnya ud lama mau byr kdg ga muncul2 lembar pembayarannya ujung2nya nge hang hadeh,akhirnya ga jd beli deh.tlg dong di benahi app nya jd males belanja disini beda bgt dg app di toko merah,lancar kyk jln tol. | aplikasinya jelek banget, lemot gampang bgt eror nya minta verif aja ga bisa ngirim ngirim, tolong perbaiki lagi dong aplikasinya biar enak kalo belanja online | jelekk banget bjirrr baru buat akun loading di alamat daritadi buang-buang waktu ajaaa tolong diperbaiki lagi aplikasinya biar engga lemot banget sayaa mau belanja dengan mudah malah dipersulit di mencari lokasi"
2,Buruk Lambat Sangat,negatif,Performa Aplikasi,Aplikasi berjalan sangat lambat dan tidak responsif,PERFORMANCE_BUG,1191,7.57,1.07,1091,"buruk, lambat, sangat, lelet, bagus, aplikasi, menyusahkan, ribet, tidak, bad",apknya jelek | lemot | Lemot
3,Aplikasi Lambat Guna,negatif,Performa Aplikasi,Aplikasi lambat dan sulit digunakan,PERFORMANCE_BUG,1143,7.27,1.05,1227,"aplikasi, lambat, guna, sampah, parah, tidak, sangat, lelet, berguna, tolol",aplikasi ribet.. lambat.. | aplikasi jlek lemot | Aplikasi payah.... Lemot
4,Makin Versi Update,negatif,Pengalaman Pengguna,Update aplikasi membuat navigasi dan fitur menjadi sulit,UI_UX_ISSUE,881,5.6,1.14,1462,"makin, versi, update, malah, yang, lama, lebih, jadi, ribet, tambah","setelah update malah susah order ny... enakan app yg dulu | Setelah di-update malah lemot, tampilan ribet, enakan app yg lama, trus tebus murah juga tempatnya dimana makin bingung... Jadi males belanja pakai klik | Makin di update malah tidak simpel masa iya tiap belanja harus input alamat terus ribet banget apk ini memding yg versi lama mudah di gunakan"
5,Alfagift Ongkir Tebus,negatif,Pengalaman Pengguna,Hilangnya fitur promosi dan kalah bersaing dengan kompetitor,UI_UX_ISSUE,732,4.65,1.12,964,"alfagift, ongkir, tebus, murah, gratis, mending, tidak, ada, bintang, member","Enak yg fersi lama sekarang ga bisa masukin vocer dan ga ada tebus murahnya juga hilang , makin ribet. , padahal biasa belanja dengan vocer | KALO PUNYA APLIKASI BELUM MATENG BENER JANGAN DISUGUHIN KE KONSUMEN ANDA. INI LOADING AJA LAMA BANGET. GIMANA MAU BELANJA ONLINE NYAMAN??? KALAH SAMA ALFAGIFT. LEBIH ENAK PAKE ALFAGIFT, | Aplikasi lemot, mau hapus qty barang kudu nunggu muter2 dlu. Pilih pembayaran lemot banget kalah banget sama aplikasi ritel sebelah AL**G**T. Jauhhh banget bedanya. Mending beli lgsg ke toko tpi u/kaum mager ga banget order lewat aplikasi ini 👎 semoga di baca sama tim programmer nya"
6,Sering Lambat Banget,negatif,Performa Aplikasi,Aplikasi sering mengalami kendala teknis dan lambat,PERFORMANCE_BUG,653,4.15,1.15,465,"sering, lambat, banget, aplikasi, lelet, error, eror, aplikasinya, nya, bug",aplikasi nya lemot banget | Apk nya lemot banget | Apk nya lemot banget
7,Pesanan Dibatalkan Sesuai,negatif,Layanan Pengiriman,Pesanan dibatalkan sepihak tanpa konfirmasi dan stok tidak akurat,DELIVERY_ISSUE,541,3.44,1.09,1002,"pesanan, dibatalkan, sesuai, tanpa, sepihak, tidak, batalkan, pengiriman, konfirmasi, di","indomaret untuk pengirimannya tidak worth it, pembatalan sepihak tiba tiba tanpa konfirmasi, tidak ada rating setelah pengiriman selesai | stok barang tidak jelas. Tampil di menu giliran mau dimasukkan ke keranjang ternyata stok kosong. Waktu pengiriman juga lama sekali. Terakhir 3 kali order dibatalkan sepihak tanpa ada konfirmasi apapun. | sangat tidak rekom, seharusnya memudahkan customer berbelanja, tapi selalu di batalkan pihak tokonya. dengan berbagai alasan, ban bocor, motor gak ada, delivery man gak ada, sampai dibatalkan tanpa konfirmasi dulu ke kita"
8,Susah Daftar Update,negatif,Akses Akun,Kesulitan dalam proses pendaftaran dan login akun,LOGIN_ERROR,536,3.41,1.16,313,"susah, daftar, update, mau, event, tiap, banget, saja, meminta, dikit",Mau daftar aja susah lemot app nya | apk gaje mau login aja susah malah di suruh update trus | Mau daftar aja login susah bgt loginnya
9,Gangguan Eror Bug,negatif,Performa Aplikasi,Aplikasi sering mengalami error dan gangguan teknis,PERFORMANCE_BUG,534,3.39,1.13,610,"gangguan, eror, bug, sering, terus, mulu, suka, update, error, banyak",lambat & error Mulu aplikasinya | Suka error aplikasi nya | banyak eror nya
10,Bisa Enggak Dibuka,negatif,Masalah Akses Akun,Pengguna gagal melakukan login ke dalam aplikasi,LOGIN_ERROR,364,2.31,1.13,359,"bisa, enggak, dibuka, login, rokok, tidak, daftar, aplikasi, beli, mau",Gak bisa login muter2 terus | payah ga bisa login | APLIKASI GA JELAS MAU LOGIN AJA GA BISA
11,Pengiriman Lama Pengantaran,negatif,Layanan Pengiriman,Durasi pengiriman barang sangat lambat,DELIVERY_ISSUE,330,2.1,1.14,402,"pengiriman, lama, pengantaran, pengirimannya, banget, lambat, jam, cepat, nya, sangat","Lemot banget Aplikasinya... Pengiriman lama | Pengiriman nya lama bgt | Pengirimannya lama sekali, di cancel terus."
12,Jelas Enggak Tidak,negatif,Kualitas Aplikasi,Aplikasi sering mengalami eror dan tidak stabil,PERFORMANCE_BUG,313,1.99,1.04,269,"jelas, enggak, tidak, aplikasi, banget, juga, nya, di, sudah, saja",apk gajelas masa pesanan nya | app eror gaje | ga jelas aplikasi nya
13,Sms Download Bisa,negatif,Masalah Akses Akun,Aplikasi tidak dapat dibuka atau diakses,LOGIN_ERROR,286,1.82,1.1,264,"sms, download, bisa, otp, jangan, buka, tidak, aplikasi, kode, digunakan",aplikasi nya gak bisa log in | Aplikasinya gak bisa di buka | tidak bisa dibuka apk nya
14,Harga Di Toko,negatif,Promosi dan Harga,Perbedaan harga aplikasi dengan harga di toko fisik,PRICE_DISCREPANCY,267,1.7,1.13,694,"harga, di, toko, promo, beda, sama, dengan, aplikasi, berbeda, harganya","harga yg di aplikasi klik beda dengan ditoko,, d aplikasi promo, sekali ke toko harganya normal. alasan sdah habis promo ny. | Harga di toko tidak sesuai dgn aplikasi, di aplikasi tulisan promo, tapi wktu beli langsung harga normal, gimana ini | Kena prank, cek di apk ada potongan produk jd 30k. eh pas bayar dikasir harga normal 40k. Harga klik sm ditoko nya beda, mana ngga ada tulisannya (promo klik di apk). NYESEL. Mau pake apk, tp ambilnya hrs nunggu lama."
15,Ngelag Lemotttt Banget,negatif,Kualitas Aplikasi,Aplikasi berjalan sangat lambat atau lag,PERFORMANCE_BUG,261,1.66,1.08,50,"ngelag, lemotttt, banget, aplikasi, lemottt, parah, lemott, aplikasinya, lemottttt, susah",aplikasi lemotttttt | Aplikasi lemottttttt..... | Aplikasi lemott parahhh!!!!!
16,Karyawan Menyusahkan Belanja,negatif,Kualitas Aplikasi,Bug aplikasi menghambat proses belanja pengguna,PERFORMANCE_BUG,213,1.35,1.07,190,"karyawan, menyusahkan, belanja, aplikasi, indomaret, online, memudahkan, buat, orang, hemat","aplikasi kebanyakan bug .buat belanja susah | Aplikasi lemot,gak jelas bikin susah orang mau belanja online | apk tolol, giliran mau belanja eror"
17,Dana Pengembalian Pembayaran,negatif,Layanan Pembayaran,Kendala pengembalian dana dan status pesanan,REFUND_ISSUE,189,1.2,1.11,289,"dana, pengembalian, pembayaran, metode, tidak, saya, bisa, sudah, ada, melakukan","pengembalian dana tidak ontime. Belanjaan yang kurang saat diantar,,dana dikembalikan ke saldo klik tapi tidak juga masuk uang nya.Sdh 3 hari ,,lebih dari ketentuan nya yg REAL TIME pengembalian dana,,bermasalah lbh dari 1x24 jam | JANGAN INSTAL. saya sudah bayar pesanan tapi pesanan tidak dikirim. tidak ada menu pengembalian dana juga. komplain juga gak ditanggapi. aplikasi scam. semoga segera dibanned dari google | apk todak bermutu, pesanan belum tiba tapi statusnya sudah tiba. Tidak ada tombol pengembalian dana di apk dan layanan cs lambat mengecewakan sekali"
18,Sangat Buruk Mengecewakan,negatif,Kepuasan Pelanggan,Kekecewaan terhadap kualitas layanan secara umum,GENERAL_COMPLAINT,180,1.14,1.03,129,"sangat, buruk, mengecewakan, kecewa, rekomen, banget, recomended, tidak, sekali, nya","gak lengkap , padahal di tokonya lengkap., buruk sekali apk nya .. nyesel gue. | jelek banget apk nya pelayanannya juga jelek, pesan point coffee nggak on time, nunggu lebih dari 2 jam | Aplikasi Jelek banget mengecewakan"
19,Pelayanan Buruk Ramah,negatif,Layanan Pelanggan,Pelayanan CS dan staf toko yang buruk,SERVICE_QUALITY,177,1.13,1.06,104,"pelayanan, buruk, ramah, sangat, kurang, tidak, nya, ada, di, lama","pelayanan nya jelek,lama,ga gercep,padahal udah ambil yang express, penanganan juga lama | BURUK PELAYANAN CS NYA. LAMBAT. CREW TOKO KASIH BARANG ASAL"". KALO GAK DIKASIH KURANG YA BARANG EXPIRED | sangat buruk, pelayanan buruk tidak ada balasan untuk customer"
20,Tersedia Stock Produk,negatif,Manajemen Stok Produk,Ketidaksesuaian stok barang di aplikasi dengan ketersediaan fisik,INVENTORY_ISSUE,123,0.78,1.2,697,"tersedia, stock, produk, kosong, tidak, di, barang, stok, yang, semua","Aplikasi lemot selalu minta update, produkny bnyak yg tdk tersedia dan tidak bs di checkout, ada biaya ongkirnya pula | Kebanyakan barang yg di pesan gak tersedia Giliran mau aktivasi pengembalian dana ribet banget Harusnya klo di toko gak terlalu tersedia hapus aja di aplikasi supaya gak d pesan Jangan sampai nanti udah di pesan udah di bayar baru ada laporan sebagian pesanan tidak tersedia | aplikasi e-commerce yg ga rekomen belinya apa kirimnya varian apa di komplain katanya stocknya kosong. klo stock kosong kenapa bisa di co coba"
21,Akulaku Paylater Pembayaran,negatif,Metode Pembayaran,Hilangnya opsi pembayaran Akulaku Paylater setelah pembaruan aplikasi,PAYMENT_ERROR,64,0.41,1.31,217,"akulaku, paylater, pembayaran, kenapa, bisa, pakai, bayar, tidak, metode, sekarang","enakan vers lama yg vers baru ribet pembayaran akulaku dan indodana Tidak ada katanya struk masuk aplikasi ternyata tdk ada | Setelah update knapa pembayaran lewat akulaku nya tidak ada,... | Ini kenapa aplikasi nya setelah diperbaharui kok untuk pembayaran menggunakan akulaku paylater sudah tidak ada di daftar pilih pembayaran ? Mohon dikembalikan lagi utk pembayaran menggunakan akulaku."
22,Harbolnas Tiap Gangguan,negatif,Stabilitas Sistem,Aplikasi sering mengalami gangguan saat periode promo besar,PERFORMANCE_BUG,58,0.37,1.07,53,"harbolnas, tiap, gangguan, setiap, eror, pasti, selalu, event, down, kalau","aplikasi sering down apalagi waktu harbolnas | aplikasi sampah, lemotttt banget...tiap harbolnas selalu gangguan | aplikasi sering error. tiap promo harbolnas pasti gak bisa di pake aplikasinya"
