Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,53,-1_𝚙𝚎𝚜𝚊𝚗𝚊𝚗_𝚝𝚒𝚍𝚊𝚔_𝒎𝒂𝒖_𝒔𝒂𝒋𝒂,"['𝚙𝚎𝚜𝚊𝚗𝚊𝚗', '𝚝𝚒𝚍𝚊𝚔', '𝒎𝒂𝒖', '𝒔𝒂𝒋𝒂', '𝒕𝒆𝒓𝒖𝒔', '𝒖𝒑𝒅𝒂𝒕𝒆', '𝘀𝘂𝘀𝗮𝗵', '𝚊𝚍𝚊', '𝕞𝕒𝕦', '𝚜𝚎𝚔𝚊𝚕𝚒']","['pesanan tidak sesuai', 'paling benar belanja di alfagift dimana pun pelayanannya sangat baik beda sama ini aplikasi makin kesini makin aneh-aneh dan pelayananya makin buruk pesanan di batalkan sepihak tanpa konfirmasi dana di kembalikan juga lama banget ini saja belum di kembalikan padahal sudah mengajukan komplain karena barang belum di terima', 'mohon maaf nih ya kalau pelanggan mengajukan komplain tuh minimal di balas saya dari kemarin menunggu pesanan saya sampai sekarang tidak sampai sampai sudah chat semua customer service tidak ada tanggapan sama sekali minimal balas lah kalau memang adakendala atau stok barang habis ini malah tidak ada tanggapan saya sudah chat di wa ig email nggaa ada tanggapan sama sekali kalau emangg tidak niat buka jasa pengiriman tidak usah bukannya mempermudah malah menyusahkan barang sudah mau dipakai malah begini']",𝚙𝚎𝚜𝚊𝚗𝚊𝚗 𝚝𝚒𝚍𝚊𝚔 𝒎𝒂𝒖
0,537,0_verifikasi_daftar_akun_login,"['verifikasi', 'daftar', 'akun', 'login', 'email', 'sandi', 'nomor', 'wa', 'masuk', 'whatsapp']","['aplikasi enggak jelas enggak bisa login kata sandi sama email benar padahal', 'enggak bisa login padahal nomor sama kata sandi sudah benar', 'aplikasi nya lambat banget lupa kata sandi mau verifikasi sudah berapa kali di ulang tetap tidak bisa verifikasi bagaimana sih daftar pakai hp yang lain masih tidak bisa mau daftar alamat tidak bisa2 mohon di perbaiki kembali kalau memang tidak bisa di pakai kenapa harus di adakan aplikasi ini mohon bantuannya agar di permudah daftar nya']",Verifikasi Daftar Akun
1,1149,1_saya_ada_sudah_kalau,"['saya', 'ada', 'sudah', 'kalau', 'pesan', 'kurir', 'indomaret', 'barang', 'di', 'tidak']","['kacaauuu pesan tidak datang datang pembayaran padahal sudah berhasil di tunggu dari awal masuk kerja sampai pulang kerja tidak datang datang mau di cancel tidak bisa sudah hubungin pihak cs respon nya tidak sopan semua uang tidak balik pesenan tidak datang memang tidak amanah banget mana posisi belum sarpaan niat mau makan tolong banget pihak indomaret manah dong kecewa banget balikin duit aku dong', 'pertama kali order online langsung kecewa barang tidak ada langsung refund begitu saja tapi dana tidak masuk2 1 barang lagi tidak di kirim dan tidak di refund komplen cs mesti pakai jam kerja tidak 24 jam di struk di kasih nomor wa toko tapi tidak di balas buat apa di kasih nomor wa kalau tidak bisa buat komunikasi kalau barang tidak ada mending batalin saja smuanya jangan setengah2 begini barang tidak ada dananya juga lama cairnya', 'aplikasi buruk banget lambat pesan untuk pengiriman sabtu sore baru dikirim senin pagi tanpa konfirmasi mana saat ditanya kenapa tidak tidak dikirim dan tidak ada konfirmasi dijawabnya eror nasional kak terus kalau eror tidak ada solusi dari indomaretnya begitu konsumen cuman disuruh menunggu kepastian yang tidak jelas sudah chat wa cs email cs buat komplain tapi tidak ada balasan saran ya dikasih fitur chat toko tidak cuma toko doang yang bisa mulai chat tapi konsumen juga jadi bisa komunikasi konsumen sama toko']",Saya Ada Sudah
2,409,2_tolong_diperbaiki_perbaiki_dong,"['tolong', 'diperbaiki', 'perbaiki', 'dong', 'mohon', 'segera', 'lagi', 'aplikasinya', 'min', 'lambat']","['aplikasi nya tolong di perbaiki', 'tolong di perbaiki', 'tolong dong di perbaiki aplikasinya']",Tolong Diperbaiki Perbaiki
3,469,3_stok_kosong_habis_barang,"['stok', 'kosong', 'habis', 'barang', 'tersedia', 'produk', 'stoknya', 'keranjang', 'toko', 'ada']","['proses lama sudah di pesan di batalkan karena stok habis harusnya kalau stok kosong di kasih keterangan stok habis', 'buruk tiap mau beli produk selalu tidak tersedia tapi bisa di klik kalau barang kosong mendingan tulis stok kosong ini masih bisa di klik saat di klik baru tahu stok kosong capek harus cek 1 1 barang yang ready apa kalau kosong mendingan tidak bisa di klik kayak marketplace2 yang lain kan juga begitu', 'kalau memang stok kosong ya jangan dipajang atau setidaknya info kalau stok kosong masa tiap mau memasuki keranjang hampir semua stok kosong']",Stok Kosong Habis
4,331,4_versi_dulu_tampilan_tebus,"['versi', 'dulu', 'tampilan', 'tebus', 'sekarang', 'lebih', 'jadi', 'klik', 'yang', 'ribet']","['dulu kendala di versi yang lama cuma loading yang lambat sekarang saat sudah di perbarui ke versi yang baru malah tambah banyak kendalanya sudah agak lambat sering gangguan tampilannya juga nge bingungin promonya juga ribet kalau saat beli 2 lebih hemat itu bagaimana masukinnya sudah di memasuki 2 masih tidak motong malah ada pilihan lain hadeh mana tebus murah tidak ada harga di aplikasi sama di toko jadi lebih mahal di aplikasi barangnya juga belum lengkap banyak yang tidak ada pokoknya malah ribet yang versi update nya', 'update versi terbaru belanja malah jadi semakin rumit aplikasi lambat belanja semakin tidak nyaman tidak ada tebus murah voucher sedikit metode pembayarannya tidak selengkap dulu sekarang tidak bisa pakai paylater langganan sudah bertahun tahun kecewa akhirnya pindah ke sih merah banyak voucher lebih lancar lebih mudah dan lebih cepat', 'update versi terbaru belanja malah jadi semakin rumit banyak bug lambat pilihan pembayaran sedikit tidak bisa pakai paylater pembayaran juga sering gagal versi sebelum nya sangat jauh lebih baik langganan sudah bertahun tahun kecewa jadi malas belanja di klik lagi masih lebih bagus sih merah belanja mudah cepat']",Versi Dulu Tampilan
5,197,5_member_bintang_anak_atasan,"['member', 'bintang', 'anak', 'atasan', 'karyawan', 'new', 'kasih', 'mengasih', 'suruh', 'maksa']","['target new member terozzz yang dapat komisi atasan saja yang di toko di obrak abrik suruh cari new member', 'di suruh kasih ulasan bintang 5 sama atasan di paksa mencari new member klik idm pula padahal anak toko newmember klik idm 90 beli wkwk 90 member fiktif gaji habis buat beli new member klik', 'aplikasi yang menyusahkan anak toko tiap minggu harus cari new member minimal 8']",Member Bintang Anak
6,297,6_saldo_aktivasi_klik_rekening,"['saldo', 'aktivasi', 'klik', 'rekening', 'tarik', 'dana', 'ke', 'refund', 'masuk', 'uang']","['orderan saya 2 kali dibatalkan dan dana masuk ke saldo klik tapi kenapa saldo klik nya tidak bisa dipakai buat pembayaran dan tidak bisa di tarik ke rekening juga dari kemarin sudah berulang kali coba mentok di verifikasi wa setelah itu tidak ada kelanjutan nya terus saldo klik saya bagaimana ini', 'barang habis dana dikembalikan ke saldo klik dan harus aktivasi saldo klik tapi sudah berhasil aktivasi uangnya tetap tidak bisa diambil', 'kembalikan saldo refund saya berkali2 gara-gara stock kosong uang saya mengendap di saldo refund satu2nya cara untuk mencairkan saldo refund hanya dengan aktivkan saldo klik tapi kenapa setiap saya mau aktivasi saldo klik tidak bisa2 padahal sudah menghubungkan dan sudah ada balasan aktivasi saldo klik berhasil tapi setiap coba buka saldo klik tetap masih tidak bisa dipakai tidak mau aktif saldo kliknya']",Saldo Aktivasi Klik
7,179,7_sering_terlalu_eror_bug,"['sering', 'terlalu', 'eror', 'bug', 'error', 'jelas', 'gangguan', 'banyak', 'loading', 'lambat']","['aplikasi sering eror tidak jelas', 'aplikasi sering eror tidak jelas', 'aplikasi enggak jelas sering eror']",Sering Terlalu Eror
8,246,8_kenapa_bisa_update_setelah,"['kenapa', 'bisa', 'update', 'setelah', 'dibuka', 'malah', 'buka', 'error', 'kok', 'dipakai']","['aplikasi setelah di update malah tidak bisa dipakai', 'di update aplikasi malah error tidak bisa dibuka', 'setelah update kenapa jadi tidak bisa dibuka aplikasinya']",Kenapa Bisa Update
9,452,9_jam_00_sampai_belum,"['jam', '00', 'sampai', 'belum', 'pesan', '12', 'malam', '10', '11', 'sore']","['pesan jam 5 diantar jam 10', 'pesan barang jam 7an pilih pengiriman waktu jam 9 sd jam 10 tapi sampai mau jam 14 00 barang belum juga sampai pesan lagi jam 12 12 pilih waktu maksimal sampai 1 jam dengan ongkir 7rb tapi tetap saja sudah jam 13 43 barang belum juga sampai sangat tidak recomended buat belanja di sini', 'pesan jam 18 00 18 59 sampai jam 20 00 tidak dikirim2']",Jam 00 Sampai
10,134,10_lemotttt_lemottt_lemottttt_leletttt,"['lemotttt', 'lemottt', 'lemottttt', 'leletttt', 'lemott', 'lemottttttt', 'lemotttttt', 'lelett', 'lemottttttttt', 'lemotttttttttttt']","['lemottt', 'lemottt', 'lemottt']",Lemotttt Lemottt Lemottttt
11,229,11_harga_beda_promo_berbeda,"['harga', 'beda', 'promo', 'berbeda', 'toko', 'harganya', 'dengan', 'sama', 'sesuai', 'di']","['harga di aplikasi dan di toko berbeda', 'tidak sesuai dengan harga di toko', 'harga di aplikasi beda sama harga di toko tidak update']",Harga Beda Promo
12,275,12_susah_daftar_mau_login,"['susah', 'daftar', 'mau', 'login', 'banget', 'alamat', 'ampun', 'saja', 'akun', 'ribet']","['verifikasi mau daftar saja susah banget', 'mau daftar susah', 'mau daftar saja susah banget']",Susah Daftar Mau
