Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,53,-1_𝚙𝚎𝚜𝚊𝚗𝚊𝚗_𝚝𝚒𝚍𝚊𝚔_aplikasi_𝒔𝒂𝒋𝒂,"['𝚙𝚎𝚜𝚊𝚗𝚊𝚗', '𝚝𝚒𝚍𝚊𝚔', 'aplikasi', '𝒔𝒂𝒋𝒂', '𝒎𝒂𝒖', '𝒖𝒑𝒅𝒂𝒕𝒆', '𝘀𝘂𝘀𝗮𝗵', '𝚊𝚍𝚊', '𝒕𝒆𝒓𝒖𝒔', '𝚜𝚎𝚔𝚊𝚕𝚒']","['𝒌𝒆𝒏𝒂𝒑𝒂 𝒉𝒂𝒓𝒖𝒔 𝒖𝒑𝒅𝒂𝒕𝒆 𝒕𝒆𝒓𝒖𝒔 𝒊𝒏𝒊 𝒚𝒂𝒏𝒈 𝒕𝒆𝒓𝒂𝒌𝒉𝒊𝒓 𝒌𝒂𝒍𝒊 𝒏𝒈𝒈𝒂𝒌 𝒎𝒂𝒖 𝒅𝒐𝒘𝒏𝒍𝒐𝒂𝒅 𝒍𝒂𝒈𝒊 𝒂𝒌𝒂𝒏 𝒔𝒂𝒚𝒂 𝒉𝒂𝒑𝒖𝒔 𝒔𝒂𝒋𝒂 𝒕𝒐𝒍𝒐𝒏𝒈 𝒅𝒊𝒑𝒆𝒓𝒃𝒂𝒊𝒌𝒊 𝒔𝒖𝒑𝒂𝒚𝒂 𝒕𝒊𝒅𝒂𝒌 𝒖𝒑𝒅𝒂𝒕𝒆 𝒕𝒆𝒓𝒖𝒔', '𝗺𝗮𝘂 𝗹𝗼𝗴𝗶𝗻 𝗮𝗷𝗮 𝘀𝘂𝘀𝗮𝗵 𝗯𝗮𝗻𝗴𝗲𝘁 𝗴𝗶𝗺𝗮𝗻𝗮 𝘀𝗶𝗶 𝗻𝗼𝗺𝗲𝗿 𝘀𝗮𝗺𝗮 𝗲𝗺𝗮𝗶𝗹 𝗽𝗱𝗵𝗹 𝘀𝘂𝗱𝗮𝗵 𝗯𝗲𝗻𝗮𝗿 𝘁𝗼𝗹𝗼𝗻𝗴 𝗱𝗼𝗻𝗴 𝗯𝗶𝗸𝗶𝗻 𝗮𝗽𝗹𝗶𝗸𝗮𝘀𝗶 𝘆𝗮𝗻𝗴 𝗮𝗴𝗮𝗸 𝗻𝗶𝗮𝘁 𝘀𝗲𝗸𝗲𝗹𝗮𝘀 𝗶𝗻𝗱𝗼𝗺𝗮𝗿𝗲𝘁 𝗺𝗮𝘀𝗮 𝗸𝗲𝗸 𝗴𝗶𝗻𝗶 𝗻𝘆𝘂𝘀𝗮𝗵𝗶𝗻 𝗸𝗼𝗻𝘀𝘂𝗺𝗲𝗻𝗻', '𝚜𝚊𝚗𝚐𝚊𝚝 𝚖𝚎𝚗𝚐𝚎𝚌𝚎𝚠𝚊𝚔𝚊𝚗 𝚙𝚎𝚜𝚊𝚗𝚊𝚗 𝚜𝚊𝚢𝚊 𝚜𝚊𝚖𝚊 𝚜𝚎𝚔𝚊𝚕𝚒 𝚝𝚒𝚍𝚊𝚔 𝚊𝚍𝚊 𝚙𝚛𝚘𝚐𝚛𝚎𝚜 𝚍𝚒 𝚊𝚙𝚕𝚒𝚔𝚊𝚜𝚒 𝚜𝚝𝚊𝚝𝚞𝚜 𝚙𝚎𝚜𝚊𝚗𝚊𝚗 𝚝𝚒𝚍𝚊𝚔 𝚖𝚞𝚗𝚌𝚞𝚕 𝚜𝚊𝚖𝚊 𝚜𝚎𝚔𝚊𝚕𝚒 𝚖𝚊𝚗𝚊 𝚝𝚒𝚍𝚊𝚔 𝚊𝚍𝚊 𝚖𝚎𝚗𝚞 𝚙𝚎𝚖𝚋𝚊𝚝𝚊𝚕𝚊𝚗 𝚙𝚎𝚜𝚊𝚗𝚊𝚗 𝚙𝚞𝚕𝚊 𝚛𝚒𝚋𝚎𝚝 𝚋𝚊𝚗𝚐𝚎𝚝']",𝚙𝚎𝚜𝚊𝚗𝚊𝚗 𝚝𝚒𝚍𝚊𝚔 Aplikasi
0,3381,0_jam_di_tidak_sampai,"['jam', 'di', 'tidak', 'sampai', 'ada', 'saya', 'sudah', 'barang', 'pesan', 'pesanan']","['bagaimana ini barang saya tidak di kirim kirim sudah mau 6 hari loh aku sudah chat pihak indomaret nya katanya di push lagi tapi mana tidak di kirim kirim kocak sudah komplain tapi enggak ada tindakan sama sekali kirim email ke cs nya enggak ada respon sama sekali saya pengin full refund uang nya kalau memang barang saya tidak bisa di kirim', 'parah banget ini jangan ada yang mau deh belanja pakai aplikasi ini pengiriman lambat banget tahu begini sudah saja belanja lewat alfagift sudah lewat jam pengiriman loh ini saya pesan dari jam 12 04 sekarang sudah jam 14 32 dan pesanan saya masih belum dikirim memang gila', 'pesanan saya belum dikirim juga padahal sudah 1 jam']",Jam Di Tidak
1,3044,1_bisa_aplikasi_tidak_klik,"['bisa', 'aplikasi', 'tidak', 'klik', 'mau', 'di', 'yang', 'saja', 'nya', 'tolong']","['payah banget setelah di upgrade bukan nya makin lancar malah makin lelet loading lama banget kadang blank putih saja tidak ada tulisan apa-apa tolong di perbaiki lah saya sebagai pengguna klik dan pelanggan indomaret merasa sangat kecewa atas kendala ini tolong di perbaiki lagi bagaimana saya mau belanja kalau aplikasi nya kayak begini terus', 'mau pesan tidak bisa di klik tolong di update lagi', 'maaf untuk saldo klik kenapa tidak bisa masuk ke rekening padahal sudah verifikasi lewat whatsapp dan setelah verifikasi bukannya selesai malah tetap sama tidak ada perubahan saldo tetap ada di klik saldo tidak masuk ke rekening padahal sudah verifikasi lewat whatsapp dan aneh nya lagi saat belanja pun pakai saldo klik tetap sama sudah verifikasi tapi tetap belum terbayar atau bagaimana caranya gunain saldo klik ini sudah verifikasi whatsapp berulang ulang tetap saja tidak bisa digunakan']",Bisa Aplikasi Tidak
2,1191,2_buruk_lambat_sangat_lelet,"['buruk', 'lambat', 'sangat', 'lelet', 'bagus', 'aplikasi', 'menyusahkan', 'ribet', 'tidak', 'bad']","['aplikasi sangat lambat buruk sangat buruk', 'buruk aplikasi lambat', 'aplikasi buruk lambat']",Buruk Lambat Sangat
3,1143,3_aplikasi_lambat_guna_sampah,"['aplikasi', 'lambat', 'guna', 'sampah', 'parah', 'tidak', 'sangat', 'lelet', 'berguna', 'tolol']","['aplikasi lambat', 'aplikasi lambat', 'aplikasi lambat']",Aplikasi Lambat Guna
4,881,4_makin_versi_update_malah,"['makin', 'versi', 'update', 'malah', 'yang', 'lama', 'lebih', 'jadi', 'ribet', 'tambah']","['makin di update makin lambat', 'makin ribet enakan versi lama enggak bisa tebus murah juga ayolah indomaret kalau buat aplikasi tuh yang benar kalau mau update ya buat lebih mudah ini malah makin sulit makin lambat balikin saja klik indomaret versi lama itu sudah terbaik', 'setelah update kok makin ribet ya aplikasi juga lambat banget mending yang versi dulu']",Makin Versi Update
5,732,5_alfagift_ongkir_tebus_murah,"['alfagift', 'ongkir', 'tebus', 'murah', 'gratis', 'mending', 'tidak', 'ada', 'bintang', 'member']","['tidak ada gratis ongkir nya', 'bisa tidak kalau gratis ongkir tidak harus ada ongkir begitu seperti yang sebelah', 'padahal ada tulisan gratis ongkir tapi saat sudah download saat sudah mau bayar malah ada ongkir nya kalah sama aplikasi sebelah gratis ongkir tanpa minimal belanja lagi']",Alfagift Ongkir Tebus
6,653,6_sering_lambat_banget_aplikasi,"['sering', 'lambat', 'banget', 'aplikasi', 'lelet', 'error', 'eror', 'aplikasinya', 'nya', 'bug']","['lambat banget aplikasi nya', 'lambat banget aplikasi nya', 'lambat aplikasi nya sering error']",Sering Lambat Banget
7,541,7_pesanan_dibatalkan_sesuai_tanpa,"['pesanan', 'dibatalkan', 'sesuai', 'tanpa', 'sepihak', 'tidak', 'batalkan', 'pengiriman', 'konfirmasi', 'di']","['kecewa banget harus nya ini memudahkan konsumen tapi sudah 2x berturut turut saya order di klik indomaret pesanan saya dibatalkan yang pertama dengan alasan kurir nya tidak masuk yang kedua kali pesanan dibatalkan tanpa konfirmasi dan pemberitahuan padahal saya tunggu orderan saya itu percuma ada aplikasi indomaret klik kalau orderan konsumen nya selalu dibatalkan', 'pesanan saya sering dibatalkan sepihak tanpa ada kejelasan', 'pesanan sering dibatalkan tanpa konfirmasi']",Pesanan Dibatalkan Sesuai
8,536,8_susah_daftar_update_mau,"['susah', 'daftar', 'update', 'mau', 'event', 'tiap', 'banget', 'saja', 'meminta', 'dikit']","['verifikasi mau daftar saja susah banget', 'mau daftar susah', 'mau daftar saja susah lambat aplikasi nya']",Susah Daftar Update
