topic_id,topic_name,sentiment,business_category,sub_issue,merge_group,review_count,percentage,average_score,total_thumbs_up,top_keywords,sample_reviews
0,Di Ada Toko,netral,Manajemen Stok dan Layanan,Ketidakjelasan stok barang dan kurangnya fitur komunikasi toko,ORDER_MANAGEMENT_ISSUE,260,17.26,3.0,1641,"di, ada, toko, barang, yang, tidak, saya, kalau, sudah, nya","aga kecewa si pake aplikasi klik indomaret,gak ada menu chat sama toko,jadi gak bisa nanya,kalo emang stok barang kosong seharusnya pas masukin barang ke produk ada notifnya kaya alfagift,terus kenapa tiba tiba produk yang kosong di batalin?,seharusnya pihak toko konfirmasi sama pelanggan,mau di ganti sama produk lain yang sesuai dengan harganya,apa gimana,ini gak ada konfirmasinya tiba tiba stok yang kosong langsung di batalin | pelayanannya cepet barangnya sampai sesuai dengan jam yang dipilih, tapi minus kalau stock barang kosong sebaiknya di online juga tolong kosongkan saja. uangnya malah di refund ke saldo klik Indomaret kan lumayan yaa tidak bisa di tarik kalau belum 10k aduhh bikin ribet aja ini, mungkin ini bisa diperbaiki ya sistem stock di aplikasi nya biar gada refund ribet kaya gini. | jujur aja agak takut pakai klik indomaret belakangan ini bahkan aku ada rencana uninstall, soalnya tau2 pesanan saya dibatalkan dan uangnya ga masuk2 sampai saya telpon CS nya abis 4rb sekali telpon baru uangnya kembali, sama fitur kalo barang habis lebih baik ditulis habis, fitur chat toko juga ada jd bisa nanya ke toko kalo ada kendala kenapa, karena kalo lewat CS lama lagi"
1,Tolong Aplikasi Tidak,netral,Stabilitas Aplikasi,Aplikasi lambat dan kendala pada sistem pembayaran,PERFORMANCE_BUG,249,16.53,3.0,437,"tolong, aplikasi, tidak, bisa, aplikasinya, nya, kenapa, lambat, perbaiki, lagi","Tolong di perbaiki lah ini aplikasi masa gak bisa masukin kode lewat SMS gimana mau rame peminatnya aplikasi klok selalu banyak masalahnya 🙏 | Aplikasinya lola sekali tolong diperbaiki suka pindah belanja ke aplikasi sebelah karna aplikasi nya cepat gak lola | ini apk klik knp eror terus udh 3 hari ini tidak bisa terus belanja, setiap mau pembayaran selalu ngelag. tolong diperbaiki lagi sestemnya"
2,Tebus Murah Aplikasi,netral,Promosi dan Penawaran,Fitur tebus murah dan promo tidak muncul setelah update,PROMOTION_ERROR,175,11.62,3.0,661,"tebus, murah, aplikasi, tidak, yang, belanja, jadi, ada, klik, indomaret","Aplikasi setelah up malah bikin susah , setiap buka harus ubah toko terus , sering eror jadi menyusahkan untuk belanja mending aplikasi sebelumnya dan yg baru tidak bisa tebus murah | Udah lumayan bagus sih apl nya, tp koq yg di New Klik Indomaret, belanja min.50k, barang2 utk tebus heboh nya jd gk bisa muncul kayak dulu? Apa skrg kalo belanja di apl jd gk bisa tebus heboh??? | Kq aneh ya aplikasi yang baru, promonya gak jelas, tebus murah jadi gak keluar, beli 2 gratis 1 nya jadi gak ada di keranjang"
3,Banget Lambat Susah,netral,Stabilitas Aplikasi,Aplikasi sangat lambat dan sering mengalami buffering,PERFORMANCE_BUG,109,7.24,3.0,80,"banget, lambat, susah, mau, aplikasinya, saja, aplikasi, loading, nya, ya",Sumpah si app nya lemot parah🥹 | Lemot aplikasi nyaa Pdhl sinyal full Cari barang loadingnya lamaaaaa btt | Lemot banget aplikasinya bufer mulu ihh.... mau payment aja susah.
4,Jam Sampai Pengiriman,netral,Layanan Pengiriman,Keterlambatan pengiriman barang tidak sesuai estimasi waktu,DELIVERY_DELAY,76,5.05,3.0,208,"jam, sampai, pengiriman, pesan, belum, antar, tidak, lama, tapi, 00","pertama kali pesan pakai klik indomaret lama skali, pesan jam 9.28 wktu pengiriman maksimal jam 10.59 sampai skrng jam 14.12 belum d antar jg, ajukan komplein respon nya juga lama. sy keburu dehidrasi kapok deh mending alfagift aja | barang nya sampai tapi saya pesan dari jam 18.00 baru datang jam 21.30 itupun yg nganter grab, janji nya satu jam sampai. dikirim nya dari idm jauh banget lagi. kenapa gitu gk milih idm yg terdekat dari lokasi. saya uninstall | pengiriman nya ga sesuai aplikasi, mending lebih cepet, ini lebih lama masa pesen jam 11, estimasi tiba diapk jam 2 paling lama lah ini sampe jam setengah 4 belum nyampe juga,, hadehhh😒😒"
5,Barang Stok Toko,netral,Manajemen Stok dan Layanan,Ketersediaan stok barang tidak akurat dan layanan pengiriman,ORDER_MANAGEMENT_ISSUE,67,4.45,3.0,188,"barang, stok, toko, tidak, lengkap, selalu, yang, sama, benar, sebelah",barangnya udh dipesen malah gak dianter alesan nya harganya belum update 😌 | Beda sama toko merah. pengiriman lama kemungkinan pke jasa grab tidak punya kurir toko dan untuk kemasan nya masih bayar Tolong ditingkatkan lagi | Barang promo sering ghoib alias stock nya selalu habis 😁 saingannya orang dalam ga sih? Wkwkwk
6,Pembayaran Bisa Tidak,netral,Sistem Pembayaran,Kendala pada metode pembayaran pihak ketiga,PAYMENT_ERROR,62,4.12,3.0,46,"pembayaran, bisa, tidak, menggunakan, di, akulaku, struk, shopeepay, driver, kenapa",diperbaharui malah gk bisa order tiket travel di klik indomaret aneh auto ganti | Kok sekarang pakai promo pembayaran akulaku kok ga bisa ya semenjak diperbarui | Kenapa sekarang di menu pembayaran tidak bisa menggunakan goopayleter..
7,Bagus Lumayan Mantap,netral,Ulasan Umum,Ulasan positif singkat mengenai aplikasi,GENERAL_FEEDBACK,50,3.32,3.0,4,"bagus, lumayan, mantap, ok, cukup, good, tapi, atasan, untuk, minggu",lumayan bagus | lumayan | mayan
8,Lama Loading Versi,netral,Stabilitas Aplikasi,Loading aplikasi lama dan sering terjadi error,PERFORMANCE_BUG,49,3.25,3.0,15,"lama, loading, versi, sering, gagal, mulu, nyaman, cart, susah, koneksi",loadingnya lama | loading halamannya lama | aplikasinya error mulu
9,Bisa Tidak Dibuka,netral,Aksesibilitas Aplikasi,Aplikasi tidak bisa dibuka atau gagal login,LOGIN_ERROR,48,3.19,3.0,75,"bisa, tidak, dibuka, malah, buka, kenapa, kok, ya, daftar, download",Kenapa semenjak d instal malah gk bsa login | kenapa ya ga bisa buka app? padahal sudah di update tetep ga bisa dibuka | baru install kok ga bisa di buka apk nya
