Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,80,-1_toppp_verygood_ºməŋtaªªþss_oks,"['toppp', 'verygood', 'ºməŋtaªªþss', 'oks', '𝔯𝔲𝔪𝔞𝔥', 'gandoesn', 'beenr', 'bagas', 'cuakepp', 'cakeeuuup']","['aplikasi ini sangat membantu untuk belanja kebutuhan harian tanpa harus keluar rumah produk lengkap pengiriman cepat dan banyak promo menarik cocok banget buat yang sibuk', 'semakin mudah belanja di indomaret tidak perlu ke toko tinggal klik pesanan sudah sampai ke depan rumah terimakasih', 'klik indomaret sangat bagus']",Toppp Verygood ºməŋtaªªþss
0,1437,0_tolong_kenapa_tapi_kosong,"['tolong', 'kenapa', 'tapi', 'kosong', 'lambat', 'padahal', 'update', 'kalau', 'ya', 'lama']","['aplikasi nya lambat', 'aplikasi lambat', 'kenapa tidak bisa di buka aplikasinya']",Tolong Kenapa Tapi
1,1070,1_mager_malas_keluar_kaum,"['mager', 'malas', 'keluar', 'kaum', 'ibu', 'saat', 'hujan', 'ketika', 'disaat', 'bagi']","['sangat membantu di saat malas keluar rumah', 'sangat membantu di saat malas keluar rumah', 'aplikasi sangat membantu saat mager keluar rumah']",Mager Malas Keluar
2,597,2_membantu_sangat_sangatt_amat,"['membantu', 'sangat', 'sangatt', 'amat', 'mendukung', 'akmal', 'bagusd', 'direkomendasi', 'sangatta', 'mashaallah']","['sangat membantu', 'sangat membantu', 'sangat membantu']",Membantu Sangat Sangatt
3,295,3_gacor_gud_gacorrr_andalan,"['gacor', 'gud', 'gacorrr', 'andalan', 'guud', 'mntull', 'anggakasman', 'terdebest', 'tabarakallah', 'opsional']","['gacorrr', 'gacorrr', 'gacorrr']",Gacor Gud Gacorrr
4,423,4_perlu_repot_tanpa_harus,"['perlu', 'repot', 'tanpa', 'harus', 'ke', 'usah', 'keluar', 'toko', 'tidak', 'datang']","['mempermudah kita untuk belanja tanpa harus keluar rumah', 'mempermudah belanja tanpa harus keluar rumah', 'mempermudah belanja tanpa harus keluar rumah']",Perlu Repot Tanpa
5,305,5_semoga_sukses_kedepannya_tingkatkan,"['semoga', 'sukses', 'kedepannya', 'tingkatkan', 'makin', 'maju', 'semakin', 'terus', 'selalu', 'ditingkatkan']","['semoga lebih baik lagi kedepannya', 'semoga kedepannya bisa lebih baik lagi', 'semoga kedepannya lebih baik lagi']",Semoga Sukses Kedepannya
6,249,6_hanya_indomaret_klik_mudah,"['hanya', 'indomaret', 'klik', 'mudah', 'lebih', 'hemat', 'menggunakan', 'lewat', 'belanja', 'melalui']","['pakai klik indomaret belanja lebih hemat dan mudah', 'aplikasi klik indomaret belanja jadi lebih mudah', 'klik indomaret belanja jadi lebih mudah']",Hanya Indomaret Klik
7,209,7_promonya_banyak_promosinya_menarik,"['promonya', 'banyak', 'promosinya', 'menarik', 'lebih', 'promo', 'kembar', 'promosi', 'mudah', 'tanggal']","['belanja jadi lebih mudah dan banyak promo nya', 'belanja jadi lebih mudah dan banyak promo nya', 'banyak promonya belanja jadi lebih hemat']",Promonya Banyak Promosinya
8,171,8_baik_baikmemuaskan_munafik_kakaknya,"['baik', 'baikmemuaskan', 'munafik', 'kakaknya', 'buruk', 'berlanja', 'kakak', 'semua', 'apapun', 'via']","['baik', 'baik', 'baik']",Baik Baikmemuaskan Munafik
