Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,80,-1_toppp_verygood_ºməŋtaªªþss_oks,"['toppp', 'verygood', 'ºməŋtaªªþss', 'oks', '𝔯𝔲𝔪𝔞𝔥', 'gandoesn', 'beenr', 'bagas', 'cuakepp', 'cakeeuuup']","['toppp', 'toppp', 'toppp']",Toppp Verygood ºməŋtaªªþss
0,2628,0_belanja_mudah_lebih_berbelanja,"['belanja', 'mudah', 'lebih', 'berbelanja', 'memudahkan', 'jadi', 'dalam', 'rumah', 'untuk', 'online']","['sangat membantu untuk belanja lebih mudah', 'aplikasi sangat membantu belanja jadi lebih mudah dan praktis', 'aplikasi belanja indomaret untuk memudahkan kita belanja online dari rumah dengan lebih mudah']",Belanja Mudah Lebih
1,2313,1_banyak_klik_belanja_indomaret,"['banyak', 'klik', 'belanja', 'indomaret', 'dan', 'mudah', 'lebih', 'tinggal', 'di', 'promo']","['banyak promo menarik banyak promonya klik indomaret lebih mudah dan praktis', 'belanja di indomaret banyak promonya dan lebih mudah juga', 'belanja lebih mudah di klik indomaret']",Banyak Klik Belanja
2,2210,2_mantap_keren_banget_bagus,"['mantap', 'keren', 'banget', 'bagus', 'mantab', 'memuaskan', 'pokoknya', 'sekali', 'biasa', 'sangat']","['mantap', 'mantap', 'mantap']",Mantap Keren Banget
3,2210,3_bagus_baik_terbaik_sangat,"['bagus', 'baik', 'terbaik', 'sangat', 'best', 'top', 'the', 'aplikasi', 'puas', 'cepat']","['bagus', 'bagus', 'bagus']",Bagus Baik Terbaik
4,2067,4_keluar_rumah_yang_mager,"['keluar', 'rumah', 'yang', 'mager', 'buat', 'malas', 'membantu', 'banget', 'kebutuhan', 'sangat']","['belanja di klik indomaret sekarang makin praktis semuanya ada mulai dari barang kartonan sampai groceries kebutuhan sehari hari ditambah sering ada promo gratis ongkir jadi lebih hemat dan tidak perlu keluar rumah', 'sangat membantu buat yang tidak bisa keluar belanja', 'sangat membantu untuk yang mager keluar rumah tinggal pesan lewat aplikasi klik barang sudah sampai ke rumah tidak perlu keluar rumah']",Keluar Rumah Yang
5,1796,5_membantu_sangat_sekali_aplikasi,"['membantu', 'sangat', 'sekali', 'aplikasi', 'bermanfaat', 'bagus', 'berguna', 'adanya', 'terbantu', 'ini']","['sangat membantu', 'sangat membantu', 'sangat membantu']",Membantu Sangat Sekali
6,1537,6_tidak_di_kalau_tapi,"['tidak', 'di', 'kalau', 'tapi', 'ada', 'bisa', 'sudah', 'tolong', 'yang', 'saya']","['suka banget sama pelayanan indomaret tapi saran kalau bisa di aplikasinya kasih keterangan buat stok barang yang lagi kosong jadi tidak perlu nge klik lagi buat mencari tahu barang ada atau kosong', 'min tolong mengadakan fitur buat ganti toko dong min buat yang pengiriman instant terus kenapa ya min kalau misal ada barang yang tidak ada di indomaret terdekat toko nya tidak otomatis ke ganti padahal lagi pengin banget makan itu tapi di toko yang paling dekat habis dan tidak di alihin ke toko lain di aplikasi nya', 'selama pakai aplikasi ini oke oke saja kurirnya ramah kalau belum bisa antar atau ada kendala suka atau produk kosong suka japri sangat membantu saya untuk berhemat waktu dan mengurangi belanja implusif sekarang setelah di update jadi bisa tebus murah lagi semoga nanti poin indomaret ikupon nya bisa di pakai lewat aplikasi tidak harus ke toko karena kadang kalau ke toko ada saja yang tidak bisa nya tukar i kupon']",Tidak Di Kalau
7,1365,7_good_ok_oke_job,"['good', 'ok', 'oke', 'job', 'nice', 'sip', 'best', 'the', 'very', 'recommended']","['good', 'good', 'good']",Good Ok Oke
8,1134,8_mudah_hemat_dan_digunakan,"['mudah', 'hemat', 'dan', 'digunakan', 'cepat', 'tepat', 'gunakan', 'praktis', 'waktu', 'lebih']","['mudah dan hemat', 'mudah dan hemat', 'mudah hemat dan cepat']",Mudah Hemat Dan
