business_category,total_negative_reviews,replied_reviews,reply_rate_%,median_reply_delay_hours,wa_redirection_rate_%,sample_admin_reply
Masalah Notifikasi dan Akses,169,168,99.41,65.72,58.93,"Halo Kak, mohon maaf atas ketidaknyamanannya. Silakan kirimkan detail kendala yang Kakak alami ke email edlink@sevima.com atau bisa disampaikan pul..."
Stabilitas Sistem dan Performa,118,115,97.46,90.7,61.74,"Halo Kak, mohon maaf atas ketidaknyamanannya. Silakan kirimkan detail kendala pada versi terbaru yang Kakak alami ke email edlink@sevima.com atau b..."
Kualitas Aplikasi Umum,117,114,97.44,94.46,53.51,"Halo Kak, mohon maaf atas ketidaknyamanannya. Silakan kirimkan detail kendala yang Kakak alami ke email edlink@sevima.com atau bisa disampaikan pul..."
Masalah Pengunggahan dan Pengunduhan,116,112,96.55,65.17,69.64,"Halo Kak, mohon maaf atas ketidaknyamanannya. Boleh diinformasikan detail kendala akses materi yang Kakak alami ke email edlink@sevima.com atau bis..."
Masalah Stabilitas Server,113,113,100.0,90.06,53.1,"Halo Kak, mohon maaf atas ketidaknyamanannya. Saat ini, fitur ini sedang dalam proses penyesuaian oleh tim teknis kami, mohon ketersediaannya untuk..."
Masalah Autentikasi Pengguna,100,99,99.0,49.45,72.73,"Halo Kak, mohon maaf atas ketidaknyamanannya. Saat ini, fitur ini sedang dalam proses penyesuaian oleh tim teknis kami, mohon ketersediaannya untuk..."
Pengalaman Pengguna dan UI,97,96,98.97,71.96,61.46,"Halo Kak, mohon maaf atas kendala yang dihadapi. Masukan dari Kakak akan menjadi pertimbangan bagi kami dalam proses pengembangan Aplikasi Edlink k..."
Fitur Presensi dan Absensi,42,40,95.24,75.54,55.0,"Halo Kak, terima kasih banyak atas ulasan dan masukan yang diberikan. Masukan dari Kakak akan menjadi pertimbangan bagi kami dalam proses pengemban..."
Masalah Sinkronisasi Data,41,40,97.56,53.92,67.5,"Halo Kak, mohon maaf atas ketidaknyamanannya. Silakan kirimkan detail kendala yang Kakak alami ke email edlink@sevima.com atau bisa disampaikan pul..."
Manajemen File dan Dokumen,36,34,94.44,142.79,76.47,"Halo Kak, mohon maaf atas ketidaknyamanannya. Terkait unggahan tugas tergantung pada batas ukuran file yg diatur oleh dosen pengajar kelas ya, jadi..."
Pengalaman Pengguna,30,28,93.33,69.03,64.29,Halo Kak. Mohon maaf atas ketidaknyamanannya. Silakan bisa kirimkan detail kendalanya ke email edlink@sevima.com ya Kak. atau bisa join ke grup edl...
Akses Akun dan Login,29,29,100.0,91.75,55.17,"Halo Kak, mohon maaf atas ketidaknyamanannya. Terkait kendala tersebut sudah kami perbaiki. Silakan melakukan update Edlink ke versi terbaru. Kakak..."
Stabilitas Sistem,26,24,92.31,25.52,50.0,"Halo Kak, mohon maaf atas ketidaknyamanannya. Silakan kirimkan detail dan gambar kendala yang Kakak alami ke email edlink@sevima.com untuk kami lak..."
Manajemen Pembaruan,20,20,100.0,327.45,45.0,"Halo Kak, mohon maaf atas ketidaknyamanannya. Silakan kirimkan detail kendala yang Kakak alami ke email edlink@sevima.com atau bisa disampaikan pul..."
Fitur Notifikasi,18,18,100.0,483.03,66.67,"Halo Kak, mohon maaf atas ketidaknyamanannya. Silakan kirimkan detail kendala yang Kakak alami ke email edlink@sevima.com atau bisa disampaikan pul..."
Integritas Data Akademik,16,16,100.0,61.19,68.75,"Halo Kak, terkait kendala verifikasi sudah kami sesuaikan ya. Silakan dicoba untuk mengupdate Edlink ke versi terbaru. Jika masih ada kendala lain,..."
Performa Aplikasi,15,15,100.0,45.75,46.67,"Halo Kak, mohon maaf atas ketidaknyamanannya. Terkait kendala tersebut sudah kami perbaiki. Silakan melakukan update Edlink ke versi terbaru. Kakak..."
Fungsionalitas Aplikasi,14,13,92.86,144.42,76.92,"Halo Kak, mohon maaf atas ketidaknyamanannya. Saat ini, fitur ini sedang dalam proses penyesuaian oleh tim teknis kami, mohon ketersediaannya untuk..."
Lain-lain / Noise,9,9,100.0,459.88,55.56,"Halo Kak, terkait hal ini mohon pastikan Kakak melakukan aktivitas di kelas Akademik / yang berada di RPS. Dan pastikan sudah menginstall versi ter..."
Sistem Pembayaran,9,9,100.0,18.23,55.56,"Halo Kak, mohon maaf atas ketidaknyamanannya. Terkait hal ini, silahkan dapat dikoordinasikan dengan Pihak Perguruan Tinggi, karena metode pembayar..."
