topic_id,topic_name,sentiment,business_category,sub_issue,merge_group,review_count,percentage,average_score,total_thumbs_up,top_keywords,sample_reviews
0,Mohon Tolong Saya,negatif,Masalah Notifikasi dan Akses,Notifikasi tidak muncul dan kendala akses akun pengguna,NOTIFICATION_AND_ACCESS_ISSUE,169,14.89,1.32,237,"mohon, tolong, saya, diperbaiki, edlink, min, tidak, bisa, di, ya","Min kok makin lama edlink ini kok makin gak bagus ya, notifikasi pemberitahuan tidak pernah muncul, jari sampai sampai saya tertinggal kuliah. Mohon di perbaiki lagi ya | Mohon maaf kak edlink setelah di upgrade kok jadi lebih susah dalam upload tugas terus kalau ada pemberitahuan tidak muncul di layar hp | tolong perbaiki lagi.... akun adikku tidak bisa masuk, tidak bisa ngambil krs dll.... banyak banget kendalanya.... tolong untuk developer optimalkan lagi...."
1,Tugas Mengirim Download,negatif,Masalah Pengunggahan dan Pengunduhan,Gagal mengunggah tugas dan mengunduh materi pembelajaran,FILE_TRANSFER_ERROR,116,10.22,1.23,191,"tugas, mengirim, download, di, tiba, tidak, nya, buka, yang, sudah","Ini kenapa gak bisa buka tugas sama kolom komentar. Aku instal ulang juga lama progresnya. Kirain kuota ku tapi buka YouTube lancar lancar aja tolong dong ini urgent mau kuisss ni😭😭😭😭 | Down server terus ah jelek. Mau upload tugas pas deadline malah ga bisa buka. Apk bagus lah, lebih bagus di hapus. | semenjak update, mau download materi jadi ga bisa lg. udh di refresh, relog, coba uninstall, ttp ga bisa di download. kacau, mana notif materi/tugas baru selalu telat, bahkan ga muncul sama sekali"
2,Email Sudah Login,negatif,Masalah Autentikasi Pengguna,Gagal login dan kendala verifikasi email,LOGIN_AUTHENTICATION_ERROR,100,8.81,1.24,182,"email, sudah, login, verifikasi, kode, akun, benar, padahal, masuk, bisa","Tidak bisa masuk, padahal sudah sesuai akunnya dengan Siakad, disuruh ganti email malah tidak bisa. | Ini knp masih gabisa login ya? Pdhl Nim sama password nya udh bnr. Tampilan nya stuck di awal. | Kode verifikasi kok gk ada di gmail kirim berulang ulang gk nimbul juga,aplikasi menyusah kan"
3,Buruk Lumayan Lambat,negatif,Kualitas Aplikasi Umum,Performa aplikasi buruk dan tidak responsif,GENERAL_PERFORMANCE_ISSUE,72,6.34,1.15,31,"buruk, lumayan, lambat, good, ribet, sangat, baik, punten, ok, berfungsi",Jelek | Jelek | Buruk
4,Kenapa Bisa Tidak,negatif,Masalah Stabilitas Server,Aplikasi tidak bisa dibuka dan kesalahan server,SERVER_CONNECTION_ERROR,66,5.81,1.27,39,"kenapa, bisa, tidak, masuk, kok, di, perbarui, edlink, ya, ke","kenapa edlink ga bisa di buka sudah berkali kali di instal taoi ga bisa masuk masuk buka edlink ny | kenapa edlink saya ga bisa kebuka terus yaa?? katanya ada kesalahan server mulu, jadi sering error kenapa ya? | Knapa g bisa di download ya"
5,Yang Mahasiswa Kita,negatif,Pengalaman Pengguna dan UI,Tampilan baru menyulitkan dan fitur tidak nyaman,USER_EXPERIENCE_FEEDBACK,57,5.02,1.3,251,"yang, mahasiswa, kita, di, dan, dosen, membantu, saya, fitur, tidak","Kenapa setelah di perbaharuui justru mempersulit pemakainya ? Kemaren kemaren aplikasi nya sangat membantu hlo. Saya bisa ngliat tugas udah dikumpulin belum,tugas yang ngumpulin siapa aja dan bisa diubah jika ada kesalahan. Setelah diperbaharui malah jadi ga nyaman. Ayolah support kita mahasiswa mahasiswi yang menggunakan aplikasi ini. Tolonggg bangett | Sekarang saya kecewa sama tampilan baru dari edlink, menurut saya lebih efektif versi yang lama. versi baru ribet, dan jika loading suka lama. Saat saya mau copas jawaban disuruh dosen tidak bisa harus mengetik ulang, jika saya absen saya harus diabsenkan teman lewat akun saya karena hp saya lcd nya rusak dan sebagian huruf tidak bisa diketik kecuali di layar lansdcap. saran saya tolong perbaiki dan jika bisa edlink bisa menerapkan layar landscap karena akan membantu memudahkan saya terimakasih. | Maaf sebelumnya, kenapa setelah di upgrade malah makin mempersulit untuk mengumpulkan tugas dan file tugas yang telah kita kerjakan juga tidak terlihat setelah deadline. Sedangkan sebelum upgrade file tugas masih bisa terlihat bahkan ke save di edlink. Jadi kan kita gak bisa buka lagi file tugas kita klo begini hanya dosen saja yang bisa melihat nya, lalu bagaimana mahasiswa bisa mengoreksi mana yang salah dan benar nya. Menurut saya lebih baik bagi perfoma sebelum upgrade"
6,Eror Mulu Lambat,negatif,Masalah Stabilitas Server,Aplikasi sering mengalami error dan lambat,SERVER_CONNECTION_ERROR,47,4.14,1.23,46,"eror, mulu, lambat, banget, erornya, aplikasinya, suka, didownload, nya, guna",Aplikasi nya eror | Download nya suka eror | Error mulu... Gak guna
7,Bug Banyak Bermasalah,negatif,Kualitas Aplikasi Umum,Banyak bug dan aplikasi tidak berfungsi baik,GENERAL_PERFORMANCE_ISSUE,45,3.96,1.13,0,"bug, banyak, bermasalah, aplikasi, buruk, 13, goblok, loading, kentang, beberapa",Aplikasi rusak 👍🏻 | banyak bug | Banyak bug👎
8,Kelas Yang Muncul,negatif,Masalah Sinkronisasi Data,Data kelas tidak muncul dan gagal absensi,DATA_SYNC_ISSUE,41,3.61,1.24,50,"kelas, yang, muncul, jadwal, dosen, di, saya, ada, postingan, krs","Ini knpa ya ...kn ada kelas baru atau materi baru ..padahal udh di refresh tapi gak muncul2 dan saya cek juga di notif gk ada ...padahal dosen udh memberikan materi tersebut...apakah eror atau gmna ini jelaskan?? | Kok bisa""nya abis logout pas masuk lagi ke aplikasi semua data hilang tugas dan modul dari dosen tbtb ga ada, pdhl blom gw kerjain😢 | Kok saya ga bisa absen, setelah scan QR malah ngefreeze dan ga muncul konfirmasi hadir kelas. Jadi saya ga terhitung hadir."
9,Makin Banget Nih,negatif,Pengalaman Pengguna dan UI,Aplikasi semakin lambat dan sulit digunakan,USER_EXPERIENCE_FEEDBACK,40,3.52,1.23,8,"makin, banget, nih, buat, lama, versi, aplikasi, enggak, ribet, rusak","Serius makin ribet benar ini edlink, gak bisa kebuka lah, lodingnya buat ribet, apa gak ada versi lain | Gabisa di update Makin lama makin parah aja edlink ni | Lag, uploud file lama kali, storage sikit (pelit bet), makin rusak ni app"
