Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,9,-1_detailnya_memperbarui_kountol_rodo,"['detailnya', 'memperbarui', 'kountol', 'rodo', 'pakei', 'kelasku', 'iki', 'hh', 'hawcz', 'embuh']","['suka error enggak bisa dibuka loading mulu enggak bisa masuk jadinya saya suka tidak ikut kelas dan susah mengumpulkan tugas yang dikumpulkan di edlink sekarang sudah tidak ada notifikasi mohon diperbaiki segera terima kasih', 'update sekarang kurang bagus jadi setelah selesai mengerjakan tugas tidak hilang sih tugas nya tidak seperti sebelum update setelah update jadi tidak hilang kalau sudah mengerjakan tugas jadi pusing lihat nya kalau tugas nya numpuk begitu terus enggak bisa lihat list orang yang sudah mengerjakan tugas mohon di perbaiki setelah di perbaiki baru ku kasih bintang lima', 'akun tiba tiba keluar sendiri kalau login ulang email sama password salah padahal biasanya betul sudah dari kemarin tetap tidak bisa login walaupun sudah login pakai akun google tetap tidak bisa aplikasi sudah di update tetap tidak bisa kalau masuk semua data data bahkan tugas semuanya hilang tolong secepatnya di perbaiki karena sangat merugikan bagi mahasiswa yang menggunakannya apalagi kalau kumpul tugas']",Detailnya Memperbarui Kountol
0,68,0_email_verifikasi_kode_login,"['email', 'verifikasi', 'kode', 'login', 'akun', 'sudah', 'benar', 'padahal', 'pakai', 'masuk']","['setelah login langsung masuk ke pengaturan akun untuk verifikasi email dan setelah memasukkan kode verifikasi saat klik verifikasi tidak bisa', 'tidak bisa verifikasi kode padahal kode verifikasi sudah sesuai dengan yang dikirim di email', 'untuk verifikasi akun google enggak jelas padahal sudah memasuki kode dengan benar malah enggak bisa masuk dengan keterangan gagal mengganti email padahal email dan kode verifikasi sudah benar dan sesuai']",Email Verifikasi Kode
1,38,1_gara_mulu_tugas_aku,"['gara', 'mulu', 'tugas', 'aku', 'nilai', 'ngerjain', 'ngumpul', 'universitas', 'eror', 'muter']","['sangat lambat sekali nilai uts ku jadi kecil gara gara keluar sendiri di aplikasinya', 'benerin server nya oiiii jangan update fitur mulu nilai uts ku jadi cuman dapat rendah gara gara gagal fokus', 'edlink sarap lambat muter muter terus kerjaanya loding lama gara gara sia aing telat ngerjakeun tugas mau ngumpulin tugas loadingnya lama banget deh']",Gara Mulu Tugas
2,31,2_buruk_good_ok_baik,"['buruk', 'good', 'ok', 'baik', 'indonesia', 'mengecewakan', 'sangat', 'bagus', 'versi', 'mimpi']","['good', 'good', 'good']",Buruk Good Ok
3,29,3_bisa_login_dapat_akses,"['bisa', 'login', 'dapat', 'akses', 'enggak', 'tidak', 'susah', 'unduh', 'ajjj', 'noob']","['tidak mendukung paket belajar', 'kagak bisa login bray', 'edlink taekkkk enggak bisa di akses di web']",Bisa Login Dapat
4,27,4_lambat_cacat_rusak_gasuka,"['lambat', 'cacat', 'rusak', 'gasuka', 'my', 'broken', 'as', 'lumyan', 'responsif', 'meresahkan']","['cacat', 'lambat aduh', 'my unimerz']",Lambat Cacat Rusak
5,34,5_diperbaiki_tolong_mohon_pemberitahuan,"['diperbaiki', 'tolong', 'mohon', 'pemberitahuan', 'perbaiki', 'lagi', 'servernya', 'notifikasi', 'sistemnya', 'seperti']","['mohon maaf kadang tidak ada notifikasi muncul materi atau tugas atau kuis di hp saya tolong di perbaiki lagi ya', 'kurang baik kalau sudah diperbarui versinya masih lelet lambat tolong perbaiki sistemnya saat ngezoom online tidak bisa terhubung', 'tolong untuk koneksinya diperbaiki diaplikasi android ataupun di web di pc sering down tolong diperbaiki']",Diperbaiki Tolong Mohon
6,31,6_dong_tolong_kuliah_saya,"['dong', 'tolong', 'kuliah', 'saya', 'tugas', 'online', 'ya', 'mas', 'diperbaiki', 'edlink']","['tolong bantu dong sampai sekarang edlinknya enggak bisa dibuka sudah dari 2minggu masih muter terus tolong lah ini jadi ketinggalan matkul terus mohob segera bantu', 'maaf sebelumnya nih tolong dong buat edlink diperbaiki lagi sistemnya kalau mau mengirim tugas dll suka lambat padahal koneksi jaringan stabil terimakasih', 'mas mbak operator edlink saya kenapa enggak bisa save file kepenyimpanan hp terus filenya gabusa dibuka juga padahal sudah di izinkan dipengaturan hp nya tapi tetap enggak bisa juga tolong sarannya susah banget begini mau buka file materi kuliah']",Dong Tolong Kuliah
7,24,7_upload_lah_pokoknya_buru,"['upload', 'lah', 'pokoknya', 'buru', 'sih', 'banget', 'ada', 'tugas', 'nya', 'habis']","['kenapa sih fitur yang mahasiswa yang sudah ngumpulin diilangin krmn di hp sekarang di laptop begitu padahal buat menambah motivasi bagi aku kadang suka senang keren kamu mahasiswa pertama yang mengumpulkan jari kayak dapat motivasi buat belajar juga wkwk', 'kalau bisa enggak usah lah di upgrade2 eror kali ntahapa pun habis aplikasi di hp ku loh semua kuhapus gara-gara upgrade tolong lah ya jadikan sekali saja yang bagus begitu semua lengkap di aplikasi nih biar enggak usah upgrade2 capek kali loh belum lagi saat di buka loading', 'suka bingung kalau di laptop berkas hasil downloadan nya pergi kemana di cari cari kga ada ada ada yang bisa langsung meminta save tapi kebanyakan bacaannya doang terunduh tapi berkasnya enggak tau kemana']",Upload Lah Pokoknya
8,23,8_download_logo_kok_ya,"['download', 'logo', 'kok', 'ya', 'lambat', 'bisa', 'knapa', 'install', 'kenapa', 'sevima']","['kok download di tab huawei tidak bisa ya padahal butuh', 'face recognition tidak bisa diubah bagaimana nih developer', 'mengapa edlink sevima ini tidak bisa di download di android ya bagaimana caranya biar bisa di download']",Download Logo Kok
9,46,9_tugas_mengirim_hilang_tiba,"['tugas', 'mengirim', 'hilang', 'tiba', 'tugasnya', 'kirim', 'tidak', 'klaim', 'teman', 'mau']","['barusan sudah update eh malah saat mau mengirim tugas tidak bisa tidak kebaca atau tidak ditemukan begitu file nya bagaimana sih iniiii malah bentar lagi deadline takut terus begini', 'ini kenapa tidak bisa buka tugas sama kolom komentar aku instal ulang juga lama progresnya mengira kuota ku tapi buka youtube lancar lancar saja tolong dong ini urgent mau kuisss nih', 'aplikasi nya sering keluar mulu apalagi saat ngumpulin tugas masa tugas nya tiba-tiba hilang padahal tulisan nya berhasil upload jadinya tugasnya tidak ke kumpul dan tidak bisa upload ulang karena sudah ditutup deadline tugasnya']",Tugas Mengirim Hilang
10,27,10_update_makin_optimal_rusak,"['update', 'makin', 'optimal', 'rusak', 'dikit', 'setelah', 'melalui', 'tambah', 'pembaruan', 'suruh']","['aplikasi kontol dikit dikit update', 'makin kesini makin gjls mending download epep', 'ed link sekarang kurang optimal di banding sebelum update']",Update Makin Optimal
11,23,11_download_bagus_jaringan_notif,"['download', 'bagus', 'jaringan', 'notif', 'telat', 'sinyal', 'susah', 'lama', 'loading', 'malah']","['ada notif meminta update klik lah update tidak bs2 akhirnya uninstal coba download lagi eror tidak bisa dondload2 sinyak bagus tapi tidak bisa download juga sinyal muter2 dari smlm sudah coba direstrt hp nya tetap tidak bisa super bad buruk sejeelek2nya', 'tolong perbaiki fitur download filenya kok susah download notifikasi susah muncul kukira tidak respon atau bagaimana jadi pencet 2 satu 3x lagi dan ternyata notif downloadnya telat muncul alhasil file yang ke download jadi numpuk terus kadang juga proses download gagal tolong fix ya min', 'disini saya kecewa dikarenakan edlink susah dibuka kalau pakai internetan dari kartu indosat padahal kuota unlimited dipakai buat medsos game mobile mbah google baik-baik saja bahkan lancar kecepatan juga mbps giliran pakai buat buka edlink malah loading terus lambat kayak tidak ada kuota malah kecepatan berubah 0 00 kbps parahhhh terus juga kalau pakai hp iphone malah dibatesi mulai dari cara download tugas kumpul tugas dll']",Download Bagus Jaringan
12,27,12_terima_mendownload_edlink_dosen,"['terima', 'mendownload', 'edlink', 'dosen', 'saya', 'kasih', 'aplikasi', 'karena', 'kepada', 'pembelajaran']","['tolong update lagi dan perbaiki bug ketika sedang mengakses edlink via website ketika kami mengetik secara bersaman di forum kelas saya sangat terganggu dengan fitur notice writing nya itu akan menggangu dan memperlambat waktu ketika kita mengetik', 'terima kasih edlink gara gara aplikasi ini nilai saya bermasalah dan di cap pembohong edlink memang aplikasi belajar yang sangat tidak berguna terima kasih', 'tolong kepada pihak pengembang saya sudah mendownload materi komen dll kenapa saya masih tidak terbaca mendownload dan komen di absen dosen saya tolong diperbaiki lagi sangat mengganggu kami dalam penilaian dan saran saya juga ada notifikasi walaupun tidak saat membuka aplikasi ini terima kasih']",Terima Mendownload Edlink
