Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,9,-1_detailnya_memperbarui_kountol_rodo,"['detailnya', 'memperbarui', 'kountol', 'rodo', 'pakei', 'kelasku', 'iki', 'hh', 'hawcz', 'embuh']","['terlalu sering memperbarui jadi kelasku terhambat', '0 h hh hawcz v zee saja aku wzs saat', 'deh wisseng pakei jadi kau walekki siddi bintang']",Detailnya Memperbarui Kountol
0,169,0_mohon_tolong_saya_diperbaiki,"['mohon', 'tolong', 'saya', 'diperbaiki', 'edlink', 'min', 'tidak', 'bisa', 'di', 'ya']","['saya ketinggalan tugas kuliah gara gara edlink tidak bisa menemukan file pdf saya sudah berkonsultasi ke dosen tapi edlink dosen nya tidak kenapa update kali ini edlink sudah bisa digunakan untuk mendownload materi sebelum nya tidak bisa mohon segera diperbaiki', 'mohon maaf kadang tidak ada notifikasi muncul materi atau tugas atau kuis di hp saya tolong di perbaiki lagi ya', 'kok tidak bisa dibuka ya aplikasi nya tolong dong diperbaiki lagi aplikasi nya']",Mohon Tolong Saya
1,116,1_tugas_mengirim_download_di,"['tugas', 'mengirim', 'download', 'di', 'tiba', 'tidak', 'nya', 'buka', 'yang', 'sudah']","['setelah di update malah makin kacau buka materi yang isinya video youtube tidak bisa buka materi yang bentuknya pdf keterangannya di hp enggak ada aplikasi yang bisa buka padahal sudah di download dari sebelum di perbarui cuma mau buka saja tidak bisa padahal di hp ada beberapa aplikasi bawaan buat buka file pdf', 'tolong lah di buat versi lama saja susah mengirim tugas file nya tidak bisa di unduh selalu lelet kalau buka edlink setelah di instal ke versi baru versi lama sudah bagus kali menurut ku jangan di ganti lah tolong', 'update sekarang kurang bagus jadi setelah selesai mengerjakan tugas tidak hilang sih tugas nya tidak seperti sebelum update setelah update jadi tidak hilang kalau sudah mengerjakan tugas jadi pusing lihat nya kalau tugas nya numpuk begitu terus enggak bisa lihat list orang yang sudah mengerjakan tugas mohon di perbaiki setelah di perbaiki baru ku kasih bintang lima']",Tugas Mengirim Download
2,100,2_email_sudah_login_verifikasi,"['email', 'sudah', 'login', 'verifikasi', 'kode', 'akun', 'benar', 'padahal', 'masuk', 'bisa']","['akun tiba tiba keluar sendiri kalau login ulang email sama password salah padahal biasanya betul sudah dari kemarin tetap tidak bisa login walaupun sudah login pakai akun google tetap tidak bisa aplikasi sudah di update tetap tidak bisa kalau masuk semua data data bahkan tugas semuanya hilang tolong secepatnya di perbaiki karena sangat merugikan bagi mahasiswa yang menggunakannya apalagi kalau kumpul tugas', 'tidak bisa verifikasi kode padahal kode verifikasi sudah sesuai dengan yang dikirim di email', 'untuk verifikasi akun google enggak jelas padahal sudah memasuki kode dengan benar malah enggak bisa masuk dengan keterangan gagal mengganti email padahal email dan kode verifikasi sudah benar dan sesuai']",Email Sudah Login
3,72,3_buruk_lumayan_lambat_good,"['buruk', 'lumayan', 'lambat', 'good', 'ribet', 'sangat', 'baik', 'punten', 'ok', 'berfungsi']","['buruk', 'sangat sangat menyebalkan mengrjakan tugas jadi terhambat tidak bisa copy saat dengan baik perbaiki lagi deh kalau bisa di update harusnya bguss ini malah makin buruk', 'halo aplikasi anda buat sangat boleh mengecewakan saya update ke versi terbaru tiba² error bagaimana mau maju pendidikan indonesia ini saat pandemi sedangkan aplikasi buatan indonesia saja buruk dan tidak bagus']",Buruk Lumayan Lambat
4,66,4_kenapa_bisa_tidak_masuk,"['kenapa', 'bisa', 'tidak', 'masuk', 'kok', 'di', 'perbarui', 'edlink', 'ya', 'ke']","['kak kenapa saya tidak bisa masuk ke aplikasi nya', 'saya tidak bisa masuk edlink sudah di upgrade padahal tapi saat masuk kok tidak bisa ya sudah di instal ulang tetap saja tidak bisa masuk', 'kenapa saya tidak bisa masuk ke akun edlink saya']",Kenapa Bisa Tidak
5,57,5_yang_mahasiswa_kita_di,"['yang', 'mahasiswa', 'kita', 'di', 'dan', 'dosen', 'membantu', 'saya', 'fitur', 'tidak']","['fitur untuk melihat yang sudah mengerjakan kenapa di hapus padahal fitur itu sangat membantu untuk tahu siapa saja yang sudah kerjain supaya bisa mengingatkan bagi yang belum mengerjakan tolong kembalikan fitur tersebut', 'sebenarnya aplikasinya sangat lengkap dan sangat membantu tapi apabila dosen mengirimkan draft tugas tidak masuk di edlink di siakad memang masuk notifikasinya tapi terlalu ribet menggunakan siakad yang harus login setiap kali ingin masuk terkadang ketika dosen mengirimkan tugas kita tidak tahu karena notifikasi di edlink tidak masuk penggunaan siakad juga terlalu ribet digunakan dihp tolong untuk diperbaiki lagi terima kasih', 'maaf sebelumnya kenapa setelah di upgrade malah makin mempersulit untuk mengumpulkan tugas dan file tugas yang telah kita kerjakan juga tidak terlihat setelah deadline sedangkan sebelum upgrade file tugas masih bisa terlihat bahkan ke save di edlink jadi kan kita tidak bisa buka lagi file tugas kita kalau begini hanya dosen saja yang bisa melihat nya lalu bagaimana mahasiswa bisa mengoreksi mana yang salah dan benar nya menurut saya lebih baik bagi perfoma sebelum upgrade']",Yang Mahasiswa Kita
6,47,6_eror_mulu_lambat_banget,"['eror', 'mulu', 'lambat', 'banget', 'erornya', 'aplikasinya', 'suka', 'didownload', 'nya', 'guna']","['edlink banyak erornya membuat saya tidak dapat menjawab qius dengan benar dan saya mendapatkan nilai 0 saya protes ke dosen tidak diterima sudah 5 saya mendapatkan 0 dalam qius tersebut karena kesalahan edlink ini apakah edlink bisa memperbaiki nilai saya yang 0 tersebut karena sering server down ini tidak bisa buat aplikasi yang benar lah perbesar kapasitasnya anda bisa menjawab meminta maaf tapi saya mengulang 1 semester untuk 1 mata kulia tersebut', 'aplikasi nya eror', 'eror mulu']",Eror Mulu Lambat
7,45,7_bug_banyak_bermasalah_aplikasi,"['bug', 'banyak', 'bermasalah', 'aplikasi', 'buruk', '13', 'goblok', 'loading', 'kentang', 'beberapa']","['banyak bug', 'banyak bug', 'banyak bug']",Bug Banyak Bermasalah
8,41,8_kelas_yang_muncul_jadwal,"['kelas', 'yang', 'muncul', 'jadwal', 'dosen', 'di', 'saya', 'ada', 'postingan', 'krs']","['mata kuliah saya kok tidak ada ya di kelas edlink padahal di krs dan khs ada tapi di kelasnya kagak ketek matkul saya bagaimana nih ya solusinya', 'ini kenapa edlink macet kalau mau lihat apa yang di kirim dosen yang terbaru harus melewati notif kalau lewat kelas tidak muncul padahal biasanya muncul tapi habis di upgrad seperti enggak ada kelas yang baru cuman yang lama kan jadi susah ribet banget jadi menyesal upgrad nya', 'ini tidak tahu masalahnya datang dari kampusnya atau memang dari aplikasinya yang dimana mata kuliah yang muncul dibagian menu transkrip tidak lengkap dan nilai ipknya juga beda dengan yang ada pada menu kemajuan belajar dan ada mata kuliah yang hilang pada menu kemajuan belajar juga sehingga mengurangi sks yang ada saya tidak tahu ini dari aplikasinya atau kampus dan masalah lainnya tidak bisa melihat nilai dari periode sebelumnya']",Kelas Yang Muncul
