topic_id,topic_name,sentiment,business_category,sub_issue,merge_group,review_count,percentage,average_score,total_thumbs_up,top_keywords,sample_reviews
0,Suka Eror Keluar,netral,Stabilitas Aplikasi,Aplikasi sering eror dan lambat saat diakses,PERFORMANCE_BUG,23,8.39,3.0,19,"suka, eror, keluar, kadang, banget, lambat, lihat, sering, akunnya, akses",Banyak eror nya | sering eror | Kadang loading nya lama
6,Saya Terima Kasih,netral,Fungsionalitas Sistem,Kendala sinkronisasi data tugas dan akses KRS,SYSTEM_ERROR,22,8.03,3.0,46,"saya, terima, kasih, tulisan, tolong, tidak, min, di, mohon, jadwal","Halo kak ini kenapa ya edlink saya ga muncul tugas dari sir nya sedangkan teman teman saya yang lain ada aneh juga ga bisa di update tolong kak kerja samanya supaya aplikasinya pas ada tugasnya ga error terima kasih🙏🏻 | Saya bingun kenapa Aplikasinya klo kita cek KRS tidak bisa langsung kembali  ke menu halama, tolong tanggapannya. Trims. | Min urgent ini kenapa ya token bermasalah terus, padahal baru download dan baru login, mau ngisi KRS jd gabisa karena selalu ada tulisan ""token bermasalah"" mohon bantuannya terima kasih"
3,File Tugas Bisa,netral,Manajemen Tugas,Gagal mengunggah atau mengunduh dokumen tugas,TASK_MANAGEMENT_ISSUE,22,8.03,3.0,13,"file, tugas, bisa, enggak, tidak, saya, filenya, mau, mengirim, di","kenapa setelah di update banyak masalah. seperti tidak bisa mengunduh tugas ,upload tugas lemot | Kenpa sya mau mengupload tugas tapi tdk bisa, katanya sudah penuh penyimpanan edlinknya | Kenapa tidak bisa mengirimkan file atau dokumen dalam pengerjaan tugas nya. Saya sudah cari alternatif tapi tetap tidak bisa"
12,Tugas Notif Ngumpulin,netral,Notifikasi dan Pengingat,Notifikasi tugas terlambat muncul atau tidak berfungsi,NOTIFICATION_BUG,19,6.93,3.0,53,"tugas, notif, ngumpulin, ada, muncul, perbarui, min, mohon, notifikasi, tidak","Aplikasi Bagus, mempermudah untuk melakukan pengiriman penugasan. Tapi... Ada tapinya nih..... Aplikasinya kadang nge bug di notifikasi. Masak dosen udh buat room pengantaran tugas notifikasinya ga muncul. Sampai ga ngantar loh tugas loh aku. Bagaimana ini nilai saya dipertaruhkan!! Mohon ditindak lanjuti donkk | Seringnya bug notif tugas muncul,terus masalah jadwal kehadiran diweb siakad saya tertera hadir 2 kali namun di apk jadwal kehadirannya masih 0 tolong tanggapannya kalau sudah teratasi mungkin saya naikkan ke bintang 5 | Maaf min knpa notif tugas nya masuk setelah 20 mnit.... Kan jdi telat masuk klas nya Mohon di perbaiki"
1,Ok Qr Scan,netral,Pengalaman Pengguna,Ulasan positif terkait fitur QR scan,USER_FEEDBACK,19,6.93,3.0,8,"ok, qr, scan, gud, absen, gooood, goood, misal, too, gudd",Gud | Gud | Ok
2,Kode Verifikasi Login,netral,Autentikasi Pengguna,Masalah login dan kegagalan kode verifikasi,LOGIN_ERROR,17,6.2,3.0,4,"kode, verifikasi, login, akun, masuk, email, sudah, bisa, tidak, daftar","min hari ini edlink lagi error??? koga bisa masuk via google?? notifnya ""token tidak valid"" | Kenapa saya ga bisa masuk, walaupun saya udh masukin kode verifikasi nya dan gagal terus. Plis tolong di bantu ya | Tolong jelasin min untuk daftar ke edlink tidak ada pesan masuk kode verifikasinya dan ketika langsung lanjutkan dengan akun google malah langsung keluar dari apk edlink??"
5,Jaringan Banget Buka,netral,Stabilitas Aplikasi,Aplikasi lambat dibuka meski jaringan stabil,PERFORMANCE_BUG,17,6.2,3.0,10,"jaringan, banget, buka, aplikasi, dibuka, lancar, nya, padahal, saja, lama","jaringan lancar, tapi pas buka edlink lemot nya minta ampun, sama yang di web nya juga kadang gk bisa dibuka samsek | ini knp ya aku mau masuk ke apknya tapi loading trs padahal make WiFi | Ketika mau buka edlink lama banget terkadang jg gak mau dibuka, padahal jaringan penuh."
11,Untuk Mahasiswa Tersebut,netral,Pengembangan Fitur,Saran penambahan fitur dan keamanan ujian,FEATURE_REQUEST,15,5.47,3.0,27,"untuk, mahasiswa, tersebut, gambar, yang, fitur, dan, atau, tugas, saran","Entah kenapa saya tidak suka fitur yang sudah menyelesaikan sesuatu (tugas atau quiz) selalu ada pesan notifikasi ke email mahasiswa. Jika perlu dihilangkan lebih baik di aplikasi saja ditampilkannya. Dan dimohon untuk ada notifikasi deadline seperti dulu, agar teringat untuk mengerjakan tugas/quiz. Terimakasih | Tolong dikembalikan fitur untuk melihat mahasiswa yang sudah mengerjakan tugas, dikarenakan ada yang suka tidak terkirim tugasnya, jadi sebagai temen harus bantu melihat tugas kita sudah terkirim atau belum. | saran dari saya sebagai mahasiswa untuk di tingkatkan keamanan aplikasinya saat sedang mengikuti UAS supaya tidak bisa keluar masuk untuk menyontek,, dan juga keamanan supaya soalnya tidak bisa di skrinsut dan di foto.mungkin ini spele tapi sangat berpengaruh untuk kualitas berpikir mahasiswa. terima kasih"
9,Bagus Lumayan Nih,netral,Pengalaman Pengguna,Ulasan umum positif terhadap aplikasi,USER_FEEDBACK,15,5.47,3.0,5,"bagus, lumayan, nih, sudah, adlink, maauaknya, jarigan, meskipun, menginstal, logo",Lumayan bagus | cukup bagus | Lumayan baik
13,Perbaiki Tolong Edlink,netral,Fungsionalitas Sistem,Kendala akses fitur absensi dan notifikasi,SYSTEM_ERROR,15,5.47,3.0,29,"perbaiki, tolong, edlink, di, absensi, saya, selalu, buka, yang, berbunyi","Tolong diperbaiki edlink ini, kenapa saya gak bisa buka ed link nya ? Saya ada keperluan dengan dosen , Tolong di perbaiki | Download KTM di edlink ndk biasa buka Tolong di perbaiki | Tolong pihak edlink Perbaiki aplikasinya Saya kuliah telat Mulu Kenapa diedlink tidak ada fitur Notifikasi yang Berbunyi? Tolong tambahkan notifikasi yg berbunyi sprt aplikasi lain,Dan Juga Untuk Postingan terbaru selalu ada dibawah postingan lama tolong saya kira tidak ada tugas dari dosen"
8,Versi Yang Edlink,netral,Stabilitas Sistem dan Aksesibilitas,Kegagalan akses aplikasi dan integrasi sistem setelah pembaruan,SYSTEM_ACCESS_ERROR,14,5.11,3.0,30,"versi, yang, edlink, ini, tidak, bisa, pada, di, diakses, bingung","Tidak bisa terhubung dengan siakad semenjak di perbarui yang terahir Mau masuk edlink dari sistem kampus ga bisa dusuruh download dulu di playstore padahal udah di download yang versi terbarunya tolong dibantu perbaiki | Tolong dilakukannya perubahannya seperti awal, seperti versi yang sebelum 4.9.8 ini. kenapa fitur-fiturnya banyak yang tidak bisa, contohnya: ketika dosen share link Google Drive, tidak bisa di klik file nya. Ketika disalin ke chrome, dikatakan file sudah dihapus. Mohon perbaikannya🙏🏻 | Tolong diperbaiki edlink nya. baru-baru ini tidak dapat diakses karena kesalah server. mau app ataupun web. saya hanya bisa akses yg web kalau aktifkan Cloudflare WARP. Kalau yg app android tidak bisa diakses"
4,Ya Kenapa Sinkronisasi,netral,Fungsionalitas Aplikasi,Kendala teknis pada fitur unduh materi dan pengiriman tugas,FUNCTIONAL_BUG,14,5.11,3.0,8,"ya, kenapa, sinkronisasi, bisa, kelas, tidak, gabung, eeee, saya, error",Kenapa ga bisa download materi dan susah login ya | Ga bisa kirim tugas kenapa yah | Kenapa tidak bisa hapus file di personal ya ?
