Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,5,-1_itu_tahu_kepotong_dunia,"['itu', 'tahu', 'kepotong', 'dunia', 'dss', 'celana', 'puas', 'rt5tzx', 'tammpilan', 'tak']","['kenapa versi terbaru 4 9 8 edlink sekarang setelah diperbaharui dari versi sebelum nya menjadi buruk kami para mahasiswa yang menggunakan platform edlink ini pada tidak bisa terbuka link drive yang di share dosen kami di materi pada edlink dan juga link semester lama yang sudah ada juga pada tidak bisa dibuka kembali lagi padahal di versi sebelumnya tidak pernah begini mohon bantuannya segera diperbaiki kami butuh segera dan secepatnya mempelajari materi dari yang di share dosen kami di edlink', 'teruntuk developer edlink saya tidak bisa presensi barcode di karenakan kamera dari edlink buram dan tidak bisa nge scan barcode padahal saya coba di kamera hp bawaan jernih mungkin ada bug di aplikasi edlink hp saya oppo a54 mohon perbaiki secepatnya karena sangat mengganggu aktivitas perkuliahan saya mohon segera di perbaiki secepatnya terimakasih', 'aplikasi ini bagus tapi makin lama makin menurun saja ya tiap refresh atau kembali ke beranda pasti nge close2 sendiri padahal jaringan stabil pakai buka apa saja cepat aplikasi ini doang bermasalah dan sring banget gangguan kalau pakai indihome tolong diperbaiki dong ujian juga kadang keganggu gara-gara sring error pakai indihome']",Itu Tahu Kepotong
0,23,0_suka_eror_keluar_kadang,"['suka', 'eror', 'keluar', 'kadang', 'banget', 'lambat', 'lihat', 'sering', 'akunnya', 'akses']","['lambat banget bahkan tidak keluar apa yang kita mau lihat', 'lambat banget susah akses masuknya', 'huuuuuu scam indak ado ahlak nian']",Suka Eror Keluar
1,19,1_ok_qr_scan_gud,"['ok', 'qr', 'scan', 'gud', 'absen', 'gooood', 'goood', 'misal', 'too', 'gudd']","['ok', 'ok', 'not too good']",Ok Qr Scan
2,17,2_kode_verifikasi_login_akun,"['kode', 'verifikasi', 'login', 'akun', 'masuk', 'email', 'sudah', 'bisa', 'tidak', 'daftar']","['tolong jelasin min untuk daftar ke edlink tidak ada pesan masuk kode verifikasinya dan ketika langsung lanjutkan dengan akun google malah langsung keluar dari aplikasi edlink', 'ketika login sudah berkali kali mengirim kode verifikasi ke email tetap tidak terkirim kodenya', 'min kenapa ya saat mau atur akun edlink daftar akun baru kode verifikasi nya tidak mau terverifikasi tolong bagaimana solusinya karena aplikasi ingin dipakai selama perkuliahan']",Kode Verifikasi Login
3,22,3_file_tugas_bisa_enggak,"['file', 'tugas', 'bisa', 'enggak', 'tidak', 'saya', 'filenya', 'mau', 'mengirim', 'di']","['saya tidak bisa download file dan buka file juga upload file tugas bagaimana solusinya ya', 'halo mengapa device saya tidak bisa menerima tugas dari dosen sedangkan device teman saya bisa dan ada device teman saya juga yang tidak bisa menerima tugas dengan catatan 404 not found', 'halo min kenpa edlink punya saya saat mau mengirim tugas saat di cek di folder dalam hp mengapa tidak ada filenya ya padahal filenya ada seperti tidak terbaca file yang akan di kirim dalam bentuk pdf']",File Tugas Bisa
4,14,4_ya_kenapa_sinkronisasi_bisa,"['ya', 'kenapa', 'sinkronisasi', 'bisa', 'kelas', 'tidak', 'gabung', 'eeee', 'saya', 'error']","['tombol kumpulkan tugas dan comment tidak bisa di klik kenapa ya', 'kenapa ya melampirkan file format dokumen di kolom jawaban tidak bisa', 'ed link kenapa punya saya error putih jadi tidak bisa ikut gabung vidio conference kampus']",Ya Kenapa Sinkronisasi
5,17,5_jaringan_banget_buka_aplikasi,"['jaringan', 'banget', 'buka', 'aplikasi', 'dibuka', 'lancar', 'nya', 'padahal', 'saja', 'lama']","['bang sering nge bug bang aplikasinya kayak saat main nembus tembok di mid lane', 'jaringan lancar tapi saat buka edlink lambat nya meminta ampun sama yang di web nya juga kadang tidak bisa dibuka samsek', 'kenapa apl nya meminta di update mulu kalau sinyal kecil gbsa dibuka apl nya yaampun kendala banget kuliah online']",Jaringan Banget Buka
6,22,6_saya_terima_kasih_tulisan,"['saya', 'terima', 'kasih', 'tulisan', 'tolong', 'tidak', 'min', 'di', 'mohon', 'jadwal']","['mohon maaf jika saya memberi bintang 3 untul saat ini saya ingin bertanya min kapan fitur upload file nya diperbaiki saat ini saya sangat perlu untuk mengupload file tetapi dikatakan saat ini fitur upload file dinonaktitkan tolong segera diperbaiki min soalnya tugas saya sudah deadline untuk besok', 'pembaharuan saat ini terdapat bug dimana akun keluar sendiri dan tugas yang sudah di upload dengan keterangan berhasil pada saat di cek di hari berikutnya ternyata tidak terinput tolong di perbaiki terima kasih', 'halo kak ini kenapa ya edlink saya tidak muncul tugas dari sir nya sedangkan teman teman saya yang lain ada aneh juga tidak bisa di update tolong kak kerja samanya supaya aplikasinya saat ada tugasnya tidak error terima kasih']",Saya Terima Kasih
7,14,7_dulu_tambahkan_fitur_qr,"['dulu', 'tambahkan', 'fitur', 'qr', 'pakai', 'hape', 'sulit', 'belajar', 'zoom', 'presensi']","['sulit di bagian regist', 'tambahkan fitur widget', 'coba belajar dulu baru kasih bintang3']",Dulu Tambahkan Fitur
8,14,8_versi_yang_edlink_ini,"['versi', 'yang', 'edlink', 'ini', 'tidak', 'bisa', 'pada', 'di', 'diakses', 'bingung']","['tolong dilakukannya perubahannya seperti awal seperti versi yang sebelum 4 9 8 ini kenapa fitur fiturnya banyak yang tidak bisa contohnya ketika dosen share link google drive tidak bisa di klik file nya ketika disalin ke chrome dikatakan file sudah dihapus mohon perbaikannya', 'tidak bisa terhubung dengan siakad semenjak di perbarui yang terahir mau masuk edlink dari sistem kampus tidak bisa dusuruh download dulu di playstore padahal sudah di download yang versi terbarunya tolong dibantu perbaiki', 'tolong tambahkan progress pengiriman upload file ke cloud penyimanan pribadi dan tambahkan pemilihan lebih dari satu saat upload ke penyimpanan cloud serta pecepat respon server dan perhalus user interaface nya agar lebih nyaman saat menggunakan edlink sisanya sudah bagus']",Versi Yang Edlink
9,15,9_bagus_lumayan_nih_sudah,"['bagus', 'lumayan', 'nih', 'sudah', 'adlink', 'maauaknya', 'jarigan', 'meskipun', 'menginstal', 'logo']","['lumayan nih aplikasi', 'lumayan baik', 'lumayan bagus']",Bagus Lumayan Nih
10,12,10_update_baru_habis_saya,"['update', 'baru', 'habis', 'saya', 'lagi', 'telah', 'masih', 'di', 'katanya', 'harus']","['setelah di update tidak jelas', 'habis di update masuknya lelet', 'jangan kebanyakkan update lah hp saya kentang nih']",Update Baru Habis
11,15,11_untuk_mahasiswa_tersebut_gambar,"['untuk', 'mahasiswa', 'tersebut', 'gambar', 'yang', 'fitur', 'dan', 'atau', 'tugas', 'saran']","['ada sedikit kekurangan yang akan membuat fatal bagi mahasiswa dalam penilaian gambar yang diupload kedalam tugas jikalau kita klik gambar tersebut nanti akan terpotong tapi masih bisa diakalin dengan mendownload terlebih dahulu gambar tersebut mohon untuk tim developer aplikasi memperbaiki masalah ini jadi kalau kita atau bahkan dosen mengklik gambar tersebut gambar tidak terpotong jadi tidak perlu untuk mendownload terlebih dahulu dan semoga cepat update asap', 'mohon maaf sebelumnya kak mohon izin untuk memberikan saran terkait dengan fitur yang ada pada edlink secara keseluruhan semuanya aman dan baik edlink ini sangat membantu dalam setiap mengumpulkan tugas akan tetapi kak saran dari saya untuk fitur yang bisa melihat mahasiswa lain yang sudah mengumpulkan tugas itu di adakan kembali karena sebagai pengguna lama sudah terbiasa dan nyaman dengan fitur tersebut terima kasih sebelumnya kak saya berharap dapat diadakan kembali untuk fitur tersebut', 'mohon evaluasi jadwal update aplikasi sangat merugikan jika update wajib dilakukan mendekati masa uts uas tidak semua hp update otomatis dan terkadang update di play store belum tersedia meski ujian dimulai akibatnya saya dan teman teman alami error saat kuis nilai kosong karena dianggap tidak ikut ujian selain itu aplikasi sering lag saat kuis meski internet stabil mohon buat masa tenang update saat ujian terima kasih']",Untuk Mahasiswa Tersebut
