Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,4,-1_niceeeee_gooooodddd_take_gooooooooooooooooood,"['niceeeee', 'gooooodddd', 'take', 'gooooooooooooooooood', 'uuuu', 'easy', 'itu', '', '', '']","['sip', 'sip', 'sip']",Niceeeee Gooooodddd Take
0,711,0_di_dan_bisa_aplikasi,"['di', 'dan', 'bisa', 'aplikasi', 'tidak', 'saya', 'edlink', 'ini', 'yang', 'sangat']","['membantu sekali aplikasi nya', 'edlink sangat membantu selama perkuliahan online terima kasih edlink', 'edlink sangat membantu dosen dan mahasiswa dalam proses belajar mengajar terima kasih edlink']",Di Dan Bisa
1,72,1_mantap_mantab_bajotz_euy,"['mantap', 'mantab', 'bajotz', 'euy', 'terbaikkkk', 'الحمد', 'luarbiasa', 'slur', 'mantaaaaapppppp', 'mantabbbb']","['mantap', 'mantap', 'mantap']",Mantap Mantab Bajotz
2,72,2_good_nice_very_and,"['good', 'nice', 'very', 'and', 'excellence', 'comment', 'no', '100', 'like', 'sukses']","['good', 'good', 'good']",Good Nice Very
3,57,3_mantul_gud_1000_great,"['mantul', 'gud', '1000', 'great', 'kulia', 'baii', 'daebak', 'manwa', 'mantulpis', 'joob']","['mantul', 'mantul', 'mantul']",Mantul Gud 1000
4,51,4_suka_lumayan_aman_memudahkan,"['suka', 'lumayan', 'aman', 'memudahkan', 'itu', 'memuaskan', 'menyenangkan', 'menarik', 'cinta', 'luas']","['suka', 'suka', 'suka ngelag gasuka']",Suka Lumayan Aman
5,50,5_bagus_baunaget__,"['bagus', 'baunaget', '', '', '', '', '', '', '', '']","['bagus', 'bagus', 'bagus']",Bagus Baunaget 
6,37,6_ok___,"['ok', '', '', '', '', '', '', '', '', '']","['ok', 'ok', 'ok']",Ok  
7,35,7_membantu_sangat_mwmbantu_sungguh,"['membantu', 'sangat', 'mwmbantu', 'sungguh', 'akademik', 'pelajaran', 'cukup', 'kami', 'keren', 'saya']","['aplikasinya sangat membantu', 'sangat membantu', 'cukup membantu']",Membantu Sangat Mwmbantu
8,33,8_keren_luar_biasa_amazing,"['keren', 'luar', 'biasa', 'amazing', 'hebat', 'wow', 'bangus', 'cakep', 'masyaallah', 'uin']","['keren', 'keren', 'keren']",Keren Luar Biasa
9,27,9_bagus_sejauh_ini_,"['bagus', 'sejauh', 'ini', '', '', '', '', '', '', '']","['bagus', 'bagus', 'bagus']",Bagus Sejauh Ini
10,24,10_baik_insyaallah_lebih_,"['baik', 'insyaallah', 'lebih', '', '', '', '', '', '', '']","['baik', 'baik', 'insyaallah baik']",Baik Insyaallah Lebih
11,23,11_bagus_sangat_wow_cocok,"['bagus', 'sangat', 'wow', 'cocok', 'cukup', 'membantu', 'dan', '', '', '']","['sangat bagus', 'sangat bagus', 'sangat bagus']",Bagus Sangat Wow
12,17,12_terbaik_best_the_top,"['terbaik', 'best', 'the', 'top', 'toplah', 'profesional', 'excellent', 'aplikasi', '', '']","['terbaik', 'terbaik', 'terbaik']",Terbaik Best The
13,17,13_oke_okee_okey_edlink,"['oke', 'okee', 'okey', 'edlink', '', '', '', '', '', '']","['oke', 'oke', 'oke']",Oke Okee Okey
14,15,14_baik_sangat_beri_cukup,"['baik', 'sangat', 'beri', 'cukup', 'nilai', 'saya', '', '', '', '']","['sangat baik', 'sangat baik', 'beri saya nilai']",Baik Sangat Beri
15,13,15_good_is_for_use,"['good', 'is', 'for', 'use', 'aplikasi', 'aplikations', 'luck', 'go', 'now', 'tanks']","['this aplikasi is good', 'tanks verymuch is the best', 'sok good is aplikasi for study']",Good Is For
