business_category,total_negative_reviews,replied_reviews,reply_rate_%,median_reply_delay_hours,wa_redirection_rate_%,sample_admin_reply
Layanan Konsultasi Medis,1027,1024,99.71,0.55,99.61,"Halo Issas Antayirp, mohon maaf atas keluhan yang dialami. Kami sedang berupaya memperbaikinya secepatnya. Jika masih butuh bantuan atau ingin meni..."
Layanan Pengiriman Obat,402,402,100.0,0.77,99.75,"Halo aKang ojan, mohon maaf atas keluhan yang dialami. Kami akan membantumu. Mohon sampaikan detail kendalamu via DM ke @HalodocID (X) atau @Halodo..."
Stabilitas Aplikasi,24,24,100.0,2.05,100.0,"Halo Diah Ratnasari, mohon maaf atas keluhan yang dialami. Kami akan membantumu. Mohon sampaikan detail kendalamu via DM ke @HalodocID (X) atau @Ha..."
Kualitas Layanan Medis,23,23,100.0,1.04,100.0,"Halo Adiva Amelia24, mohon maaf atas keluhan yang dialami. Kami sedang berupaya memperbaikinya secepatnya. Jika masih butuh bantuan atau ingin meni..."
Layanan Farmasi,13,13,100.0,0.45,100.0,"Halo Citra Rosita, mohon maaf atas keluhan yang dialami. Kami sedang berupaya memperbaikinya secepatnya. Jika masih butuh bantuan atau ingin menind..."
Layanan Pembayaran dan Refund,12,12,100.0,0.18,100.0,"Halo Riesma Cahya Anggraini, mohon maaf atas keluhan yang dialami. Kami sedang berupaya memperbaikinya secepatnya.  Jika masih butuh bantuan atau i..."
Layanan Pelanggan,8,8,100.0,0.41,100.0,"Halo Resky, mohon maaf atas keluhan yang dialami. Kami akan membantumu.  Mohon sampaikan detail kendalamu via DM ke @HalodocID (X) atau @Halodoc (I..."
Promosi dan Voucher,8,8,100.0,0.16,100.0,"Halo Dispssin SP, mohon maaf atas keluhan yang dialami. Kami sedang berupaya memperbaikinya secepatnya.  Jika masih butuh bantuan atau ingin menind..."
Kebijakan Harga,7,7,100.0,0.65,100.0,"Halo Bagaskoro Hanitio, mohon maaf atas keluhan yang dialami. Kami sedang berupaya memperbaikinya secepatnya.  Jika masih butuh bantuan atau ingin ..."
Aksesibilitas Aplikasi,4,4,100.0,0.61,100.0,"Hai Alvano Ziraluo! Mohon maaf atas ketidaknyamanannya. Untuk dapat kami bantu lebih lanjut terkait kendala yang kamu alami, silakan hubungi CS kam..."
