reviewId,content,topic_id,topic_name,main_topic_prob,alt_topic_1,alt_topic_1_name,alt_topic_1_prob,alt_topic_2,alt_topic_2_name,alt_topic_2_prob
7acb6891-54a9-4a40-8852-21f09006ec98,enak bngt konsulnya cepet,9,Antri Repot Perlu,0.6577212810516357,101,Ramahh Banget Suka,0.8388998508453369,141,Jiwa Laki Dokternya,0.7995287179946899
651133d5-c8f6-4a58-a6eb-c6aa1363e9e8,"Sangat membantu, pelayanan mudah dan Dokter banyak pilihan",36,Ramah Melayani Profesional,0.8177489042282104,94,Fastrespon Ramah Sopan,0.8183971643447876,25,Ramah2 Ramah Excelent,0.8143273591995239
0d719d3d-c916-4f38-826b-a9194e9eb976,oke,83,Oke Disarankan Maksimal,0.9985237121582031,90,Oke Walau Kerjanya,0.9854122400283813,1,Ok Muanya Oc,0.9386901259422302
b9060d4f-966d-4e1e-87ce-d270d6c3cfe4,dokter tanggap cepat dgn diagnosa yg tepat,116,Tanggap Cepat Respom,0.7190543413162231,184,Informasinya Riwayat Difahami,0.8018842935562134,147,Penanganan Solusi Pertolongan,0.797433078289032
84101a73-6ed3-4a5c-98e7-2369b4f92be5,the best banget bisa konsultasi langsung sama dokter yang ahli👍,59,The Best Goood,0.564215362071991,242,Dicari Harga Terjangkau,0.811048150062561,8,Dimana Dengan Konsultasi,0.7959998846054077
e594834d-6221-4524-b1a3-6de15b822291,mantap,33,Mantap Tok ,0.9999726414680481,64,Mantap  ,0.9999999403953552,71,Mantap  ,0.9999999403953552
399d1ea5-11ba-4bc5-9ecd-8ed4d656ddc6,"sangat membantu,respon cepat",117,Respon Proses Fast,0.9588714838027954,185,Super Cs Sanhat,0.916701078414917,241,Terjangkau Harga Memusakan,0.9088979959487915
8dc8f8ce-71be-464b-8dbb-06e01c29b9d8,bagus,26,Bagus Tambah Ok,0.9999194145202637,34,Bagus  ,1.0,41,Bagus  ,1.0
8aa28297-1ce9-45c3-96de-328a952f57c9,"resep obat cepat,pengiriman cepat",3,Pengiriman Pesanan Barang,0.7451058626174927,244,Terpercaya Aman Profesional,0.7091783881187439,179,Tanggapan Lugas Aktif,0.6963454484939575
fe383f45-71b8-4948-9cde-b9714bcd7d2b,"penjelasannya mudah dipahami, dan responnya cepat.",146,Responnya Cepat Diapotiknya,0.8063377141952515,212,Responya Delay Ceper,0.8299601078033447,232,Respone Penjelasanya Kom,0.8295255899429321
24e05d4b-a090-4c0c-8a2b-50d244fabe52,cepet dan akurat,132,Akurat Tepat Prosesnya,0.9465640783309937,186,Amanah Tepat Tingkatkn,0.8549637794494629,109,Mudah Cepat Dan,0.8317800760269165
fd87fa12-28dd-431e-b0bc-e4295a05438b,sangat membantu sekali untuk konsul soal kesehatan,5,Kesehatan Masalah Dalam,0.9028891921043396,138,Keluarga Bantuan Butuhkan,0.8634313344955444,235,Berguna Ekspedisi Bermanfaat,0.852005660533905
84e2254b-60dc-49ce-beb3-0131dd1549f1,mempermudah bgt,40,Banget Bantu Buat,0.8529514670372009,210,Menolong Membanty Membant,0.8416698575019836,21,Sekali Manfaat Nua,0.832953691482544
aed92f27-2a28-4069-aaac-d40425a7a45e,terimakasih..hati jadi lebih tenang stelah Konsul dokter. tanpa perlu antri poli 😉,9,Antri Repot Perlu,0.7767482995986938,180,Aku Curhat Kb,0.7587037086486816,245,Perlu Istirahat Capek,0.7579229474067688
d1c689c9-7b76-416f-8cda-38adda4b32b5,baru tau bisa pembayaran pake asuransi juga ... memudahkan banget sih halodoc,107,Asuransi Perusahaan Kantor,0.7431491613388062,23,Tercepat Keterangan Halodoc,0.7379242181777954,180,Aku Curhat Kb,0.7331359386444092
e55561a3-9724-4565-aea1-5c21b20b2235,"sangat membantu dan mempermudah sekali,terima kasih halodoc..🤝🤝🤝🤝",80,Terima Kasih Trimakasi,0.9390996694564819,156,Menciptakan Terim Terimakasih,0.9396986365318298,148,Tim Apapun Jelasin,0.9202914834022522
6dccc9ec-380a-4e70-ab2b-a9c225a0ea2c,bagus,26,Bagus Tambah Ok,0.9999194145202637,34,Bagus  ,1.0,41,Bagus  ,1.0
1ae44939-1627-4f7f-8212-00c8eb1d5877,aplikasi yang sangat membantu untuk orang yang sibuk dengan aktivitasnya,49,Negeri Aplikasi Membantuuuu,0.7934131622314453,79,Kedokter Ini Mageran,0.7776981592178345,203,Infonya Sederhana Pemberitahuan,0.7758909463882446
307baded-f4da-4881-b111-abdee3f6ad2c,"sekarang ada AI khusus buat yg punya keluhan, gercep poll dan sangat membantu😍",208,Gercep Mengobrol Slowrespon,0.7497986555099487,118,Butuh Muka Tatap,0.7632283568382263,162,Jerawat Kulit Wajah,0.7623507380485535
286b2f25-a48b-44cf-b333-248a3e570fc6,good,229,Good Jonatan Ham,0.9894203543663025,58,Good  ,1.0,81,Good  ,1.0
c97ba298-ad6b-4615-b2e6-f79e3478f4f7,dokternya ramah ramah,38,Ramah Dokternya Noviani,0.968185305595398,149,Ramah Nya Ln,0.9499413967132568,86,Dokterny Baik Dokternya,0.8984917402267456
a9dde903-c443-446e-951b-cd79ba47b3b2,first time pakai aplikasi ini dan sangat bagus. terima kasih.,17,Cocok Semoga Sembuh,0.7227122187614441,183,Terperinci Tindakan Terima,0.8288619518280029,148,Tim Apapun Jelasin,0.8250313997268677
af7e294b-eb2c-431f-b42d-82a79ebe9798,halodoc memudahkan pasien untuk mencari jawaban dari ketidak pastian,16,Berobat Pasien Memudahkan,0.6563863754272461,236,Membeli Kemudahan Mencari,0.6923530101776123,23,Tercepat Keterangan Halodoc,0.6922037601470947
b86d4317-8dde-48d0-9469-9c2c0716fd39,sangat membantu,0,Membantu Sangat Buibu,0.9999997019767761,185,Super Cs Sanhat,0.9575963616371155,198,Standart Membantunsekali Simple,0.9550213813781738
1366edad-ceac-44c7-b96b-a7b8dfd278f5,aplikasi nya friendly user sekali,191,Efisien Friendly User,0.7775447368621826,223,Dokter² Appnya Terpercaya,0.8065035343170166,221,Kebantu Apps Halodokkkk,0.7825683355331421
8cd9dd6b-9369-45ba-8a01-f09570f31f7f,"Baru pertama kali pakai app ini sangat membantu sekali, dokternya juga fast respond",55,Atikah Murah Juga,0.8648639917373657,220,Suka Trma Banget,0.8127487301826477,221,Kebantu Apps Halodokkkk,0.8095434904098511
7e4c7c23-9fc7-41d8-a803-2e9648c5c1d2,sangat membantu pasien,5,Kesehatan Masalah Dalam,0.838625431060791,246,Dibutuhkan Sangatlah Bermanfaatnya,0.8890426754951477,239,Sekali Ibu Pelosok,0.8824714422225952
ababddd4-7dfc-41fd-a3a0-5c1c70b15a29,Aplikasi yang sangat membantu,49,Negeri Aplikasi Membantuuuu,0.9920608997344971,167,Paling Berguna Topppp,0.9417897462844849,203,Infonya Sederhana Pemberitahuan,0.9223174452781677
97b18b56-ec07-41eb-aec5-aadd8e0e288b,top deeh poko nya,28,Pokoknya Toppp Top,0.8511282205581665,189,Oke Kesan Banget,0.7839032411575317,145,Ok Banget Bodi,0.7743710279464722
11a97738-2ece-43b9-9bfe-8c99cb23c1f1,bagus,41,Bagus  ,1.0,34,Bagus  ,1.0,29,Bagus  ,0.9999999403953552
a9ecb902-84a5-4ca8-ad00-b0f949957cff,semua dokternya bagus,86,Dokterny Baik Dokternya,0.8814133405685425,141,Jiwa Laki Dokternya,0.8437451124191284,38,Ramah Dokternya Noviani,0.8404767513275146
73684fd0-8834-4b4b-9833-9a5baaecfdd0,saya sangat suka dengan apk halodoc krna sangat membabtu kebutuhan saya dan bisa mempermuda segala urusan saya,96,Trimakasih Nih Kerja,0.7878015637397766,79,Kedokter Ini Mageran,0.7623520493507385,134,Adanya Ini Terbantu,0.7369931936264038
db7c5631-5dea-4d93-8420-55b93336d85d,sangat membantu sekali,63,Sekaliii Sekali Appssnya,0.9978492259979248,46,Sekali Membantu Sangat,1.0,91,Sekali Membantu Sangat,1.0
b2b12d4c-cd93-40f8-89f3-2a84e04fbd61,"mendingan ini dari pada yang apk biru, harganya juga sama aja, sangat membantu, penjelasan lengkap, dan cocok bagi yang tidak ada waktu untuk konsul langsung",199,Tanpa Malu Pelanggan,0.743438720703125,230,Pilihan Dipilih Tinggi,0.7715467214584351,227,Diantar Beli Periksa,0.7707821130752563
0934a706-dc7f-4966-a742-42cf34bbe583,baru 1 x pakai halodoc ini . semoga cocok yah resepnya nanti sy kasih nilai yg lebih pg kalo cocok,153,Coba Mencoba Baru,0.8098465204238892,180,Aku Curhat Kb,0.7837501168251038,17,Cocok Semoga Sembuh,0.7755699157714844
5ea06ec6-aeb0-4927-8da1-56e9a7dc7d1c,sangat baik,19,Baik Cukup Cukupp,0.9952107667922974,50,Bagus Sgtt Sangatt,0.9426314234733582,69,Informatif Direkomendasikan Teliti,0.8500895500183105
65410485-d419-4a9f-9cc8-c8434cd0b860,terbaik,62,Terbaik Amel Cuek,0.9594264030456543,150,Terbaik Terpercaya ,0.9989519119262695,88,Top Wilayah Up,0.8648536205291748
0cf36ae4-fc58-431c-a24f-93ec0c356d86,pokonya ok,145,Ok Banget Bodi,0.862975001335144,1,Ok Muanya Oc,0.8148568272590637,28,Pokoknya Toppp Top,0.812279462814331
f3e0b713-9660-44df-b09d-10af177d708c,okeee,67,Okeee Okee Okey,0.9488775134086609,83,Oke Disarankan Maksimal,0.9197340607643127,90,Oke Walau Kerjanya,0.9143597483634949
00e8af40-fe57-4a21-b891-fbe2fc16699d,sangat bermanfaat sekali untuk urgensi,35,Urgent Disaat Urgen,0.8051245212554932,235,Berguna Ekspedisi Bermanfaat,0.8397316336631775,138,Keluarga Bantuan Butuhkan,0.810684084892273
417051f9-7f15-481f-a3fe-1d70ccdcca97,dokter nya baik ramah,149,Ramah Nya Ln,0.950042188167572,38,Ramah Dokternya Noviani,0.9341772794723511,86,Dokterny Baik Dokternya,0.9242931604385376
ddcfab42-3354-4b12-8481-cbb8a5f80eaa,"SEMOGA PENYAKIT KU BISA HILANG, TRIMAKASIH DR.",123,Sembuh Lekas Semoga,0.8253396153450012,158,Semoga Berkah Bismillah,0.7438461780548096,17,Cocok Semoga Sembuh,0.7034361958503723
9795b0f9-8a0b-47e2-b6dd-4c806089be8a,sangat membantu sekali,46,Sekali Membantu Sangat,1.0,91,Sekali Membantu Sangat,1.0,54,Sekali Sangatt Memotivasi,0.9995464086532593
7e867c38-8177-44b5-8fca-7c68f1cd38b5,bagus dokternya Gercep,208,Gercep Mengobrol Slowrespon,0.8815333247184753,97,Bestt Semuaa Mantap,0.8625056743621826,141,Jiwa Laki Dokternya,0.8264502286911011
b4be0c2b-c69f-4aaa-8b61-4a87c561a478,bagus banget aplikasinya semuanya lengkap di situ,60,Banget Bagus Pasti,0.7917520999908447,221,Kebantu Apps Halodokkkk,0.8262370824813843,220,Suka Trma Banget,0.8184415102005005
bb393cac-1bf2-4885-8ce6-a3c32931d6a5,bagus,41,Bagus  ,1.0,34,Bagus  ,1.0,29,Bagus  ,0.9999999403953552
76ab0123-3057-4863-a2fe-2e7bd8533f04,keren banget ini aplikasinya. jadi bisa konsultasi dari rumau ga perlu ke klinik. dokternya juga ramah-ramah dan responsif. best bangetttt,130,Keren Nih Banget,0.6788101196289062,55,Atikah Murah Juga,0.8653262853622437,180,Aku Curhat Kb,0.8374191522598267
35ab6c29-9ecf-4d67-83b7-e83ef9c0a4be,"dokter"" yang aku ajak konsultasi alhamdulilahnya saat informatif",13,Penjelasan Detail Menjawab,0.7385025024414062,176,Responsif Informatif Baik²,0.725860595703125,143,Tanggap Dokternya Cepat,0.705640435218811
ab8b0e47-9a35-40d9-b879-ba251d185221,terimakasih dokternya responsif 😇,2,Dok Halo Terima,0.8327741622924805,129,Dok Assalamualaikum Tks,0.8966429233551025,176,Responsif Informatif Baik²,0.8017178773880005
760b7083-c8d8-4d53-a914-ed9a6e5477b4,bagus,65,Bagus Selalu ,0.9999189376831055,34,Bagus  ,1.0,41,Bagus  ,1.0
e5699628-9f6a-484e-a734-3df27afe4f4d,sangat membantu memberikan solusi,197,Memudahkan Hallodoc Setiap,0.9101443886756897,201,Amat Dewita Solusi,0.9153341054916382,239,Sekali Ibu Pelosok,0.9029703140258789
c3ab0431-af34-4f2f-bc93-f8cdaa856a58,"sangat membantu sekali, mudah dan dpt di pahami. tpi syang knpa stiap pakai vocer itu tidak prnh bisa atau selalu gagal. tpi smua nya oke 👍🏽",103,Diperbaiki Kenapa Error,0.734703779220581,190,Pembayaran Dana Metode,0.6982147693634033,52,Bayar Malah Tapi,0.697425365447998
84a680b5-123c-4ec6-baad-a7a56d62bf12,sangat membantu saat urgent,35,Urgent Disaat Urgen,0.9410803318023682,7,Darurat Disaat Mendesak,0.9009021520614624,75,Malam Sakit Butuh,0.8125754594802856
11f3c7da-144d-41e9-abde-25ed12c45b5c,"sangat berguna tapi... untuk konsul psikolog seperti nya kurang berguna... lebih enak konsul langsung, karna sangat terbatas waktu dan terlalu banyak bertanya tanpa solusi",235,Berguna Ekspedisi Bermanfaat,0.6717888116836548,121,Menit 30 Kurang,0.7759532332420349,243,Kadang Overthinking Please,0.7569320797920227
30bcf6f5-b3b3-49ed-b5dc-8d43ec0f6de4,"Memudahkan konsul2 dokter dn beli obat.. bisa di upgrade ga ya,, saran untuk pengambilan obat klp bisa dari lokasi terdekat customer, jd tdk perlu menunggu lama sampe 1jaman lebih,,customet di jakpus, pengambilan obat dluar jakrta pusat, jd membutuhkan wkt lama untuk urgent",35,Urgent Disaat Urgen,0.6492911577224731,137,Lokasi Alamat Apotek,0.8327938318252563,227,Diantar Beli Periksa,0.7916110157966614
