business_category,total_negative_reviews,replied_reviews,reply_rate_%,median_reply_delay_hours,wa_redirection_rate_%,sample_admin_reply
Masalah Akses Login,6059,3044,50.24,26.54,77.79,"Hi Bapak Wandi Davin, mohon maaf atas kendala aplikasi Jamsostek Mobile (JMO) yang tidak dapat dibuka. Kami sarankan untuk hapus memori (clear cach..."
Masalah Akses Aplikasi,5537,2436,43.99,17.16,75.66,"Hi Bapak Rian Firmansyah, mohon maaf atas kendala login pada aplikasi Jamsostek Mobile (JMO). Silakan memastikan email/akun dan kata sandi yang dig..."
Masalah Pembaruan Aplikasi,1186,491,41.4,25.65,69.04,"Hi Bapak Giok Fatahilah, terima kasih atas ulasan yang diberikan. Mohon maaf atas kendala yang Bapak alami pada aplikasi Jamsostek Mobile (JMO). Si..."
Masalah Stabilitas Aplikasi,907,375,41.35,25.78,63.47,"Hi Bapak Dwi Prasetyo, terima kasih atas ulasan yang diberikan. Mohon maaf atas kendala akses aplikasi, kami memahami yang Bapak rasakan saat mengg..."
Keluhan Layanan Pengguna,444,236,53.15,40.08,66.1,"Hi Bapak/Ibu Peserta BPJS Ketenagakerjaan, terima kasih atas ulasan yang diberikan. Mohon maaf atas kendala akses aplikasi, kami memahami yang Bapa..."
Kualitas Layanan Aplikasi,426,206,48.36,22.13,62.14,"Hi Bpk/Ibu, mohon maaf atas kendala yang dialami pada aplikasi Jamsostek Mobile (JMO). Silakan coba menutup aplikasi, membersihkan cache, serta mem..."
Kepuasan Pengguna,377,216,57.29,25.03,56.02,"Hi Bapak Try Ardi, terima kasih atas feedback positifnya ya. Tks -MT"
Stabilitas Aplikasi,366,147,40.16,13.63,76.19,"Hi Bapak Dany Triprasetyo, terima kasih atas ulasan yang diberikan. Mohon maaf atas kendala login aplikasi Jamsostek Mobile (JMO). Kami sarankan un..."
Masalah Pengkinian Data,301,174,57.81,51.49,79.89,"Hi Bpk AGUS SURYANTO, mohon maaf atas pengalaman yang kurang menyenangkan saat menggunakan aplikasi Jamsostek Mobile (JMO). Kami sangat menghargai ..."
Masalah Klaim JHT,280,125,44.64,32.45,80.0,"Hi Bpk/Ibu, mohon maaf atas kendala lamanya proses klaim Jaminan Hari Tua (JHT). Apabila dana JHT belum diterima, silakan hubungi layanan Call Cent..."
Kualitas Layanan Pengguna,121,61,50.41,43.85,62.3,"Hi Bapak/Ibu, terima kasih atas ulasan yang diberikan. Mohon maaf atas kendala login aplikasi Jamsostek Mobile (JMO). Kami sarankan untuk memastika..."
Verifikasi Identitas,74,59,79.73,88.97,74.58,"Hi Bapak DJaya Suryaman, mohon maaf atas kendala klaim Jaminan Hari Tua (JHT). Agar dapat kami tindaklanjuti silakan hubungi layanan Call Center 17..."
Lain-lain / Noise,73,27,36.99,23.49,59.26,"Hi Bpk widadi fahmi, kami memahami yang Bpk rasakan. Jika Bpk berkenan menyampaikan detail kendala yang dialami, silakan menghubungi kami melalui l..."
Layanan Pelanggan,53,24,45.28,24.96,79.17,"Hi Bpk Reza Rezaldi, mohon maaf atas kendala klaim. Agar dapat kami tindaklanjuti silakan hubungi layanan Call Center 175 atau melalui kanal media ..."
Kualitas Layanan,52,22,42.31,26.19,63.64,"Hi Bapak Rudi, terima kasih atas ulasan Bapak terhadap aplikasi Jamsostek Mobile (JMO). Kami akan terus berupaya meningkatkan kualitas layanan agar..."
Manajemen Data Kepesertaan,49,27,55.1,29.94,77.78,"Hi Bapak Asep, terima kasih atas ulasan yang diberikan. Mohon maaf atas kendala memasukkan kartu kepesertaan, pastikan mengisi nomor yang sesuai ya..."
Pembaruan Aplikasi,33,17,51.52,20.63,82.35,"Hi Ibu Restu, terima kasih atas ulasan yang diberikan. Mohon maaf atas kendala pada aplikasi Jamsostek Mobile (JMO). Permintaan pembaruan aplikasi ..."
Pengalaman Pengguna,31,21,67.74,25.63,66.67,"Hi Bapak Suprayitno, terima kasih atas ulasan yang diberikan. Mohon maaf atas kendala daftar akun, kami memahami yang Bapak rasakan saat menggunaka..."
