topic_id,topic_name,sentiment,business_category,sub_issue,merge_group,review_count,percentage,average_score,total_thumbs_up,top_keywords,sample_reviews
0,Sudah Tidak Di,negatif,Masalah Akses Login,Pengguna gagal masuk ke aplikasi setelah melakukan pembaruan,LOGIN_FAILURE,5701,34.83,1.18,10911,"sudah, tidak, di, saya, bisa, aplikasi, ini, dan, tolong, nya","saya MW lapor knp aplikasi ini g bisa login??? dah isi email BNR SM pass malah g bs masuk ke menu.tolong perbaiki.buat resah aja | ini kenapa habis di upgrade jadi tidak bisa dipakai aplikasi nya, jgn kn login buka aja tdk bsa | Kenapa Tidak Bisa login kembali Setelah di Update Aduhh Parah Banget nih JMO Mohon di perbaiki Aplikasi nya Mau KLAIM SALDO tapi tidak bisa Login Udah di Instal Uninstall Tetap Aja GK bisa"
1,Bisa Tidak Buka,negatif,Masalah Akses Aplikasi,Aplikasi tidak dapat dibuka setelah proses pembaruan selesai,APP_LAUNCH_FAILURE,4659,28.46,1.21,972,"bisa, tidak, buka, di, kenapa, aplikasi, dibuka, setelah, update, login",kenapa setelah update tidak bisa di buka aplikasi nya? | kenapa habis update kok malah nggak bisa di buka aplikasinya | kenapa setelah di update aplikasi tidak bisa di buka ???
2,Update Tiap Meminta,negatif,Masalah Pembaruan Aplikasi,Aplikasi terus menerus meminta pembaruan secara berulang,UPDATE_LOOP_ERROR,1070,6.54,1.19,697,"update, tiap, meminta, terus, setiap, aplikasi, close, force, sering, mulu",aplikasi kok tiap hari minta update terus | ribet... setiap mau buka aplikasi minta di update terus. | aplikasinya ribet minta update terus
3,Bisa Dibuka Tidak,negatif,Masalah Akses Aplikasi,Aplikasi mengalami kegagalan saat dibuka atau diakses,APP_LAUNCH_FAILURE,878,5.36,1.15,103,"bisa, dibuka, tidak, buka, close, force, di, terbuka, akses, log",gak bisa di buka | GK bisa di bukak | gak bisa di buka
4,Sendiri Persulit Pemerintah,negatif,Keluhan Layanan Pengguna,Proses klaim hak peserta dirasakan sangat dipersulit,USER_DISSATISFACTION,444,2.71,1.04,182,"sendiri, persulit, pemerintah, hak, ambil, uang, mau, saja, duit, makin","bukannya mempermudah malah jadi mempersulit ini aplikasi, mau ambil duit pribadi aja yang di persulit | aplikasi paling banyak ini itu , di persulit mau ambil hak sendiri juga | aplikasi makin rusak,aplikasi sampah,urusan sama instansi pemerintah emng payah,mau klaim duit sendiri aja di persulit,lebih gampang cairin duit pinjollll,"
5,Lambat Ribet Buruk,negatif,Kualitas Layanan Aplikasi,Performa aplikasi dinilai buruk dan tidak stabil,APP_PERFORMANCE_ISSUE,426,2.6,1.12,98,"lambat, ribet, buruk, payah, bosok, aplikasi, menyusahkan, lumayan, tidak, busuk",kacau | kacau | kacau
6,Mental Mulu Terus,negatif,Masalah Stabilitas Aplikasi,Aplikasi tertutup otomatis saat mencoba dibuka,FORCE_CLOSE_ERROR,368,2.25,1.17,123,"mental, mulu, terus, buka, eror, bisa, dibuka, aplikasi, tidak, kenapa","aplikasinya ngga bisa ke buka mental terus🤦🏻 | nggak bisa buka aplikasinya, mental terus | Udah gk bisa buka aplikasinya mental teruss"
7,Susah Kagak Login,negatif,Masalah Akses Login,Pengguna mengalami kesulitan saat mencoba masuk ke aplikasi,LOGIN_FAILURE,358,2.19,1.19,205,"susah, kagak, login, masuk, aplikasi, enggak, di, dibuka, ini, sudah",susah masuk aplikasi nya | apk nya susah mau masuk..entah kenapa | susah di buka aplikasinya
8,Pengkinian Data Server,negatif,Masalah Pengkinian Data,Gagal terhubung ke server saat proses pengkinian data,SERVER_CONNECTION_ERROR,301,1.84,1.2,937,"pengkinian, data, server, ke, kantor, terhubung, harus, yang, mau, sudah","pengkinian data merepotkan sudah di isi sampai tahap akhir (6) malah tidak dapet terhubung ke server apa masalahnya klo bgini lebih ribet untuk pembaruannya | kenapa jmo ini susah kali masuknya? mau konfirmasi kirim pengkinian data. malah muncul tulisan notifikasi ""tidak dapat terhubung ke server."" | untuk klaim tidak bisa kenapa ya pengkinian data selalu gagal"
9,Bagus Mantap Baik,negatif,Kepuasan Pengguna,Pengguna memberikan penilaian positif terhadap aplikasi,POSITIVE_FEEDBACK,297,1.81,1.3,16,"bagus, mantap, baik, ok, good, sangat, oke, keren, ter, buat",bagus | bagus | bagus
