Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,73,-1_bad_ecek_keluar_digunakan,"['bad', 'ecek', 'keluar', 'digunakan', 'bintang', 'aplikasiii', 'anjkng', '1dulu', 'cacaaaad', 'didowload']","['habis di update aplikasi keluar sendiri terus', 'saya kok tidak bisa login ya', 'saya tidak bisa login']",Bad Ecek Keluar
0,2292,0_tolong_tetap_mohon_hapus,"['tolong', 'tetap', 'mohon', 'hapus', 'ulang', 'instal', 'perbaiki', 'uninstall', 'install', 'download']","['aplikasi tidak bisa di buka tolong di perbaiki untuk aplikasi nya', 'kenapa aplikasi jmo tidak bisa di buka dan keluar sendiri tolong dong di perbaiki', 'tidak bisa di buka aplikasi nya tolong di perbaiki']",Tolong Tetap Mohon
1,674,1_tiap_meminta_update_setiap,"['tiap', 'meminta', 'update', 'setiap', 'hari', 'mulu', 'pembaharuan', 'pembaruan', 'bulan', 'terus']","['terlalu sering update entah apa yang di update', 'ini aplikasi baru beberapa hari di update harus di update lagi', 'jmo tiap di buka selalu update mulu']",Tiap Meminta Update
2,840,2_kantor_menunggu_bpjs_cabang,"['kantor', 'menunggu', 'bpjs', 'cabang', 'online', 'ke', 'klaim', 'kerja', 'harus', 'cair']","['kemarin saya ke kantor cabang bpjs ketenagakerjaan jl suci terus kata satpam disitu suruh ngambil antrian lewat barcode sudah barcode larinya kelapak asik terus isi data sudah beres isi data terus ada pilihan kantor cabang saya klik yang di bojong soang antrian no 2 dengan estimasi jam 12 sampai jam 13 barusan saya datang ke kantor cabang bpjs ketenagakerjaan bojong soang ternyata dapat antrian no 47 padahal dari aplikasi antrian ke 2 mohon dijelaskan sekarang pelayanan makin ribet', 'padahal tidak sampai 10jt cuman 2 6jt nyairin di jmo enggak bisa nyairin di lapak asik di suruh datang ke kantor cabang sudah datang ke kantor cabang mengantri dari jam 8 pagi di panggil jam 14 00 wkwk di tanya ini itu buset seperti pengemis cowok di buat nya wkwkwk sudah di panggil menunggu 5hari baru cair katanya wkwkwk ini sudah 5 hari tidak cair cair masa harus ke kantor cabang lagi ogah pelayanan kantor cabang lama banget deh makan saja sama lu pada itu duit wkwkwk', 'tidak bisa klaim secara langsung di kantor bpjs terdekat harus online perlu banyak perbaikan sistem klaim jht dialihkan ke lapak asik kenapa tidak buat aplikasi lapak asik saja klaim online ujung-ujung nya kita datang ke kantor bpjs ketenagakerjaan yang ada di wilayah masing-masing']",Kantor Menunggu Bpjs
3,701,3_sandi_email_password_benar,"['sandi', 'email', 'password', 'benar', 'salah', 'kata', 'pasword', 'ganti', 'login', 'reset']","['tidak bisa login email dan password sudah benar', 'ini kenapa ya aplikasi jmo tidak bisa login email dan kata sandi padahal sudah benar', 'tidak bisa login padahal email sama kata sandi sudah benar']",Sandi Email Password
4,313,4_setelah_update_semenjak_dibuka,"['setelah', 'update', 'semenjak', 'dibuka', 'malah', 'buka', 'di', 'aplikasi', 'pembaruan', 'jadi']","['setelah update malah tidak bisa di buka aplikasi nya', 'setelah update aplikasi tidak bisa di buka', 'aplikasi nya setelah di update tidak bisa di buka']",Setelah Update Semenjak
5,224,5_perbarui_setelah_di_malah,"['perbarui', 'setelah', 'di', 'malah', 'suruh', 'buka', 'play', 'habis', 'kok', 'store']","['setelah di perbarui tidak bisa di buka', 'setelah di perbarui aplikasi tidak dapat di buka', 'di perbarui terus saat di perbarui aplikasinya tidak bisa di buka']",Perbarui Setelah Di
6,258,6_habis_update_malah_dibuka,"['habis', 'update', 'malah', 'dibuka', 'setelah', 'upgrade', 'bisa', 'buka', 'di', 'sekali']","['habis update malah tidak bisa dibuka tidak jelas', 'habis di update malah tidak bisa dibuka', 'habis di update tidak bisa dibuka']",Habis Update Malah
7,232,7_android_samsung_redmi_hp,"['android', 'samsung', 'redmi', 'hp', 'pro', 'note', 'poco', 'xiaomi', 'huawei', 'force']","['setelah update aplikasi nya tambah force close di hp saya redmi note 10 pro padahal masih kompatible tapi malah force close parah update yang baru ini', 'enggak bisa di buka di xiaomi redmi note 9 pro ada yang sama', 'tidak bisa dibuka sama sekali di hp samsung a02s']",Android Samsung Redmi
8,273,8_internet_koneksi_jaringan_sinyal,"['internet', 'koneksi', 'jaringan', 'sinyal', 'wifi', 'pastikan', 'terhubung', 'bagus', 'lancar', 'padahal']","['mau mendaftar diaplikasi ini tetapi selalu gagal dengan alasan koneksi internet padahal sudah menggunakan wifi ataupun paket data tetapi selalu ada pemberitahuan pastikan koneksi internet terhubung', 'pastikan koneksi internet terhubung terus padahal ada paket data', 'kenapa saya daftar kok tidak bisa selalu ada tulisan pastikan koneksi internet terhubung padahal jaringan saya sangat bagus biar pun pakai wifi sama saja']",Internet Koneksi Jaringan
