Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,73,-1_keluar_bad_aplikasi_bintang,"['keluar', 'bad', 'aplikasi', 'bintang', 'sendiri', 'digunakan', 'ecek', 'jmo', 'guna', 'terlalu']","['jmo keluar sendiri', 'aplikasi nya keluar keluar sendiri', 'aplikasi jmo tidak bisa digunakan selalu keluar sendiri']",Keluar Bad Aplikasi
0,5701,0_sudah_tidak_di_saya,"['sudah', 'tidak', 'di', 'saya', 'bisa', 'aplikasi', 'ini', 'dan', 'tolong', 'nya']","['kenapa aplikasi jmo tidak bisa dibuka sudah saya coba instal ulang tapi tetap saja tidak bisa dibuka itu bagaimana ya', 'setelah di suruh update malah tidak bisa di buka aplikasi nya beberapa kali saya coba update tidak bisa di buka lagi aplikasi jmo nya tidak jelas lagi', 'kenapa tidak bisa login kembali setelah di update aduh parah banget nih jmo mohon di perbaiki aplikasi nya mau klaim saldo tapi tidak bisa login sudah di instal uninstall tetap saja tidak bisa']",Sudah Tidak Di
1,4659,1_bisa_tidak_buka_di,"['bisa', 'tidak', 'buka', 'di', 'kenapa', 'aplikasi', 'dibuka', 'setelah', 'update', 'login']","['setelah di update kenapa malah tidak bisa di buka', 'update aplikasi kenapa tidak bisa di buka', 'setelah aplikasi nya di update malah tidak bisa dibuka tidak bisa login']",Bisa Tidak Buka
2,1070,2_update_tiap_meminta_terus,"['update', 'tiap', 'meminta', 'terus', 'setiap', 'aplikasi', 'close', 'force', 'sering', 'mulu']","['aplikasi kok tiap hari meminta update terus', 'tiap mau buka aplikasi selalu meminta update', 'tiap di buka meminta update terus']",Update Tiap Meminta
3,878,3_bisa_dibuka_tidak_buka,"['bisa', 'dibuka', 'tidak', 'buka', 'close', 'force', 'di', 'terbuka', 'akses', 'log']","['tidak bisa di buka', 'tidak bisa di buka', 'tidak bisa di buka']",Bisa Dibuka Tidak
4,444,4_sendiri_persulit_pemerintah_hak,"['sendiri', 'persulit', 'pemerintah', 'hak', 'ambil', 'uang', 'mau', 'saja', 'duit', 'makin']","['aplikasi parah mau klaim hak kita sendiri saja di persulit', 'aplikasi tidak bisa di buka sama sekali tidak jelas mau ambil hak sendiri di persulit', 'mau ambil hak sendiri saja sih persulit']",Sendiri Persulit Pemerintah
5,426,5_lambat_ribet_buruk_payah,"['lambat', 'ribet', 'buruk', 'payah', 'bosok', 'aplikasi', 'menyusahkan', 'lumayan', 'tidak', 'busuk']","['lambat', 'aplikasi buruk ribet', 'aplikasi lambat ribet']",Lambat Ribet Buruk
6,368,6_mental_mulu_terus_buka,"['mental', 'mulu', 'terus', 'buka', 'eror', 'bisa', 'dibuka', 'aplikasi', 'tidak', 'kenapa']","['di buka mental terus', 'tidak bisa di buka mental terus', 'di buka mental terus tidak bisa']",Mental Mulu Terus
7,358,7_susah_kagak_login_masuk,"['susah', 'kagak', 'login', 'masuk', 'aplikasi', 'enggak', 'di', 'dibuka', 'ini', 'sudah']","['susah login', 'susah login', 'susah login']",Susah Kagak Login
8,301,8_pengkinian_data_server_ke,"['pengkinian', 'data', 'server', 'ke', 'kantor', 'terhubung', 'harus', 'yang', 'mau', 'sudah']","['tidak bisa update pengkinian data', 'pengkinian data tidak bisa terus', 'tidak bisa pengkinian data']",Pengkinian Data Server
9,297,9_bagus_mantap_baik_ok,"['bagus', 'mantap', 'baik', 'ok', 'good', 'sangat', 'oke', 'keren', 'ter', 'buat']","['bagus', 'ok baik', 'ok mantap']",Bagus Mantap Baik
10,286,10_sering_kebanyakan_terlalu_update,"['sering', 'kebanyakan', 'terlalu', 'update', 'pembaruan', 'error', 'terhenti', 'aplikasi', 'keseringan', 'banyak']","['aplikasi terlalu sering update', 'aplikasi terlalu sering update', 'terlalu sering update pembaruan']",Sering Kebanyakan Terlalu
11,280,11_jht_klaim_pencairan_proses,"['jht', 'klaim', 'pencairan', 'proses', 'mau', 'lama', 'bsu', 'susah', 'claim', 'banget']","['mau klaim jht kok tidak bisa ya', 'klaim jht susah', 'tidak bisa di klaim jht nya']",Jht Klaim Pencairan
12,253,12_sampah_tolol_aplikasi_busuk,"['sampah', 'tolol', 'aplikasi', 'busuk', 'forclose', 'eror', 'rusak', 'malah', 'buruk', 'bagus']","['aplikasi sampah', 'aplikasi sampah', 'malah tidak bisa di buka aplikasi sampah']",Sampah Tolol Aplikasi
13,121,13_buruk_pelayanan_sangat_puas,"['buruk', 'pelayanan', 'sangat', 'puas', 'memuaskan', 'respon', 'lambat', 'kurang', 'layanan', 'nya']","['pelayanan buruk', 'pelayanan lambat sangat buruk', 'pelayanan sangat buruk']",Buruk Pelayanan Sangat
14,116,14_mulu_update_updet_terus,"['mulu', 'update', 'updet', 'terus', 'terusan', 'menerus', 'sikit', 'mintak', 'abdet', 'sih']","['update mulu', 'update mulu', 'update mulu']",Mulu Update Updet
15,112,15_2026_mei_tanggal_sudah,"['2026', 'mei', 'tanggal', 'sudah', 'bulan', 'minggu', 'hari', 'ini', '2025', 'bisa']","['ini kenpa tidak bisa dibuka ya padahal sudah download ulang tanggal 30 mei 2026', 'kenapa aplikasi jmo tidak bisa di buka sudah 1 minggu ini dari tanggal 23 mei 2026 sampai sekarang 29 mei 2026 kenapa woy tanggung jawab jmo jangan² uang kami di korupsi', 'dari 25 mei 2026 sampai hari ini 29 mei masih tidak bisa dibuka aplikasinya']",2026 Mei Tanggal
16,80,16_membantu_sangat_bermanfaat_bagus,"['membantu', 'sangat', 'bermanfaat', 'bagus', 'sekali', 'aplikasi', 'bukan', 'tapi', 'yang', 'ini']","['sangat membantu', 'sangat membantu', 'sangat membantu']",Membantu Sangat Bermanfaat
17,74,17_biometrik_foto_verifikasi_gagal,"['biometrik', 'foto', 'verifikasi', 'gagal', 'klaim', 'saja', 'saat', 'mau', 'kali', 'jht']","['ini bagaimana mau klaim jht susah amat foto biometrik tahu sudah gagal 3 kali padahal sama sekali belum di coba tolong perbaiki', 'setiap foto biometrik gagal mulu', 'foto biometrik gagal terus']",Biometrik Foto Verifikasi
18,66,18_jmo_saya_buka_bisa,"['jmo', 'saya', 'buka', 'bisa', 'tidak', 'membal', 'negeri', 'di', 'kebuka', 'paswort']","['jmo saya tidak bisa di buka', 'jmo saya tidak bisa di buka', 'jmo saya tidak bisa di buka']",Jmo Saya Buka
19,65,19_force_close_closed_mulu,"['force', 'close', 'closed', 'mulu', 'forceclose', 'audio', 'camerax', 'terus', 'bufferedaudiostream', 'dibuka']","['force close mulu', 'force close mulu', 'force close mulu']",Force Close Closed
20,53,20_pelayanan_sangat_agent_bot,"['pelayanan', 'sangat', 'agent', 'bot', 'buruk', 'kurang', 'layanan', 'wa', 'pengaduan', 'dengan']","['pelayanan pengaduan online yang sangat lelet parah', 'aplikasi buruk kurang bagus pelayanan lambat', 'aplikasi ini sangat buruk pelayanan nya buat ambil hak sendiri saja dipersulit juga petugas nya pun sangat sangat buruk pelayanan nya']",Pelayanan Sangat Agent
21,52,21_jelas_pengaduan_tros_upah,"['jelas', 'pengaduan', 'tros', 'upah', 'ruwet', 'gaji', 'tidak', 'laporan', 'akurat', 'yang']","['aplikasi tidak jelas', 'aplikasi tidak jelas', 'aplikasi tidak jelas']",Jelas Pengaduan Tros
