Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,91,-1_baik_luar_goood_jos,"['baik', 'luar', 'goood', 'jos', '𝚋𝚒𝚜𝚊', '𝕒𝕡𝕝𝕚𝕜𝕒𝕤𝕚', '𝕛𝕞𝕠', 'biasa', 'nyaman', 'ca']","['saya bintang 3 saja karena setiap kali buka jmo selalu update terus dalam sebulan 2 kali update tolong di perbaiki lagi kalau memang mau update jangan tiap buka jmo juga', 'force close terus', 'kenapa aplikasi jmo ini malah susah buka tolong diperbaiki lagi']",Baik Luar Goood
0,87,0_bagus_simple_mudah_,"['bagus', 'simple', 'mudah', '', '', '', '', '', '', '']","['bagus', 'bagus', 'bagus']",Bagus Simple Mudah
1,60,1_ok_best_the_bak,"['ok', 'best', 'the', 'bak', 'oklh', 'lihat', 'nanti', 'lah', 'membantu', 'banget']","['ok', 'ok', 'ok']",Ok Best The
2,65,2_niat_buka_bisa_tidak,"['niat', 'buka', 'bisa', 'tidak', 'aplikasai', 'gunikan', 'upded', 'sminggu', 'ngeback', 'bro']","['tidak bisa dibuka bro', 'sulit untuk di gunikan atau di buka', 'tidak bisa di buka setelah pembaharuan antara niat dan tidak niat']",Niat Buka Bisa
3,37,3_membantu_sangat_bahkn_deteksi,"['membantu', 'sangat', 'bahkn', 'deteksi', 'kalikali', 'trbantu', 'penggabungan', 'nol', 'akhir²', 'urus']","['sangat membantu', 'sangat membantu', 'sangat membantu']",Membantu Sangat Bahkn
4,34,4_buk_buka_blanja_berhnti,"['buk', 'buka', 'blanja', 'berhnti', 'aplikasine', 'gercep', 'wlou', 'mjo', 'ketutup', 'perdi']","['eror tidak bisa blanja pulsa', 'aplikasi jmo indak bisa di log ini wlou sudah di update', 'saya tidak bisa membuka aplikasi ini perdi buka ketutup sendiri']",Buk Buka Blanja
5,34,5_tiap_pasti_updatenya_setiap,"['tiap', 'pasti', 'updatenya', 'setiap', 'perasaan', 'harus', 'mau', 'update', 'suruh', 'kuota']","['perasaan setiap kali mau buka aplikasi selalu disuruh update wkwkwk', 'tiap kali buka aplikasi pasti suruh update', 'paan deh updatenya dari pleystrore mulu enggak bisa apa updatenya langsung dari aplikasi tanpa harus ke playstore lagian updatenya juga kecil kecilan doang bukan update besar']",Tiap Pasti Updatenya
6,36,6_activitythread_java_at_android,"['activitythread', 'java', 'at', 'android', 'lang', 'provider', 'beres', 'berfungsi', 'nge', '6672']","['terkadang aplikasi tidak support ke handphone tertentu', 'di aplikasi terbaru aplikasi tidak bisa masuk aplikasi terhenti android 10', 'tidak bisa berfungsi force close saat beres install']",Activitythread Java At
7,52,7_benar_email_sandi_password,"['benar', 'email', 'sandi', 'password', 'padahal', 'login', 'username', 'dan', 'kata', 'pas']","['kok habis update tidak bisa login padahal email dan password sudah benar', 'tidak bisa login padahal email pas deh benar', 'kenapa saya tidak bisa login padahal email dan sandi sudah benar']",Benar Email Sandi
8,46,8_uninstal_upgrade_instal_hapus,"['uninstal', 'upgrade', 'instal', 'hapus', 'ulang', 'beberapa', 'download', 'coba', 'tetap', 'mohon']","['sudah instal ulang tapi belum bisa juga di gunakan ada permintaan upgrade sudah di upgrade tapi belum bisa juga di gunakan sudah di tunda 1x24 masih juga belum bisa di buka ini aplikasi ada apa dngn aplikasi ini mohon solusinya', 'bagaimana mengatasi masalah aplikasi terus berhenti sudah pakai uninstal hapus data memori ceace apa sgala macam sudah di coba masih sama hasil nya mohon solusi nya', 'kenapa tidak bisa dibuka aplikasi lalu ada peringatan muncul jmo ditutup karena aplikasi ini memiliki bug coba perbaharui aplikasi setelah pengembang aplikasi memperbaiki kesalahan ini sekarang saya harus bagaimana sudah lama sekali seperti ini padahal saya sudah uninstal lalu pasang kembali pernah juga saya uninstal lalu memberi tenggat waktu yang lama tapi tidak ada perubahan setelah dipasang kembali mohon bantuannya untuk masalah ini terimakasih']",Uninstal Upgrade Instal
9,33,9_tlng_kendala_jmonya_jmp,"['tlng', 'kendala', 'jmonya', 'jmp', 'jmo', 'kok', 'disruh', 'gabusa', 'tman2', 'uppdate']","['kok tidak bisa buka jmonya kenapa ya dsuruh hapus riwayat dulu', 'kok tidak bisa dibuka aplk bpjs nya tlng diperbaiki cepat', 'kenapa tidak bisa di buka jmp saya keterangannya jmp terus berhenti']",Tlng Kendala Jmonya
10,28,10_oke_biasa_okeeee_sipt,"['oke', 'biasa', 'okeeee', 'sipt', 'okeh', 'okay', 'okey', 'saja', 'puas', 'cuman']","['oke', 'oke', 'oke']",Oke Biasa Okeeee
11,39,11_bpjs_daftar_penerima_nomor,"['bpjs', 'daftar', 'penerima', 'nomor', 'iuran', 'bayar', 'kepesertaan', 'upah', 'bsu', 'terdaftar']","['tolong kerjasamanya ya saya baru daftar online bpjs ketenagakerjaan bukan penerima upah hari ini aku malah daftar 2 kali dan sudah bayar malah tapi kenapa saat login tidak bisa ya mohon solusinya', 'kenapa saya tidak bisa buka akun dan alasan nomor kepesertaan tidak di temukan lalu nomor kepesertaan dari perusahaan gunanya apa nik dan nomor bpjs sudah benar tolong kenapa di persulit untuk login', 'saya ingin nanyakan jmo dulu pernah daftar peserta bpjs tenaga kerja tidak akti lagi bekerja pt baru daftar baru tapi buka jmo tidak bisa buka lupa email nya dan no hp bagaimana caranya jmo bisa di buka apkah email nya hsrus di reset ulang atau bagaimana meminta penjelasan nya']",Bpjs Daftar Penerima
12,37,12_eror_suka_kadang_sering,"['eror', 'suka', 'kadang', 'sering', 'logout', 'loadingnya', 'error', 'kurang', 'akum', 'erornya']","['kadang suka eror', 'suka eror', 'suka eror tidak jelas']",Eror Suka Kadang
13,28,13_setiap_harus_muak_meminta,"['setiap', 'harus', 'muak', 'meminta', 'diupdate', 'terusan', 'sih', 'selalu', 'tiap', 'dbantu']","['kenapa setiap kali buka aplikasi harus selalu diupdate', 'kenapa aplikasi ini selalu di update setiap kali mau buka', 'saya muak setiap buka aplikasi jmo harus diperbaharui dulu muak saya']",Setiap Harus Muak
14,45,14_pengkinian_data_kabupaten_peningkatan,"['pengkinian', 'data', 'kabupaten', 'peningkatan', 'memuat', 'melakukan', 'kita', 'berhasil', 'wilayah', 'ta']","['kenapa tidak bisa pengkinian data', 'tidak bisa pengkinian data', 'tidak bisa pengkinian data']",Pengkinian Data Kabupaten
15,24,15_good_nice_operation_all,"['good', 'nice', 'operation', 'all', 'goodjob', 'like', 'job', 'ok', '', '']","['good', 'good', 'good']",Good Nice Operation
16,22,16_baik_sangat_terpecaya_sekali,"['baik', 'sangat', 'terpecaya', 'sekali', 'dan', 'ya', '', '', '', '']","['sangat baik', 'sangat baik', 'baik dan terpecaya']",Baik Sangat Terpecaya
17,26,17_bintang_dulu_kasih_nanti,"['bintang', 'dulu', 'kasih', 'nanti', 'cair', 'kalau', 'entar', 'bintangnya', 'full', 'tiga']","['saya bintang 3 dulu nanti setelah klaim jht berhasil saya kasih 5', 'bintang tiga dulu min entar kalau klaim jht berhasil baru kasih bintang 5', 'segini dulu bintangnya nanti kalau sudah cair klaim jht saya langsung saya full kan bintangnya terimakasih']",Bintang Dulu Kasih
18,28,18_dbuka_kebuka_kok_ho,"['dbuka', 'kebuka', 'kok', 'ho', 'notifnya', 'akhir', 'jumat', 'dibisa', 'dhp', 'saampai']","['kok tidak bisadi buka appnya', 'kok aplikasi nya tidak bisa kebuka ya padahal hp saya memenuhi standar', 'kok tidak bisa dibuka ya appk nya baru download nih what hepend']",Dbuka Kebuka Kok
19,42,19_perbarui_setelah_blank_lancar,"['perbarui', 'setelah', 'blank', 'lancar', 'di', 'putih', '4x', 'diplaystore', 'dibuk', 'perbaruin']","['setelah di perbarui aplikasi nya tidak bisa di buka', 'setelah di perbarui aplikasinya malah tidak bisa di buka', 'setelah di perbarui aplikasi tidak bisa di buka']",Perbarui Setelah Blank
20,37,20_dibuka_bagaiamana_apa_sulit,"['dibuka', 'bagaiamana', 'apa', 'sulit', 'macam', 'diupgrade', 'aplikasih', 'aplikasi', 'balik', 'punya']","['aplikasi tidak bisa dibuka', 'aplikasi sulit dibuka setelah pembaharuan', 'aplikasi buruk saldo tidak muncul']",Dibuka Bagaiamana Apa
