Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,91,-1_baik_luar_biasa_goood,"['baik', 'luar', 'biasa', 'goood', 'jos', '𝕒𝕡𝕝𝕚𝕜𝕒𝕤𝕚', '𝚋𝚒𝚜𝚊', '𝕛𝕞𝕠', 'nyaman', 'sangat']","['baik', 'baik', 'baik']",Baik Luar Biasa
0,1646,0_bisa_tidak_di_aplikasi,"['bisa', 'tidak', 'di', 'aplikasi', 'buka', 'kenapa', 'sudah', 'saya', 'login', 'jmo']","['ini kenapa aplikasi jmo tidak bisa di buka', 'kenapa aplikasi jmo saya tidak bisa di buka', 'aplikasi jmo saya kok tidak bisa di buka kenapa ya padahal sudah saya update']",Bisa Tidak Di
1,253,1_update_tiap_setiap_terus,"['update', 'tiap', 'setiap', 'terus', 'mulu', 'harus', 'aplikasi', 'buka', 'meminta', 'mau']","['update mulu nih aplikasi tolong lah masa tiap mau buka harus update', 'kenapa setiap mau buka aplikasi jmo selalu meminta di update ya', 'kenapa tiap kali buka aplikasi ini meminta update terus']",Update Tiap Setiap
2,235,2_buka_bisa_tidak_jmo,"['buka', 'bisa', 'tidak', 'jmo', 'kenapa', 'di', 'kok', 'dibuka', 'ya', 'keluar']","['kenapa tidak bisa di buka ya aplikasi jmo nya', 'kenapa jmo tidak bisa di buka', 'kenapa tidak bisa di buka jmo']",Buka Bisa Tidak
3,199,3_bagus_baik_sangat_cukup,"['bagus', 'baik', 'sangat', 'cukup', 'buruk', 'terpecaya', 'burik', 'jaring', 'kedepanya', 'simple']","['bagus', 'baik bagus', 'bagus baik']",Bagus Baik Sangat
4,192,4_bpjs_saya_klaim_yang,"['bpjs', 'saya', 'klaim', 'yang', 'jht', 'kantor', 'dari', 'ke', 'sudah', 'untuk']","['tidak bisa cek saldo jht yang sedang aktif yang muncul saldo yang sudah tidak aktif tahun 1995 sudah pernah diperbaiki di kantor bpjs ketenaga pekerjaan yang harus antri dari sebelum jam 7 dan pagar belum di buka terlayani hampir di jam 11 sekarang kembali lagi tidak bisa cek saldo yang aktif sudah di coba bertanya melalui wa 175 bpjs ketenagakerjaan', 'dari tempat kerja sebelumnya saya sudah pernah klaim jht lewat aplikasi ini aman saja lancar tidak sampai 1mnit saldo masuk ke rekening tapi kenapa setelah saya bekerja ditempt yang baru dan sudah resign lagi ingin klaim lagi malah enggak bisa gagal terus keterangannya tidak bisa klaim melalui aplikasi jmo dikarenkan saldo tidak ditemukan padahal jelas ada saldo dan status sudah non aktif dan saldopun memenuhi syarat klaim online tolong sulisi min', 'kenapa harus pengkini data 3 kali para pekerja yang sudah risaign yang sudah 3 kali coba di jmo tidak bisa di online lagi harus ke kantor bpjs sudah itu bpjs ketenagakerjaan jauh banget untuk admin nya tolong di ganti boleh jangan 3 kali percobaan lagi saya tidak tahu bagaimana ambil saldo saya yang sudah di bpjs harus ke kantor cabang karena sudah tidak bisa di ambil di online susah sekali']",Bpjs Saya Klaim
5,120,5_lambat_lumayan_kebanyakan_gangguan,"['lambat', 'lumayan', 'kebanyakan', 'gangguan', 'sering', 'seringkali', 'update', 'cukup', 'membantu', 'naik']","['lambat', 'lambat', 'lambat']",Lambat Lumayan Kebanyakan
6,117,6_ok_good_oke_best,"['ok', 'good', 'oke', 'best', 'nice', 'mntap', 'the', 'biasa', 'saja', 'mtaaap']","['ok', 'ok', 'ok']",Ok Good Oke
7,113,7_update_meminta_terus_sering,"['update', 'meminta', 'terus', 'sering', 'dikit', 'upgrade', 'tiap', 'banget', 'pembaruan', 'bulan']","['kok meminta update terus', 'meminta update terus', 'sering meminta di update terus']",Update Meminta Terus
8,83,8_eror_sering_susah_suka,"['eror', 'sering', 'susah', 'suka', 'kebuka', 'kadang', 'logout', 'ribet', 'masuk', 'error']","['sering eror', 'sering eror', 'aplikasi sering eror']",Eror Sering Susah
9,78,9_dibuka_tidak_bisa_aplikasi,"['dibuka', 'tidak', 'bisa', 'aplikasi', 'login', 'perangkat', 'apa', 'jmo', 'sulit', 'kenapa']","['aplikasi tidak bisa dibuka', 'aplikasi tidak bisa dibuka', 'aplikasi tidak bisa dibuka']",Dibuka Tidak Bisa
10,74,10_pengkinian_data_gagal_melakukan,"['pengkinian', 'data', 'gagal', 'melakukan', 'tolong', 'susah', 'saat', 'untuk', 'mau', 'datanya']","['kenapa tidak bisa pengkinian data', 'tidak bisa pengkinian data', 'tidak bisa pengkinian data']",Pengkinian Data Gagal
11,73,11_mantap_puas_lumayan_memuaskan,"['mantap', 'puas', 'lumayan', 'memuaskan', 'keren', 'bagus', 'mantab', 'senang', 'sangat', 'kurang']","['mantap', 'mantap', 'mantap']",Mantap Puas Lumayan
12,71,12_membantu_sangat_bermanfaat_cukup,"['membantu', 'sangat', 'bermanfaat', 'cukup', 'lumayan', 'kantornya', 'sekali', 'oke', 'rating', 'sibuk']","['sangat membantu', 'sangat membantu', 'sangat membantu']",Membantu Sangat Bermanfaat
13,51,13_jht_saldo_klaim_cek,"['jht', 'saldo', 'klaim', 'cek', 'untuk', 'mudah', 'kita', 'gagal', 'persulit', 'verifikasi']","['kenapa tidak bisa melakukan klaim saldo jht dari aplikasi jmo ini', 'kenapa tidak bisa klaim saldo', 'mau cek saldo jht tidak bisa gara dulu jhtnya berhentu dan sekarang jhtnya sudah aktif tetap tidak bisa cek saldo jht sampai datang ke kantor katanya mau diperbaharui sampai sekarang belum juga bisa cek saldo jht sudah 2 tahun lebih kagak bisa cek saldo jht']",Jht Saldo Klaim
14,42,14_bintang_kasih_dulu_kalau,"['bintang', 'kasih', 'dulu', 'kalau', 'nanti', 'baru', 'cair', 'entar', 'bintangnya', 'tiga']","['setelah aplikasi saya update malah tidak bisa di buka aplikasinya sementara kasih bintang 3 dulu nanti kalau sudah bisa di buka aplikasinya baru kasih bintang 5', 'saya kasih bintang 3 dulu', 'kasih bintang 3 dulu nanti kalau sudah cair baru bintang 5']",Bintang Kasih Dulu
15,38,15_mudah_lebih_cepat_alhmdulilah,"['mudah', 'lebih', 'cepat', 'alhmdulilah', 'simpel', 'bagus', 'berguna', 'memudahkan', 'mantap', 'aplikasi']","['mudah', 'mudah', 'bagus lebih mudah']",Mudah Lebih Cepat
