topic_id,topic_name,sentiment,business_category,sub_issue,merge_group,review_count,percentage,average_score,total_thumbs_up,top_keywords,sample_reviews
0,Bagus Ok Baik,positif,Kepuasan Pengguna Umum,Ulasan positif umum mengenai pengalaman pengguna,POSITIVE_FEEDBACK,23776,39.27,4.92,926,"bagus, ok, baik, good, oke, sangat, puas, terbaik, keren, memuaskan",bagus | bagus | bagus
1,Membantu Sangat Bermanfaat,positif,Kepuasan Pengguna Umum,Aplikasi dianggap sangat membantu dan bermanfaat,POSITIVE_FEEDBACK,7288,12.04,4.94,992,"membantu, sangat, bermanfaat, terimakasih, terima, kasih, sekali, dan, berguna, jmo",sangat membantu | sangat membantu | sangat membantu
2,Mantap Mantab Banget,positif,Kepuasan Pengguna Umum,Ulasan positif mengenai kualitas aplikasi,POSITIVE_FEEDBACK,6694,11.06,4.95,176,"mantap, mantab, banget, aplikasinya, pokoknya, aplikasi, keren, nya, ok, josss",mantappp | mantaap | mantap
3,Bisa Tidak Buka,positif,Masalah Akses Aplikasi,Aplikasi tidak dapat dibuka atau diakses,APP_CRASH_OR_ACCESS,4603,7.6,4.75,4871,"bisa, tidak, buka, kenapa, di, saya, dibuka, ya, aplikasi, jmo","aplikasi JMO saya tidak bisa di buka kenapa ya? | aplikasi jmo saya tidak bisa di buka,knp ya???? | knpa aplikasi nya GK bisa di buka ya"
4,Mudah Cepat Dan,positif,Kepuasan Pengguna Umum,Proses penggunaan aplikasi cepat dan mudah,POSITIVE_FEEDBACK,4019,6.64,4.94,133,"mudah, cepat, dan, proses, digunakan, ribet, praktis, akses, sangat, lebih",sangat cepat dan mudah | sangat cepat dan mudah | sangat cepat dan mudah
5,Aplikasi Yang Membantu,positif,Kepuasan Pengguna Umum,Aplikasi dinilai sangat membantu bagi pekerja,POSITIVE_FEEDBACK,2645,4.37,4.94,124,"aplikasi, yang, membantu, sangat, pekerja, ini, dengan, jmo, mudah, dan",aplikasi yg sangat membantu.. | aplikasi yg sangat membantu | apk yg sangat membantu
6,Saldo Jht Untuk,positif,Layanan Informasi Saldo,Kemudahan dalam pengecekan saldo JHT,FEATURE_UTILITY,2008,3.32,4.93,460,"saldo, jht, untuk, cek, bpjs, kantor, klaim, pengecekan, ke, mengecek","sangat membantu untuk cek saldo bpjs, | sangat membantu untuk mengecek saldo BPJS | sangat membantu untuk mengecek saldo BPJS"
7,Pelayanan Ramah Pelayanannya,positif,Kualitas Layanan Digital,Pelayanan aplikasi dinilai cepat dan memuaskan,POSITIVE_FEEDBACK,1195,1.97,4.95,27,"pelayanan, ramah, pelayanannya, layanan, cepat, memuaskan, baik, dan, nya, bagus",pelayanan sangat cepat | pelayanan sangat cepat | pelayanan sangat cepat
8,Semoga Sukses Selalu,positif,Kepuasan Pengguna Umum,Harapan positif untuk pengembangan aplikasi ke depan,POSITIVE_FEEDBACK,1064,1.76,4.92,101,"semoga, sukses, selalu, jaya, lebih, amanah, bermanfaat, kedepannya, lancar, mudahan",semoga semakin sukses | semoga tambah sukses | semoga makin sukses
9,Bpjs Saya Yang,positif,Masalah Layanan Klaim,Kendala biometrik dan ketidaksesuaian data klaim JHT,CLAIM_PROCESS_ERROR,978,1.62,4.82,7674,"bpjs, saya, yang, di, sudah, dari, ketenagakerjaan, tidak, ada, jht","saya mau mencairkan BPJS ketenagakerjaan lewat aplikasi sudah mencoba selama 4 hari tapi tidak bisa selalu ada masalah muncul "" pengambilan foto biometrik lebih dari 3 kali"" tolong beri tau caranya mencairkan dana BPJS nya karena tidak bisa ke kantor cabang terdekat lewat situs lapakasik juga terjadi masalah pada server? | Kenapa setelah gagal poto biometrik gak ada solusi untuk bisa kemabli mengulang dan tidak bisa mencairkan di aplikasi jmo... aplikaai nya gak menolong anggota bpjs.. sangat jelek | jmo nya oke, tapi saya ad 1 permasalahan no bpjstk di perusahaan lama tdk sesuai dg data sya , smoga kantor ny bisa membantu"
10,Jmo Nih Susah,positif,Kepuasan Pengguna Umum,Ulasan positif mengenai performa aplikasi,POSITIVE_FEEDBACK,756,1.25,4.86,24,"jmo, nih, susah, terbaik, sudah, memang, masuk, mantap, lebih, bisa","JMO mantappp,,, | jmo mantap | jmo mantap."
11,Mntap Mantul Mantaf,positif,Kepuasan Pengguna Umum,Ulasan positif singkat mengenai aplikasi,POSITIVE_FEEDBACK,648,1.07,4.93,4,"mntap, mantul, mantaf, josjis, jos, jis, gandos, bguss, mantp, mantull",mantp | mantp | mantp
12,Cepat Respon Aman,positif,Kualitas Layanan Digital,Respon aplikasi dinilai cepat dan akurat,POSITIVE_FEEDBACK,639,1.06,4.92,145,"cepat, respon, aman, akurat, fast, dan, tanggap, tepat, terpecaya, responnya",cepat respon | 👍👍👍 cepat respon.... | cepat respon
13,Bintang Sering Update,positif,Masalah Stabilitas Aplikasi,Aplikasi sering mengalami error atau gangguan teknis,APP_STABILITY_ISSUE,635,1.05,4.69,17,"bintang, sering, update, cair, kadang, dulu, eror, bsu, error, gangguan","apk nya sering eror | apknya update terus | aplikasinya kebanyakan eror,"
14,Update Pengkinian Data,positif,Masalah Pembaruan Aplikasi,Aplikasi terus meminta pembaruan data secara berulang,UPDATE_LOOP_ISSUE,603,1.0,4.64,1101,"update, pengkinian, data, meminta, terus, tiap, harus, foto, setiap, tapi","Minta di update terus kalo buka aplikasinya | aplikasinya sudah bagus ,, tapi kenapa ya minta di update terus , sebulan sampe 2x update | aplikasi nya bagus sangat memudahkan untuk dipakai, cuman kenapa ya harus update terus tiap kali mau masuk aplikasi nya?"
15,Membatu Sngat Sangan,positif,Ulasan Positif Pengguna,Pengguna merasa aplikasi sangat membantu kebutuhan mereka,POSITIVE_FEEDBACK,504,0.83,4.93,6,"membatu, sngat, sangan, mmbantu, sangat, sagat, menbantu, membntu, at, bermanpaat",sangat membatu | sangat membatu | sangat membatu
16,Buka Bisa Tidak,positif,Masalah Akses Aplikasi,Aplikasi tidak dapat dibuka atau diakses oleh pengguna,LOGIN_ERROR,429,0.71,4.8,45,"buka, bisa, tidak, login, kenapa, di, terbuka, ya, saya, ini","tidak bisa di buka, kenapa ya | apl tidak bisa di buka | apl tidak bisa di buka kenapa ya"
17,Lagi Semoga Tolong,positif,Peningkatan Kualitas Layanan,Permintaan perbaikan sistem dan stabilitas aplikasi,SYSTEM_IMPROVEMENT,410,0.68,4.85,114,"lagi, semoga, tolong, permudah, di, lebih, nya, sudah, kedepannya, login","Sangat baik, tolong tingkatkan lagi untuk sistem nya min, biar lancar | tolong apk di mantapkan lagi | Mohon segera d perbaiki aplikasi JMO nya."
-1,Baik Awesome Biasa,positif,Lain-lain / Noise,Ulasan umum/noise,OVERALL_SATISFACTION,364,0.6,4.9,1,"baik, awesome, biasa, keluar, jmo, saja, jozzz, aplikasi, muantap, luar",baik | awesome | weldone
