Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,364,-1_awesome_jozzz_muantap_bagusmbatu,"['awesome', 'jozzz', 'muantap', 'bagusmbatu', 'bereh', 'bqgus', 'helpfully', 'jossssss', 'lumyan', 'krennn']","['kok harus sering update ya setiap buka aplikasi harus selalu update', 'sangat membantu sekali untuk pengecekan saldo bpjs ketenagakerjaan', 'kenapa saya tidak bisa cek saldo jht']",Awesome Jozzz Muantap
0,4334,0_mantap_betul_mantapkan_men,"['mantap', 'betul', 'mantapkan', 'men', 'betulll', 'andaikan', '100000000', 'kdd', 'iskal', 'jozjiz']","['mantap', 'mantap', 'mantap']",Mantap Betul Mantapkan
1,2834,1_membantu_sangat_peserts_rekomendet,"['membantu', 'sangat', 'peserts', 'rekomendet', 'sangata', 'sangatt', 'me', 'menolong', 'informatif', 'bantu']","['sangat membantu', 'sangat membantu', 'sangat membantu']",Membantu Sangat Peserts
2,2641,2_ok_terpakai_juga_ya,"['ok', 'terpakai', 'juga', 'ya', '', '', '', '', '', '']","['ok', 'ok', 'ok']",Ok Terpakai Juga
3,851,3_rekomendasi_agus_bagusnya_mantan,"['rekomendasi', 'agus', 'bagusnya', 'mantan', 'sep', 'nic', 'op', 'goog', 'real', 'perwetelan']","['op', 'sep', 'mantan']",Rekomendasi Agus Bagusnya
4,589,4_keren_cakep_bngeettt_cho,"['keren', 'cakep', 'bngeettt', 'cho', 'cakeppo', 'gerce', 'abissss', 'pokoknyt', 'waoo', 'toppo']","['keren', 'keren', 'keren']",Keren Cakep Bngeettt
5,429,5_oke_baiklah_juga_,"['oke', 'baiklah', 'juga', '', '', '', '', '', '', '']","['oke', 'oke', 'oke oke']",Oke Baiklah Juga
6,525,6_aktif_perusahaan_kartu_nomor,"['aktif', 'perusahaan', 'kartu', 'nomor', 'no', 'belum', 'kepesertaan', 'cairin', 'kpj', 'sedangkan']","['halo kak saya kan sudah daftar bpjs ketenagakerjaan di aplikasi grab dan sudah terdaftar cara kalau mau punya kartu bpjs nya bagaimana ya apa harus ke kantor terdekat ngambil kartu bpjs nya bpu saya belum punya kartu bpjs nya tapi di aplikasi ada gambar kartu nya apa harus di foto copy diprint atau harus ke kantor terima kasih', 'maaf min mau tanya pada hari senin yang lalu tanggal 18 mei 2026 saya datang ke bpjs ketenagakerjaan buat pengkinian data agar saya bisa klaim jht saya di aplikasi jmo saya terdapat beberapa nomer kpj dan ada saldonya tapi hari ini tanggal 20 mei 2026 kenapa ya kartu digital saya hilang semua jadi saya tidak bisa lihat saldo saya sedangkan yang saya klaim hanya 2 nomer kpj saya yang memenuhi syarat sedangkan yang lainnya kok malah hilang semua bagaimana', 'dari aplikasi disuruh kekantor nya sudah datang dikantor nya disuruh melapor online kantor nya jauh dari rumah saya sudah melapor online menunggu 2 minggu lagi baru bisa datang kekantor nya sampai dikantor nya disuruh melapor lagi sama pegawai nya kan aneh sudah melapor isi data disuruh ulang lagi dijelasin baru diproses nya sudah selesai diproses disuruh isi formulir menunggu lagi 5 hari kerja baru cair hak orang kok makin dipersulit ya pegawai nya tolong diajari etika sekurity nya jugan ya arogan']",Aktif Perusahaan Kartu
7,539,7_hapus_ulang_instal_uninstall,"['hapus', 'ulang', 'instal', 'uninstall', 'tetap', 'download', 'install', 'uninstal', 'cache', 'coba']","['kenapa beberapa hari ini aplikasi tidak bisa di buka dan sudah di uninstall terus di install lagi tetap saja tidak bisa', 'kenapa punya saya tidak bisa di buka bahkan di hapus dan download ulang masih saja tidak bisa di buka', 'bila ada masalah cukup di uninstal saja kemudian di instal ulang']",Hapus Ulang Instal
8,289,8_sekali_sekalih_bagus_kerana,"['sekali', 'sekalih', 'bagus', 'kerana', 'sekaliw', 'sekaliii', 'wah', 'juga', 'oke', 'pelayanan']","['bagus sekali', 'kerana ini bagus sekali', 'bagus sekaliw']",Sekali Sekalih Bagus
