Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,364,-1_baik_awesome_biasa_keluar,"['baik', 'awesome', 'biasa', 'keluar', 'jmo', 'saja', 'jozzz', 'aplikasi', 'muantap', 'luar']","['baik', 'baik', 'baik']",Baik Awesome Biasa
0,23776,0_bagus_ok_baik_good,"['bagus', 'ok', 'baik', 'good', 'oke', 'sangat', 'puas', 'terbaik', 'keren', 'memuaskan']","['sangat bagus dan baik', 'ok bagus', 'baik bagus']",Bagus Ok Baik
1,7288,1_membantu_sangat_bermanfaat_terimakasih,"['membantu', 'sangat', 'bermanfaat', 'terimakasih', 'terima', 'kasih', 'sekali', 'dan', 'berguna', 'jmo']","['sangat membantu', 'sangat membantu', 'sangat membantu']",Membantu Sangat Bermanfaat
2,6694,2_mantap_mantab_banget_aplikasinya,"['mantap', 'mantab', 'banget', 'aplikasinya', 'pokoknya', 'aplikasi', 'keren', 'nya', 'ok', 'josss']","['mantap', 'mantap', 'mantap']",Mantap Mantab Banget
3,4603,3_bisa_tidak_buka_kenapa,"['bisa', 'tidak', 'buka', 'kenapa', 'di', 'saya', 'dibuka', 'ya', 'aplikasi', 'jmo']","['kenapa jmo saya tidak bisa di buka ya', 'kenapa aplikasi jmo saya tidak bisa di buka', 'kenapa aplikasi jmo saya tidak bisa di buka']",Bisa Tidak Buka
4,4019,4_mudah_cepat_dan_proses,"['mudah', 'cepat', 'dan', 'proses', 'digunakan', 'ribet', 'praktis', 'akses', 'sangat', 'lebih']","['sangat mudah dan cepat', 'sangat mudah dan cepat', 'sangat mudah dan cepat']",Mudah Cepat Dan
5,2645,5_aplikasi_yang_membantu_sangat,"['aplikasi', 'yang', 'membantu', 'sangat', 'pekerja', 'ini', 'dengan', 'jmo', 'mudah', 'dan']","['aplikasi yang sangat membantu', 'aplikasi yang sangat membantu dan bagus', 'aplikasi yang sangat bagus sangat membantu']",Aplikasi Yang Membantu
6,2008,6_saldo_jht_untuk_cek,"['saldo', 'jht', 'untuk', 'cek', 'bpjs', 'kantor', 'klaim', 'pengecekan', 'ke', 'mengecek']","['memudahkan untuk cek saldo jht', 'aplikasi sangat membantu kita untuk cek saldo jht', 'sangat membantu untuk cek saldo jht']",Saldo Jht Untuk
7,1195,7_pelayanan_ramah_pelayanannya_layanan,"['pelayanan', 'ramah', 'pelayanannya', 'layanan', 'cepat', 'memuaskan', 'baik', 'dan', 'nya', 'bagus']","['pelayanan sangat bagus', 'pelayanan sangat bagus', 'pelayanan sangat bagus']",Pelayanan Ramah Pelayanannya
8,1064,8_semoga_sukses_selalu_jaya,"['semoga', 'sukses', 'selalu', 'jaya', 'lebih', 'amanah', 'bermanfaat', 'kedepannya', 'lancar', 'mudahan']","['semoga bisa membantu', 'semoga membantu', 'semoga membantu']",Semoga Sukses Selalu
