comment_id,username,comment_text,like_count,reply_count,topic_id,topic_name,main_topic_prob,alt_topic_1,alt_topic_1_name,alt_topic_1_prob,alt_topic_2,alt_topic_2_name,alt_topic_2_prob
7656819234199585554,gntl_12,saya berada di sumut apakah bisa daftar kuliah disini juga,1,1,5,Kerja Negeri Kuliah,0.7733676433563232,69,Apakah S1Hukum Perdagangan,0.77287757396698,100,Umur Usia Irt,0.7505118250846863
7657028412909912852,univsiberasia,UNSIA menerapkan sistem perkuliahan secara online maka kakak bisa berkuliah dimana saja dan kapan saja. Nah UNSIA bisa menjadi tujuan kakak yg ingin kuliah sambil bekerja kak karena memang waktunya fleksibel dan bisa dilaksanakan kapanpun dan dimanapun🤩,0,0,72,Tujuan Berkuliah Dimanapun,0.9864195585250854,86,Darimana 100 Jadi,0.8303506970405579,101,Favorit Pilih Fleksibel,0.7410690784454346
7656745347297035026,luigi.powder,biaya brapa prof,1,0,99,Biayanya Biaya Berapa,0.9014774560928345,18,Berapa Biaya Bayar,0.7926830649375916,77,Per Berapa Semester,0.7410211563110352
7656665895242842901,muhammadhannafis.kom,menyala 🔥,1,0,105,Swasta Oktober Situ,0.8983564376831055,29,Menyimak Nyimakkk Ut,0.9360653162002563,28,Asa Hum ,0.9352115392684937
7657152480103744274,smokinaftersad_,"hai kak, mau tanya untuk pengumuman hasil seleksi jalur pendaftaran beasiswa diumumkan kapan kak? soalnya saya cek selalu ""masih salam proses seleksi"" mohon pencerahannya 🙏🏻",0,0,106,Hasil Seleksi Pengumuman,0.8651903867721558,91,Ulang Bayar Isi,0.8137929439544678,49,Ijazahnya Lulus Kan,0.8104941844940186
7655578819294282516,rumiiiiiiiiii20_,"Haii kak, apakah ada program studi pgsd kak?",0,1,0,Jurusan Teknik Inggris,0.8191820979118347,120,Tanya Non S2Nya,0.8400946259498596,37,S2 Ada Doktoral,0.7985202074050903
7655625945747260167,univsiberasia,"Hai Kakak, UNSIA memiliki 6 prodi yaitu akuntansi, komunikasi, manajemen, sistem informasi, informatika, dan teknologi informasi🤗",0,0,63,Informasi Informatika Akuntansi,0.9219193458557129,136,Yaitu Akuntansi Terdapat,0.9254196882247925,130,Pt Terakreditasi Ban,0.6764167547225952
7655302739774309140,jochi.solution,"lihat pak Joko sehat senang sekali, dosen penguji saya pas sidang. sehat2 terus pak..",0,1,55,Sukses Selalu Sehat,0.6193843483924866,62,Semoga Allah Doain,0.6387973427772522,25,Amin Selalu Semangat,0.6281924247741699
7655626143144313618,univsiberasia,"Wah, ada alumni UNSIA nih. Sukses selalu untuk Kakak yaa🤩",1,0,25,Amin Selalu Semangat,0.8375585079193115,62,Semoga Allah Doain,0.8087833523750305,55,Sukses Selalu Sehat,0.7923117876052856
7655313616019063560,hrlnyti,sehat sehat sll pak dosen😘,0,1,55,Sukses Selalu Sehat,0.8298832178115845,25,Amin Selalu Semangat,0.7628298997879028,97,Salam Mantap Kenal,0.7493740320205688
7655626057009349383,univsiberasia,"Wah, ada mahasiswanya Pak Joko nih. Semangat selalu untuk Kakak yaa😊",0,0,25,Amin Selalu Semangat,0.8483849167823792,113,Semangat Wah Berpikir,0.771072506904602,94,Ditunggu Tunggu Wah,0.7682754993438721
7657152591726232338,smokinaftersad_,"hai kak, mau tanya untuk pengumuman hasil seleksi jalur pendaftaran beasiswa diumumkan kapan kak? soalnya saya cek selalu ""masih salam proses seleksi"" mohon pencerahannya 🙏🏻",0,0,106,Hasil Seleksi Pengumuman,0.8651903867721558,91,Ulang Bayar Isi,0.8137929439544678,49,Ijazahnya Lulus Kan,0.8104941844940186
7655578756916151060,rumiiiiiiiiii20_,"Haii kak, apakah ada program studi pgsd kak?",1,1,0,Jurusan Teknik Inggris,0.8191822171211243,120,Tanya Non S2Nya,0.8400947451591492,37,S2 Ada Doktoral,0.7985203266143799
7656410701746160405,einaafets,"Hi kak, belum ada",0,0,15,Hi Halo Dong,0.8641812801361084,43,Belum Huhu Nih,0.8171354532241821,79,Daftar Sudah Kamu,0.7909830212593079
7654929379759391495,dheaa_107,semoga aku yg semester bisa selesai sampai wisuda 🥰🙏,0,1,62,Semoga Allah Doain,0.8419418334960938,118,Desember Baca Depan,0.7429915070533752,111,Alhamdulillah Keluarga Bagian,0.7401871681213379
7655597644568396564,univsiberasia,"Wah , aamiin Kak. Semangat selalu untuk kuliahnya yaa🤗",1,0,25,Amin Selalu Semangat,0.9323552846908569,113,Semangat Wah Berpikir,0.8130084276199341,62,Semoga Allah Doain,0.8087174892425537
7652962772066796309,riko.noviantoro,Gagah liat Abang Dafi,3,0,38,Ih Maba Grupnya,0.714645266532898,126,Keren Mukanya Asing,0.6368848085403442,48,Betul Banget Lucu,0.6332675218582153
7652963474851414802,mahatir0809,min taun depan buka prodi pertanian donh,0,0,78,Kapan Min Gel,0.772680401802063,132,Mending Ptnbh Alumni,0.7945472598075867,30,Korea Degree Min,0.7940905094146729
7657152713642394386,smokinaftersad_,"hai kak, mau tanya untuk pengumuman hasil seleksi jalur pendaftaran beasiswa diumumkan kapan kak? soalnya saya cek selalu ""masih salam proses seleksi"" mohon pencerahannya 🙏🏻",0,0,106,Hasil Seleksi Pengumuman,0.8651903867721558,91,Ulang Bayar Isi,0.8137929439544678,49,Ijazahnya Lulus Kan,0.8104941844940186
7654923550213653255,dheaa_107,saya juga di dukung 100%oleh boss saya🥲,1,1,102,100 Fully Bk,0.616523265838623,93,Jujur Review Kata,0.6364980936050415,62,Semoga Allah Doain,0.6051311492919922
7654956671412814612,dewi.absur,Kerenn kak,0,0,126,Keren Mukanya Asing,0.8871108293533325,48,Betul Banget Lucu,0.8711929321289062,53,Dong Kayaknya Banget,0.8063467741012573
7652265970035966740,dewi.absur,Bos sayaa😭😭😭 bos saya yg sangat mendukung penuh dari banyak hall,1,2,21,Malam Shift Begitu,0.43498939275741577,93,Jujur Review Kata,0.5162780284881592,97,Salam Mantap Kenal,0.5107836723327637
7652337096116192018,univsiberasia,"Hi Kak Dewi, wahh boleh nih Kak ajak bosnya nanti pas wisuda🤩",0,0,15,Hi Halo Dong,0.7771471738815308,96,Secara Dilaksanakan Hybrid,0.7549115419387817,94,Ditunggu Tunggu Wah,0.7386726140975952
7652341898615358229,dewi.absur,"Pastiii , tapi nanti masih lamaaa baru juga maba😂😂",0,0,38,Ih Maba Grupnya,0.7104326486587524,118,Desember Baca Depan,0.7797049880027771,34,Daftar Tinggal Baru,0.741140604019165
7653817470851859221,arisianaon__,"kaa, mau tanya2 biaya per smt nya kemana ya?",1,3,120,Tanya Non S2Nya,0.8585598468780518,18,Berapa Biaya Bayar,0.8432472944259644,17,Cara Daftarnya Bagaimana,0.802843451499939
7654411010324824850,univsiberasia,"Hi Kak, untuk UKT di UNSIA hanya 3jt lho persemester🤗",0,0,1,Dicicil 3Jt Hanya,0.8667872548103333,67,Program Belum Dibuka,0.7917423248291016,30,Korea Degree Min,0.7799749970436096
7654551536341975816,mii92830,Persemester brp bulan ka?,0,0,65,Angkatan Berapa Kira,0.8591525554656982,18,Berapa Biaya Bayar,0.8422822952270508,77,Per Berapa Semester,0.8218701481819153
7656410974685266709,einaafets,16 minggu kak,0,0,110,Jakarta Selatan Ragunan,0.5586248636245728,26,Adek Duluan Nurul,0.7591990828514099,124,Juta Serius 3Jt,0.7415370941162109
7654629648786244360,irabbyy,"lulusan paket C , IRT umur 30 tahun, bisa daftar kuliah di sini ga ya? 😁",0,3,100,Umur Usia Irt,0.8493019938468933,4,D3 S1 Lanjut,0.8431293964385986,119,Teman Syarat Magang,0.8376997709274292
7655311678331110151,univsiberasia,"Hi Kak, Nggak ada batasan umur kok Kakak
Di UNSIA, yang penting semangat belajarnya, bukan usianya 🙌
Karena belajar itu nggak kenal umur, yang muda semangat, yang udah berpengalaman juga makin keren",1,0,85,Umur Muda Batasan,0.8696718215942383,86,Darimana 100 Jadi,0.7379432916641235,46,Ut Pengin Bidang,0.7023752927780151
7655309581862437640,r.post1,"bisa kayaknya, daftar aja yuk. aku jg baru daftar nih",0,0,34,Daftar Tinggal Baru,0.8620988130569458,79,Daftar Sudah Kamu,0.8036220073699951,27,Join Grup Yuk,0.7890511751174927
7655344388307157778,irabbyy,"aku masih kepoin info tentang unsia ini kak, InsyaAllah nanti kalo udah mantep hati nya mau daftar juga 🤭",1,0,34,Daftar Tinggal Baru,0.8653972148895264,46,Ut Pengin Bidang,0.8216292262077332,79,Daftar Sudah Kamu,0.8044488430023193
