topic_id,topic_name,ai_sentiment,business_category,sub_issue,comment_count,percentage,total_likes,total_replies,top_keywords,sample_comments
0,Tidak Ada Jurusan,Netral,Pertanyaan Program Studi,Calon mahasiswa menanyakan ketersediaan jurusan S1 dan S2.,890,18.07,739,798,"tidak, ada, jurusan, apa, kalau, kuliah, di, kak, s1, kerja","kak, ada agribisnis s2 ngga? | Kak ini ada S2 nya gak ?? | ada jurusan S1 Pendidikan ngak kak?"
1,Berapa Buka Kapan,Netral,Pertanyaan Pendaftaran,Calon mahasiswa menanyakan jadwal dan prosedur pendaftaran.,841,17.08,630,1003,"berapa, buka, kapan, kak, pendaftaran, nya, tidak, daftar, ya, bagaimana",kak buka pendaftarannya kapan? | kak pendaftaran nya lewat mana ya | tutup pendaftarannya kapan ka
2,Iya Kak Dong,Positif,Interaksi Umum,Respon konfirmasi atau persetujuan dari audiens.,468,9.5,139,74,"iya, kak, dong, aku, ada, bisa, sama, banget, juga, kakak",privat ka | privat ka | Ada kak🥰
3,Menyimak Nrrjml Binus,Netral,Interaksi Umum,Audiens hanya menyimak atau memberikan reaksi singkat.,393,7.98,45,31,"menyimak, nrrjml, binus, swasta, next, aku, up, gass, ut, hbd",😭 | 😳😳😳 | 👀
4,Online Offline Full,Netral,Pertanyaan Akademik,Pertanyaan mengenai metode pelaksanaan ujian dan wisuda.,256,5.2,193,168,"online, offline, full, wisuda, juga, ujian, atau, ujiannya, kalau, uas","KK khusus ujian nya online juga apa gimana , | ujian nya online juga kak? | berarti uas nya online juga kak?"
5,Ada S2 Rpl,Netral,Pertanyaan Program Studi,Pertanyaan spesifik mengenai ketersediaan program S2.,240,4.87,72,108,"ada, s2, rpl, tidak, apakah, jurusan, skripsi, hukum, min, nya",ada s2 nya gak?🙏 | S2 ny ada g | ada S2 gak
6,Dibuka Saat Mahasiswa,Positif,Informasi Pendaftaran,Pemberitahuan bahwa pendaftaran mahasiswa baru masih dibuka.,224,4.55,79,31,"dibuka, saat, mahasiswa, pendaftaran, hi, baru, ini, membuka, program, kakak","Hi Kak, saat ini masih dibuka ya pendaftaran mahasiswa baru di UNSIA🤗 | Hi Ka, saat ini pendaftaran mahasiswa baru masih dibuka lhoo🤩🤩 | Hi Kak, saat ini pendaftaran mahasiswa baru di UNSIA lagi dibuka lhoo🤩"
7,Daftar Aku Sudah,Positif,Minat Pendaftaran,Audiens menyatakan ketertarikan untuk mendaftar kuliah.,192,3.9,67,43,"daftar, aku, sudah, mau, kak, grup, ig, yuk, buat, juga",ini aku juga mau daftar kakk | mau daftar jg ka? | aku baru mau daftar kak
8,Dm Admin Halo,Netral,Layanan Pelanggan,Admin mengarahkan audiens untuk berkomunikasi melalui DM.,173,3.51,41,3,"dm, admin, halo, hi, ya, boleh, bisa, kak, kakak, lebih","Halo Kakak, boleh DM Mimin ya Kak😊 | Halo Kak, bisa DM Mimin ya🤗 | Halo Kak, bisa DM Mimin ya🤗"
9,Id Ac Pmb,Positif,Informasi Pendaftaran,Panduan pendaftaran melalui website resmi UNSIA.,170,3.45,125,18,"id, ac, pmb, dan, unsia, fleksibel, saja, langsung, kakak, website","Hi Kak, Hari ini resmi pendaftaran Mahasiswa Baru UNSIA dimulai. Jadi Kakak bisa langsung daftar sekarang di pmb.unsia.ac.id, pilih jurusan favorit, dan mulai kuliah online fleksibel dari mana aja. Untuk wisuda dilaksanakan secara onsite ya Kakak | Hi Kak, saat ini UNSIA masih membuka pendaftaran mahasiswa baru lho. Jadi Kakak bisa langsung daftar sekarang di pmb.unsia.ac.id, pilih jurusan favorit, dan mulai kuliah online fleksibel dari mana aja🤗 | Hi Kak, saat ini UNSIA masih membuka pendaftaran mahasiswa baru lho. Jadi Kakak bisa langsung daftar sekarang di pmb.unsia.ac.id, pilih jurusan favorit, dan mulai kuliah online fleksibel dari mana aja🤗"
