Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,40,-1_mantab_uk_belakang_oktavian,"['mantab', 'uk', 'belakang', 'oktavian', 'semesteran', '2in', 'atuh', 'idolaaa', 'iqballll_', 'joget']","['kalau maba ut bisa daftar di siber asia tidak sih soalnya pengin kuliah 2kampus pliss di balas pakai vt', 'kalau maba ut bisa daftar di siber asia tidak sih soalnya pengin kuliah 2kampus pliss di balas pakai vt', 'kalau maba ut bisa daftar di siber asia tidak sih soalnya pengin kuliah 2kampus pliss di balas pakai vt']",Mantab Uk Belakang
0,117,0_jurusan_teknik_inggris_bahasa,"['jurusan', 'teknik', 'inggris', 'bahasa', 'pgsd', 'sastra', 'ada', 'pendidikan', 'psikologi', 'hukum']","['kak jurusan hukum ada tidak', 'kak ada jurusan bahasa inggris tidak', 'kak ini semua jurusan sama']",Jurusan Teknik Inggris
1,88,1_dicicil_3jt_hanya_biaya,"['dicicil', '3jt', 'hanya', 'biaya', 'persemester', 'juta', '3x', 'ukt', 'per', 'dalam']","['sesuai dengan suka rektor no 3 tahun 2020 biaya kuliah di unsia adalah sebesar 3 juta rupiah semester biaya tersebut dapat dicicil dalam 2 kali pemb', 'halo kak sesuai dengan suka rektor no 3 tahun 2020 biaya kuliah di unsia adalah sebesar 3 juta rupiah semester biaya tersebut dapat dicicil dalam 2 kali pembayaran', 'sesuai dengan suka rektor no 3 tahun 2020 biaya kuliah di unsia adalah sebesar 3 juta rupiah semester biaya tersebut dapat dicicil dalam 3x pembayaran']",Dicicil 3Jt Hanya
2,75,2_website_id_ac_pmb,"['website', 'id', 'ac', 'pmb', 'instagram', 'resmi', 'cukup', 'melalui', 'penerimaan', 'november']","['halo kakak untuk pendaftaran bisa melalui website unsia ya di pmb unsia ac id untuk penerimaan mahasiswa baru akan dibuka dibulan november ya', 'halo kakak untuk pendaftaran bisa melalui website unsia ya di pmb unsia ac id untuk penerimaan mahasiswa baru akan dibuka dibulan november ya', 'halo kakak untuk pendaftaran bisa melalui website unsia ya di pmb unsia ac id untuk penerimaan mahasiswa baru akan dibuka dibulan november ya']",Website Id Ac
3,97,3_buka_pendaftaran_masih_tutup,"['buka', 'pendaftaran', 'masih', 'tutup', 'kapan', 'pendaftarannya', 'sudah', 'lagi', 'tahun', 'bulan']","['kak masih buka pendaftaran', 'kak sudah buka pendaftaran baru', 'masih buka pendaftaran tidak sih']",Buka Pendaftaran Masih
4,67,4_d3_s1_lanjut_ke,"['d3', 's1', 'lanjut', 'ke', 'ekstensi', 'dari', 'disini', 'teknik', 'lulusan', 'lanjutan']","['kalau d3 lanjut ke s1 bisa tidak kak', 'kalau d3 lanjut ke s1 bisa tidak kak', 'bisa lanjut dari d3 ke s1 tidak']",D3 S1 Lanjut
5,97,5_kerja_negeri_kuliah_sambil,"['kerja', 'negeri', 'kuliah', 'sambil', 'luar', 'diluar', 'jepang', 'saya', 'disini', 'kalau']","['kak ini kalau kuliah online tapi posisi kerja diluar negeri bisa kah', 'ini kalau buat yang kerja diluar negeri bisa tidak sih', 'kak kalau misalnya kita nya kerja diluar negeri tapi kuliah online disini bisa tidak']",Kerja Negeri Kuliah
6,64,6_dimana_daerah_mana_lokasi,"['dimana', 'daerah', 'mana', 'lokasi', 'lokasinya', 'tuh', 'dimn', 'beli', 'nih', 'apa']","['beli almet usia dimana ya kak', 'beli almet usia dimana kak', 'ini dimana kak lokasinya']",Dimana Daerah Mana
7,87,7_offline_ujiannya_online_wisudanya,"['offline', 'ujiannya', 'online', 'wisudanya', 'atau', 'wisuda', 'juga', 'kah', 'ofline', 'uas']","['wisuda nya online atau offline kak', 'ujiannya online apa offline', 'ujiannya online apa offline']",Offline Ujiannya Online
8,62,8_tanya_bertanya_chat_boleh,"['tanya', 'bertanya', 'chat', 'boleh', 'mau', 'mahasiswi', 'lengkap', 'wa', 'calon', 'tentang']","['kak boleh dm tidak bertanya bertanya tentang unsia', 'kak boleh dm nanya2 gakkkk', 'halo kak mau meminta wa admin yang bisa di hubungi']",Tanya Bertanya Chat
9,76,9_kip_unsia_diterima_palembang,"['kip', 'unsia', 'diterima', 'palembang', 'lampung', 'saya', 'maba', 'dari', 'domisili', 'aku']","['halo aku dari 2024 bagaimana sudah masuk unsia kak', 'saya juga dari lampung timur kuliah di unsia sekarang domisili di taiwan dari prodi akuntansi', 'maju mundur masuk unsia bingung mau unsia atau global mulia please komen yang']",Kip Unsia Diterima
10,63,10_maret_april_bulan_perkuliahan,"['maret', 'april', 'bulan', 'perkuliahan', 'dimulai', 'dibuka', 'hi', 'awal', 'sampai', 'juni']","['hi kak pendaftaran dibuka sampai awal maret loh', 'pendaftaran dibuka sampai awal maret ya kakak', 'halo kak pendaftaran dibuka sampai bulan maret ya']",Maret April Bulan
11,52,11_skripsi_sidang_tidak_ada,"['skripsi', 'sidang', 'tidak', 'ada', 'almet', 'min', 'linknya', 'hukum', 'opsi', 'wajib']","['ada skripsi tidak min', 'ada skripsi tidak min', 'ada skripsi nya tidak min']",Skripsi Sidang Tidak
12,54,12_konversi_jalur_melalui_jenjang,"['konversi', 'jalur', 'melalui', 'jenjang', 'ahli', 'alih', 'reguler', 'hi', 'halo', 'bisa']","['halo kakak bisa ya melalui jalur konversi', 'halo kakak bisa ya melalui jalur konversi', 'halo kakak bisa ya melalui jalur konversi']",Konversi Jalur Melalui
13,44,13____,"['', '', '', '', '', '', '', '', '', '']","['', '', '']",  
14,44,14_fitriyani_andriani_udin69can_goib,"['fitriyani', 'andriani', 'udin69can', 'goib', 'caine', 'anisa', 'kelsa', '', '', '']","['r fitriyani', 'r fitriyani', 'andriani kelsa caine']",Fitriyani Andriani Udin69Can
15,57,15_hi_halo_dong_banget,"['hi', 'halo', 'dong', 'banget', 'test', 'tipu', 'mendekati', 'pensamaku', 'ketika', 'bisa']","['halo kak bisa banget dong', 'halo kak bisa banget dong', 'halo kak bisa banget dong']",Hi Halo Dong
16,54,16_apa_saja_jurusan_jurusannya,"['apa', 'saja', 'jurusan', 'jurusannya', 'masuknya', 'prodi', 'fkip', 'spil', 'tes', 'magister']","['ada jurusan apa saja kak', 'untuk jurusan nya apa saja kak', 'jurusan apa saja kak']",Apa Saja Jurusan
