Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,40,-1_mantab_uk_belakang_sih,"['mantab', 'uk', 'belakang', 'sih', 'sekali', '2in', 'oktavian', 'murah', 'idolaaa', 'atuh']","['aku di paling belakang dong', 'mantab sekali', 'mantab sekali']",Mantab Uk Belakang
0,890,0_tidak_ada_jurusan_apa,"['tidak', 'ada', 'jurusan', 'apa', 'kalau', 'kuliah', 'di', 'kak', 's1', 'kerja']","['kalau dari ut semester 6 ke unsia bisa kak', 'ada jurusan apa saja ya', 'di unsia ada jurusan apa saja sih kak']",Tidak Ada Jurusan
1,841,1_berapa_buka_kapan_kak,"['berapa', 'buka', 'kapan', 'kak', 'pendaftaran', 'nya', 'tidak', 'daftar', 'ya', 'bagaimana']","['min buka pendaftaran kapan lagi ya', 'kak ini kapan ada buka pendaftaran lagi ya', 'mau daftar kuliah kak kapan di buka nya']",Berapa Buka Kapan
2,468,2_iya_kak_dong_aku,"['iya', 'kak', 'dong', 'aku', 'ada', 'bisa', 'sama', 'banget', 'juga', 'kakak']","['iya kak', 'iya kak', 'iya bisa kak']",Iya Kak Dong
3,393,3_menyimak_nrrjml_binus_swasta,"['menyimak', 'nrrjml', 'binus', 'swasta', 'next', 'aku', 'up', 'gass', 'ut', 'hbd']","['ut menyimak wkwk', 'ut menyimak', 'ut menyimak saja']",Menyimak Nrrjml Binus
4,256,4_online_offline_full_wisuda,"['online', 'offline', 'full', 'wisuda', 'juga', 'ujian', 'atau', 'ujiannya', 'kalau', 'uas']","['wisuda bisa online offline', 'wisuda nya online atau offline kak', 'di unsia full online kak dari ujian sampai wisuda juga bisa online kak']",Online Offline Full
5,240,5_ada_s2_rpl_tidak,"['ada', 's2', 'rpl', 'tidak', 'apakah', 'jurusan', 'skripsi', 'hukum', 'min', 'nya']","['s2 ada tidak', 'ada s2 tidak', 's2 ada tidak']",Ada S2 Rpl
6,224,6_dibuka_saat_mahasiswa_pendaftaran,"['dibuka', 'saat', 'mahasiswa', 'pendaftaran', 'hi', 'baru', 'ini', 'membuka', 'program', 'kakak']","['hi kak saat ini masih dibuka lho pendaftaran mahasiswa baru', 'hi kakak saat ini masih dibuka ya pendaftaran mahasiswa baru', 'hi kak saat ini masih dibuka ya pendaftaran mahasiswa baru di unsia']",Dibuka Saat Mahasiswa
7,192,7_daftar_aku_sudah_mau,"['daftar', 'aku', 'sudah', 'mau', 'kak', 'grup', 'ig', 'yuk', 'buat', 'juga']","['aku baru mau daftar kak', 'ini aku juga mau daftar kak', 'aku sudah daftar']",Daftar Aku Sudah
8,173,8_dm_admin_halo_hi,"['dm', 'admin', 'halo', 'hi', 'ya', 'boleh', 'bisa', 'kak', 'kakak', 'lebih']","['halo kak bisa dm admin ya', 'halo kakak bisa dm admin ya', 'halo kakak bisa dm admin ya']",Dm Admin Halo
9,170,9_id_ac_pmb_dan,"['id', 'ac', 'pmb', 'dan', 'unsia', 'fleksibel', 'saja', 'langsung', 'kakak', 'website']","['hi kakak bisa langsung daftar sekarang di pmb unsia ac id pilih jurusan favorit dan mulai kuliah online fleksibel dari mana saja', 'hi kakak bisa langsung daftar sekarang di pmb unsia ac id pilih jurusan favorit dan mulai kuliah online fleksibel dari mana saja', 'hi kak kakak bisa langsung daftar sekarang di pmb unsia ac id pilih jurusan favorit dan mulai kuliah online fleksibel dari mana saja']",Id Ac Pmb
