business_category,total_negative_reviews,replied_reviews,reply_rate_%,median_reply_delay_hours,wa_redirection_rate_%,sample_admin_reply
Langganan Tidak Aktif,4959,4943,99.68,1.26,88.71,"Halo Kak. Mohon maaf atas ketidaknyamanannya, silakan laporkan issue yang dialami ke email info@vidio.com atau send feedback dari aplikasi vidio dg..."
Kualitas Aplikasi,2425,2360,97.32,1.17,85.51,"Halo kak, mohon maaf atas ketidaknyamanannya. Silakan informasikan lebih lanjut kendala nya melalui email ke info@vidio.com dengan judul/desc: Kelu..."
Streaming Bola,2066,2043,98.89,1.35,84.34,"Halo Kak, mohon maaf atas ketidaknyamanannya. pastikan kamu sudah berlangganan untuk mengakses aplikasi Vidio dan bebas dari iklan. Bila berkenan, ..."
Akses Konten,1730,1711,98.9,1.17,86.73,"Halo kak, mohon maaf atas ketidaknyamanannya. Silakan informasikan lbh lanjut kendala tsb melalui email ke info@vidio.com dgn judul/desc: Keluhan G..."
Iklan pada Film,1408,1398,99.29,1.0,61.95,"Hai kak, Mohon maaf atas ketidaknyamanannya, mengenai kendalanya dapat diinformasikan banyak konten Vidio yang dapat disaksikan secara gratis. Agar..."
Iklan Berlebih,1060,1054,99.43,1.1,56.83,"Halo kak Trilis, mohon maaf atas ketidaknyamanannya. Silakan informasikan lbh lanjut kendala tsb melalui email ke info@vidio.com dgn judul/desc: Ke..."
Iklan pada Premium,933,929,99.57,1.27,89.02,"Halo Kak. Mohon maaf atas ketidaknyamanannya, silakan laporkan issue yang dialami ke email info@vidio.com atau send feedback dari aplikasi vidio dg..."
Kinerja Aplikasi,797,795,99.75,1.32,91.32,"Halo Kak, mohon maaf atas ketidaknyamanannya. Silakan informasikan lbh lanjut kendala tsb melalui email ke info@vidio.com dgn judul/desc: Keluhan G..."
Harga Langganan,666,663,99.55,1.27,73.76,"Halo kak, mohon maaf atas ketidaknyamanannya. Silakan informasikan lebih lanjut kendala nya melalui email ke info@vidio.com dengan judul/desc: Kelu..."
Penghapusan Aplikasi,602,594,98.67,1.21,82.15,"Halo kak, silakan informasikan lbh lanjut kendala tsb melalui email ke info@vidio.com dgn judul/desc: Keluhan GPlay Store {nama di Google Play}. Ja..."
Login,504,504,100.0,1.33,94.64,"Halo Kak, mohon maaf atas ketidaknyamanannya. Silakan informasikan kendala tersebut melalui email info@vidio.com dengan judul/desc: Keluhan GPlay S..."
Iklan Lambat,356,354,99.44,1.21,68.93,"Halo kak, mohon maaf atas ketidaknyamanannya. Silakan informasikan lebih lanjut kendala nya melalui email ke info@vidio.com dengan judul/desc: Kelu..."
Iklan,346,338,97.69,1.31,56.51,Hai kak. Mohon maaf atas ketidaknyamanan yang dialami. silakan laporkan issue yg sedang dialami ke email info@vidio.com atau send feedback dari apl...
Pembayaran Otomatis,335,334,99.7,1.14,91.02,"Halo, kak. Mohon maaf atas ketidaknyamanannya, silakan laporkan issue yang dialami ke email info@vidio.com atau send feedback dari aplikasi vidio d..."
Kepuasan Pengguna,243,241,99.18,1.15,92.12,"Halo Kak, mohon maaf atas ketidaknyamanannya. Silakan informasikan lbh lanjut kendala tsb melalui email ke info@vidio.com dgn judul/desc: Keluhan G..."
Konten Siaran,222,211,95.05,1.46,87.2,"Halo kak, mohon maaf atas ketidaknyamanannya. Silakan informasikan lbh lanjut kendala tsb melalui email ke info@vidio.com dgn judul/desc: Keluhan G..."
Tampilan,124,121,97.58,0.88,91.74,"Halo Kak. Mohon maaf atas ketidaknyamanannya, silakan laporkan issue yang dialami ke email info@vidio.com atau send feedback dari aplikasi vidio dg..."
Umum Positif,122,122,100.0,1.55,74.59,"Halo, kak. Mohon maaf atas ketidaknyamanannya, silakan laporkan issue yang dialami ke email info@vidio.com atau send feedback dari aplikasi vidio d..."
Lain-lain / Noise,106,104,98.11,1.0,88.46,"Halo kak, mohon maaf atas ketidaknyamanannya. Silakan informasikan lbh lanjut kendala tsb melalui email ke info@vidio.com dgn judul/desc: Keluhan G..."
Pengalaman Baru,81,81,100.0,1.14,75.31,"Halo kak, silakan informasikan lbh lanjut kendala tsb melalui email ke info@vidio.com dgn judul/desc: Keluhan GPlay Store {nama di Google Play}. Ja..."
Pembayaran Langganan,50,50,100.0,1.17,66.0,"Halo kak, mohon maaf atas ketidaknyamanannya. Silakan informasikan lbh lanjut kendala tsb melalui email ke info@vidio.com dgn judul/desc: Keluhan G..."
Tidak Relevan,43,43,100.0,1.14,95.35,"Halo kak Irlan, mohon maaf atas ketidaknyamanannya. Silakan informasikan lbh lanjut kendala tsb melalui email ke info@vidio.com dgn judul/desc: Kel..."
Umum Negatif,42,41,97.62,1.05,82.93,"Halo Kak, mohon maaf atas ketidaknyamanannya. Silakan informasikan kendala tersebut melalui email info@vidio.com dengan judul/desc: Keluhan GPlay S..."
