topic_id,topic_name,sentiment,business_category,sub_issue,merge_group,review_count,percentage,average_score,total_thumbs_up,top_keywords,sample_reviews
0,Saya Tidak Di,negatif,Langganan Tidak Aktif,Tidak dapat menonton meski sudah berlangganan,SUBSCRIPTION_ERROR,4959,25.8,1.16,34210,"saya, tidak, di, sudah, bisa, paket, tapi, ini, aplikasi, saldo","udah berlangganan yang platinum malah ga bisa nonton film nya disuruh berlangganan lagi, aplikasi ga jelas buang buang duit | Ini kenapa yah saya udah aktifkan paket untuk 1 bulan baru 5 hari pemakaian disuruh aktifkan paket lagi dan film2 ngga bisa di setel ngga bakalan berlangganan sama vidio klo kaya gini | Sudah beli paket, tapi masih tidak bisa akses untuk menonton siaran langganan ini sudah yang ke 2 kali nya, beli paket pake akun gmail aktif ny malah di akun Fb. Login pake akun fb malah gak bisa masuk. Kecewa padahal sebelum update apk sudah bagus, setelah update malah error."
1,Menonton Bola Bagus,negatif,Streaming Bola,Tidak dapat menonton liga setelah bayar,SPORTS_STREAM,2066,10.75,1.16,3861,"menonton, bola, bagus, padahal, liga, patah, jaringan, sinyal, sudah, bayar","Sudah beli paket liga Inggris malah engga bisa nonton, gambar nya hitam | udah kepotong 100rban udah bayar langganan, tapi malah diitung belum berlangganan, stress ni aplikasi, liga inggris jangan pake vidio lah aplikasi kentang sering lag ga jelas | udah bayar paket premium, malah ga bisa nonton bola anji..g"
2,Buruk Berbayar Aplikasi,negatif,Kualitas Aplikasi,Aplikasi dianggap buruk/jelek,APP_QUALITY,1784,9.28,1.1,1429,"buruk, berbayar, aplikasi, tidak, bagus, lambat, payah, busuk, ribet, kurang",langganan nya jelek | Aplikasi jlek | Aplikasinya jelek
3,Bisa Tidak Menonton,negatif,Akses Konten,Tidak dapat menonton konten berbayar,CONTENT_ACCESS,1730,9.0,1.2,1376,"bisa, tidak, menonton, di, sudah, tv, kenapa, tapi, paket, berlangganan",vidio nya gabisa diputar padahal udah berlangganan | Sudah beli paket tapi gak bisa nonton tayangan yang berbayar | Sudah beli paket langganan tapi tidak bisa di tonton
4,Iklan Film Menit,negatif,Iklan pada Film,Iklan terlalu lama tiap film,ADS_MOVIE,1408,7.33,1.22,8551,"iklan, film, menit, nya, banyak, iklannya, skip, menonton, tolong, di","Film/video nya bagus lengkap,tapi banyak iklan nya sampai 1menit, gak ngotak iklannya,minimal apk no iklan dong | Klo bukan karna mau nonton da asia 6 males downlod app ini udh banyak iklan makan waktu lgi seru seru iklan gajelas. Iklan di tv ajh udh cukup kli ditambahin iklan trs di app nya gjls tolong kurangin iklan nya | iklannya banyak banget ada 3, mana setiap 1 iklan 30 detik, jadi ga nyaman nonton filmnya, sorry jangan di instal jelek aplikasinya!!!!"
5,Iklan Banyak Terlalu,negatif,Iklan Berlebih,Terlalu banyak iklan,ADS_EXCESS,1060,5.52,1.19,2369,"iklan, banyak, terlalu, iklannya, nya, mulu, film, iklanya, ngotak, mengganggu",Terlalu banyak iklan nya | Terlalu banyak iklan nya | Terlalu banyak iklan nya
6,Susah Langganan Masih,negatif,Iklan pada Premium,Iklan muncul meski berlangganan,ADS_PREMIUM,933,4.85,1.16,3605,"susah, langganan, masih, iklan, sudah, ada, saja, mau, bayar, berlangganan","Udh beli langganan premium padahal tapi msh ada iklan nya juga sihh???? Aneh banget | udah berlangganan tp ttp ada iklan tuh Taekk banget dehh | udah berlangganan platinum yang extra masih aja ada iklan ternyata, ganggu banget buat di tv"
7,Mahal Bayar Gratis,negatif,Harga Langganan,Harga terlalu mahal/harus bayar,PRICE_COMPLAINT,666,3.47,1.14,571,"mahal, bayar, gratis, harga, harus, tidak, bisa, dibuka, sudah, ada","harus beli, tidak bisa gratis. | Iklan nya banyk bngt, lagi rame ramenya nonton malah harus bayar😒 kenapa gk gratis aja sih | bayar mahal mahal tapi siarannya hilang"
8,Aplikasi Sampah Tolol,negatif,Kualitas Aplikasi,Aplikasi dianggap sampah,APP_QUALITY,641,3.34,1.04,366,"aplikasi, sampah, tolol, burik, berguna, tidak, iklan, guna, scam, tipu",aplikasi cacat iklan mulu | Aplikasi gila iklan trs | aplikasi stream aneh
9,Aplikasi Uninstall Uninstal,negatif,Penghapusan Aplikasi,Ingin uninstall karena iklan,UNINSTALL,602,3.13,1.07,374,"aplikasi, uninstall, uninstal, download, banyak, ini, jangan, tidak, auto, saja",GK banget aplikasi nya banyak iklan | Jelek banyak iklan payah apk nya | Aplikasi nya jelek.. bnyak iklan nya..
