Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,106,-1_sepotong_gabut_ikln_mulai,"['sepotong', 'gabut', 'ikln', 'mulai', 'bauar', 'bandwidthnya', 'annjinggggg', 'boke', 'buauk', 'bodohi']","['percuma saya langganan platinum tapi tidak bisa buat menonton film', 'ini bagaimana ya aplikasi vidio saya tidak bisa buat menonton sama sekali', 'percuma beli paket premium tetap tidak bisa menonton film']",Sepotong Gabut Ikln
0,1129,0_perbaiki_lancar_wifi_tolong,"['perbaiki', 'lancar', 'wifi', 'tolong', 'jaringan', 'diperbaiki', 'buka', 'video', 'loading', 'buffering']","['kecewa banget padahal buka aplikasi lainnya lancar tapi saat buka aplikasi video malah tidak muncul video apapun heran padahal sudah jelas jelas jaringan baik baik saja tolong di perbaiki', 'tolong ya segera diperbaiki saya lagi menonton tiba loading dan sudah 4hari ini saya nggag menonton karena loading terus nggag bisa buka padahal pakai wifi dan wifi nya buat nge game buat menonton youtube lancar jaya tapi buat menonton di sini susah banget loading terus kenapa ya mohon diperbaiki ya', 'tolong perbaiki aplikasi ini setiap saya buka keluar terus tolong perbaiki']",Perbaiki Lancar Wifi
1,480,1_sinyal_jaringan_bagus_padahal,"['sinyal', 'jaringan', 'bagus', 'padahal', 'wifi', 'lancar', 'stabil', 'muter', 'loading', 'lag']","['buffering terus padahal sinyal bagus', 'jaringan bagus tapi loading terus', 'sinyal sudah bagus tapi aplikasi ngelag terus']",Sinyal Jaringan Bagus
2,369,2_menit_detik_iklan_iklannya,"['menit', 'detik', 'iklan', 'iklannya', 'durasi', '30', 'sampai', '10', 'skip', 'kali']","['baru menonton 5 menit iklannya 2 menit menonton iklan apa menonton film 1 iklan 1 menit tolong dong iklanya jangan durasi 1 menit buat mls menonton di aplikasi vidio', 'menonton 2 menit iklan nya 10 menit', 'kebanyakan iklan menonton 1 menit terus iklan lagi']",Menit Detik Iklan
3,288,3_film_episode_anime_lengkap,"['film', 'episode', 'anime', 'lengkap', 'season', 'filmnya', 'jadul', 'horor', 'eps', 'piece']","['tolong lengkapi series the legend of monkey king cuma sampai episode 43 padahal season 1 sampai episode 45', 'lagi enak maratho one piece ternya tidak lengkap masa dari season 5 langsung ke season 20', 'film2 marvel terbaru tidak ada dan tidak lengkap mau menonton anime episode tidak lengkap terlalu banyak kekurangan']",Film Episode Anime
4,290,4_masih_iklan_tetap_premium,"['masih', 'iklan', 'tetap', 'premium', 'ada', 'langganan', 'ganggu', 'berlangganan', 'iklannya', 'sudah']","['sudah langganan masih iklan', 'sudah langganan masih saja iklan', 'sudah langganan tapi masih ada iklan']",Masih Iklan Tetap
5,321,5_bayar_harus_lokal_tv,"['bayar', 'harus', 'lokal', 'tv', 'siaran', 'bola', 'proliga', 'menonton', 'saja', 'lihat']","['menonton bola harus bayar', 'aplikasi apaan ini menonton bola saja bayar', 'bayar dulu baru menonton']",Bayar Harus Lokal
6,370,6_pulsa_kepotong_saldo_terpotong,"['pulsa', 'kepotong', 'saldo', 'terpotong', 'cukup', 'mencukupi', 'gopay', 'otomatis', 'berkurang', 'isi']","['kenapa saat melakukan pembayaran paket dengan pulsa selalu ditolak padahal saldo pulsa mencukupi', 'mau premium pakai pulsa tapi enggak bisa padahal pulsa nya lebih dari cukup', 'tidak bisa berlangganan pulsa anda tidak mencukupi padahal pulsa sudah mencukupi']",Pulsa Kepotong Saldo
7,383,7_league_premier_inggris_liga,"['league', 'premier', 'inggris', 'liga', 'paket', 'premiere', 'u17', 'indonesia', 'bwf', 'beli']","['sudah beli paket premier tapi belum bisa menonton liga inggris tapi liga 1 bisa', 'terlalu mahal paket premier league nya', 'sudah beli paket platinum tidak bisa menonton premier league']",League Premier Inggris
8,134,8_kapitalis_prabayar_gartis_apa²,"['kapitalis', 'prabayar', 'gartis', 'apa²', 'buang²', 'wayang', 'phei', 'cacad', 'dibayar', 'putus²']","['kapitalis', 'kapitalis', 'di kantor bbh کهvyyhygyggyyhyژژzzzzzzzzژ']",Kapitalis Prabayar Gartis
9,250,9_susah_ribet_mau_ampun,"['susah', 'ribet', 'mau', 'ampun', 'amat', 'banget', 'susahnya', 'saja', 'beli', 'negara']","['susah banget buat langganan nya', 'susah banget mau menonton', 'susah banget sih langganan di vidio ribet']",Susah Ribet Mau
10,167,10_buka_unduh_donwload_kenapa,"['buka', 'unduh', 'donwload', 'kenapa', 'download', 'bisa', 'video', 'dibuka', 'di', 'ya']","['kenapa aplikasi nya tidak bisa di buka', 'kok tidak bisa di buka aplikasi ya', 'kenapa aplikasi vidio saya tidak bisa di buka']",Buka Unduh Donwload
11,112,11_yang_dulu_download_lebih,"['yang', 'dulu', 'download', 'lebih', 'pakai', 'kalau', 'ini', 'netflix', 'enak', 'sekarang']","['gara gara trans tv dan trans7 dipasang label mahkota alias disuruh bayar paket jadinya tontonan tv makin terbatas berlangganan wifi yang juga kerjasama dengan vidio malah makin ribet urusannya karena harus jelasin ini itu pada orang rumah yang mau enak saja mau login channel tv harus lewatin iklan vidio semenit saat sudah selesai iklannya ada iklan channel tvnya sendiri lagi kita hanya pakai aplikasimu untuk menonton channel tv doang janganlah dipersulit mending hapus saja channel mahkota', 'anjing banyak iklannya dan yang buat saya jengah tuh ini contoh saya menonton santri pilihan bunda episode 2 durasi 48 menit tapi saat di tonton itu cuma 2 menit doang bagaimana tidak jengah tolong di kasih saran biar bisa full thanks and sorry tambahan harus banget ya pekek beli begituan kasihan yang tidak punya uang saya juga tidak punya kalau peket² apan itu di hapus bisa tidak thanks and sorry', 'kalau sudah tidak berlangganan langsung putusin saja jangan kayak gua mau beli kouta sudah di isi 150 malah di ambil sama vidio jadinya cuma beli 25 gb if you haven t subscribed just disconnect immediately don t be like i want tapi buy a kouta fill ini 150 instead take itu with the video sok you only buy 25 gb']",Yang Dulu Download
12,112,12_mata_abal_duitan_kakean,"['mata', 'abal', 'duitan', 'kakean', 'melulu', 'bokep', 'iklan', 'fidio', 'kelen', 'burik']","['kakean iklan', 'kakean iklan', 'kakean iklan']",Mata Abal Duitan
13,258,13_mahal_harga_semakin_makin,"['mahal', 'harga', 'semakin', 'makin', 'kualitas', 'naik', 'paketnya', 'paket', 'bayar', 'tambah']","['mahal', 'tambah lama tambah mahal', 'terlalu mahal']",Mahal Harga Semakin
14,94,14_terlalu_banyak_iklan_kebanyakan,"['terlalu', 'banyak', 'iklan', 'kebanyakan', 'iklannya', 'sebentr', 'terbanyak', 'eengan', 'ikalan', 'sepadan']","['terlalu banyak iklan', 'terlalu banyak iklan', 'terlalu banyak iklan']",Terlalu Banyak Iklan
15,134,15_iklan_10_menit_iklannya,"['iklan', '10', 'menit', 'iklannya', 'detik', 'dikit', 'muncul', 'sunsilk', 'sampai', 'kalau']","['kebanyakan iklan baru klik chanel tv saja sudah ada iklannya lama banget 3 6 menit yang tidak bisa di skip padahal sudah aku klik lewati tapi tetap tidak bisa kalau dari filmnya iklan terus ikut iklan juga dan 10 iklannya masing masing iklan berisi 15 sampai 2 menit bayangkan nih kalau lagi enak enak menonton terus ada iklan keluar selama 3 menit terus kalian mau skip tapi tidak bisa dari aplikasinya padahal sudah aku klik lewati tapi tetap tidak bisa', 'jangan unduh aplikasi ini banyak iklannya apalagi iklan sunsilk yang lama sekali tolong hapus iklam sunsilk di aplikasi vidio soalnya lama banget pokoknya iklan sunsilk sangat mengganggu sekali iklan yang lain cuma 15 detik paling lama ini iklan sunsilk satu menit durasinya tolong di pertimbngkan pokoknya meminta hapus iklan sunsilk jangan mau unduh aplikasi ini pokoknya iklan sunsilk lama sekali mengganggu sekali iklan yang lain cuma sebentar durasinnya pokoknya iklan sunsilk harus di hapus', 'aplikasi buruk banyak sekali iklan nya pernah dapat satu episode agz itu ada 10 iklan setiap menit nya pasti ada iklan mana iklan nya pernah 2 menit itu iklan apa mv kpop lagian ya dulu juga tidak banyak iklan kok sekarang banyak banget aneh aplikasi perbaiki dong kalau bisa bintang 0 gua kasih itu bintang 0 gua sampai hapal nama nama iklan yang langganan banget tidak pernah lewat durasi vid 30 menit an dan itu tuh iklan bisa lebih dari 10 iklan yang sering ada pejoy ponds vape kinderjoy iklan lagu gjlas yang berdurasi2mnt']",Iklan 10 Menit
16,143,16_kurangi_tolong_komentar_iklannya,"['kurangi', 'tolong', 'komentar', 'iklannya', 'dong', 'iklan', 'ilangin', 'nyaman', 'terlalu', 'paslon']","['tolong ya iklan nya di kurangi', 'tolong iklan di kurangi', 'tolong dong iklan ya di kurangi']",Kurangi Tolong Komentar
17,151,17_rcti_mnctv_gtv_chanel,"['rcti', 'mnctv', 'gtv', 'chanel', 'mnc', 'tv', 'ada', 'saluran', 'lengkap', 'tambahkan']","['mnctv kok tidak ada ya', 'tidak ada mnctv nya', 'mnctv tidak ada']",Rcti Mnctv Gtv
18,146,18_indonesia_bola_negeri_sctv,"['indonesia', 'bola', 'negeri', 'sctv', 'timnas', 'laga', 'gen', 'luar', 'mending', 'negara']","['emtek scm sebagai official broadcaster liga 1 dan timnas indonesia yang harus bertanggungjawab harusnya emtek group menyiarkan persib melalui sctv kalau tidak bisa di indosiar pssi juga sebagai penyelenggara dan mitra emtek scm seharusnya ikut bertanggungjawab penayangan delay bukan solusi tapi tindakan menyepelekan laga liga 1 apalagi tim yang akan tanding memiliki suporter banyak', 'mau menonton dan dukung berdoa bola indonesia lah harus bayar buat apa dukung moga saja indonesia kalah amin ya allah seharus nya pertandingan nya bisa di nikmati seluruh masyarakat indonesia tapi nyata nya bisnis lebih mending dari doa ok moga kalah biar mati saja sekalian sepak bola indonesia bubar ngabisin uang masyarakat saja', 'semuanya bayar laga timnas pun masih bayar mending rcti tidak pelit minimal laga timnas indonesia kita tidak di sensor lah laga bri liga 1 smaa liga luar negeri enggak apa-apa di premier kan padahal tadi mau download lagi karena pengin menonton timnas eh malah bayar padahal timnas main tidak tiap hari tapi bayar sudah kayak liga 1 saja saya naikin 1 bintang karena fast respon dari respon nya ok cuma tak kurangi lagi 1 bintang']",Indonesia Bola Negeri
19,198,19_aktif_my_xl_paketnya,"['aktif', 'my', 'xl', 'paketnya', 'dipakai', 'telkomsel', 'paket', 'voucher', 'beli', 'belum']","['sudah bayar langganan tapi paket tidak aktif', 'sudah bayar tapi paket tidak aktif', 'sudah bayar paket tapi tidak aktif']",Aktif My Xl
20,210,20_download_dulu_harus_fitur,"['download', 'dulu', 'harus', 'fitur', 'sekarang', 'gratis', 'dowload', 'sinetron', 'didownload', 'mendownload']","['kembaliin dong fitur download masak mau download harus premium', 'kecewa beberapa hari yang lalu masih bisa download sinetron bidadari surgamu tapi sekarang malah disuruh berlangganan premier dulu kalau mau mendownload video kelihatan banget itu mata duitannya', 'kenapa tidak bisa mendownload video gratis kenapa harus langganan dulu baru bisa download']",Download Dulu Harus
21,174,21_mulu_lag_nge_gangguan,"['mulu', 'lag', 'nge', 'gangguan', 'error', 'eror', 'muter', 'ganguan', 'terus', 'sering']","['tidak jelas lag mulu', 'lag mulu', 'lag mulu']",Mulu Lag Nge
22,167,22_uninstall_uninstal_auto_butut,"['uninstall', 'uninstal', 'auto', 'butut', 'maaf', 'unistal', 'saja', 'by', 'mending', 'terpaksa']","['enggak jadi aku uninstal lagi', 'auto uninstall', 'uninstall']",Uninstall Uninstal Auto
23,169,23_gp_pildun_moto_tv,"['gp', 'pildun', 'moto', 'tv', 'menonton', 'live', 'show', 'acara', 'indosiar', 'net']","['saya tidak bisa menonton king emyu hanya ada gambar tv5', 'jelek tidak bisa menonton live bolla pildun', 'tidak baik karena saya mencoba berulang ulang kali saat saya mencoba mode anak anak sa ya tidak bisa menonton indosiar']",Gp Pildun Moto
24,233,24_berlangganan_menonton_langganan_bisa,"['berlangganan', 'menonton', 'langganan', 'bisa', 'sudah', 'tapi', 'tetap', 'buat', 'aneh', 'tidak']","['sudah berlangganan tapi tidak bisa menonton', 'sudah berlangganan masih tidak bisa menonton', 'sudah berlangganan tapi tetap enggak bisa menonton']",Berlangganan Menonton Langganan
25,122,25_mengganggu_menggangu_terlalu_sangat,"['mengganggu', 'menggangu', 'terlalu', 'sangat', 'banyak', 'iklan', 'muncul', 'saat', 'berulang', 'dan']","['iklan nya sangat mengganggu', 'iklan nya ini sangat mengganggu', 'terlalu banyak iklan sangat mengganggu']",Mengganggu Menggangu Terlalu
26,103,26_iklan_banyak_ditengah_kenyang,"['iklan', 'banyak', 'ditengah', 'kenyang', 'masing', 'race', 'perbanyak', 'habis', 'lagi', 'mana']","['banyak iklan', 'banyak iklan', 'banyak iklan']",Iklan Banyak Ditengah
27,81,27_tahi_gblk_babi_gatel,"['tahi', 'gblk', 'babi', 'gatel', 'busuk', 'aplikasi', 'dongo', 'jahannam', 'hama', '1menit']","['aplikasi tahi', 'aplikasi tahi', 'aplikasi tahi']",Tahi Gblk Babi
28,153,28_kembalikan_uang_tertarik_dana,"['kembalikan', 'uang', 'tertarik', 'dana', 'senilai', '49', 'sengaja', '950', 'kepencet', 'saya']","['yaallah tolong kembalikan uang saya tiba-tiba tertarik otomatis di akun dana saya senilai 49 950 itu sepertinya tidak sengaja kepencet fitur langganan nya saya mohon kembali uang saya saya sangat membutuhkan nya', 'yaallah tolong kembalikan uang saya tiba-tiba tertarik otomatis di akun dana saya senilai 43 290 itu sepertinya tidak sengaja kepencet fitur langganannya saya mohon kembalikan uang saya saya membutuhkannya', 'yaallah tolong kembalikan uang saya tiba-tiba tertarik otomatis di akun dana saya senilai 49 950 itu sepertinya tidak sengaja kepencet fitur langganan nya saya mohon kembalikan uang saya saya sangat membutuhkannya']",Kembalikan Uang Tertarik
29,79,29_bermutu_sangat_buruk_aplikasi,"['bermutu', 'sangat', 'buruk', 'aplikasi', 'mutu', 'bilang', 'berguna', 'banyak', 'jellek', 'cuk']","['aplikasi sangat jellek kenapa saya bilang jellek karena menguras data sekali', 'aplikasi tidak bermutu iklan bergentayangan seperti hantu yang bandel', 'aplikasi super buruk tanpa adanya tim penanganan kendala aplikasi paling super buruk developer tidak ada']",Bermutu Sangat Buruk
