Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,106,-1_sepotong_aplikasi_gabut_sendiri,"['sepotong', 'aplikasi', 'gabut', 'sendiri', 'ikln', 'apa', 'jelas', 'tidak', 'sama', 'keluar']","['tidak guna puya ngapin harus bauar buat apa buat aplikasi tidak jelas', 'kenapa aplsi ini banyak ikln ya burus juga makn pakit', 'aplikasi ini selalu keluar sendiri padahal tidak sentuh apa apa malah keluar sendiri']",Sepotong Aplikasi Gabut
0,4959,0_saya_tidak_di_sudah,"['saya', 'tidak', 'di', 'sudah', 'bisa', 'paket', 'tapi', 'ini', 'aplikasi', 'saldo']","['aplikasi tidak jelas padahal sudah bayar langganan tapi kenapa kadang tidak bisa menonton video yang ingin saya lihat setiap saya menekan video yang ingin saya tonton terus loading eh tiba tiba keluar sendiri tidak bisa di tonton mohon di perbaiki agar tidak ada lagi bug error', 'saya kecewa beberapa bulan yang lalu saya berlangganan di video melalui dana dan sudah tiga bulan berhenti langganan sudah di hapus juga semua akun dana tertaut tapi tetap saja masih motong saldo saya saya berhenti langganan karena saya sudah jarang menonton eh malah tetap saja di potong saldo saya jujur saya jengkel apa begini cara developer video cari untung dengan cara merugikan orang', 'ini bagaimana sih saya baru saja langganan tiba tiba film enggak bisa di putar coba film lain juga tetap enggak bisa padahal lagi seru banget menonton malah enggak bisa tolong dong saya lagi seruny menonton belum sampai selsai malah enggak bisa bisa di ulang ulang tetap enggak bisa baru banget padahal berlangganan sebel banget']",Saya Tidak Di
1,2066,1_menonton_bola_bagus_padahal,"['menonton', 'bola', 'bagus', 'padahal', 'liga', 'patah', 'jaringan', 'sinyal', 'sudah', 'bayar']","['sudah beli paket premier tapi belum bisa menonton liga inggris tapi liga 1 bisa', 'sudah bayar premium tapi kalau menonton bola tidak bisa', 'saya sudah bayar tapi tidak bisa menonton']",Menonton Bola Bagus
2,1784,2_buruk_berbayar_aplikasi_tidak,"['buruk', 'berbayar', 'aplikasi', 'tidak', 'bagus', 'lambat', 'payah', 'busuk', 'ribet', 'kurang']","['aplikasi buruk', 'aplikasi buruk', 'tidak bagus buruk']",Buruk Berbayar Aplikasi
3,1730,3_bisa_tidak_menonton_di,"['bisa', 'tidak', 'menonton', 'di', 'sudah', 'tv', 'kenapa', 'tapi', 'paket', 'berlangganan']","['padahal sudah berlangganan tapi tidak bisa menonton', 'tidak bisa menonton', 'sudah berlangganan tapi tidak bisa menonton']",Bisa Tidak Menonton
4,1408,4_iklan_film_menit_nya,"['iklan', 'film', 'menit', 'nya', 'banyak', 'iklannya', 'skip', 'menonton', 'tolong', 'di']","['aplikasi tidak guna iklan nya banyak banget saat menonton video baru satu menit deh iklan satu menit iklan tolong di perbaiki', 'iklan nya kurangi lah malah makin banyak 1 iklan bisa 1 menit lebih dikit² iklan capek dengan iklan nya lagi menonton seru iklan muncul memang enak gratis tapi iklan mulu kasih bintang 2 dulu setelah iklan kuran baru full bintang', 'kebanyakan iklan menonton 1 menit terus iklan lagi']",Iklan Film Menit
5,1060,5_iklan_banyak_terlalu_iklannya,"['iklan', 'banyak', 'terlalu', 'iklannya', 'nya', 'mulu', 'film', 'iklanya', 'ngotak', 'mengganggu']","['banyak iklan', 'banyak iklan', 'banyak iklan']",Iklan Banyak Terlalu
6,933,6_susah_langganan_masih_iklan,"['susah', 'langganan', 'masih', 'iklan', 'sudah', 'ada', 'saja', 'mau', 'bayar', 'berlangganan']","['sudah langganan masih iklan', 'sudah beli langganan premium padahal tapi masih ada iklan nya juga sih aneh banget', 'sudah langganan masih saja ada iklan']",Susah Langganan Masih
7,666,7_mahal_bayar_gratis_harga,"['mahal', 'bayar', 'gratis', 'harga', 'harus', 'tidak', 'bisa', 'dibuka', 'sudah', 'ada']","['paket mahal', 'bayar mahal', 'kenapa tidak bisa menonton video sudah bayar mahal mahal']",Mahal Bayar Gratis
8,641,8_aplikasi_sampah_tolol_burik,"['aplikasi', 'sampah', 'tolol', 'burik', 'berguna', 'tidak', 'iklan', 'guna', 'scam', 'tipu']","['aplikasi sampah', 'aplikasi sampah iklan', 'aplikasi iklan sampah']",Aplikasi Sampah Tolol
