topic_id,topic_name,sentiment,business_category,sub_issue,merge_group,review_count,percentage,average_score,total_thumbs_up,top_keywords,sample_reviews
0,Saya Di Sudah,netral,Masalah Streaming,Tidak dapat menonton live atau film,STREAMING_ERROR,641,22.67,3.0,7180,"saya, di, sudah, tidak, bisa, menonton, yang, tapi, aplikasi, nya","Aku download vidio ini demi nonton bola liga 1 udah bayar juga tapi knapa muter ya gak muncul muncul live nya padahal sinyal bagus paket banyak tolong dong jelasin knapa pake gak bisa | saya berlangganan vidio. tp mau nonton movie susah Mulu. muter terus. kayanya habis paket ini mau pindah saja ke aplikasi yang lain. kecewa saya | Aplikasinya sudah bagus, tapi lama kelamaan kok film tayangan ulang tv udah gak bisa di download lagi ya, harus bayar"
1,Bayar Paket Beli,netral,Pembayaran Langganan,Iklan tetap muncul setelah bayar,PAYMENT_ISSUE,281,9.94,3.0,1208,"bayar, paket, beli, langganan, pulsa, sudah, bisa, harus, tidak, menonton",nonton video kok d bayarr pake paket segala udh g bisa nonton lagi | Udh bayar bulanan tapi tetap saja ada iklan ya mana Lg gak bisa ke Skipp | Taii udah ada paket nya buat nonton bola malah gak bisa
2,Tv Menonton Siaran,netral,Siaran TV,Channel tidak muncul atau terputus,TV_CHANNEL,198,7.0,3.0,301,"tv, menonton, siaran, di, kenapa, tidak, bisa, ulang, menit, yang",minn kok sekarang kalo streaming bolas jadi gak baguss tayangannya pecah² kadang nge blank | kenapa video saya gak bisa buka live streming nya ya yg bagian indosiar?? padahal kan saya pngn bngt nonton indosiar | Kenapa siaran RCTI gak ada...? Padahal mau nonton bola. Tolong dibantu min
3,Tolong Nya Kurangi,netral,Iklan,"Terlalu banyak iklan, minta dikurangi",AD_OVERLOAD,186,6.58,3.0,864,"tolong, nya, kurangi, di, iklan, perbaiki, mohon, bagus, aplikasi, lagi",Bagus sih tpi banyak iklannya+keluar mulu dri apk nya tolong perbaiki yh 🤧🙌 | tolong dong di perbaiki lagi loadinya lama banget pas mau nonton filem dan iklan nya di kurangin lagi padahal sinyal wifi saya bagus | Aplikasinya bagus tapi ada iklanya tolong Hilangin iklanya
4,Bagus Lumayan Mantap,netral,Puasan Pengguna,Aplikasi dinilai bagus,POSITIVE_FEEDBACK,180,6.36,3.0,23,"bagus, lumayan, mantap, keren, sangat, baik, suka, lah, aplikasi, banget",bagus | bagus 👍 | bagus
5,Sinyal Padahal Banget,netral,Kualitas Streaming,Lag meski sinyal bagus,PERFORMANCE_ISSUE,151,5.34,3.0,117,"sinyal, padahal, banget, bagus, terus, sering, kenapa, lama, aman, muter",sering lag padahal sinyal saya bagus wifi lancar tapi giliran buka vidio langsung lag | Loading melulu pdhal signal wifi bagus | Udah beli paket tapi siaran nya ga lancar banyak ngeleg
6,Film Lengkap Kurang,netral,Katalog Konten,Film/seri kurang lengkap,CONTENT_GAP,127,4.49,3.0,70,"film, lengkap, kurang, ada, yang, episode, nya, tidak, the, filmnya",kurang banyak film dan series nya. | lumayan TPi GK ad film India | film nya tolong di lengkapi kurang lengkap nga seru apalagi nga ada film hantu 👎
7,Ok Oke Good,netral,Puasan Pengguna,Komentar OK/baik,POSITIVE_FEEDBACK,124,4.38,3.0,40,"ok, oke, good, is, bad, heleh, mennit, nice, jos, mahabarata",ok | ok | Ok
8,Saya No Bisa,netral,Akun & Login,Tidak dapat daftar atau masuk,ACCOUNT_ISSUE,116,4.1,3.0,117,"saya, no, bisa, hp, ya, berlangganan, tidak, kenapa, login, cara",Saya mau berlangganan kok tidak bisa ya ? | saya download kok ga bisa ntn liga2 Eropa ya di HP knp ya... mau beli paket juga ga ada | kenapa sekarang gak bisa daftar pake no hp min?
9,Menonton Patah Live,netral,Masalah Live Streaming,"Live streaming terputus, iklan mengganggu",LIVE_ERROR,86,3.04,3.0,80,"menonton, patah, live, bola, streaming, iklan, kalau, gambar, olah, raga","Kebanyakan iklan trs , klo nonton vidio | eror terus nonton live streaming gabisa2 | terlalu banyak iklan kalau lgi nonton di video live"
10,Kebanyakan Iklan Banyak,netral,Iklan,Terlalu banyak iklan,AD_OVERLOAD,83,2.93,3.0,42,"kebanyakan, iklan, banyak, terlalu, iklannya, menonton, premium, dan, namanya, gratis",banyak iklan | banyak iklan | banyak iklan
11,Banyak Bagus Tapi,netral,Iklan,Iklan mengganggu pengalaman,AD_OVERLOAD,69,2.44,3.0,19,"banyak, bagus, tapi, enak, iklan, terlalu, iklanya, iklannya, sih, memuaskan",bagus cuman iklanya banyak | aplikasinya bagus dan banyak film nya cuman terlalu banyak iklan | Bagus sih tapi terlalu banyak iklanny
12,Lambat Ngelag Gangguan,netral,Kinerja Aplikasi,Loading lama atau error,PERFORMANCE_ISSUE,68,2.4,3.0,45,"lambat, ngelag, gangguan, parah, mulu, sering, loading, kadang, akhir, suka",eror mulu | sering error | lemot banget
13,Buka Bisa Di,netral,Aplikasi Tidak Bisa Dibuka,Tidak dapat membuka atau mengunduh video,APP_CRASH,60,2.12,3.0,16,"buka, bisa, di, tidak, putar, rekam, kenapa, kebuka, ya, laptop",Kenapa kok gak bisa di buka aplikasi Vidio nya | aplikasi nya tidak bisa di buka | kenapa video tidak bisa di download 😭😭
14,Dulu Coba Iklannya,netral,Iklan,Uji coba iklan dulu,AD_TEST,55,1.94,3.0,2,"dulu, coba, iklannya, kurangi, dicoba, bintang, banyak, tiga, terlalu, kungfu",coba dulu | coba dulu. | coba dulu
15,Liga Inggris Vs,netral,Siaran Live,Liga tidak tersedia,LIVE_BROADCAST,50,1.77,3.0,13,"liga, inggris, vs, timnas, indonesia, italia, mahal, pertandingan, ditayangkan, menonton","Kecewa liga itali g ada, padahal mau nonton jay idzes, tolong di perbaiki | Live Liga Italia kok gk ditayangkan lagi? | Coba coba ada gk live liga 2"
16,Bintang Kasih Aku,netral,Kualitas Konten,"Bintang rendah, konten kurang bagus",CONTENT_RATING,48,1.7,3.0,6,"bintang, kasih, aku, dulu, flim, tiga, bagus, tamba, nanti, coba","Kurang bagus jadi saya kasi bintang 3 | Coba dulu, klu bagus aq tmbh bintang nya 😊😊 | kasih bintang 3 dulu soalnya baru download"
17,Banyak Iklan Iklannya,netral,Iklan,Terlalu banyak iklan,ADS_EXCESS,42,1.49,3.0,17,"banyak, iklan, iklannya, banget, agz, nya, kali, ketinggalan, kepotong, ganggu",banyak iklan nya | banyak iklan nya | Bnyk iklan nya
18,Ada Tidak Rcti,netral,Ketersediaan Channel,Channel RCTI tidak ada,CHANNEL_MISSING,41,1.45,3.0,3,"ada, tidak, rcti, akses, game, horor, berkualitas, senang, belum, mnctv",RCTI tidak ada 🗿 | Ga ada rcti nya | tenis tdk ada
19,Mahal Harga Naik,netral,Harga Paket,Harga paket naik,PRICE_INCREASE,36,1.27,3.0,15,"mahal, harga, naik, makin, harganya, paket, harusnya, sekarang, terlalu, kmrin2",harga paketnya naik terus | Paketnya mahal | harga paket jgn mahal2
