Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,10,-1_mobil_zuzuki_tþgtþtþgtþ_skudo,"['mobil', 'zuzuki', 'tþgtþtþgtþ', 'skudo', 'bermampaat', 'pidio', 'baik', 'penting', 'cukup', 'tahu']","['sering ngelag padahal sinyal wifi bagus terutama ketika lihat film sering muter muter sedang sinyal wifi sangat bagus mungkin itu yang perlu diperbaiki terima kasih', 'terima kasih bisa menonton tv di hp', 'kok enggak bisa beli paket platinum ya']",Mobil Zuzuki Tþgtþtþgtþ
0,47,0_bad_jos_hiburan_tingkatkan,"['bad', 'jos', 'hiburan', 'tingkatkan', 'diputar', 'cre', 'cool', 'krja', 'berlanggann', 'kahar']","['oji untuk', 'semu orang', 'deposit bad']",Bad Jos Hiburan
1,52,1_fitur_film_pengguna_untuk,"['fitur', 'film', 'pengguna', 'untuk', 'mohon', 'tambahkan', 'seperti', 'dan', 'di', 'atur']","['halo saya pengguna premium ingin memberikan sedikit masukan setelah menggunakan aplikasi ini walaupun baru sebentar sekitar 3 bulanan saya merasakan kenyamanan saat menonton film terlebih dengan akun premium karena tidak ada gangguan iklan dan yang saya suka ada fitur skip intro ini sangat membantu sih tapi saya ada masukan nih ternyata cukup banyak film atau konten yang sudah lama film film baru sedikit sekali ini kurang menguntungkan bagi pengguna premium terimakasih', 'koleksi film jackie chan diaplikasikan ini sedikit bahkan tidak sampai 50 buah film sedangkan film nya ada 100 lebih mengecewakan kemudian tolong tambahkan fitur dubbing dan subtitle yang bisa di atur sendiri bebas pilih bahasa seperti fitur kualitas video yang bisa di atur sendiri ingat admin kedua hal ini sangat berbeda saya tunggu update terbaru dari aplikasi ini', 'halo vidio saya mau kasih saran jujur saja saya kurang nyaman dengan konten 18 atau 21 memang usia saya sudah 19 tapi saya tidak nyaman saran yang bisa saya beri adalah tolong tambahkan fitur filter film di pengaturan misalnya di pengaturan tambahkan filter film berdasarkan genre usia atau enggak sekalian tambahkan fitur dimana pengguna bisa memblokir film yang tidak sesuai dengan selera nya fitur ini nantinya bisa di aktifkan nonaktifkan berdasarkan selera pribadi pengguna']",Fitur Film Pengguna
2,48,2_subtitle_kadang_bagian_ukuran,"['subtitle', 'kadang', 'bagian', 'ukuran', 'ke', 'layar', '240p', 'text', 'macet', 'keluar']","['tolong dong perbaiki rotasi di tablet mau menonton tidak auto rotare harus tap full screen dulu dalam mode potrait baru bisa mode landscape dan tolong untuk skip video tidak perlu dim pencahayaannya kadang suka susah mencari scene film kalau skipnya dalam keadaan cahaya redup thanks', 'banyak banget film series bagus yang bisa ditonton tapi menurutku ditingkatkan lagi di bagian subtitlenya kalau bisa tambahkan pengaturan subtitle biar kita bisa mengatur besar kecil hurufnya saat menonton sering banget loading terus kalau loadingnya selesai malah ke skip beberapa menit begitu jadi harus mengulangi lagi bagian yang ke skip padahal wifi kuat banget kadang juga video quality nya ngubah2 sendiri', 'tolong dong vidio ada fitur default untuk kualitas videonya biar kalau menonton tidak mesti ngulang2 nurunin kualitas video misal menonton serial anime pakai kualitas 240p terus lanjut episode 2 kualitas streaming balik otomatis mesti nurunin manual lagi ke 240p begitu terus diulang2 kan repot banget kalau pakai wifi sih tidak masalah harusnya ada pengaturan untuk prioritas kualitas videonya']",Subtitle Kadang Bagian
3,38,3_coba_dulu_dicoba_kungfu,"['coba', 'dulu', 'dicoba', 'kungfu', 'panda', 'tes', 'tiga', 'diputar', 'family', 'dibenahi']","['coba dulu', 'coba dulu', '2 buat coba']",Coba Dulu Dicoba
4,33,4_horor_game_berkualitas_ada,"['horor', 'game', 'berkualitas', 'ada', 'senang', 'mnctv', 'rcti', 'arcadenya', 'barbie', 'berdarah']","['semua yang di cari tidak ada movis bintang terkenal tidak ada adanya apa', 'subtitle kadang besar sendiri dan tidak ada metode kunci', 'fokus jangan lupakan 7 tahun berlalu darah saya berdarah b']",Horor Game Berkualitas
5,43,5_kurangi_iklan_tolong_nya,"['kurangi', 'iklan', 'tolong', 'nya', 'durasi', 'iklannya', 'agak', 'bangettttttttt', 'banyak', 'skip']","['kak tolong kurangi iklan nya', 'tolong iklan kurangi sudah iklan nya banyak lama lagi', 'iklan nya saja sih di kurangi soal nya iklan nya banyak banget']",Kurangi Iklan Tolong
6,46,6_data_wifi_lancar_banget,"['data', 'wifi', 'lancar', 'banget', 'loading', 'jaringan', 'sinyal', 'on', 'awal', 'muter']","['aneh banget dah sekarang setelah update malah tidak jelas padahal jaringan lancar malah tidak bisa menonton padahal lagi seru seru nya menonton sinetron saat mau lanjut episode selanjut nya malah muncul notif maaf jaringan tidak tersedia padahal wifi on data juga on kocak nih jadi malas buat pakai ini aplikasi', 'mohon maaf ini kenapa ya akhir2 ini kalau puter film sering putus2 kejeda2 awal pakai wifi sinyal penuh tidak keputer akhirnya pakai data sinyal juga penuh masih sama putus2 pernah juga on off hape setelah itu lancar menonton 1 film hari berikutnya mau menonton lagi putus2 lagi sampai sekarang mohon penjelasannya', 'bagus ya awal awal menonton seru tidak lagg sinyal nya sudah mau habis berlangganan langsung tiba tiba lagg sinyal muter muter terus video nya enggak jelas kalau begini kasih rating satu saja dehhm bagus di perfilman doang tapi tidak bagus di koneksi nya anehh full sinyal wifi youtube lancar di video buffering terus aku kasih bintang 3 tapi kenapa ya setelahnya malahan aplikasi semua jadi lambat padahal wifi ku lancar banget aku buat download saja cepat tapi aplikasi lagging banget kenapa ini aduh']",Data Wifi Lancar
7,33,7_cinta_tulisan_bein_download,"['cinta', 'tulisan', 'bein', 'download', 'hilang', 'vidio', 'pernah', 'hp', 'harus', 'dulu']","['saya mau beli movie express selalu eror disuruh rubah negara padahal negara saya tetap indonesia merdeka pusing saya bro padahal mau menonton episode 7 cinta pertama ayah', 'sudah kapok banget sekarang langganan di vidio sudah enggak jelas banget sudah ikut langganan lama tapi baru kali ini kenapa sekarang mau menonton film atau siaran bola loading terus lama banget padahal sudah ikut langganan platinum malah kadang sering muncul tulisan drm apalag itu', 'aplikasinya bagus dulu kalau lagi diluar nontonnya di hp tapi kalau lagi dirumah nontonnya di tv karena bisa konek ke tv dari hp ke stb indihome cuma kenapa baru-baru ini chanel bein sport tidak bisa kebuka di tv nya kalau chanel lain bisa cuma bein saja yang tidak bisa di tv di hp bisa masa menonton bola dirumah pakai hp kan tidak puas ayo dong kembalikan vidio yang dulu biar bisa kebuka chanel bein di stb indihome']",Cinta Tulisan Bein
8,47,8_lengkap_film_kurang_filmnya,"['lengkap', 'film', 'kurang', 'filmnya', 'komplit', 'india', 'upin', 'ipin', 'terbarunya', 'terbaru']","['peh tidak lengkap versi film luar negeri', 'sayang tidak ada anichin donghua ataupun drama china', 'tidak bisakah menonton booly wood india di video']",Lengkap Film Kurang
