Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,10,-1_mobil_zuzuki_tþgtþtþgtþ_skudo,"['mobil', 'zuzuki', 'tþgtþtþgtþ', 'skudo', 'bermampaat', 'baik', 'cukup', 'pidio', 'penting', 'tahu']","['cukup baik', 'pidio tidak bermampaat', 'mobil zuzuki skudo']",Mobil Zuzuki Tþgtþtþgtþ
0,641,0_saya_di_sudah_tidak,"['saya', 'di', 'sudah', 'tidak', 'bisa', 'menonton', 'yang', 'tapi', 'aplikasi', 'nya']","['aplikasi nya sih sudah bagus tapi kalau untuk menonton film hanya bisa melihat potongan film nya saja tidak lengkap iklan tolong di revisi terlalu lama mohon kedepannya di perbaiki agar bisa puas menonton nya satu lagi kadang kalau lagi live streaming bola suka keluar dan tidak bisa menonton nya lagi tolong di perbaiki segera mungkin', 'saya suka aplikasi ini karena di aplikasi ini itu langsung kayak setengah episode tapi yang kurang adalah aplikasi ini terlalu banyak iklan yang mengganggu dan iklan itu juga tidak bisa kita skip jadi kita harus tunggu iklannya dulu tapi kalau untuk aplikasi ini saya sangat suka cuma karena iklannya itu terlalu banyak jadi saya mohon iklannya itu di kurangi atau iklannya bisa kita skip', 'saya kasih bintang 3 karena saya suka dengan vidio dulu saat pertama kali download vidio saya bisa download film di vidio tapi sekarang tidak bisa karena harus langganan jadi tidak bisa download film lagi']",Saya Di Sudah
1,281,1_bayar_paket_beli_langganan,"['bayar', 'paket', 'beli', 'langganan', 'pulsa', 'sudah', 'bisa', 'harus', 'tidak', 'menonton']","['saya sudah beli langganan tapi enggak bisa menonton film', 'kok tidak bisa beli paket nya lewat aplikasi ini padahal sudah beli pulsa', 'mau beli paket pakai pulsa kok tidak bisa']",Bayar Paket Beli
2,198,2_tv_menonton_siaran_di,"['tv', 'menonton', 'siaran', 'di', 'kenapa', 'tidak', 'bisa', 'ulang', 'menit', 'yang']","['bagus sih sayang rcti tidak ada jadi tidak bisa menonton siaran bola', 'kok tidak ada siaran tv rcti ya', 'kenapa siaran ulang tv tidak bisa di tonton']",Tv Menonton Siaran
3,186,3_tolong_nya_kurangi_di,"['tolong', 'nya', 'kurangi', 'di', 'iklan', 'perbaiki', 'mohon', 'bagus', 'aplikasi', 'lagi']","['jujur sih sebener nya aplikasi nya bagus banget tapi iklan nya terlalu banyak dan juga cukup panjang jadi mohon ya di kurangi iklan nya', 'terlalu banyak iklan tolong di perbaiki lagi', 'tolong iklan kurangi sudah iklan nya banyak lama lagi']",Tolong Nya Kurangi
4,180,4_bagus_lumayan_mantap_keren,"['bagus', 'lumayan', 'mantap', 'keren', 'sangat', 'baik', 'suka', 'lah', 'aplikasi', 'banget']","['lumayan bagus', 'lumayan bagus', 'lumayan bagus']",Bagus Lumayan Mantap
5,151,5_sinyal_padahal_banget_bagus,"['sinyal', 'padahal', 'banget', 'bagus', 'terus', 'sering', 'kenapa', 'lama', 'aman', 'muter']","['sering ngelag padahal sinyal wifi bagus terutama ketika lihat film sering muter muter sedang sinyal wifi sangat bagus mungkin itu yang perlu diperbaiki terima kasih', 'banya sinyal tapi kok di aflikasi ini muter terus tidak ada sinyal padahal sinyal lanycar saja', 'lumayan sih tapi sayang banget muter terus heran padahal sinyal bagus buka aplikasi lain juga lancar banget muter nya itu lama bett']",Sinyal Padahal Banget
6,127,6_film_lengkap_kurang_ada,"['film', 'lengkap', 'kurang', 'ada', 'yang', 'episode', 'nya', 'tidak', 'the', 'filmnya']","['film drama kurang lengkap', 'film nya kurang banyak', 'film nya kurang lengkap']",Film Lengkap Kurang
7,124,7_ok_oke_good_is,"['ok', 'oke', 'good', 'is', 'bad', 'heleh', 'mennit', 'nice', 'jos', 'mahabarata']","['ok', 'ok', 'ok']",Ok Oke Good
8,116,8_saya_no_bisa_hp,"['saya', 'no', 'bisa', 'hp', 'ya', 'berlangganan', 'tidak', 'kenapa', 'login', 'cara']","['ini bagaimana ya saya kok bisa berlangganan', 'kenapa sekarang tidak bisa daftar pakai no hp min', 'saya mau berlangganan kok tidak bisa ya']",Saya No Bisa
