topic_id,topic_name,sentiment,business_category,sub_issue,merge_group,review_count,percentage,average_score,total_thumbs_up,top_keywords,sample_reviews
0,Good Ok Oke,positif,Ulasan Umum Positif,Komentar singkat pujian,POSITIVE_GENERAL,3226,20.66,4.9,1248,"good, ok, oke, nice, best, terbaik, top, the, seru, job",ok | 👍ok | ok
1,Bagus Sangat Baik,positif,Ulasan Umum Positif,Pujian kualitas aplikasi,POSITIVE_GENERAL,3047,19.52,4.89,2160,"bagus, sangat, baik, banget, sekali, membantu, puas, menghibur, memuaskan, dan",Bagus | bagus | bagus
2,Mantap Keren Banget,positif,Ulasan Umum Positif,Ekspresi kepuasan tinggi,POSITIVE_GENERAL,1677,10.74,4.92,1267,"mantap, keren, banget, mantab, seru, pokoknya, ok, deh, aplikasinya, oke",Mantap | Mantap | Mantap
3,Film Menonton Bagus,positif,Konten Film,Kualitas film dan streaming,CONTENT_FILM,1150,7.37,4.85,1875,"film, menonton, bagus, filmnya, kualitas, nya, dan, suka, bisa, hiburan",bagus banget nonton di vidio | Film film tayangan nya baguss | Enak Semua Film nya berkualitas
4,Saya Tidak Di,positif,Masalah Teknis,Tidak dapat merekam / error playback,PLAYBACK_ERROR,1004,6.43,4.63,16442,"saya, tidak, di, sudah, bisa, ya, kenapa, tapi, ini, paket","kenapa yaa apk vidio aku ga bisa buat di rekam ? pasti hasil nya selalu berwarna hitam cm ada suara nya aja,sejauh inii apk nya bagus sii bisa nonton secara gratis meskipun ada iklan no problem, tingkatkan terus yaa min makasii | Ini aplikasi kenapa gak bisa di pake yaa.. Di TV atau di hape.. Padahal udah langganan langsung ke potong dr Dana setiap bulan.. Tolong pencerahan nya donk | saya suka sama vidio ini kadang saya mau nonton TV di vidio suka hilang padahal aku sudah langganan ya di tolong beri solusi ya ya"
5,Aplikasi Menonton Ini,positif,Ulasan Umum Positif,Pujian aplikasi secara umum,POSITIVE_GENERAL,968,6.2,4.9,3387,"aplikasi, menonton, ini, bagus, saya, sangat, nya, bisa, dengan, dan",aplikasi nya bagus bisa nonton bola | bagus banget apk video nya ❤️❤️ | Apk nya mantap bisa buat nonton film
6,Film Tidak Rcti,positif,Konten TV,Ketiadaan channel RCTI,CHANNEL_MISSING,830,5.32,4.65,4456,"film, tidak, rcti, ada, tolong, dong, tambahkan, di, siaran, tv","bagus tapi siaran RCTI nya tidak ada | Sebenernya bagus tapi tolong tambahin filmnya dan channel tv yang bisa siaran ulang, itu aja | Mantap sih. tapi channel rctinya tidak ada serta spotv 1&2"
7,Iklan Tapi Banyak,positif,Iklan,Terlalu banyak iklan,AD_OVERLOAD,756,4.84,4.6,5082,"iklan, tapi, banyak, nya, mahal, kurangi, iklannya, kadang, harga, terlalu",Apk nya bagus cuman sayang banyak iklannya | Bagus bangat cuman iklan nya terlalu banyak | Bagus banget tapi kurangin iklannya
8,Terima Kasih Semoga,positif,Ulasan Umum Positif,Ucapan terima kasih,POSITIVE_GENERAL,347,2.22,4.87,1765,"terima, kasih, semoga, sukses, terimakasih, vidio, selalu, lebih, lagi, baik",terimakasih banyak | terimakasih banyak | Terimakasih Mantap
9,Aplikasi Sangat Bagus,positif,Ulasan Umum Positif,Pujian aplikasi,POSITIVE_GENERAL,267,1.71,4.9,83,"aplikasi, sangat, bagus, aplikasinya, yang, ini, sngat, favorit, video, top",Aplikasi yang bagus | aplikasi yang bagus | aplikasi yg bagus
10,Suka Banget Aku,positif,Ulasan Umum Positif,Ekspresi suka kuat,POSITIVE_GENERAL,240,1.54,4.92,153,"suka, banget, aku, sama, saya, sekali, love, nya, karena, vidio",suka bangett | suka bgt | suka banget
-1,Sippp Awesome Ajib,positif,Lain-lain / Noise,Ulasan umum/noise,OVERALL_SATISFACTION,234,1.5,4.91,6,"sippp, awesome, ajib, kok, sama, excelent, jefri, siiiip, par, jooooss",awesome | terbaek | jooss jiss
