Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,234,-1_sippp_awesome_ajib_bagusan,"['sippp', 'awesome', 'ajib', 'bagusan', 'siiiip', 'excelent', 'jooooss', 'par', 'jefri', 'baguslah']","['tolong', 'aku suka banget menonton di video', 'lagi menonton sering keluar sendiri']",Sippp Awesome Ajib
0,785,0_mantap_pokoe_men_rame,"['mantap', 'pokoe', 'men', 'rame', 'kekurangan', 'grtisin', 'nontin', 'implikasinya', 'mengasyikkann', 'mantapnya']","['mantap', 'mantap', 'mantap mantap mantap']",Mantap Pokoe Men
1,345,1_rekomendasi_opsional_baus_makanan,"['rekomendasi', 'opsional', 'baus', 'makanan', 'dewasa', 'arjuna', 'alex', 'abc', 'giok', 'jr']","['entertaining', 'alex jr', 'tjan giok']",Rekomendasi Opsional Baus
2,485,2_bola_menonton_kita_acara,"['bola', 'menonton', 'kita', 'acara', 'tv', 'aplikasi', 'untuk', 'olahraga', 'film', 'dengan']","['aplikasi ini menurut saya enggak ada yang kurang nya sangat bagus bisa menonton tv semua nya', 'aplikasi vidio yang bagus untuk menonton film', 'aplikasi nya bagus untuk menonton film']",Bola Menonton Kita
3,256,3_keren_awokawaok_kaisen_jujutsu,"['keren', 'awokawaok', 'kaisen', 'jujutsu', 'dimna', 'pokony', 'pokoknye', 'uplikasi', 'bangttt', 'kerennya']","['keren', 'keren', 'keren']",Keren Awokawaok Kaisen
4,217,4_banget_bagus_uh_bagussssd,"['banget', 'bagus', 'uh', 'bagussssd', 'disubscribe', 'dehk', 'fadialaydrus', 'goooooooooood', 'getan', 'genggam']","['bagus banget', 'bagus banget', 'bagus banget']",Banget Bagus Uh
5,322,5_paket_saldo_langganan_dana,"['paket', 'saldo', 'langganan', 'dana', 'aktif', 'platinum', 'bagaimana', 'pembayaran', 'beli', 'berlangganan']","['mohon maaf apa bisa tolong kembalikan dana saya karena saya sudah jarang buka aplikasi ini kemarin saldo dana saya terpotong sama perpanjangan otomatis', 'saya beli paket pakai saldo google play pada tanggal 8 desember sampai saat ini kenapa belum ada mohon dibantu', 'hai min tolong bantu saya uang saya belum masuk dikarena saya tidak jadi beli paket 1 bulan dengan harga 43 0000 nasib uang saya kemana min apakah di makan aplikasi vidio atau di makan aplikasi google play tolong bantu min padahal dana sudah kembali namun tidak masuk ke mode pembayaran shoppe pay saya terima kasih min tolong bantu aneh nya pembayaran dilakukan secara otomatis pengenbalian tidak secara berkala tersebut orang seperti dengan aset besar nya akan hancur ketika memakan uang']",Paket Saldo Langganan
6,257,6_filmnya_film_seru_film2,"['filmnya', 'film', 'seru', 'film2', 'semua', 'nya', 'sinetron', 'cut', 'bagus', 'keren']","['filmnya semua bagus bagus', 'filmnya bagus-bagus', 'filmnya bagus-bagus']",Filmnya Film Seru
7,185,7_kerren_sep_gas_bu,"['kerren', 'sep', 'gas', 'bu', 'febi', 'gagus', 'aqilla', 'bik', 'bugus', 'mohamad']","['rendra soedjono ft edwin setyadinata', 'boedoet 97 52 145 1908', 'muhamad dimas limail com 94']",Kerren Sep Gas
8,181,8_oke_yes_enjoy_lanjut,"['oke', 'yes', 'enjoy', 'lanjut', 'kira', 'ekhem', 'mabar', 'epep', 'bebrapa', 'kwkw']","['oke', 'oke', 'oke']",Oke Yes Enjoy
9,156,9_baik_buruk_cup_ulasan,"['baik', 'buruk', 'cup', 'ulasan', '30', 'aupdatee', 'ajansih', '9k', 'dibilang', 'reconnect']","['buruk', 'buruk', 'kd dadah buruk']",Baik Buruk Cup
10,156,10_iklan_terlalu_banyak_tapi,"['iklan', 'terlalu', 'banyak', 'tapi', 'iklannya', 'modal', 'nya', 'kebanyakan', 'sayang', 'cuman']","['bagus tapi banyak iklan nya', 'terlalu banyak iklan tapi bagus', 'sering iklan saja tapi bagus']",Iklan Terlalu Banyak
11,182,11_mahal_harga_paketnya_murah,"['mahal', 'harga', 'paketnya', 'murah', 'harganya', 'langganannya', 'jangan', 'kemahalan', 'paket', 'biaya']","['harga paket nya jangan terlalu mahal', 'tapi mahal', 'mahal']",Mahal Harga Paketnya
12,128,12_senang_dengan_suka_ini,"['senang', 'dengan', 'suka', 'ini', 'aplikasi', 'terhadap', 'sama', 'anggota', 'saya', 'publik']","['aku suka dengan aplikasi ini', 'saya suka sama aplikasi ini', 'sangat senang dan suka aplikasi vidio']",Senang Dengan Suka
13,88,13_sekali_sekaliii_bagus_lopyuuu,"['sekali', 'sekaliii', 'bagus', 'lopyuuu', 'sekaliiiiiiiiiiiiii', 'biiii', 'sekalihhhhh', 'tampilannya', 'betul', 'hati']","['bagus sekalihhhhh biiii', 'bagus sekaliii', 'bagus sekaliii']",Sekali Sekaliii Bagus
14,164,14_league_liga_premier_vs,"['league', 'liga', 'premier', 'vs', 'raga', 'olah', 'match', 'serie', 'mini', 'timnas']","['bola menonton tv gracias bein 3 uefa champions league bola menonton tv gracias bein 1 uefa champions league', 'cuma disini bisa menonton premier league', 'kenapa pertandingan persahabatan fifa matchday brasil vs meksiko minggu 9 6 8 sama tidak disiarkan di indosiar atau vidio malah argentina vs ecuador yang disiarkan singit keciwi bigi fins brisil surabaya']",League Liga Premier
15,150,15_rcti_net_siaran_kenapa,"['rcti', 'net', 'siaran', 'kenapa', 'mnc', 'hilang', 'kok', 'ada', 'vtv', 'tv']","['rcti mana kok tidak ada', 'rcti kenapa tidak ada', 'kenapa rcti enggak ada di vidio ya']",Rcti Net Siaran
16,117,16_coba_mencoba_dulu_lelet,"['coba', 'mencoba', 'dulu', 'lelet', 'baru', 'belum', 'masih', 'mutar', 'yuk', 'bahasa']","['coba', 'coba coba', 'coba coba']",Coba Mencoba Dulu
17,157,17_developer_itu_yang_orang,"['developer', 'itu', 'yang', 'orang', 'iklan', 'saran', 'kalau', 'saat', 'resolusi', 'mohon']","['awas rebet urusan nya saat di ruang pribadi ontorny susah sehinga banyak orang selalu kompelen awal awal bagus kemari semakin lamah bukannya bagus malah kajau meminta nya aneh 2 persißeks ayap kayu rapuk ini filo sofih terklng bodong saat saya ingat dua hari yang lalu perińtah saya ditolak apa arinya jika kita sudah berikan bintang jangn intak terus pin daftar ini sudah jukup jika saya lupa perintah harus beserta nomor atau jukup foto seken wajah yang tersimpan dfpr', 'halo team vodeo sporrts yang terhormat saya mau meminta izin video livestreaming bola saya upload di channel saya kemarin mohon di kasih izin ya kak saya sudah cari cari email team video spoorts tapi tidak ketemu dan sekarang saya kasih bintang 5 saya komen jadi saya meminta izin ya kak terkait video yang sudah saya upload di channel saya bapak yang terhormat mohon diizin kan video bola yang telah saya upload di channel saya terima kasih', 'alhamdulillah sudah ada sedikit perbaikan saat saya tonton bjb vs livin mandiri sudah ada suara gemuruh penontonnya begitu dong vibes dan euphoria nya yang pengin kita rasakan biar berasa itu pertandingan berkelas kemarin saat menonton suara orang dua itu saja bising apalagi saat fenerbahce vs vakifbank tidak ada suara asli dari lokasi pertandingan yang ada suara komentar tidak karuan mau mengomong apa lebih sok mengurui mengalahkan coach dilapangan sono ini bla bla enggak jelas kadang ada iklanny nyempil']",Developer Itu Yang
18,102,18_like_this_sok_aplication,"['like', 'this', 'sok', 'aplication', 'is', 'and', 'excellent', 'the', 'application', 'that']","['i like itu', 'l like vidio', 'what a usefull application i ve been used this aplikasi since i was ini the middle school and yeahh honestly this is the one aplikasi that i love tapi chose tapi watched a movies apart from that there are many choices of exciting films that can be enjoyed with the family they are the best']",Like This Sok
19,133,19_lihat_magic_seru_gen,"['lihat', 'magic', 'seru', 'gen', 'asmara', 'senang', 'banget', 'aku', 'drakor', 'menonton']","['seru banget menonton di sini', 'seru banget bisa menonton apa saja disini', 'seru banget bisa menonton asmara gen saja']",Lihat Magic Seru
20,84,20_pidio_menyesal_download_banget,"['pidio', 'menyesal', 'download', 'banget', 'donwload', 'buruan', 'nya', 'aplikasi', 'bagettt', 'wahhhh']","['aplikasi nya bagus banget', 'aplikasi nya bagus banget', 'bagus banget aplikasi nya']",Pidio Menyesal Download
21,69,21_bagus___,"['bagus', '', '', '', '', '', '', '', '', '']","['bagus', 'bagus', 'bagus']",Bagus  
