Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,234,-1_sippp_awesome_ajib_kok,"['sippp', 'awesome', 'ajib', 'kok', 'sama', 'excelent', 'jefri', 'siiiip', 'par', 'jooooss']","['sippp', 'sippp', 'sippp']",Sippp Awesome Ajib
0,3226,0_good_ok_oke_nice,"['good', 'ok', 'oke', 'nice', 'best', 'terbaik', 'top', 'the', 'seru', 'job']","['good', 'good', 'ok good']",Good Ok Oke
1,3047,1_bagus_sangat_baik_banget,"['bagus', 'sangat', 'baik', 'banget', 'sekali', 'membantu', 'puas', 'menghibur', 'memuaskan', 'dan']","['sangat bagus', 'bagus dan sangat bagus', 'bagus sangat bagus']",Bagus Sangat Baik
2,1677,2_mantap_keren_banget_mantab,"['mantap', 'keren', 'banget', 'mantab', 'seru', 'pokoknya', 'ok', 'deh', 'aplikasinya', 'oke']","['mantap', 'mantap', 'mantap keren']",Mantap Keren Banget
3,1150,3_film_menonton_bagus_filmnya,"['film', 'menonton', 'bagus', 'filmnya', 'kualitas', 'nya', 'dan', 'suka', 'bisa', 'hiburan']","['aku suka menonton film', 'vidio film bagus bagus banget', 'sangat bagus untuk menonton film']",Film Menonton Bagus
4,1004,4_saya_tidak_di_sudah,"['saya', 'tidak', 'di', 'sudah', 'bisa', 'ya', 'kenapa', 'tapi', 'ini', 'paket']","['katanya gratis film sinetron nya kenapa ada suruh langganan ya kalau bisa buat sinetron gratis saja aku suka sama aplikasi ini tolong ya di update lagi tidak masalah kalau di download bayar saya mau bayar tidak mampu', 'aplikasi vidio kenapa harus bayar juga itu siaran tv padahal menonton sinetron di situ bisa menonton ulang tapi kenapa harus bayar kasihani lah yang tidak punya tv atau tidak ada uang mau langganan bagaimana jangan di buat langganan dong min kenapa harus ada langganan sih', 'tolong dong kenapa ya saya sudah beli paket nya dari aplikasi vidio tapi kenapa paketnya belum di proses saya tidak bisa menonton']",Saya Tidak Di
5,968,5_aplikasi_menonton_ini_bagus,"['aplikasi', 'menonton', 'ini', 'bagus', 'saya', 'sangat', 'nya', 'bisa', 'dengan', 'dan']","['aplikasi vidio yang bagus untuk menonton film', 'aplikasi vidio ini sangat bagus', 'bagus banget aplikasi ini saya suka']",Aplikasi Menonton Ini
6,830,6_film_tidak_rcti_ada,"['film', 'tidak', 'rcti', 'ada', 'tolong', 'dong', 'tambahkan', 'di', 'siaran', 'tv']","['sebenarnya bagus tapi tolong tambahkan filmnya dan channel tv yang bisa siaran ulang itu saja', 'siaran rcti kenapa tidak ada ya', 'kenapa channel rcti tidak ada tolong tampilkan kembali channel rcti karena ada film kesukaan saya di rcti dan jaringannya kasih normal juga supaya tidak ada gangguannya tolong siaran rcti jangan dikasih bayar dong kalau kita menonton siaran rcti']",Film Tidak Rcti
7,756,7_iklan_tapi_banyak_nya,"['iklan', 'tapi', 'banyak', 'nya', 'mahal', 'kurangi', 'iklannya', 'kadang', 'harga', 'terlalu']","['bagus tapi banyak iklan nya', 'bagus tapi banyak iklan nya', 'bagus tapi banyak iklan nya']",Iklan Tapi Banyak
8,347,8_terima_kasih_semoga_sukses,"['terima', 'kasih', 'semoga', 'sukses', 'terimakasih', 'vidio', 'selalu', 'lebih', 'lagi', 'baik']","['terima kasih vidio', 'terima kasih vidio', 'terima kasih vidio']",Terima Kasih Semoga
