business_category,total_negative_reviews,replied_reviews,reply_rate_%,median_reply_delay_hours,wa_redirection_rate_%,sample_admin_reply
Masalah Langganan dan Akses,10539,10464,99.29,1.27,87.64,"Halo Kak. Mohon maaf atas ketidaknyamanannya, silakan laporkan issue yang dialami ke email info@vidio.com atau send feedback dari aplikasi vidio dg..."
Kualitas Aplikasi,4154,4066,97.88,1.19,87.51,"Halo kak, silakan informasikan lbh lanjut kendala tsb melalui email ke info@vidio.com dgn judul/desc: Keluhan GPlay Store {nama di Google Play}. Ja..."
Pengalaman Pengguna,3448,3432,99.54,1.12,61.89,"Halo kak, mohon maaf atas ketidaknyamanannya. Silakan informasikan lebih lanjut kendala nya melalui email ke info@vidio.com dengan judul/desc: Kelu..."
Konten dan Siaran,286,284,99.3,1.14,71.83,"Halo kak Ghofur, mohon maaf atas ketidaknyamanannya. Silakan informasikan lbh lanjut kendala tsb melalui email ke info@vidio.com dgn judul/desc: Ke..."
Model Bisnis,182,179,98.35,1.36,68.72,"Halo, kak. Mohon maaf atas ketidaknyamanannya, silakan laporkan issue yang dialami ke email info@vidio.com atau send feedback dari aplikasi vidio d..."
Akses Konten,161,160,99.38,1.1,85.0,"Halo kak, mohon maaf atas ketidaknyamanannya. Silakan informasikan lebih lanjut kendala nya melalui email ke info@vidio.com dengan judul/desc: Kelu..."
Kepuasan Pengguna,136,136,100.0,1.42,75.0,"Halo, kak. Mohon maaf atas ketidaknyamanannya, silakan laporkan issue yang dialami ke email info@vidio.com atau send feedback dari aplikasi vidio d..."
Gangguan Teknis,114,114,100.0,1.23,78.07,"Halo kak, silakan informasikan lbh lanjut kendala tsb melalui email ke info@vidio.com dgn judul/desc: Keluhan GPlay Store {nama di Google Play}. Ja..."
Lain-lain / Noise,112,112,100.0,0.98,88.39,"Halo kak, mohon maaf atas ketidaknyamanannya. Silakan informasikan lbh lanjut kendala tsb melalui email ke info@vidio.com dgn judul/desc: Keluhan G..."
Sistem Pembayaran,58,57,98.28,1.42,94.74,"Halo kak Arya, mohon maaf atas ketidaknyamanannya. Silakan informasikan lbh lanjut kendala tsb melalui email ke info@vidio.com dgn judul/desc: Kelu..."
Lain-lain,30,30,100.0,1.25,100.0,"Halo kak Irlan, mohon maaf atas ketidaknyamanannya. Silakan informasikan lbh lanjut kendala tsb melalui email ke info@vidio.com dgn judul/desc: Kel..."
