topic_id,topic_name,sentiment,business_category,sub_issue,merge_group,review_count,percentage,average_score,total_thumbs_up,top_keywords,sample_reviews
0,Saya Tidak Bisa,negatif,Masalah Langganan dan Akses,Paket langganan tidak aktif atau tidak terbaca sistem,SUBSCRIPTION_ERROR,6535,34.0,1.17,25989,"saya, tidak, bisa, sudah, di, paket, tapi, menonton, padahal, beli","udah berlangganan yang platinum malah ga bisa nonton film nya disuruh berlangganan lagi, aplikasi ga jelas buang buang duit | Ini kenapa yah saya udah aktifkan paket untuk 1 bulan baru 5 hari pemakaian disuruh aktifkan paket lagi dan film2 ngga bisa di setel ngga bakalan berlangganan sama vidio klo kaya gini | Udah beli paket 100rb lebih, tapi gak bisa nonton, aktifknnya di tv langsung, app kentut lah"
1,Menonton Film Bola,negatif,Masalah Langganan dan Akses,Ketidaksesuaian akses konten berbayar untuk siaran bola,SUBSCRIPTION_ERROR,1754,9.13,1.17,3826,"menonton, film, bola, tidak, live, yang, di, bayar, tv, ada",Yg sekarang byk iklannya dan nonton selain tv nasional hrs bayar. Mendingan kasih bintang 1 trs unistal 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👋👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎 👎👎👎👎👎👎👎👎👎👎 Kagak nonton vidio kagak papeee.. | Mlas bngt dkit2 bayar beda sama RCTI+ gratis....di tv bayar masa di aplikasi nya bayar juga Klo mau nonton bola ..ga ada gunanya dong di download | Udah bayar premium tapi klo nonton bola gak bisa
2,Buruk Aplikasi Berbayar,negatif,Kualitas Aplikasi,Kualitas aplikasi secara umum dinilai buruk,APP_QUALITY,1699,8.84,1.11,1175,"buruk, aplikasi, berbayar, tidak, lambat, bagus, sangat, payah, ribet, mengecewakan","langganan nya jelek | aplikasinya jelek,, | Aplikasinya jelek"
3,Iklan Kebanyakan Mahal,negatif,Pengalaman Pengguna,Frekuensi iklan yang terlalu banyak dan mengganggu,ADVERTISEMENT_ISSUE,1675,8.71,1.16,3360,"iklan, kebanyakan, mahal, banyak, bayar, nya, suka, terlalu, bug, iklannya",Kebanyakan iklan mulu | Kebanyakan iklan nyaa | kebanyakan iklan nya
4,Susah Patah Langganan,negatif,Masalah Langganan dan Akses,Iklan masih muncul meskipun sudah berlangganan premium,ADVERTISEMENT_ISSUE,1388,7.22,1.14,3301,"susah, patah, langganan, sudah, masih, gua, iklan, bayar, ada, beli","Udh beli langganan premium padahal tapi msh ada iklan nya juga sihh???? Aneh banget | udah berlangganan tp ttp ada iklan tuh Taekk banget dehh | udah berlangganan platinum yang extra masih aja ada iklan ternyata, ganggu banget buat di tv"
5,Iklan Iklannya Banyak,negatif,Pengalaman Pengguna,Durasi iklan terlalu panjang saat menonton video,ADVERTISEMENT_ISSUE,1373,7.14,1.19,18517,"iklan, iklannya, banyak, menit, nya, banget, terlalu, lagi, skip, menonton","Film/video nya bagus lengkap,tapi banyak iklan nya sampai 1menit, gak ngotak iklannya,minimal apk no iklan dong | Apk GK guna iklan ny banyak banget saat nonton video baru satu menit dah iklan satu menit iklan Tolong di perbaiki | Klo bukan karna mau nonton da asia 6 males downlod app ini udh banyak iklan makan waktu lgi seru seru iklan gajelas. Iklan di tv ajh udh cukup kli ditambahin iklan trs di app nya gjls tolong kurangin iklan nya"
6,Mulu Ngelag Buruk,negatif,Kualitas Aplikasi,Aplikasi sering mengalami lag dan buffering,PERFORMANCE_BUG,659,3.43,1.12,633,"mulu, ngelag, buruk, banget, lelet, buffering, ngeleg, lag, terus, aplikasi",Lag mulu..parah | aplikasinya ngelag mulu | udh berlangganan Mlah lemott njirrr
7,Aplikasi Uninstall Uninstal,negatif,Kualitas Aplikasi,Pengguna ingin uninstall karena terlalu banyak iklan,APP_QUALITY,629,3.27,1.09,532,"aplikasi, uninstall, uninstal, download, banget, loading, buruk, nya, lambat, banyak",GK banget aplikasi nya banyak iklan | Aplikasi nya jelek.. bnyak iklan nya.. | Jelek banyak iklan payah apk nya
8,Aplikasi Sampah Tolol,negatif,Kualitas Aplikasi,Aplikasi sering mengalami loading lama dan error,PERFORMANCE_BUG,623,3.24,1.05,412,"aplikasi, sampah, tolol, burik, berguna, tidak, sudah, guna, saja, aneh",Aplikasi gila iklan trs | Aplikasi sampah loading mulu | aplikasi isinya iklan
9,Login Hp Nomor,negatif,Masalah Langganan dan Akses,Kendala login menggunakan nomor telepon,LOGIN_ERROR,404,2.1,1.16,1254,"login, hp, nomor, no, pakai, bisa, nomer, tidak, kenapa, saya","saya udah beli pekat langganan di XL dengan no XL tapi kenapa gak bisa login malah disuruh login pake gmail rugi saya beli tapi gak bisa login | apk tolol ,saya udah beli premium login lewat no hp ga bisa . | tolong saya tidak bisa login pakai nomor hp, padahal sudah premium huhu"
10,Bisa Download Tidak,negatif,Kualitas Aplikasi,Video atau siaran live tidak dapat diputar,PLAYBACK_ERROR,355,1.85,1.22,208,"bisa, download, tidak, menonton, di, tv, putar, live, vidio, aplikasi",Jelek vidio livenya tdk bisa di putar | Kalau nonton vidio gk bisa di lanjutkan | Eror gak bisa ditonton vidionya
11,Rcti Trans Tv,negatif,Konten dan Siaran,Siaran TV nasional tidak tersedia atau tidak lengkap,CONTENT_AVAILABILITY,286,1.49,1.26,170,"rcti, trans, tv, mnctv, trans7, ada, tayangan, gtv, tidak, ulang",Kenapa tidak ada siaran RCTI nya | Knp gk bisa liat siaran ulang di antv lgi padahal udh bgus | Chanel nya kurang lengkap MNCTV nggak ada
