Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,112,-1_bwa_sepotong_gabut_ikln,"['bwa', 'sepotong', 'gabut', 'ikln', 'mancet', 'aplsi', 'ancuuuuuuuuuuuur', 'annjinggggg', 'gunkn', 'gublak']","['maaf saya kasih 2 bintang saja karena saya sering sekali menonton selalu buffering jaringan bagus wifi lancar sudah berlangganan beli premium tapi saat menonton sering buffering mohon diperbaiki lagi saya sangat terganggu saat menonton streaming bola', 'kenapa setiap saya mau menonton pasti muncul di suruh beli paket lagi padahal sudah langganan 1 bulan saat mau beli paket lagi pasti naik bilang anda sudah berlangganan 1 bulan tetapi setiap menonton selalu di suruh langganan terus', 'tidak bisa bayar']",Bwa Sepotong Gabut
0,740,0_menit_iklan_iklannya_detik,"['menit', 'iklan', 'iklannya', 'detik', 'skip', '10', 'sampai', 'dikit', 'banyak', 'muncul']","['iklannya tidak main sudah 1 menit iklan yang enggak bisa di skip muncul iklan lagi 1 menit yang tidak bisa di skip juga aduh', 'baru menonton 5 menit iklannya 2 menit menonton iklan apa menonton film 1 iklan 1 menit tolong dong iklanya jangan durasi 1 menit buat mls menonton di aplikasi vidio', 'kebanyakan iklan menonton 1 menit terus iklan lagi']",Menit Iklan Iklannya
1,850,1_perbaiki_lancar_tolong_diperbaiki,"['perbaiki', 'lancar', 'tolong', 'diperbaiki', 'buka', 'wifi', 'loading', 'jaringan', 'suara', 'vidio']","['kok aplikasi nya tidak bisa menggunakan wifi tolong perbaiki dong', 'tolong aplikasi nya di perbaiki capek lagi enak menonton malah jaringan tidak stabil padahal jelas jaringan yang saya pakai lancar banget mohon ya di perbaiki biar tidak jadi malas menonton nya dan kalau mau di kasih rating yang bagus cepat juga di perbaiki', 'tolong diperbaiki dong masa mau menonton saja selalu loading padahal wifi lancar buka aplikasi lain juga lancar']",Perbaiki Lancar Tolong
2,509,2_sinyal_jaringan_bagus_lancar,"['sinyal', 'jaringan', 'bagus', 'lancar', 'padahal', 'muter', 'wifi', 'stabil', 'loading', 'terus']","['banyak nge lag dan patah patah padahal jaringan bagus l', 'jaringan bagus tapi loading terus', 'sinyal sudah bagus tapi aplikasi ngelag terus']",Sinyal Jaringan Bagus
3,331,3_dana_kembalikan_uang_saya,"['dana', 'kembalikan', 'uang', 'saya', 'tertarik', 'saldo', 'otomatis', 'pengembalian', '49', 'tiba']","['yaallah tolong kembalikan uang saya tiba-tiba tertarik otomatis di akun dana saya senilai 49 950 itu sepertinya tidak sengaja kepencet fitur langganan nya saya mohon kembali uang saya saya sangat membutuhkan nya', 'yaallah tolong kembalikan uang saya tiba-tiba tertarik otomatis di akun dana saya senilai 43 290 itu sepertinya tidak sengaja kepencet fitur langganannya saya mohon kembalikan uang saya saya membutuhkannya', 'yaallah tolong kembalikan uang saya tiba-tiba tertarik otomatis di akun dana saya senilai 49 950 itu sepertinya tidak sengaja kepencet fitur langganan nya saya mohon kembalikan uang saya saya sangat membutuhkannya']",Dana Kembalikan Uang
4,292,4_masih_iklan_tetap_ada,"['masih', 'iklan', 'tetap', 'ada', 'premium', 'langganan', 'iklannya', 'sudah', 'berlangganan', 'ganggu']","['sudah langganan kok masih ada iklan', 'sudah langganan tapi masih ada iklan', 'langganan kok ada iklan']",Masih Iklan Tetap
5,272,5_film_anime_episode_jadul,"['film', 'anime', 'episode', 'jadul', 'season', 'lengkap', 'horor', 'bollywood', 'filmnya', 'piece']","['pantesnya bintang 1 karena sudah bayar film jadul tidak ada film horor indonesia', 'film2 marvel terbaru tidak ada dan tidak lengkap mau menonton anime episode tidak lengkap terlalu banyak kekurangan', 'film nya sedikit dan film nya jadul']",Film Anime Episode
6,330,6_bayar_harus_bola_lokal,"['bayar', 'harus', 'bola', 'lokal', 'tv', 'menonton', 'proliga', 'saja', 'lihat', 'siaran']","['menonton bola harus bayar', 'cuma mau menonton bola saja harus bayar', 'aplikasi apaan ini menonton bola saja bayar']",Bayar Harus Bola
7,286,7_susah_ribet_mau_daftar,"['susah', 'ribet', 'mau', 'daftar', 'banget', 'amat', 'ampun', 'saja', 'susahnya', 'meminta']","['mau langganan saja susah', 'susah banget buat langganan nya', 'susah banget mau menonton']",Susah Ribet Mau
8,476,8_saldo_otomatis_potong_dana,"['saldo', 'otomatis', 'potong', 'dana', 'tanpa', 'hati', 'tiba', 'konfirmasi', 'persetujuan', 'perpanjang']","['saya sudah lama tidak berlangganan vidio tapi saya baru dikirimin uang oleh orang tua daya tiba tiba uang nya ke potong karena langganan vidio tolong dong bisa buat pengembalian dana buat saya makan kak dan juga tolong rubah peraturan langganan vidio buruk banget langsung main potong dana orang ini this economy tolong di rubah peraturan nya', 'saya kecewa dengan vidio saya sudah membayar vidio platinum 1 tahun sudah kena potong melalui shoppepay 5 hari kemudian saldo saya di aplikasi dana pun kepotong sendiri tanpa ada notifikasi atau konfirmasi masa saya jadi bayar 2 kali enak sekali ya jadi aplikasi vidio main potong saldo orang lain begitu saja kecewa saya dengan aplikasi vidio ini langganan saya yang terakhir kalau tidak ada pengembalian saldo yang 1 kali lebih bayar itu saya sudah kirim lewat email tidak dapat jawaban yang jelas', 'saya kesal saya dftar langganan memakai no saya dengan metode pembayaran pakai ovo tapi langganan otomomatisnya kok malah ke potong ke akun dana sedangkan no yang di daftarkan di vidio berbeda dengan no akun dana saya dalam keterangan akun dana pembayaran vidio melalui goole padahal akun dana saya berbeda akun google nya tapi kok bisa otomatis kepotong akun dana saya parahhhh seharusnya konfirmasi dulu']",Saldo Otomatis Potong
