Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,112,-1_aplikasi_bwa_sepotong_jelas,"['aplikasi', 'bwa', 'sepotong', 'jelas', 'gabut', 'mancet', 'ikln', 'apa', 'tidak', 'sendiri']","['tidak guna puya ngapin harus bauar buat apa buat aplikasi tidak jelas', 'kenapa aplsi ini banyak ikln ya burus juga makn pakit', 'aplikasi ini selalu keluar sendiri padahal tidak sentuh apa apa malah keluar sendiri']",Aplikasi Bwa Sepotong
0,6535,0_saya_tidak_bisa_sudah,"['saya', 'tidak', 'bisa', 'sudah', 'di', 'paket', 'tapi', 'menonton', 'padahal', 'beli']","['saya sudah bayar saldo juga deh kepotong tapi kok tidak bisa di pakai malah suruh bayar lagi bagaimana ini', 'sudah bayar berlangganan tapi tidak bisa menonton', 'sudah berlangganan tapi tidak bisa menonton']",Saya Tidak Bisa
1,1754,1_menonton_film_bola_tidak,"['menonton', 'film', 'bola', 'tidak', 'live', 'yang', 'di', 'bayar', 'tv', 'ada']","['sudah bayar malah tidak bisa menonton', 'cuma mau menonton bola saja harus bayar', 'kenapa saya menonton film nya bayar sih']",Menonton Film Bola
2,1699,2_buruk_aplikasi_berbayar_tidak,"['buruk', 'aplikasi', 'berbayar', 'tidak', 'lambat', 'bagus', 'sangat', 'payah', 'ribet', 'mengecewakan']","['aplikasi buruk', 'aplikasi buruk', 'aplikasi buruk']",Buruk Aplikasi Berbayar
3,1675,3_iklan_kebanyakan_mahal_banyak,"['iklan', 'kebanyakan', 'mahal', 'banyak', 'bayar', 'nya', 'suka', 'terlalu', 'bug', 'iklannya']","['banyak iklan', 'banyak iklan nya', 'masih banyak bug saat menonton video tiba² berhenti dan iklan nya kebanyakan iklan nya kebanyakan iklan nya kebanyakan']",Iklan Kebanyakan Mahal
4,1388,4_susah_patah_langganan_sudah,"['susah', 'patah', 'langganan', 'sudah', 'masih', 'gua', 'iklan', 'bayar', 'ada', 'beli']","['sudah langganan masih saja iklan', 'sudah beli langganan premium padahal tapi masih ada iklan nya juga sih aneh banget', 'sudah langganan masih saja ada iklan']",Susah Patah Langganan
5,1373,5_iklan_iklannya_banyak_menit,"['iklan', 'iklannya', 'banyak', 'menit', 'nya', 'banget', 'terlalu', 'lagi', 'skip', 'menonton']","['banyak banget iklan', 'banyak banget iklan nya', 'banyak banget iklan nya']",Iklan Iklannya Banyak
6,659,6_mulu_ngelag_buruk_banget,"['mulu', 'ngelag', 'buruk', 'banget', 'lelet', 'buffering', 'ngeleg', 'lag', 'terus', 'aplikasi']","['ngelag mulu', 'ngelag mulu', 'ngelag mulu']",Mulu Ngelag Buruk
7,629,7_aplikasi_uninstall_uninstal_download,"['aplikasi', 'uninstall', 'uninstal', 'download', 'banget', 'loading', 'buruk', 'nya', 'lambat', 'banyak']","['sudah menonton pakai kuota masih saja di suruh bayar buat berlangganan auto uninstal aplikasi nya', 'aplikasi buruk banyak iklan nya', 'buruk banget mending uninstall']",Aplikasi Uninstall Uninstal
8,623,8_aplikasi_sampah_tolol_burik,"['aplikasi', 'sampah', 'tolol', 'burik', 'berguna', 'tidak', 'sudah', 'guna', 'saja', 'aneh']","['aplikasi sampah', 'aplikasi sampah', 'tidak bisa menonton aplikasi sampah']",Aplikasi Sampah Tolol
