topic_id,topic_name,sentiment,business_category,sub_issue,merge_group,review_count,percentage,average_score,total_thumbs_up,top_keywords,sample_reviews
0,Saya Sudah Tidak,netral,Kinerja Aplikasi,Aplikasi buffering dan error setelah pembaruan,PERFORMANCE_BUG,475,16.8,3.0,1609,"saya, sudah, tidak, bisa, di, padahal, tapi, nya, ini, aplikasi","Kenapa setelah di update malah jelek sih, download video gratis ada tulisan jaringan tidak stabil padahal buka apk lain stabil"" saja jaringannya😌 | Aku download vidio ini demi nonton bola liga 1 udah bayar juga tapi knapa muter ya gak muncul muncul live nya padahal sinyal bagus paket banyak tolong dong jelasin knapa pake gak bisa | abis di update bukanya bagus malah bikin muak ,, ini kenapa pas streaming lemot bngt padahal wifi lancar buka Ig FB gak ada kendala,, di vidio doang buffering mlu perbaiki lah bug nya"
1,Di Nya Yang,netral,Pengalaman Pengguna,Jumlah iklan terlalu banyak dan mengganggu,ADVERTISEMENT_ISSUE,445,15.74,3.0,5231,"di, nya, yang, iklan, tolong, menonton, ada, tidak, dan, film","tolong di tanganin dong, padahal udah premium tapi masih ada aja iklan pas lagi nonton live SCTV. mending cuma 1 ini mah sampe 15 kali kan gilaaa ni apk mana iklan rokok trs | apk nya udah bagus banget dan lengkap tapi tolong iklan nya agak dikurangi ya masa nonton 1 film iklan nya lebih dari 5+lama"" jadi mengganggu banget🙏 | bagus sih, cocok buat nonton tapi kebanyakan iklan, trus film yg kliatan seru suruh bayar, tolong dong. ini mah gk lengkap dong namanya, dan kurangin juga iklan nya ya"
2,Bisa Pulsa Tidak,netral,Langganan dan Pembayaran,Kesulitan dalam proses pembelian paket berlangganan,SUBSCRIPTION_ERROR,260,9.19,3.0,1265,"bisa, pulsa, tidak, saya, paket, berlangganan, kenapa, ya, pembayaran, pakai",saya download kok ga bisa ntn liga2 Eropa ya di HP knp ya... mau beli paket juga ga ada | Saya mau berlangganan kok tidak bisa ya ? | Kok eror ya paket platinum saya nggak bisa buat nonton BRI liga 1 ya ?
3,Langganan Bayar Sudah,netral,Langganan dan Pembayaran,Konten premium tidak dapat diakses setelah bayar,SUBSCRIPTION_ERROR,199,7.04,3.0,176,"langganan, bayar, sudah, harus, menonton, paket, beli, bisa, platinum, tidak",nonton video kok d bayarr pake paket segala udh g bisa nonton lagi | Taii udah ada paket nya buat nonton bola malah gak bisa | Udh bayar bulanan tapi tetap saja ada iklan ya mana Lg gak bisa ke Skipp
4,Bagus Mantap Keren,netral,Kepuasan Pengguna,Ulasan positif umum dari pengguna,POSITIVE_FEEDBACK,147,5.2,3.0,35,"bagus, mantap, keren, sangat, baik, lumayan, menarik, kurang, cocok, suka",bagus | Bagus | bagus
5,Lumayan Dulu Lambat,netral,Kepuasan Pengguna,Ulasan netral atau saran perbaikan umum,GENERAL_FEEDBACK,139,4.92,3.0,49,"lumayan, dulu, lambat, mahal, coba, mulu, lah, dicoba, lengkap, kadang",Hapus iklan lah | Lumayan lah | Lumayan lah
6,Sinyal Padahal Bagus,netral,Kinerja Aplikasi,Aplikasi sering lag dan error saat streaming,PERFORMANCE_BUG,132,4.67,3.0,171,"sinyal, padahal, bagus, loading, sering, terus, lama, kenapa, banget, nya",Loading melulu pdhal signal wifi bagus | sering lag padahal sinyal saya bagus wifi lancar tapi giliran buka vidio langsung lag | Sering eror aplikasi nya Susah sekali
7,Menonton Live Patah,netral,Kinerja Aplikasi,Gangguan teknis saat menonton siaran langsung,PERFORMANCE_BUG,109,3.85,3.0,52,"menonton, live, patah, streaming, kalau, lokal, loading, bola, tv, lagi","please .. di perlebih bagus lagi dong, kalau nonton live triming di tv shownya suka tiba2 layarnya hita | eror terus nonton live streaming gabisa2 | Untuk nonton streaming bola ngeleg parah. tapi kalo nonton chanel tv live streaming aman aja. kan aneh ya"
8,Film Lengkap Ada,netral,Katalog Konten,Koleksi film dan series kurang lengkap,CONTENT_AVAILABILITY,107,3.78,3.0,24,"film, lengkap, ada, kurang, yang, tidak, episode, india, nya, season",kurang banyak film dan series nya. | lumayan TPi GK ad film India | film nya tolong di lengkapi kurang lengkap nga seru apalagi nga ada film hantu 👎
9,Ok Oke Good,netral,Kepuasan Pengguna,Ulasan singkat positif,POSITIVE_FEEDBACK,103,3.64,3.0,27,"ok, oke, good, my, best, bufering, ya, the, heleh, heart",ok | ok | ok
