Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,35,-1_mntap_baik_apik_bermampaat,"['mntap', 'baik', 'apik', 'bermampaat', 'akula', 'cool', 'maut', 'mobil', 'ndeso', 'iklane']","['saya berlangganan video sudah lama tapi saya cukup kecewa mengenai fitur pembayaran otomatis di video singkat cerita tanggal 26 agust 2025 saya pembayaran paket platinum manual lewat aplikasi video dan berhasil dan di tanggal 6 sept saya isi saldo shopepay dan saldo shopeepay saya pun ikut ludes ter transaksi otomatis ke paket platinum juga dan endingnya di bulan sept saya punya 2 paket platinum harusnya jika sudah ada paket yang aktif layanan paket platinum otomatis di stop dong di aplikasi lain saya rugi ini', 'aku kasih 3 karena memang sbnrnya aplikasi nya bagus banget sih untuk menonton tapi kok aku bolak balik keluar akun sih pdln tidak ada diapa²in keluar akun sendiri terakhir aku yang lagi menonton ggs sudah di episode 15 harus cari lagi episodenya gegara akunnya tidak login padalan aku dari awal download aplikasi ini sudah aku loginin eh malah keluar sendiri terakhir mau menonton lagi harus login itu pun akhirnya tidak ada riwayat terakhir kali menonton tolong dong diperbaiki jadi susah lnjut episode gegara suka logout akun sendiri', 'kenapa ya setiap kali saya mau menonton di vidio menonton tv di live kenapa sering loading mulu ya padahal jaringan saya bagus']",Mntap Baik Apik
0,46,0_subtitle_kadang_bagian_fitur,"['subtitle', 'kadang', 'bagian', 'fitur', 'ukuran', 'ke', 'layar', 'besar', 'macet', 'keluar']","['tolong dong perbaiki rotasi di tablet mau menonton tidak auto rotare harus tap full screen dulu dalam mode potrait baru bisa mode landscape dan tolong untuk skip video tidak perlu dim pencahayaannya kadang suka susah mencari scene film kalau skipnya dalam keadaan cahaya redup thanks', 'banyak banget film series bagus yang bisa ditonton tapi menurutku ditingkatkan lagi di bagian subtitlenya kalau bisa tambahkan pengaturan subtitle biar kita bisa mengatur besar kecil hurufnya saat menonton sering banget loading terus kalau loadingnya selesai malah ke skip beberapa menit begitu jadi harus mengulangi lagi bagian yang ke skip padahal wifi kuat banget kadang juga video quality nya ngubah2 sendiri', 'tolong dong vidio ada fitur default untuk kualitas videonya biar kalau menonton tidak mesti ngulang2 nurunin kualitas video misal menonton serial anime pakai kualitas 240p terus lanjut episode 2 kualitas streaming balik otomatis mesti nurunin manual lagi ke 240p begitu terus diulang2 kan repot banget kalau pakai wifi sih tidak masalah harusnya ada pengaturan untuk prioritas kualitas videonya']",Subtitle Kadang Bagian
1,44,1_lengkap_film_komplit_filmnya,"['lengkap', 'film', 'komplit', 'filmnya', 'kurang', 'terbaru', 'india', 'ipin', 'terbarunya', 'upin']","['kurang lengkap filmnya terlalu banyak film lawas', 'tambahkan film box office barat dan indonesia tanpa berbayar lagi', 'tidak bisakah menonton booly wood india di video']",Lengkap Film Komplit
2,32,2_banyak_terlalu_tolol_iklan,"['banyak', 'terlalu', 'tolol', 'iklan', 'si', 'aplikasinya', 'langganannya', 'bagus', 'sebenarnya', 'tapi']","['bagus aplikasinya langganannya juga murah sayangnya film nya kurang lengkap dan gaseru', 'aplikasi tolollll tapi tolol tolol juga lumayan lah buat menonton', 'bagus sih membantu tapi iklannya itu loh hmmmm lebih banyak menonton iklan drpda seriesnya']",Banyak Terlalu Tolol
3,40,3_iklannya_bug_banyak_iklan,"['iklannya', 'bug', 'banyak', 'iklan', 'adalah', 'mungkin', 'keaplikasi', 'ditunjukkan', 'informasi', 'jual']","['kbnykan iklan', 'banya iklannya', 'jual rumah mva 6']",Iklannya Bug Banyak
4,51,4_kurangi_iklan_iklannya_tolong,"['kurangi', 'iklan', 'iklannya', 'tolong', 'nya', 'skip', 'banyak', 'durasi', 'terlalu', 'agak']","['tolong iklan kurangi sudah iklan nya banyak lama lagi', 'bagus tapi tolong kurangi iklan nya setiap menonton pasti ada iklan', 'iklan nya saja sih di kurangi soal nya iklan nya banyak banget']",Kurangi Iklan Iklannya
5,28,5_terlalu_banyak_moga_iklan,"['terlalu', 'banyak', 'moga', 'iklan', 'bermangpaat', 'hampa', 'sebaliknya', 'terasa', 'terlampau', 'menguras']","['terlampau banyak iklan', 'terlalu banyak menguras kouta', 'aflikasi tampa vidio terasa hampa']",Terlalu Banyak Moga
6,32,6_loding_lama_muter2_lambat,"['loding', 'lama', 'muter2', 'lambat', 'mati', 'lamaaa', 'tak', 'tahan', 'banget', 'kuat']","['kadang lambat banget buat streaming', 'bagus tapi kalau mau dwonload video suka lamaaa banget ke unduhnya', 'kuat loding terus tidak bagus ta tahan tahan']",Loding Lama Muter2
7,34,7_gtv_mnctv_rcti_global,"['gtv', 'mnctv', 'rcti', 'global', 'channel', 'mnc', 'tv', 'ada', 'jurassic', 'kok']","['kok rcti sama mnctv enggak ada ya di aku', 'tolong tambahkan global tv mnctv rcti kagak ada', 'tak ada gtv sama mnctv']",Gtv Mnctv Rcti
8,30,8_fitur_simpan_apps_pengguna,"['fitur', 'simpan', 'apps', 'pengguna', 'film', 'dengan', 'handphone', 'saran', 'kendala', 'di']","['halo saya pengguna premium ingin memberikan sedikit masukan setelah menggunakan aplikasi ini walaupun baru sebentar sekitar 3 bulanan saya merasakan kenyamanan saat menonton film terlebih dengan akun premium karena tidak ada gangguan iklan dan yang saya suka ada fitur skip intro ini sangat membantu sih tapi saya ada masukan nih ternyata cukup banyak film atau konten yang sudah lama film film baru sedikit sekali ini kurang menguntungkan bagi pengguna premium terimakasih', 'saya merasa sangat terbantu dengan adanya apps ini dengan begitu kita bisa menonton acara televisi yang sempat terlewati namun kenapa saya harus mengupdate apps ini dan jika tidak saya tidak bisa menonton mohon pengertiannya dikarenakan handphone saya sudah tidak bisa menginstal aplikasi lagi dan masih tetap ingin menonton streaming acara acara favorit saya lewat apps ini dikarenakan di youtube kurang lengkap tayangan nya saya agak sayang jika harus menghapus apps whatsapp ig tiktok dan fb', 'halo vidio saya mau kasih saran jujur saja saya kurang nyaman dengan konten 18 atau 21 memang usia saya sudah 19 tapi saya tidak nyaman saran yang bisa saya beri adalah tolong tambahkan fitur filter film di pengaturan misalnya di pengaturan tambahkan filter film berdasarkan genre usia atau enggak sekalian tambahkan fitur dimana pengguna bisa memblokir film yang tidak sesuai dengan selera nya fitur ini nantinya bisa di aktifkan nonaktifkan berdasarkan selera pribadi pengguna']",Fitur Simpan Apps
