Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,35,-1_baik_mntap_apik_bermampaat,"['baik', 'mntap', 'apik', 'bermampaat', 'akula', 'cool', 'maut', 'mobil', 'ndeso', 'iklane']","['cukup baik', 'baik', 'baik baik saja']",Baik Mntap Apik
0,475,0_saya_sudah_tidak_bisa,"['saya', 'sudah', 'tidak', 'bisa', 'di', 'padahal', 'tapi', 'nya', 'ini', 'aplikasi']","['dari awal langganan aman saja tapi bulan ini paket langganan masih aktif tapi tidak bisa menonton malah disuruh beli paket saat sudah beli paket tetap tidak bisa disuruh beli paket lagi', 'aplikasi ini sebenarnya sudah bagus tapi saya sangat heran kenapa ya kok tiba-tiba hari ini aplikasi video nya tidak bisa di buka saya juga kurang tahu yang tidak bagus sinyal saya atau video nya yang sudah ngelag dikit tolong di beri tahu penjelasan nya kenapa', 'kenapa aplikasi video saya tidak bisa di pakai menonton dan lama banget loading nya saya mohon di perbaiki ya kakak']",Saya Sudah Tidak
1,445,1_di_nya_yang_iklan,"['di', 'nya', 'yang', 'iklan', 'tolong', 'menonton', 'ada', 'tidak', 'dan', 'film']","['aplikasi vidio ini sudah bagus tapi banyak banget iklan nya', 'aplikasi nya sih sudah bagus tapi kalau untuk menonton film hanya bisa melihat potongan film nya saja tidak lengkap iklan tolong di revisi terlalu lama mohon kedepannya di perbaiki agar bisa puas menonton nya satu lagi kadang kalau lagi live streaming bola suka keluar dan tidak bisa menonton nya lagi tolong di perbaiki segera mungkin', 'saya suka aplikasi ini karena di aplikasi ini itu langsung kayak setengah episode tapi yang kurang adalah aplikasi ini terlalu banyak iklan yang mengganggu dan iklan itu juga tidak bisa kita skip jadi kita harus tunggu iklannya dulu tapi kalau untuk aplikasi ini saya sangat suka cuma karena iklannya itu terlalu banyak jadi saya mohon iklannya itu di kurangi atau iklannya bisa kita skip']",Di Nya Yang
2,260,2_bisa_pulsa_tidak_saya,"['bisa', 'pulsa', 'tidak', 'saya', 'paket', 'berlangganan', 'kenapa', 'ya', 'pembayaran', 'pakai']","['kok tidak bisa beli paket nya lewat aplikasi ini padahal sudah beli pulsa', 'saya mau berlangganan kok tidak bisa ya', 'mau beli paket pakai pulsa kok tidak bisa']",Bisa Pulsa Tidak
3,199,3_langganan_bayar_sudah_harus,"['langganan', 'bayar', 'sudah', 'harus', 'menonton', 'paket', 'beli', 'bisa', 'platinum', 'tidak']","['beli paket platinum malah tidak bisa menonton', 'sudah bayar tetap tidak bisa menonton padahal sudah bayar 1 bulan', 'saya sudah beli langganan tapi enggak bisa menonton film']",Langganan Bayar Sudah
4,147,4_bagus_mantap_keren_sangat,"['bagus', 'mantap', 'keren', 'sangat', 'baik', 'lumayan', 'menarik', 'kurang', 'cocok', 'suka']","['bagus', 'bagus', 'bagus']",Bagus Mantap Keren
5,139,5_lumayan_dulu_lambat_mahal,"['lumayan', 'dulu', 'lambat', 'mahal', 'coba', 'mulu', 'lah', 'dicoba', 'lengkap', 'kadang']","['lumayan', 'lumayan', 'lumayan']",Lumayan Dulu Lambat
6,132,6_sinyal_padahal_bagus_loading,"['sinyal', 'padahal', 'bagus', 'loading', 'sering', 'terus', 'lama', 'kenapa', 'banget', 'nya']","['menurut aku ya vidio nih kayak bagaimana begitu padahal sinyal bagus tapi kalau mau menonton live selalu loading', 'loading nya sangat lama padahal jaringan sudah bagus', 'kenapa ya saya mau langganan premium tapi selalu hanya hitam layar nya tidak ada pilihan paket padahal sinyal bagus itu kenapa ya']",Sinyal Padahal Bagus
7,109,7_menonton_live_patah_streaming,"['menonton', 'live', 'patah', 'streaming', 'kalau', 'lokal', 'loading', 'bola', 'tv', 'lagi']","['terlalu banyak iklan kalau lagi menonton di video live', 'habis update menonton live streaming malah patah patah', 'kenapa ya setiap kali saya mau menonton di vidio menonton tv di live kenapa sering loading mulu ya padahal jaringan saya bagus']",Menonton Live Patah
8,107,8_film_lengkap_ada_kurang,"['film', 'lengkap', 'ada', 'kurang', 'yang', 'tidak', 'episode', 'india', 'nya', 'season']","['film drama kurang lengkap', 'film nya kurang banyak', 'film nya kurang lengkap']",Film Lengkap Ada
9,103,9_ok_oke_good_my,"['ok', 'oke', 'good', 'my', 'best', 'bufering', 'ya', 'the', 'heleh', 'heart']","['ok', 'ok', 'ok']",Ok Oke Good
10,101,10_kebanyakan_iklan_banyak_terlalu,"['kebanyakan', 'iklan', 'banyak', 'terlalu', 'iklannya', 'bug', 'dan', 'menonton', 'premium', 'tv']","['terlalu banyak iklan', 'terlalu banyak iklan', 'terlalu banyak iklan']",Kebanyakan Iklan Banyak
11,89,11_bagus_tapi_banyak_iklan,"['bagus', 'tapi', 'banyak', 'iklan', 'tau', 'enak', 'terlalu', 'iklannya', 'sih', 'cuma']","['bagus tapi banyak iklannya', 'terlalu banyak iklan tapi bagus kok', 'aplikasi bagus tapi banyak iklan']",Bagus Tapi Banyak
12,70,12_vidio_bisa_di_tidak,"['vidio', 'bisa', 'di', 'tidak', 'android', 'tv', 'aplikasi', 'hp', 'kenapa', 'rekam']","['kenapa vidio tidak bisa diputar dan tidak bisa di download padahal sudah berlangganan', 'kenapa aplikasi vidio tidak bisa di buka', 'kenapa kok tidak bisa di buka aplikasi vidio nya']",Vidio Bisa Di
13,66,13_bintang_kasih_dulu_download,"['bintang', 'kasih', 'dulu', 'download', 'aku', 'gara', 'baru', 'tiga', 'kalau', 'flim']","['coba kasih bintang 3 nanti kalau saat sesuai aku kasih bintang 5', 'kasih bintang 3 dulu soalnya baru download', 'saya kasih bintang 3 dulu ya']",Bintang Kasih Dulu
14,56,14_siaran_tv_ulang_bisa,"['siaran', 'tv', 'ulang', 'bisa', 'di', 'trans7', 'kenapa', 'tidak', 'menonton', 'arisan']","['kenapa sekarang tidak bisa menonton di smart tv layar hitam terutama siaran live sepakbola', 'kenapa saya tidak bisa menonton siaran langsung di moji channel malah selalu muter ulang siaran india', 'kenapa siaran ulang tv tidak bisa di tonton']",Siaran Tv Ulang
15,50,15_liga_inggris_vs_timnas,"['liga', 'inggris', 'vs', 'timnas', 'ribu', 'mahal', 'pertandingan', 'indonesia', 'ditayangkan', 'italia']","['makin mahal untuk menonton liga inggris', 'kalau bisa ada paket liga inggris 1 pertandingan dong', 'sudah berlangganan paket liga inggris tapi masih ada iklan saat mau menonton pertandingan']",Liga Inggris Vs
16,49,16_iklan_banyak_banget_iklann,"['iklan', 'banyak', 'banget', 'iklann', 'dikit', 'nya', 'anjir', 'iklannya', 'bentar', 'kali']","['banyak iklan nya', 'banyak iklan nya', 'iklan nya banyak banget']",Iklan Banyak Banget
17,30,17_ulang_siaran_ada_tidak,"['ulang', 'siaran', 'ada', 'tidak', 'fokus', 'mnc', 'hilangkan', 'rcti', 'cuman', 'sesuai']","['kenpa sekarang menonton siaran ulang muncul iklan terus padahal sudah berlangganan setiap bulan dan munculnya iklan cukup sering dan setiap muncul itu 2 iklan semoga kedepannya bisa diperbaiki', 'tidak menonton siaran ulang', 'buat developer kenapa sih di hilangkan menonton siaran ulang saya di daerah jaringan yang tidak kuat tidak bisa menonton secara live seperti tv maka akan buffering mulu saya cuman berharap siaran ulang tapi malah di hilangkan kembalikan lah']",Ulang Siaran Ada
18,30,18_ngelag_parah_sering_buffering,"['ngelag', 'parah', 'sering', 'buffering', 'mulu', 'delay', 'nih', 'ngeleg', 'macet2', 'perasaan']","['sering ngelag', 'ngelag parah', 'ngelag parah']",Ngelag Parah Sering
19,17,19_iklan_menit_sampai_mood,"['iklan', 'menit', 'sampai', 'mood', 'terlalu', 'sring', '20x', 'asyik', 'banyak', '2x']","['jangan terlalu banyak iklan dong baru beberapa menit sudah iklan lagi jadi menonton nya terganggu karena terlalu banyak iklan durasi nya juga lama lama lagi', 'iklan terlalu banyak belum ada 2 menit iklan sudah 2x', 'semua masih bagus cuman terlalu banyak iklan setiap 5 menit iklan 5 menit iklan']",Iklan Menit Sampai
20,17,20_harga_naik_mahal_makin,"['harga', 'naik', 'mahal', 'makin', 'biaya', 'tablet', 'hp', 'paket', 'paketnya', 'langganan']","['harga paket terus naik buat tidak nyaman', 'harga paketnya naik terus', 'harga langganan naik terus']",Harga Naik Mahal
21,16,21_berbayar_tontonan_raga_olah,"['berbayar', 'tontonan', 'raga', 'olah', 'riwayat', 'bola', 'kesalahan', 'jelas', 'terutama', 'terjadi']","['hasil ulangan gambarnya pada olah raga terutama vnl banyak tidak jelas di ulang 2 mohon di cek dulu nontonnya jadi mls sementara saya tambah kalau masih muter gambar tidak jelas saya kurangi lagi ya', 'hampir semua tontonan olah raga berbayar', 'saya sudah pernah kirim email ke vidio dan berkali kali tapi tidak ada tanggapan baik dari vidio aplikasi jujur bagus tapi susah sekali menghapus riwayat tontonan terakhir kita dipaksakan untuk menyelesaikan tontonan tanpa ada dipercepat sedikitpun sangat memaksa sekali tidak seperti youtube yang bisa dihapus tolonglah agar bisa di hapus riwayat tontonan ada yang suka dengan riwayat tontonan dan ada juga yang tidak tolong diperbaiki saya sudah langganan lagi yang ke 2 tolong perbaiki']",Berbayar Tontonan Raga
22,16,22_f1_download_mendownload_breaker,"['f1', 'download', 'mendownload', 'breaker', 'wind', 'karena', 'kasih', 'terima', 'menonton', 'maaf']","['mohon maaf saya kasih bintang 3 karena saya download aplikasi vidio cuma buat menonton andri kobra vs zaedan', 'tolong adakan lagi paket menonton f1 saya download aplikasi ini cuman buat menonton f1', 'maaf saya kasih bintang 3 karena ketika saya mau download video itu kenapa harus langganan tolong hilangkan fitur itu']",F1 Download Mendownload
23,15,23_membeli_paket_masalah_bisa,"['membeli', 'paket', 'masalah', 'bisa', 'tidak', 'berlangganan', 'disaya', 'diperintahkan', 'soalmya', 'days']","['terjadi masalah ketika membeli paket', 'ada sedikit masalah pada langganan saya sudah langganan paket tetapi saat menonton tidak bisa dan diperintahkan beli paket ketika mau membeli paket pun tidak bisa karena masih berlangganan masalah seperti ini harus segera diatasi', 'tidak bisa membeli paket']",Membeli Paket Masalah
24,15,24_iklan_mengganggu_terlalu_dan,"['iklan', 'mengganggu', 'terlalu', 'dan', 'banyak', 'panjang', 'filmnya', 'kebanyakan', 'durasi', 'pilihan']","['niat download rencana beli yang premium karena pengin menonton film indonesia tahun kemarin yang tidak sempat di menonton di bioskop saya kira aplikasi ini nyediain filmnya ternyata kagak dan sedikit banget pilihan filmnya kebanyakan film produksi aplikasinya sendiri kayanya memang saya salah download deh', 'terlalu banyak iklan dan pilihan filmnya tidak banyak', 'iklan terlalu panjang dan mengganggu menonton']",Iklan Mengganggu Terlalu
