topic_id,topic_name,sentiment,business_category,sub_issue,merge_group,review_count,percentage,average_score,total_thumbs_up,top_keywords,sample_reviews
0,Ok Good Oke,positif,Ulasan Umum Pengguna,Ulasan positif umum mengenai aplikasi,GENERAL_POSITIVE,3202,20.51,4.9,3025,"ok, good, oke, nice, best, top, the, seru, job, menarik",ok | Ok | Ok
1,Bagus Baik Sangat,positif,Ulasan Umum Pengguna,Ulasan positif umum mengenai aplikasi,GENERAL_POSITIVE,2503,16.03,4.88,573,"bagus, baik, sangat, lumayan, banget, sekali, cukup, buruk, sih, ini",Bagus | Bagus | bagus
2,Mantap Keren Sangat,positif,Ulasan Umum Pengguna,Ulasan positif umum mengenai aplikasi,GENERAL_POSITIVE,2188,14.01,4.91,3645,"mantap, keren, sangat, banget, dan, puas, seru, membantu, mantab, kualitas",Mantap | Mantap | Mantap
3,Menonton Film Bisa,positif,Pengalaman Menonton,Kemudahan akses menonton film dan siaran langsung,USER_EXPERIENCE,1427,9.14,4.87,9125,"menonton, film, bisa, tv, aplikasi, di, yang, ini, bagus, vidio","aplikasi nya bagus bisa nonton bola | aplikasi nya baguss, jadi bisa nonton film favorite disini | bisa nonton yang live di tv bagus bangett"
4,Tolong Nya Di,positif,Pengalaman Menonton,Keluhan iklan dan konten episode tidak lengkap,CONTENT_ISSUE,1337,8.56,4.63,14986,"tolong, nya, di, tidak, tapi, film, ada, iklan, yang, kalau","Bagus sih apk nya, minus nya tidak bisa tayangin ulang vidio di channel TV | Sudah sering berlangganan vidio jadi ya good job apk ,,film nya bagus bagus ,dan untuk yg komen banyak iklannya ya di update donk untuk berlangganan biar gak ada iklan...saran aja ini🙏🙏🙏 | Saya suka apk ini tapi iklan nya bnyk banget+episode nya gk full tolong setiap episode magic 5 di full in ya kkk🙏🏻🙏🏻"
5,Aplikasi Ini Bagus,positif,Ulasan Umum Pengguna,Ulasan positif umum mengenai aplikasi,GENERAL_POSITIVE,705,4.52,4.89,260,"aplikasi, ini, bagus, sangat, aplikasinya, suka, nya, banget, dengan, saya",Aplikasi nya sangat bagus | aplikasi nya sangat bagus | Aplikasi nya sangat bagus
6,Paket Saya Tidak,positif,Langganan dan Pembayaran,Kendala aktivasi paket langganan yang sudah dibeli,SUBSCRIPTION_ERROR,628,4.02,4.62,1977,"paket, saya, tidak, bisa, kenapa, beli, langganan, sudah, di, berlangganan",saya beli paket data di indosat dan gratis langgangan vidio diamond tpi begitu masuk ke apk vidio kenapa paket diamon nya tidak bisa aktif dan harus bayar lagi ya? | Kenapa saya isi paket sudah masuk tidak bisa di pakek | tolong dong kenapa ya saya udah beli paket nya dari apk vidio tapi kenapa paketnya belum di proses saya gak bisa nonton
7,Iklan Mahal Tapi,positif,Pengalaman Menonton,Keluhan mengenai frekuensi iklan yang terlalu banyak,ADVERTISEMENT_ISSUE,555,3.55,4.64,1670,"iklan, mahal, tapi, banyak, bayar, kadang, harga, nya, terlalu, kalau",Lumayan lah. Tapi iklan nya banyak | Bagus banget tapi kurangin iklannya | Bagus tapi banyak iklan nya 😃😃😃😃😃
8,Liga League Rcti,positif,Konten dan Siaran,Kendala akses siaran langsung atau channel TV,CONTENT_ISSUE,434,2.78,4.71,900,"liga, league, rcti, tidak, ada, premier, siaran, inggris, live, kenapa",Siaran RCTI kenapa gak ada ya? | min tanyang g piala Dunia d vidio ini kalau tanyang langganan vidio aja | cuman tayangan Indosiar tidak bisa d buka
9,Menonton Hiburan Untuk,positif,Pengalaman Menonton,Kepuasan terhadap akses konten hiburan,USER_EXPERIENCE,412,2.64,4.87,466,"menonton, hiburan, untuk, suka, membantu, bisa, yang, sangat, saya, film","bagus bisa nnton tv | Sangat membantu untuk menonton film"" yang menarik 😍 | Bagus bisa nonton MAGIC 5"
