Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,236,-1_sippp_awesome_ajib_kerren,"['sippp', 'awesome', 'ajib', 'kerren', 'siiiip', 'excelent', 'jefri', 'sayasuka', 'par', 'okok']","['sangat bagus kalau menonton bola', 'bagus banget aplikasi nya aku suka banget bisa menonton magic 5', 'suka menonton di sini dari pada di tv']",Sippp Awesome Ajib
0,792,0_mantap_pokoe_pokok_men,"['mantap', 'pokoe', 'pokok', 'men', 'rame', 'pokoknya', 'cuba', 'ccooeegg', 'nontin', 'haaa']","['mantap', 'mantap', 'mantap']",Mantap Pokoe Pokok
1,341,1_opsional_zona_merah_makanan,"['opsional', 'zona', 'merah', 'makanan', 'fan', 'arjuna', 'farhan', 'ajanan', 'anas', 'telor']","['zona merah', 'alex jr', 'tjan giok']",Opsional Zona Merah
2,246,2_keren_awokawaok_dimna_pokony,"['keren', 'awokawaok', 'dimna', 'pokony', 'abiezzzzz', 'uplikasi', 'pokoknye', 'bangttt', 'kerennya', 'mantaps']","['keren', 'keren', 'keren']",Keren Awokawaok Dimna
3,215,3_banget_bagus_uh_bagussssd,"['banget', 'bagus', 'uh', 'bagussssd', 'besttttt', 'gokillllllllll', 'getan', 'genggam', 'disubscribe', 'dehk']","['bagus banget', 'bagus banget', 'bagus banget']",Banget Bagus Uh
4,192,4_sep_gas_jempol_out,"['sep', 'gas', 'jempol', 'out', 'febi', 'gembira', 'aqilla', 'goog', 'mohamad', 'bik']","['muhamad dimas limail com 94', 'rendra soedjono ft edwin setyadinata', 'boedoet 97 52 145 1908']",Sep Gas Jempol
5,258,5_filmnya_film_film2_seru,"['filmnya', 'film', 'film2', 'seru', 'kesukaan', 'series', 'semua', 'sinetron', 'banyak', 'nya']","['filmnya bagus-bagus', 'karena filmnya bagus bagus semua', 'filmnya bagus-bagus']",Filmnya Film Film2
6,316,6_paket_saldo_langganan_platinum,"['paket', 'saldo', 'langganan', 'platinum', 'aktif', 'dana', 'pembayaran', 'berlangganan', 'bagaimana', 'akun']","['pembayaran lewat google play kenapa tidak bisa padahal saldo sangat mencukupi untuk melakukan pembayaran berlanganan epl dan lainlain nya kenapa tertulis saldo google play anda tidak mencukupi ini kenapa', 'mohon maaf apa bisa tolong kembalikan dana saya karena saya sudah jarang buka aplikasi ini kemarin saldo dana saya terpotong sama perpanjangan otomatis', 'saya beli paket pakai saldo google play pada tanggal 8 desember sampai saat ini kenapa belum ada mohon dibantu']",Paket Saldo Langganan
7,178,7_oke_enjoy_lanjut_durasi,"['oke', 'enjoy', 'lanjut', 'durasi', 'kira', 'ekhem', 'bebrapa', 'mabar', 'penasaran', 'raih']","['oke', 'oke', 'oke']",Oke Enjoy Lanjut
8,158,8_baik_buruk_mah_tanda,"['baik', 'buruk', 'mah', 'tanda', 'kuning', 'cup', 'ulasan', 'dismart', 'dibilang', 'penerimaan']","['buruk', 'buruk', 'buruk']",Baik Buruk Mah
9,168,9_kita_acara_dengan_dapat,"['kita', 'acara', 'dengan', 'dapat', 'adanya', 'video', 'ini', 'aplikasi', 'orang', 'memudahkan']","['aplikasi vidio ini memang sangat lengkap fiturnya dan hiburannya meliputi sports entertainment dan berbagai genre movies atau filmnya lengkap searchingnya juga simpel dan cepat jadinya sayang sangat suka aplokasi vidio ini', 'aplikasi terfav buat menonton film apapun dan berkat aplikasi ini jadi bisa ngulang film video yang di kangenin seperti djs and moqeel eps 40 sampai 102', 'aplikasi vidio ini sangat bagus banget untuk menonton acara tv dan film lainnya saya senang banget menonton acara ulang tv di aplikasi vidio']",Kita Acara Dengan
10,125,10_iklan_terlalu_banyak_tapi,"['iklan', 'terlalu', 'banyak', 'tapi', 'iklannya', 'kebanyakan', 'cuman', 'minus', 'ty', 'cuma']","['bagus tapi banyak iklan nya', 'sering iklan saja tapi bagus', 'terlalu banyak iklan tapi bagus']",Iklan Terlalu Banyak
11,222,11_cocok_bola_menonton_olahraga,"['cocok', 'bola', 'menonton', 'olahraga', 'buat', 'untuk', 'aplikasi', 'muda', 'bisa', 'film']","['bagus aplikasi nya bisa menonton apa saja disini', 'aplikasi nya bagus bisa menonton apa saja', 'aplikasi nya bagus untuk menonton film']",Cocok Bola Menonton
12,168,12_league_premier_vs_liga,"['league', 'premier', 'vs', 'liga', 'serie', 'raga', 'olah', 'live', 'match', 'madrid']","['az alkmaar vs manchester city vs', 'cuma disini bisa menonton premier league', 'kenapa pertandingan persahabatan fifa matchday brasil vs meksiko minggu 9 6 8 sama tidak disiarkan di indosiar atau vidio malah argentina vs ecuador yang disiarkan singit keciwi bigi fins brisil surabaya']",League Premier Vs
