Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,236,-1_sippp_awesome_sama_ajib,"['sippp', 'awesome', 'sama', 'ajib', 'kerren', 'boleh', 'excelent', 'siiiip', 'jefri', 'par']","['sippp', 'sippp', 'sippp']",Sippp Awesome Sama
0,3202,0_ok_good_oke_nice,"['ok', 'good', 'oke', 'nice', 'best', 'top', 'the', 'seru', 'job', 'menarik']","['ok', 'ok', 'ok']",Ok Good Oke
1,2503,1_bagus_baik_sangat_lumayan,"['bagus', 'baik', 'sangat', 'lumayan', 'banget', 'sekali', 'cukup', 'buruk', 'sih', 'ini']","['bagus', 'bagus', 'bagus']",Bagus Baik Sangat
2,2188,2_mantap_keren_sangat_banget,"['mantap', 'keren', 'sangat', 'banget', 'dan', 'puas', 'seru', 'membantu', 'mantab', 'kualitas']","['mantap', 'mantap', 'mantap']",Mantap Keren Sangat
3,1427,3_menonton_film_bisa_tv,"['menonton', 'film', 'bisa', 'tv', 'aplikasi', 'di', 'yang', 'ini', 'bagus', 'vidio']","['aplikasi nya bagus untuk menonton film', 'aplikasi nya bagus buat menonton bola dan menonton film', 'bagus banget bisa menonton film']",Menonton Film Bisa
4,1337,4_tolong_nya_di_tidak,"['tolong', 'nya', 'di', 'tidak', 'tapi', 'film', 'ada', 'iklan', 'yang', 'kalau']","['aplikasi ini cukup bagus dan jarang banget ada iklan tapi saat saya mau menonton yang live tidak bisa jadi tolong di perbaiki ya', 'apl ini bagus banyak film yang aku suka yang aku tidak suka banyak iklan nya saja sih tapi ini sudah bagus banget', 'aplikasi ini bagus tapi aku meminta tolong aplikasi vidio nya jangan banyak yang premium soalnya jadi tidak enak jadi mending menonton di youtube tolong ya aplikasi nya jangan banyak yang premium tapi aplikasi sudah bagus sih soalnya banyak video yang lagi tersedia ini aplikasi sebenarnya bagus banget cuma premium nya saja yang aku tidak suka']",Tolong Nya Di
5,705,5_aplikasi_ini_bagus_sangat,"['aplikasi', 'ini', 'bagus', 'sangat', 'aplikasinya', 'suka', 'nya', 'banget', 'dengan', 'saya']","['aplikasi ini sangat bagus', 'aplikasi ini sangat bagus', 'aplikasi ini sangat bagus']",Aplikasi Ini Bagus
6,628,6_paket_saya_tidak_bisa,"['paket', 'saya', 'tidak', 'bisa', 'kenapa', 'beli', 'langganan', 'sudah', 'di', 'berlangganan']","['kok mau berlangganan tidak bisa sih beli yang paket platinum', 'kenapa sekarang saya tidak bisa beli paket', 'kenapa saya mau beli paket langganan tidak bisa']",Paket Saya Tidak
7,555,7_iklan_mahal_tapi_banyak,"['iklan', 'mahal', 'tapi', 'banyak', 'bayar', 'kadang', 'harga', 'nya', 'terlalu', 'kalau']","['bagus tapi banyak iklan', 'bagus tapi banyak iklan', 'bagus tapi banyak iklan nya']",Iklan Mahal Tapi
8,434,8_liga_league_rcti_tidak,"['liga', 'league', 'rcti', 'tidak', 'ada', 'premier', 'siaran', 'inggris', 'live', 'kenapa']","['buat paket yang liga inggris liga champions bri super league dan badminton ya', 'min untuk liga champions dan lah liga kalau sudah langganan bisa langsung menonton atau bayar lagi', 'kenapa liga inggris nya tidak live ya padahal paket berlangganan terus termasuk liga italia']",Liga League Rcti
9,412,9_menonton_hiburan_untuk_suka,"['menonton', 'hiburan', 'untuk', 'suka', 'membantu', 'bisa', 'yang', 'sangat', 'saya', 'film']","['sangat suka menonton film di aplikasi ini', 'sangat membantu untuk hiburan', 'bagus untuk hiburan menonton']",Menonton Hiburan Untuk
10,311,10_suka_banget_aku_saya,"['suka', 'banget', 'aku', 'saya', 'sekali', 'sama', 'bagus', 'sangat', 'ini', 'aplikasi']","['suka', 'suka', 'suka']",Suka Banget Aku
11,288,11_terima_kasih_terimakasih_respon,"['terima', 'kasih', 'terimakasih', 'respon', 'cepat', 'vidio', 'atas', 'sudah', 'saya', 'dan']","['terima kasih vidio', 'terima kasih vidio', 'terima kasih vidio']",Terima Kasih Terimakasih
12,189,12_iklan_ngelag_kebanyakan_banyak,"['iklan', 'ngelag', 'kebanyakan', 'banyak', 'sering', 'kadang', 'jangan', 'terlalu', 'eror', 'nya']","['banyak iklan', 'banyak iklan', 'banyak iklan']",Iklan Ngelag Kebanyakan
